class 	 arrive hotel cold sunday afternoon greet friendly staff , free steaming hot chocolate marshmellow . great way warm room functional , clean comfortable . great view , return Chicago would hestate stay . staff incredibly attentive polite , business centre free internet access big plus . 
 Mar 18 2009 	 could fine traveller hate . 	 not get good deal could stay , make irritated Allerton . attempt contact in - house reservation prior check - in discuss adjust rate ( feel bit entitle book entire week end miserable Chicago winter ) , never receive call back . due circumstance surround trip , not lot time badger management issue , let hope hotel would impress regardless . say , room pretty . issue peel wallpaper , noticeable . bed feather topper feather pillow ( undisclosed web site ) , sinus infection week 's worth constant exposure . side note , not figure pillow topper feather nearly end stay , point removal would serve make bed uncomfortable . flat , pokey featherbed , high - end kind , wear thick fleece pajama . the ice machine noise AC make arrive easily remedied turn climate control . window nightmare , not open . hotel right across Northwestern Hospital , prepared ambulance noise hour . guess big shopper , location could sell point . we , beyond nice look , place absolutely worth time price . first room ( standard king ) spacious , plenty room yoga , even chair bench . unfortunately , also right next elevator . grow town train plane , get use whoosh fairly quickly . however , door go way floor , thin , thin , thin ! roll towel shove door sound barrier , make difference . second night sleep due loud conversation outside door hour evening , insist move . gentleman front desk argue switch room , point way could prevent people conversation outside door future , regardless location . exhaustion frustration , talk back punch jaw . would people randomly stand around ROOM , assume room not locate gateway enter leave floor ? really . room 2 , also standard king , much small , one room door join room next door . remember thin door ? neighbor love Ray LaMontagne , acoustic guitar singalong , noisy sex . Yay ! could bear think move , least keep quiet night . room husband get town , be one stay remainder trip . bed sleep , nothing . be never going let live go first choice , Blake . 
 Mar 13 2009 	 STAFF ' D return ... AGAI ! 	 Yep ... staff , greet Doorman Reception Housekeeper restaurant Server OUTSTANDING .. hotel business , tend aware service facility other ... , particular . allerton choice visit Chicago ... workout room well ' ve see .. Jerome Nadeem outstanding certainly go extra mile teriffic attitude ... great value , great staff place stay .... 
 Mar 11 2009 	 Quirky hotel good location great service . 	 hotel locate main shopping street . street Walgreens 4 block l ( subway ) . lay strange manner , front desk second floor next restaurant . also elevator go 2 , hassle . hotel quiet , however , location ensure constant ambulance siren , well construction sound one block . restaurant minimalist elegant , however , find overpriced . Orange juice $ 7 . pay $ 25 simple juice , tea , bagel breakfast . room service efficient staff pleasant . order risotto dinner fabulous . upgrade large room upon arrival . room abundant closet space , clean , abundant window superb view . layout , , strange- door lead small sit area turn towards office turn towards bedroom . however , comfortable room great value . bathroom clean simple hair dryer L'Occitanne toiletry . overall hotel nice . would describe modern , artsy . choose Allerton , sure head business center use free internet . 
 Mar 10 2009 	 problem good stay 	 book Allerton block destination - Northwestern Univ . hospital right Huron Street . despite street work right outside hotel , not problem valet parking . book Park play rate include parking put room rate ( King nonsmoking room ) $ 120 - bad downtown Chicago . room small - ish , ' ve small room Chicago . closet spacious enough bath tiny serviceable . amenity nice room , carpet ceiling , clean . big gripe internet site connection . website difficult navigate different version reservation 's page depend kind package choose . 's poorly design . site , internet suppose available $ 9.95 night , always find surprising get free internet many location . still go pay could not get . front desk pass & quot ; tech support & quot ; person try 10 minute get sign . finally say & quot ; never mind . & quot ; slide bill door overnight notice - besides Park play rate - charge also park ! immediately call front desk tell , & quot ; well , fix check - out . & quot ; like would know ? location , right Michigan Ave . great - block either way be shop nirvana . go back though , think might try Avenue hotel block ( check review , course ! ) . 
 Mar 9 2009 	 great location . excellent suite ! good choice downtown Chicago . 	 stay Allerton work conference overall good experience . one conference coordinator suite . one nicer suite ' ve stay . bed pillow comfortable . room two flat screen tvs Ipod docking station . bathroom good , nice shower good water pressure . issue room 1 . refrigerator put odd end 2 . though sink glass plate silverwear . suite quiet could hear go hallway hotel , could hear firetruck street room . planning meeting / conference concern dealing reservation staff - often mispronounced hotel name get reservation mess . however staff hotel nice responsive need . use Renasissance Ballroom meeting / conference everyone love room - high ceiling , window , new carpeting , etc . 
 Mar 2 2009 	 one clean artsi hotel ' ve ever stay . 	 one thing notice first hotel 's design aesthetic . loved lobby hallway reflect room well . room big small , extremely clean enough amenity make week 's stay worth : couple tv , sofa bed plus regular bed , L'Occitane bath item , work desk , hair dryer , iron , etc . bathroom clean well - stock . room good view Chicago ask additional pillow , respond quickly well . make stay Chicago well . 
 Feb 24 2009 	 Nice Place good rate small 	 many reviewer mention size room . small , yes , neat place obviously history . room small , 's way build 80 year ago ( whenever build ! ) room also clean modern looking . chance go bar restaurant , seem hip . 
 Feb 23 2009 	 great service nice hotel 	 - excellent quick customer service ( e.g . housekeeping come load extra towel soap within 5 minute call , friendly restaurant staff , etc . ) - nice furnishing , design- comfy beds- fantastic soap , shampoo , conditioner- central location- room quite , ahem , cozy not dresser 
 Feb 22 2009 	 NIce Hotel not drive ! 	 entrance cool , smell like lemon nice . lobby 2nd fllor odd , check time nuts . kind annoying wifi be not free - lobby still need get passcode , check ... forget . room cute ( small ) stuffy . kicker - $ 51 night park , pretty much * * park adjacent ramp choice . feel obligated tip everyone everytime . employee hotel helpful friendly though . 
 Feb 16 2009 	 great location room small 	 first trip without kid ... want great location since car . allerton hotel get $ 75 night thru priceline . price location magnificient mile good choice . $ 30 taxi ride airport . revolve entrance valet area . check 2nd floor kind strange . elevator tiny might problem lot luggage . checkin lobby fireplace look chic . hotel decor look modern . get queen room 9th floor . hallway carpet looked update unlike negative review . smell anything bad . room view michigan ave could see TIffany & amp ; co . agree room small small people . lot move room . soon enter , bedroom chair , desk right . bath product l'occitane smell good . room corner quiet . the good part hotel walking distance shopping , food , tourist attraction . hotel right intersection michigan ave huron . right middle magnificient mile shop . everything front door . apple store across street . John hancock block water tower shop next . H & amp ; , ghiradelli chocolate block . millenium park bean structure 3 block opposite direction hancock building . Gino east pizza right street Giordanos pizza next tribune place ( 3 block ) . take subway Sears tower walk art institute . take cab navy pier shaw crab house . glad rent car since hotel charge parking would hard expensive everywhere . walgreen starbuck , dunkin donut almost every corner . fun wear comfy shoe . would stay since less expensive compare omni marriott nearby . 
