love 	 great hotel , staff lovely , great gym food cool . cheap . 
 may 15 2004 	 awful outside great inside 	 shockingly bad look hotel outside great inside . great interior design : good sized , clean room : helpful staff comfortable king size bed ( studio room ) . unfortunately not time test spa treatment people seem rave look gym ( would manage get hold access card work ) . open 06.45am 9.45pm , clean not many people , wait machine . thing find disappoint continental breakfast rather overprice Starbucks style start day . Liked idea guest could help fruit bar anytime though . in summary , centre hotel within easy access central London well worth visit . would definitely return K West ! 
 May 4 2004 	 Trendy overprice 	 trendy , new design hotel young ( heart ) . good value money , probably due location . bit beat path , nice . hotel small hidden street , therefore quiet . spa disappointing though . small unfortunately clean . 
 Apr 18 2004 	 Great Hotel 	 family stay Kwest late March . room clean roomy Europe spa treatment relax . we also think food Canteen room service also good . staff friendly accomodate work hard please we . 
 Apr 8 2004 	 do not believe hype - except K Spa 	 oh dear . K west - stick hinter land Shepherds Bush need special make 's poor location . however base experience case . let face fact - five star hotel . okay try hip trendy excuse basement room & quot ; view & quot ; path outside staff stretch poorly train . room okay price . bar nice - BBC type spot . Kanteen joke - small , noisy place spend romantic evening . let leave positive - K Spa superb . hot Stones treatment good massage ever . fantastic staff great therapy . element alone worth stay . conclusion avaerage hotel one exceptional element - do not think go get 5 star experiance.mra 
 Apr 3 2004 	 great hotel 	 think staff helpful . room clean bathroom big . tube station block away airport bus pick Kensington Hilton , 3 block away . area not bad . 's work class neighborhood , feel safe . 's little shopping mall get grocery pharmacy thing . 
 Jan 9 2004 	 good undiscovered gem 	 stay K West couple time thoroughly enjoy time . staff nice , room comfortable although view good . approach hotel - back road - make wonder , get inside , worry vanish . I stay standard delux room also peak suit - WOW.They refurbish restaurant eatent recently , previous time think lovely . get bit upset pay continental breakfast piece toast juice leave dining room . walk see someone know go back coffee want charge whole cost ! hotel locate Shepherds Bush handy tube , far Hammersmith come Picadilly line Heathrow , good bus link also near Kensington Olympia main line station . they regularly use local company base area - think big medium / television company - put guest K West , may lucky see someone know . I like bar . small , comfy sofas , lovely fireplace price bite high . all , want somewhere different , try K West . certainly somewhere recommend . chic hurt , twist . room good size , view poor . food good , bar good bit pricey . lovely spa pool . also free internet communal area . 
 Dec 29 2003 	 Great Room 	 early month spend 5 night K West . book standard room good web price could find , upgrade deluxe reasonable charge together pay 100 pound large room comfortable king bed , large stylish bath , suede sofa , wide screen tv , DVD , CD , desk , safe , excellent amentitie . price , far good room ever London . exercise facility excellent hotel . try make evrythe stylish staff ( sometimes stylish ) spa . downside , room ( , think , face north ) look onto alley . might try south face room available . also ask see standard room . much small full size bed similar appointment amenity . like location residential neighborhood . 's easy walk Kensington , Holland Park , Notting Hill . friend live nearby unaware K West recommend visitor . 
 Oct 30 2003 	 Perfect Vacation K West 	 K West London map Shepherds Bush . bus tube step away . hotel modern chic help courteous family find friendly . nice place would surely command much per night centrally locate . attract artistic crowd . stay meet model , buinessman , rock band big early 80 's . party 3 generation family vacation . , cater comfortably . beautiful spa / gym , delicious restaurant . use BBC build 60 's . highly recommend not mind use bus tube get town . 
 Oct 23 2003 	 Hidden gem 	 love K West 's hip funky staff pleasant . be near Shepard 's Bush tube definietly Notting Hill - like neighborhood - London not feel like tourist . 's locate residential neighborhood store nearby . shower run floor - poor design - would definitely stay . 
 Oct 1 2003 	 Nice Hotel Comfortable Roomes so - so Location 	 K - west nice flare - modern interior . room comfortable clean . even provide large umbrella guest carry rain . the disadvantage hotel , opinion , location . centrally locate , close access Tube - Central Line ( 2 - 3 block walk ) . price ( get room $ 130 / night include taxis ) great deal . 
 Aug 20 2003 	 quite nice ... 	 stay K West night ( Aug 3 - 4 ) think nice . location could well rather like fact hide away hustle bustle city . almost like jewel crown . lady reception could little friendly : - ) room make it . we stay deluxe room KING bed ... like CD Player / DVD Player come room . great sound ... bed ... wow ... like sleep cloud . my issue bathroom door ... mean nice ... 's door ? someone sit couch , could see right bathroom ... shower door not frost either ... get little tricky . I great experience ... cost 129.00gbp plus taxis ... bad four star hotel ... not take advantage SPA facility come room ... be ok . next time go London need quiet , relax time ... definitely check K West . CD Player bed definitely good thing look romance vacation . enjoy ... hope review help 
 May 27 2003 	 okay dead zone 	 husband stay K West early May . deluxe room comfy king size bed nice fluffy duvet . also small kitchenette ( fridge / oven / sink / kettle ) room . bathroom nice shower half glass door awkward afraid would soak whole room shower spray . poor design . room quiet . bar downstairs kinda sad pretty much breakfast available room service although see empty tray cornflake leave behind . food room service good however . nice spa use free good jacuzzi steam room . nothing area hotel neighborhood around hotel kinda grim . walk night think go to get mug shady dude hang nearby bridge . remember , city savvy New Yorkers . shepard Bush Tube nearby easy get nightbus back center London although stay late lot well book hotel middle city . find staff helpful polite . not mind dead zone London , KWest good cheap option . 
 Apr 29 2003 	 bad hotel experience ever ! ! ! 	 stay hotel February 2003 bad experience ever frequent traveler . rent mobile phone stay leave front desk pick mobile phone company . phone miss package pick courier ( plastic lock break ) . subsequent investigation meet arrogance hotel , front desk manager , Joanna Walker , way General Manager , Steven Kyjak - Lane . find hotel web advertise Kensington / Notting Hill , two exclusive area London . actually West Kensington , rough , dark & amp ; seedy neighborhood . room comfortable pay dishonesty put terrible service , would never stay kw hotel . 
 Apr 25 2003 	 Great Visit ! ! 
 Apr 3 2003 	 FAB Hotel 
 Apr 1 2003 	 K West terrrific hotel ! 
 Mar 13 2003 	 well 
 Feb 5 2003 	 K West nice hotel 
 Jan 6 2003 	 Excellent deluxe room ignore neighborhood 
 Dec 2 2002 	 love room 
 Sep 25 2002 	 enjoyable stay 
 Apr 22 2002 	 K West Hotel 
 Feb 4 2002 	 stay ! ! ! 
 Nov 3 2009 	 Super Hotel 
 Oct 12 2009 	 Enttäuschend - nie mehr wieder 
 Sep 27 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? 
 Sep 25 2009 	 très sympa mais tellement grand 
 Aug 12 2009 	 cortesia ed eleganza . 
 Apr 27 2009 	 trop cher pour la prestation 
 Jul 20 2008 	 Una pensione travestita da luxury hotel 
 Mar 24 2008 	 Pas génial 
 Dec 29 2007 	 Super Preis LEistungsverhältnis 
 Oct 13 2007 	 100 % Positivo 
 Aug 8 2007 	 Hôtel assez bien situé 
 May 21 2007 	 Tolle Gastlichkeit ! 
 Feb 16 2007 	 Nettes gehobene Hotel jedoch zum Teil mit wenig Kundenorientiertheit 
