robbed 	 place horrible . service terrible first arrive actually rob middle night sleep . think someone staff door lock . report incident follow morning , ignore security actually tell us hope & quot ; money may return & quot ; . could . never stay . money lose . could stay somewhere way well . 
 review pretty much right 	 good reason stay Imperial Palace location - pretty much heart strip middle everything . price main reason stay . would prefer stay somewhere nice , money , hotel good deal . whole lot - nightlife pretty much non existent IP , hotel close always something . room decent - nothing spectacular mean , shower hot water pressure really good . noise level okay unless someone loud hallway ( be Vegas 's go happen ) . room pop machine get little perturb someone fill 7 ! say - & quot ; get pay & quot ; be will get IP . 
 love place .. money 's great 	 right middle BIG casino 's .. be worth ! different kind room everytime go .. can not decide one like good ! be one w/ huge tub .. year stay one w/ & quot ; living room & quot ; ( couch tv ) bedroom do not ' door tho . can not guest . lol 
 good value heart strip 	 read mixed review even advise friend stay Imperial Palace , however get great flight / hotel deal thought would give go . arrive Thursday , check take 5 minute , walk room . inspection room , even check bed bug , thing lack little bit hair bathroom floor . next day clean lady clean bathroom . hotel outdate , restaurant worth eat minute much well restaurant Margaritaville , etc . pool decent get pack small . weekend hit , hotel full elevator line get alittle long , never long 5 - 10min wait know way around hotel could find alternate route room tricky , finally master shortcut day 3 . location ideal , also bus stop right outside hotel . plan spend hotel instead outside enjoy strip hotel suit need . look hotel want stay play without leave , upgrade different hotel ! 
 Bed Bugs Imperial Las Vegas Beware 	 stay 6 night , second night itch third fourth day show clean lady tell lady must develop allergy show back leg . agony week ask new sheet , blanket , bedspread , day would ask something new . look sign see nothing . come home see MD next day say bed bug bite . call hotel look . want stop rent room refund money . respond yet . shocked let manager know hotel ! ! ! many people sabby bed bug cleaning lady say , allergy must develop . besides want man see , embarrase even complain clean lady show bite claw self try get relief . shy post help someone else . tell friend OH got BED BUGS . 
 cheap rate good location nothing . 	 Booked IP quick one - night stay low rate . not expect much , still disappointed . probably uncomfortable bed ' ve every experienced . room , hallway , casino wear dirty . front desk staff casino personnel seem fairly competent . would ' ve miserable extended stay . tip : stay , request room far away Rockhouse Bar , otherwise will hear thump bass early morning . 
 Hey be Vegas .............. get to love ! 	 hey get back Vegas wonderful time . six we go stay Imperial Palace . 4 we regular room friend repete customer compe penthouse ! staff great , room comfy clean restaurant good . can not beat location price . town Sunday CFL play West & amp ; East final Grey Cup . GO rider ! Wynn say would play game us sport bar ....... ....... mandalay Bay conference 2000 Canadians stay would play game either . ask RockHouse IP say bet . 4 tv go , 2 1 drink special we treat we like royalty ! Thry aslso go play Grey Cup Sunday anyone donwn . go see great bunch ! Annie waitress even wear Rider Jersey ! go see Terry Fador Mirage , great showman lot fun ! would go back IP , like sixe place , treat well enjoy right middle everything ! 
 Oct 29 2009 	 good place Vegas stay bar none ! ! ! ! 	 believe people 's review favourite hotel / casino Vegas . ok place 3 star 's GREAT 3 star ! ! atmosphere casino THEE good casino Vegas . take numerous friend place love . dealertainer , poker room , buffet , music play time , bar , cocktail - place absolutely brilliant . 4 week time 6th visit 5 year . recommend place highly enough want good time complain & quot ; chip paintwork room & quot ; ! ! Jeez -how long spend room ? 5 minute unless decrepit old fud . place THEE good casino Vegas havin ' crack ! ! ( be fun yank ) . 
 Oct 28 2009 	 great price great location well hotel 	 1st time Vegas know want central location , key . price important , since travel alone , one split cost . get , check took finally get counter , staff polite friendly . tell room request ( 1 queen / king ) face Carnival Court ( loud outdoor bar band DJ 3 am ) . option smoking room . thankful advise possible noise instead surprised , take smoking room . realize ' m Vegas , shop day party night , want quiet room come back get shut eye . , smoking room go . luckily , 2nd floor elevator need . try get room low ground elevator take absolutely forever . content 2nd floor smoking room every time walk elevator watch people stand impatiently easily 15 minute ( know check , take elevator , could not get luggage stair ) . view room - cement wall hotel parking garage . whatever , not phase . room quiet occasional honk car garage , be matter . shower good , water pressure good , lot hot water plenty fresh linen . bed comfy , complaint . come home though , wash everything suitcase smell smoke . strong smell , ' m smoker , notice it . the buffet restaurant hotel - garbage . breakfast really bad , lunch bad bad breakfast . eat breakfast Denny 's street every morning . Coffee 's good , egg 's hot , be cheap , everyone know Denny 's , know get . the pool nothing special , want . spend couple hour one day lounge pool . DJ play good music , like , girl walk around take drink order . overall , would stay , room Harrah be not available outrageously price . ' m Vegas , hang hotel room , ' m one stay expensive place , 2 suit fine . 
 Oct 28 2009 	 Perfect price . 	 look somewhere cheap , basic shabby , place . room fairly large , downside lift take forever , lift back hotel nobody use do not mind little walk . value money , probably good place stay . maybe ideal familys couple , group lad good time save money sleep , place go . 
 Oct 28 2009 	 Nice Stay 	 recently stay Imperial Palace clean bad hotel . 
 Oct 28 2009 	 show age 	 great location & quot ; Strip & quot ; . facility age adequate reasonably price . like Vegas , however , food price get high poor service miserable gaming odd . cafe serve great pastery - the & quot ; Bearclaw & quot ; . not miss it . seem like Vegas become big crowded little value money . next & quot ; Old Vegas & quot ; ? 
 Oct 27 2009 	 Cheap Decent 	 Imperial Palace definitely place write home , room incredibly inexpensive beat location . staff friendly honest . would not recommend buffet , however . be ' no frill ' type like save dough , place . 
 Oct 27 2009 	 great location price little rundown 	 stay price fantastic ! bed comfortable clean , toilet little rundown dubious stain bathtub . problem lift , yes , like reviewer get lose look room first 2 day . get room face pool , problem noise Strip . location absolutely fantastic , various type food outlet , shop even car rental stall within 15 - 20mins walking . monorail station right backdoor ! room safe , lug laptop we Grand Canyon . Front Desk staff helpful . 
 Oct 27 2009 	 Jewel rough ! 	 true room not big heart soul . wonderful time . return Dec 2009 . great rate , great location , problem . people come Vegas , really , honestly , much time spend room ? stay casino high star rating bad room money . 
 Oct 26 2009 	 close casino 	 room gave first partly clean . bed make , trash still bin use towel bathroom floor . reception helpful give different room without trouble , time clean . imperial close rest casino strip , however , large place like one expect walking get place . would pay use internet room , not . 
 Oct 24 2009 	 Dirt cheap great location want comfortable place sleep ! 	 right strip across Caesar 's . pay $ 20 / night Mon - Thur stay . room clean fancy mean , remind Comfort Inn similar . floor quiet ( ) . bed surprisingly comfortable , even well Marriott stay Flagstaff . want luxury , go someplace else . want cheap place crash , right middle strip , check IP . 
 oct 22 2009 		 Yep , everything say site . fourth time Vegas ( stop mgm signature last year ) , time go mate , unfortunately tight budget . , come back night place , become depressing visit . find staff pleasant , & amp ; deluxe ( refurb have ) bedroom acceptable ........ rest place ? ? ? ? ? . listen , do not mind classless / tastless / darkness ! & amp ; put mention , go . show mate Gold Coast Hotel ( cheap / just strip ) wish stop & amp ; get free shuttle bus daily . People say dealertainer good ......... must see different saw , ey , , personally never see bad . finish Vegas , place nothing fond memory , ( except one place ) & amp ; believe everybody visit least lifetime 
 Oct 22 2009 	 Read true review - stay away 	 request room close elevator handicap guest difficulty walk lead room assignment last room end hallway- furthest away bank elevator . wallpaper peel wall dirty carpet wear furniture bed bathroom sink wear enamel almost none existent bathroom tub take almost hour drain shower bathroom tub drain well floor guest room across hallway 4:30 A.M. - check record 10/13 - create disturbance guest shop vacs worker endeavor clean mess ! later explanation give one supervisor ( accord name tag ) " oriental " people use bathtub laundry leave water run . hence name Imperial Palace guess ! noise ... noise ... noise ... noise … .only 4 elevator run fast dirt - lead guest wait 25 30 abreast 10 12 deep push shove car finally arrive casino level . People wedge open fire door stairway room towel rather wait elevatorsA blink message light phone room lead message state message " Meridian " voicemail . however 18 long stem rose 80th birthday celebration never deliver - that message suppose refer . sender call ask gift , make aware staff toss package clearly mark FTD live flower " back room " would send someone look it . a parking garage require GPS system reach ... ... down … elevator escalator 5 minute hike ... ridiculous ! proposition hooker shop areawatche security guard escort one " lady " premise another one -tosse 15 minute walk right past back hotel ! ! ! check security log 6 A.M 10/15 
 Oct 22 2009 	 need cheap 's good clean one . 	 old style hotel , clean room casino alright . nightlife limit little way stip need walking get anywhere good . get pay least one clean . 
 Oct 20 2009 	 horrible ! ! ! ! disgusting ! ! ! 	 room clean . bathroom look like not clean week . sink tooth paste well cap needle people we . toilet crusty stuff seat tank . gross ! ! ! bathtub not clean either . not even shower curtain , bed sheet hole cut . bad hotel ever stay . never step foot Imperial Palace . 
 Oct 20 2009 	 affordable 	 hotel really easy access strip . see strip entrance quite hard find . room service bit slow spring break week . room roomy . overall would stay . 
 Oct 20 2009 	 great stay $ $ $ 	 hotel nice , take cost consideration . look nice , clean place rest night . get much . room , small , serve need nicely . hear noise strip casino A / c function fine . : Hotel / Casino Staff- wife drop small coin purse sentimental value TR card small amount cash casino . pretty much write hope finding , especially w/ $ $ , head shuttle pick - up area hear page wife return security booth . staff member locate purse turn security . still card cash ! ! ! perfect end fantastic trip ! ! ! 
 Oct 20 2009 	 room incredible value locate center Strip ! 	 husband stay Imperial Palace ( IP ) October 6 - 11 . second stay IP within 6 month please certainly stay . room time remodel always clean comfortable bed . IP locate center strip close Venetian , Mirage , Caesars , Flamingo , Harrahs , etc . food choice IP great go door step away many wonderful restaurant great shopping . use money save stay IP see show eat well restaurant Vegas . Vegas - - always town hotel room sleep . believe , incredible value ! 
 Oct 19 2009 	 underated Harrahs property 	 good central location stay Vegas . room big upkept quite well . would stay anything nice location near Caesars Mirage . 
 Oct 19 2009 	 need update ! 	 Imperial Palace great location , room totally date , pool nice , October sun do not shine pool long . do not think would stay ! 
 Oct 19 2009 	 never ! ! 	 First & quot ; Palace & quot ; Palace . husband book trip almost 7 month advance . arrive dump reservation wrong ended room not book . room over - look beautiful parking garage ! get room rug filthy - bathroom absolutely disgusting ! ! go Vegas get marry Vegas wedding always want - hotel almost ruin trip ! family travel we well wedding room pipe literally fall apart spew black crud bathroom happen day wedding cause we late meeting limo late get chapel ! walk door casino constantly smell like sewage ! rest hotel dark dingy wait forever get elevator elevator would finally show usually jam pack wait another another . would take step casino floor could take step back room door lock ! friend order we room service wedding receive half order friend need reimburse ! eat 24 hr burger joint filthy husband get extremely ill immediately . horrible experience would never stay would recommend place bad enemy ! 
 Oct 18 2009 	 Fantastic ! ! ! not let review sway . 	 book trip , trying save little money still middle thing strip . hotel quite jewel ! ! ! ! ! excellant location , great price , clean ! ! ! room 18th floor tower perfect . never problem tub backing , toilet work state review ! ! staff helpful friendly would definitely stay . check also easy line . do not let bad review keep away good clean place stay without spend fortune ! ! ! 
 Oct 16 2009 	 Great Place 	 read review sure stay IP . love place . locate middle strip close everything . stay . 
 Oct 14 2009 	 great value strip 	 hotel conveniently center Las Vegas strip monorail service shuttle bus service airport $ 6 - 6.50 . great hotel budget clean room prompt service . stay 17th floor ( 17106 ) double queen size bed . view side , let know . non smoking room great . also smoke room . there also pool jacuzzi open 9am-5pm jacuzzi think 24 hour . pool area open sun bathing day . weather average 30 degree celsius . go casino lobby get room . be always smoky loud . check show , Cirque du Soleil , La Reve Wynn Hotel . third row seat $ 80 . great show , miss . check Caesar 's Palace Hotel mall right across Imperial Palace . must go different hotel , even check . use monorail take around quickly cost $ 14 whole day . Grand Canyon worth trip Vegas alone . although , go much small version Red Rock . think 's $ 5 get . really great kid hike strenuous . stay hotel bro , cousin . be mid 20 's . Las Vegas great right people go , course . 's something everyone alike . fun . 
 Oct 13 2009 	 well expect 	 reading review little uneasy decision stay , price decide stay glad . arrive check offer upgrade suite huge tub ! take could happy . staff helpful friendly . see many complaint elevator trouble stay . room little outdated however clean bed comfortable . side building music stage problem . location perfect monorail station hotel get almost anywhere strip fast . shop hotel limit many choice nearby . casino small much less intimidate other visit . visit buffet impress many choice huge drawback . stay Imperial Palace next time visit can not wait . also friend join we able book room last second also extremely pleased . look great deal decent place stay good bet , look one big resort keep look willing pay . 
 oct 13 2009 	 classy hotel central great entertainment 	 stay 29th Sept 6th oct . although classy hotel vegas , right middle strip less walk dependent side strip want go . and hotel nice atmosphere Dealertainers - ie croupier get sing - mime ( badly ) other really quite good . bit loud time especially morning wake drink . have say room although basic keep clean matter time day leave room cam back would clean new towel etc replace . try get room outside car park though every car alarm would go ( sure may ? ? ) drink hotel also seem lot cheap . example 2 Vodka Tonics would cost $ 11 Imperial Palace hotel excess $ 20.overall good trip . want go Vegas budget place , like bit creature comfort life perhaps try Ceasers palace Mandalay Bay Hotel - nice : - ) ) croupier friendly laugh joke 
 Oct 12 2009 	 ok price location 	 Imperial centrally locate middle strip 's action . the price reasonable . it date little & quot ; frumpy fray & quot ; .Definitely & quot ; funk & quot ; factor . the layout confuse -you can not get -and staff not really help .It seem staffer always leave one crucial piece information lead confusion . room & quot ; deluxe & quot ; supposedly king bed , balcony hot tub . the king like queen , balcony & quot ; juliet & quot ; -you could stand , room chair , hot tub simply big tub w/ jet . the room clean , quiet , roomy , lot towel , everything work . the pool nice , blare music top volume time . if work good -price deal one nice hotels strip , , can not , Imperial reasonably price alternative . 
 Oct 12 2009 	 good money 	 Outstanding Location - centrally locate . be look Vegas cheap , great spot . want glitz outstanding service nice hotel not come . Great Value , room nothing special , elevator not great , be big , price right . room probably not update long , long time . room look important not come . wall heater / AC . be dropping bag be go . 
 Oct 11 2009 	 poor check - in service 	 hotel decent price good location . make reservation wait official 4 pm check - in . People not reservation able check - in get hotel key right away . 4 room 1 available 4 pm . one room not even clean get key check - in . could not even get discount . noise also annoying . pool close way early . stay Circus Circus well service room . would stay imperial . 
