fantastic 	 stay Michelangelo past Sat . night ( 11/28 ) . hotel inviting , service timely , atmosphere warm elegant . room extremely comfortable , clean quiet ! bed / pillow / linen exceptional . bathroom suite fantastic . everyone assist we doorman concierge helpful , friendly pleasant . morning coffee good , along w/ croissant / scone . would definitely stay without hesitation . convenient location . 
 Thanksgiving NYC 	 daughter ( 23 yrs old ) go NYC Thanksgiving holiday choose Michelangelo Hotel recommendation friend . love five day stay lovely hotel . beautiful , nice room , great location entire staff create atmosphere comfort , safety luxury . conceirge , James , treasure . take care reservation give we great & quot ; inside & quot ; NY tip . hotel take care area guest watch Macy 's Parade Thanksgiving -- -we soooo grateful , event go NY see . thank Jefferey ! ! doorman always helpful cab direction . luggage porter great upon arrival departure . really could walk Rockefellar Center , Broadway , Times Square , NBC studio , Radio City , Central Park shopping . Michelangelo make NY trip special . 
 Apr 30 2009 	 Excellent Value Excellent Location 	 girlfriend stay Michelangelo Good Friday receive terrific rate $ 199 standard room . as soon enter hotel blow away design hotel 's lobby . small snafu check nightly rate quote $ 295 . point difference price attendant immediately correct look original reservation file see , fact , book room $ 199 . courteous entire time make sure aware hotel 's free breakfast . remind member iPrefer receive late check - out , among thing never receive / use . iPrefer member suppose receive free Wi - fi complimentary upgrade Preferred Hotel Group property . never need Wi - Fi look hotel 's reservation page early week see room type available suite . know upgrade not going happen . maybe upgrade , know ? also pleasantly surprised size room . previously stay Hotel Chandler , nice hotel also extremely small even upgrade . Michelangelo plenty room walk around bump anything . room well appoint bed comfortable . view HVAC , not really bother we . want see New York City , go outside ! think hotel need update tv hotel consider standard , mean hd - tv . tv bathroom people rave foot long three inch screen size ANTENNA ! , New York City , stay watch tv ? amenity take advantage overnight shoe shine . shoe come back next morning look well ever . hat whoever shine shoe Michelangelo . at turn , housekeeping staff pull blackout shade wake 11 confused dark outside . thank oversleep ( like say , bed really comfortable ) , miss free breakfast will not able comment food hotel . shock reasonable mini - bar price . think $ 7 Jack Daniels . go NYC bar Jack Daniels would least $ 10.my girlfriend leave bag moisturizer face cream hotel room not realize Sunday . call hotel ask housekeeping find assure someone would call back immediately . two week went never hear . call back ask tell someone would check call back . wait hour call back say nothing find ask person clean room next day . people talk always courteous ' m sure go way , would nice call back first time . with say , would highly recommend hotel anyone . room well worth $ 199 rate would stay heartbeat price . think room easily worth $ 400 night , price range . 
 Apr 27 2009 	 Giant Room Great Service 	 review plan write one submit , stay hotel business death family need check early . say confidence hotel kind caring staff every person interact stay wonderful . the room huge , walk closet nice dressing area / vanity hair styling , makeup application , etc . comfortable bed , three window large bathroom bidet plus . also enjoy complimentary coffee service downstairs morning . order room service eat hotel restaurant comment . loved location , right street Times Square , Rockefeller Plaza theatre district , plus close enough office get nice little walk way . plenty food choice / coffee shop / deli nearby . the staff could nicer hear personal loss helpful early checkout , etc . concierge assist husband deliver flower room beautiful job . the negative think fact still bedspread use room . mine stain give four bubble cleanliness , use high end hotel use duvet cover sheet change guest never sit hotel bedspread . would dissuade recommend hotel friend stay future , something opinion change . 
 Apr 24 2009 	 Absolute Best Hotel 	 Michelangelo among good place stay NYC . go NYC couple time year fun . hotel amazing staff , large [ forNYC ] room , great king size bed , etc . continue book Michelangelo . miss flight [ weather ] Michelangel charge we first night , although obligation . really great place stay ! ! ! 
 Apr 21 2009 	 great location beautiful hotel free breakfast - could ask 	 Stayed Michelangelo April 2009 honeymoon . arrival kindly upgrade Junior Suite get room 12 pink rose congratulation card - lovely touch ! hotel absolutely beautiful room lovely , spacious clean everything need . there complimentary breakfast morning consist tea / coffee croissant / muffin / scone . nice appreciate . if fancy go breaky would recommend Red Flame W44th street - 15 min walk well worth : - ) New York amazing hotel put ideal location , heart everything yet quiet private . applebee happy hour must $ 7 dollar big plate nachos mmmmmmm . 
 Apr 14 2009 	 Pleasant hotel good location 	 stay hotel short trip New York . hotel conveniently locate mid - town short distance moma Saks around 10 - 15 minute walk Central Park . style traditional nice lobby bar area , good sized room ( bathroom nice rather luxurious ) warm service . rate pay ( $ 245 p / n ) would recommend . include coffee croissant breakfast . understand hotel michelin star restaurant attach not end try . 
 Apr 13 2009 	 Nice hotel good value 	 stay hotel several day . room spacious bed extremely comfortable . simple breakfast also include cost . location also good . staff courtious helpful . lucky cost hotel promote weekend deal time make hotel extremely good value . would recommend stay , especially able obtain one special deal . 
 Apr 7 2009 	 feel like family Michelangelo ! 	 recently get back third stay Michelangelo Hotel since first discover December 2007 , let tell , loyalty advantage . moment arrive , staff make feel like someone special , guest . walk front desk , not say anything . man know , give warm friendly greeting , everything ready . even give free room upgrade without even ask ! service throughout hotel top notch . everyone open enthusiastic , give feel generally happy return . special note go head Concierge , James Jolis , give wonderful dining recommendation , would stop talk theater show see not busy . even walk shake hand checking . entire atmosphere staff wonderful , overbearing . as always , hotel delight , remain home away home go personal New York theater trip . five show see ( Billy Elliot , Exit King , 33 Variations , Blithe Spirit , God Carnage ) 5 10 minute walk away hotel . 's perfect location , be close enough middle Times Square without actually chaos mob - like crowd right outside door . room meet usual high expectation stay , impeccably clean , mention incredibly spacious . 's wonderful feeling get hotel . step action New York , be treat warm invite lobby soothe classical music play classic painting hang wall . be calming , feel continue throughout entire visit . I ' ve stay hotel numerous time , never receive kind care attention staff recent visit Michelangelo . thank everyone help make trip memorable , look forward see return November . 
 Apr 6 2009 	 island calm theater district 	 not get convenient . hotel step theater district Rockefeller Center . husband first choice business . spend 3 night . business dinner go several theater box office see could get ticket . score good seat Wicked . single ticket often available day even hot show , especially week . book hotel sure ask quiet room , street . awaken garbage truck first night . hotel 8 story high , tall enough avoid outside noise . room generous size New York . also , coffee pot room ironing board . coffee service lobby every morning , serve little pastry . restaurant enjoy area Thalia 8th 50th , sure reserve . go theater eat 8 pm quiet . 's consistently excellent italian reasonable . also love Bar Americain , Bobby Flays new place . usually make show around 9 . 's trendy pricey . quick bite 's Duke 's 51st . right next door . 's amazing smorgasbord . also save $ 10.00 parking block two away , long not need privilege . 
 Mar 28 2009 	 great hotel theater location 	 hi return overnight stay . stay room 305 , side view 7th ave think 52nd . well start , book deluxe rm $ 260 . go onto quikbook find rate $ 199 rm . call Mgr . say would honor rate . upon check , inform rate $ 260 ( good thing keep response confirmation state $ 199 . ) Valet parking $ 40 able take car 1 time , without charge . hotel lobby beautiful walk room fairly nice sized rm . notice little wear tear rug stain duvet . ( many people really sleep top blanket anyway ) . spray lysol entire bed . ( hey live NY know germ ) air conditioning work properly though . bathroom little Tv , plus little sit area outside bathroom . the Bed nice firm , pillow soft . 3rd floor , hear taxi 's little , quiet . curtain also keep flash billboard acrooss street . there plenty place eat area . go bobby Flays steakhouse ( pricey ) , leave seat noisy . walk Ben Bensons steakhouse . expensive also , food fantastic . kind like Peter Lugers environment . serendipity great place dessert , hit one starbuck locate every corner . hotel offer tea coffee lobby , morning . would stay location theatre , Rockefeller plaza , Radio city Etc , regular room rate charge . 
 Mar 24 2009 	 excellent location fabulous large room excellent staff 	 travel time year NY usually stay hotel rate rather high hunt different Hotel . Michelangelo disappoint although review good - Rooms spacious add dressing room bed comfortable . complimentary breakfast lovely especially venture - enough set day croissant scones variety coffee suit everyone taste . location excellent - 2 block upper end 5th Avenue short walk Times Square , Radio City Top Rock . find serene return hard day sightsee one never disturb noise night . if downside small - separate shower apart hotel NY future . 
 Mar 24 2009 	 hotel sanctuary 	 second stay Michelangelo . first visit December 08 holiday great experience decide come back . walk lobby busy Times Square area like walk sanctuary . calm serene . ornately decorate stuffy . staff always smile willing help . upgrade jr . suite . room generously size although bathroom bit small . bed super comfortable , linen soft . also , room quiet . morning get free delicious italian coffee pastry . serve elegantly , guest settle beautiful lobby , read newspaper , chat . Times Square right around corner . December concierege recommend several great restaurant take advantage . hope return try house restaurant next time . 
