perfection 	 recently travel US Australia family reunion find Affinia exceptional . concierge amazing . Christopher helpful , enthusiastic professional concierge ever meet . concierge know name end first day ( 2 adult , 4 child age 4,5,6,9 ) greet we genuine enthusiasm . australian travel Chicago , hotel remind we home , ' fake ' american service , genuine care ! room big extremely clean . wish coin laundry nearby ! great pizza restaurant next door within 1 block hotel . australian want proper cup coffee ... french bakery nearby great morning meal ! well do Christopher boy Concierge .... thank make long trip pleasant ! 
 Great Boutique Hotel Perfect Location 	 pleasantly surprise nice small hotel . beautifully renovate nice restaurant . eat breakfast think Chicago price , bad . not complimentary coffee lobby pay cup room . not like , every hotel stay , coffee maker room free . great location 1/2 block Michigan Ave 3 block south Water Tower . 
 Jul 7 2009 	 love everything hotel - except broken elevator 	 husband spend 3 night Affinia Chicago absolutely love hotel . room modern , feel like suite . bed area set step refrigerator bathroom - everything clean comfortable . concierge help we find restaurant sight bartender rooftop restaurant recommend awesome blue club . location good , walker , problem take time walk around city . problem area encounter arrive late Friday night - around 11 pm - take we quite find restaurant area open still serve dinner ( bar food ) . many restaurant immediate area shutting , surprise we since be use restaurant open quite late . manage find place , though , open ' till 4 am , owner inform we believe one two restaurant open late area . our complaint within hotel half elevator work mean wait quite go room 23rd floor . also mean elevator come , uncomfortably pack definitely often post capacity , make little nervous . we would definitely return Affinia Chicago base experience , however expensive usually pay - able find & quot ; sale & quot ; discount website . 
 Jul 7 2009 	 Awesome Place ! make first choice ! 	 great location service perfect ! junior suite huge- 2 king bed plus hug bath sit area ... ask room ! Christopher , conceige , helpful friendly ; .. call name everytime come lobby . special feeling place ... also lovely bar rooftop . be small , beautiful . Danielle server evening make we feel right home . nothing great thing say place . parking expensive 48 / day , could self park walk hotel 3 block away . half price .. opt stay hotel parking easy . 
 Jul 6 2009 	 Affinia Hotel Chicago - Classy spacious OUTSTANDING Customer Service 	 every summer July 3rd , boyfriend book hotel city Holiday weekend enjoy spend time close friend . year try different hotel , year decide give Affinia try , awesome room layout saw post online . despite negative review long elavator wait , small room , booking , book stay regardless . we SATISFIED ! ! ! room third floor - room 305 . open door first time , shocked see layout nothing like picture online ( keep mind corner room ) . instead room length bowling alley ! ! ! huge long ! everything clean , fresh well keep . bathroom trendy , resemble mini nightclub awesome mirror colorful wall decor . besides satisfaction room , wander 29th floor find rooftop bar lounge . DJ play dance hit till 2 am . although drink quite pricey , fun scenic view Chicago make it . most importantly , entire stay treat like king QUEENS . catered whenever need . even pillow menu . choose like 10 type pillow , memory foam favorite , also magnetic pillow , pillow , audio pillow build IPOD jack , MORE.Not Customer Service ....... amazing . Christopher , concierge Friday Saturday nice extremely helpful . right next door , find Gino 's East Pizzeria . reason , Gino 's apprx . 100 person line wrap around building day . Christoper 's help , able cut line get seat within five minute ! service exceptional food good ! throughout stay Christoper ask we need anything , one occasion even fill water bottle . rain left ask Christopher bag would not get wet walk parking garage . hesitation , Christoper go hotel come complimentary Affinia Hotel umbrella free charge ! stay lot hotel never customer service like ! reccomend hotel anyone , look relax romantic stay fun getway . thank Christopher great stay Affinia Hotel Chicago ! 
 Jul 3 2009 	 love room - great Chicago location ! 	 stay two hotel Chicago get two different experience week . doorman bellman nice personable . always greet name . reservation king room default , nice switch we double accommodate family . 22nd floor room face south awesome view city . love studio feel elevated walk - in desk , well - stock mini - bar red foil bathroom- cool - great Aveda bath product . take two step room great recliner . bed comfortable . small well equip workout room . complaint slow elevator . management understand personal situation require early checkout . would definitely stay ! 
 Jul 3 2009 	 Love location Hate parking 	 pro : excellent location near north Michigan Ave , Aveda product , comfy bed , friendly bellmancon : tiny elevator , metallic orange wallpaper bathroom , $ 48 parking , $ 9.50 / day internettip : park $ 25 / day three block away public parking lot locate corner State Street Illinois St , diagonally across Courtyard Marriott . warm & amp ; balmy day Chicago not mind walk . also , Walgreens 24hrs around corner -- pick snack water fraction Affinia 's price . 
 Jul 1 2009 	 Thought Standard Room Suite ! 	 spend one night hotel way home train vacation . service exceptional . room amazing . good rate thought must upgrade suite find & quot ; standard room ! & quot ; never standard room living room , bedroom , separate office area , sit room outside bathroom . customer service superb check check . never sample brand , make first choice experience . 
 Jun 28 2009 	 enjoy much stay 	 stay 4 night hotel -- staff polite helpful ! concierge helpful arrange side trip restaurant recommendation . love hotel room immaculate extremely comfortable . Best Location close lot great restaurant easy get around town .. overall , would like come back Hotel 
 Jun 15 2009 	 great location pizza lover 	 pleased find Affinia locate next door Gino 's East Pizzaria . ' ve come Chicago year never try Gino 's , perfect opportunity . the hotel locate block Michigan Ave . lobby modern great paint Chicago skyline behind front desk . arrive Chicago late morning fortunate get room early . always check TripAdvisor booking room enjoy photo room hotel . pleasantlly surprise entered room ( # 704 ) find much large appear TripAdvisor . hotel tell tower room not big ( tower also slow elevator locate per early TripAdvisor review ) . book two - bedroom suite . bed comfortable , complete throw bolster pillow . bathroom gorgeous , large walk - in show Aveda amenity . a tip booking room Affinia . Register free concierge prior arrival , choose type pillow would like , along choice experience kit ( choose yoga kit -- free use stay ) . hotel beautiful rooftop bar , get crowded weekend . eat breakfast restaurant one morning order room service next . meal good room service presentation quite nice . evening concierge friendly helpful bell staff cleaning staff , not feel front desk staff friendly helpful . request , however , meet timely manner . also , request late check - out since flight leave early afternoon allow 1 p.m. charge think generous . back Gino 's - ate lunch Friday not wait 15 min . table , rest weekend , line block get . go , try barbeque chicken thin crust - 's delicious . I would recommend Affinia . like stay different hotel time visit Chicago , hard pass one next time . 
 Jun 14 2009 	 Perfect vacation spot 	 choose hotel review find , get great price Orbitz . stay five night first week June . perfect location stay Chicago . close lot great shopping . love friendly staff , especially doorman chat everyday . break chain window shade room first day , engineer room within twenty minute fix problem quickly . learn rooftop bar high open - air patio city ! also great view ! read review slow elevator go , prepare wait . tenth floor , run stair several time 7th floor could catch quick elevator service low floor . return Affinia next trip Chicago , would love visit one New York location . 
 Jun 14 2009 	 Perfect chciago visitor ! 	 hotel perfect ! staff friendly helpful could meet every need . concierge incredible , . absolutley nothing not know city . really contribute visit chicago ! room perfect sanitation , design , comfort . bed cozy big , nice , soft matress , room intreste contemporary design . room SPOTLESS ! maid never miss spot ! never service like ! be , wale distance magnificent mile , Water Tower Place , Chicago Tribune Building , Chicago River . be go to use public transit get many attraction though . 10 minute cab ride . couple flaw - not like elevator , request low floor . build office building , elevator not mean work hotel . elevator get really crowded . be small . another thing hotel across street hospital . siren scream lot around . overall , LOVE PLACE ! hotel would ever stay windy city ! stay ! 
 Jun 12 2009 	 Bargain boutique hotel stay 	 Chicago lot hotel choice reasonable price . prefer boutique hotel Chicago lot well . pick Affinia location near lakeshore want go morning run price unbeatable . six week trip , hotel website offer special rate . book prepay junior suite average $ 186 per night . the hotel locate Magnificent Mile great location shopping . short walk south Michigan Avenue take across Chicago River Millennium Grant Park also want go . proximity lakeshore pathway , location we ideal . the hotel number extra amenity include C Restaurant , 29th floor roof top bar , room spa services fitness center . lunch breakfast restaurant enjoy nice meal pleasant service time . roof top bar 29th floor provide good view way Millennium Park rooftop nearby building Michigan Avenue sipping drink soak bit sunshine . try spa service fitness center . the room comfortable . lot room spacious sit area flat screen tv could swung around face either bed sit area . bathroom , like boutique hotel , stylish small . vanity area help ease bathroom congestion . hotel offer pillow menu six different type pillow . try swedish memory pillow offer extra neck support supposedly ease tension . hard tell since vacation tension concern . hotel also offer experience kit . take stay fit one yoga mat , work dvd , etc . use much since run morning . also offer walk tour kit picnic kit . the room coffee maker coffee free charge . sample mini bar use room service dining . want ice wine glass request afternoon delivery prompt . housekeeping keep room clean . we find staff friendly helpful could fault service . arrive , give we city map direction . print board pass front desk day leave . doorman always welcome . the one negative aspect noise building construction next door . single pane window reduce noise level much , noticeable morning . want sleep late , , may want stay hotel . another minor annoyance elevator . one two elevator servicing floor 8 - 29 repaired leave one elevator often rather tedious wait get crowded elevator car . elevator suppose repaired end June 2009 . 
