Convenient 	 well locate 2 minute walk Tower London 30 second Tower Hill Underground Station 1 Minute Tower Gate DLR Station . Circle Line operation , not weekend , hotel well locate London . room overlook train line never hear anything . wife light sleeper never issue . bed comfortable , room large bathroom , good shower . staff helpful enough , friendly , probably owe limited grasp english case . continental breakfast include , basic good quality . toast bit let , put basket pre - make , bit cold . apart everything else good . not eat hotel dinner . plenty place around include nice place Marina near Tower Bridge . 
 Feb 25 2009 	 Excellent hotel highly recommend 	 book executive twin room weekend , Friday SundayThis hotel ideal location visit Tower London . Tower Hill tube station couple minute away . come station turn right hotel step away rightwe arrive quite early , far soon allocate room nice friendly receptionist check we could leave luggage hotel visit Tower London . come back afternoon allocate room 9th floor , Room 908We delight saw room . fantastic view Tower London . room everything could possibly need comfortable stay . spotless everything work perfectly . bathroom also spotless lot towel , dress gown lovely Molton Brown toiletriesWe dinner japanese restaurant hotel first night find meal good value tasty . unfortunately restaurant close Saturday night meal bar , also good . hotel financial district lot place around closed weekend . come breakfast first morning find queue breakfast second join queue , quickly deal staff bring we another part restaurant continental breakfast serve . continental breakfast really good . plenty choice cereal , croissant , pastry , fruit , yoghurt , cheese , cold meat , boil egg toast . certainly will not go hungry ! use swimming pool one day find change area pool well look spotless . unfortunately get time use spa gymI stay three Grange Hotels far good ! honestly say could find anything negative say hotel . find every single one staff pleasant helpful . really enjoy stay certainly return . hesitation recommend hotel other 
 Feb 22 2009 	 good value 	 spend night , friend . arrival impressed lobby staff helpful . give we free upgrade , room 6th floor view tower ( shame roadworks street level ! ) room large , floor ceiling window , make feel special . would not say room 5 * , standard 4 * .i disappointed breakfast - seat Sushi restaurant small continental buffet ( pay extra fulll English ) . toast toast kitchen ( rather provide guest toaster ) toast cold . it good price , will not complain , feel luxurious pay . not true 5 experience , still good one . 
 Feb 21 2009 	 lovely hotel clean helpful staff 	 stay hotel . english breakfast include , however , buffet breakfast good would upgrade . room good size , lovely bathroom . overall v impressed would book . good sized pool nice change room . bad te local tube close evening ( could temp ) , however , hotel staff arrange taxi evening time . 
 Feb 9 2009 	 Great Hotel great value 	 book hotel via Lastminute.com . price room £ 100 dissapointe . view Tower London Tower Bridge excellent . although hotel probably would not apreciate , 2 whetherspoon within 5 minute walk hotel , ideal cheap meal breakfast serve 1000hrs . I could understand negative comment make hotel leave . could find negative assume individual either specific reason complain use 7 star hotel . all expect extra room , include dress gown . 2 well pad pillow aircon / heating unit work properly . comment parking take train £ 13 taxi Charing Cross . 
 Feb 2 2009 	 nice business hotel 	 stay 3 night attend conference hold premise . really nice hotel nice large ( London ) bright room . stay 6 . floor . have & quot ; buisiness package & quot ; - choose do not want eat restaurant breakfast . prefer light morning meal wish save $ business lounge ok breakfast include - self service . eat conference luch restaurant . ok . 
 Feb 1 2009 	 perfectly adequate . 5 star . 	 stay one night . nice enough lobby , efficient check . standard room clean acceptable furniture already look worn cheap , even though hotel quite new . advertise 5 star not anywhere near . hand quite cheap 's nothing complain . overall , good value handy place stay be use sleep night London . 
 Jan 26 2009 	 depend room view 	 hotel perfect choice visit Tower London option stay overnight . really fault room hotel 's appearance , clean , spacious good sized bathroom amenity 4/5 star hotel . however girlfriend book room ' with view Thames . ' as booking make quite bit early usually visit London , one would expect wish grant . a view concrete wall not really fetch ! Guess 's bit hit miss , seem late book cheap price could get decent view early book dodgy one - something suggest book standard not high standard . other , would not put anyone - nice hotel without x factor ! 
 Jan 25 2009 	 surprisingly perfect city getaway 	 spend one night Grange City Hotel wish . upgrade massive suite . room spotless staff professional helpful . great value London £ 80 inc continental breakfast . great location - stone 's throw Tower Hill station Tower London . loved walk along side river . would definitely stay go back London . 
 Jan 21 2009 	 Wonderful Hotel 	 Booked lastminute.com get good price two night weekend away partner . hotel location superb soon walk Tower Hill Tube Station see top hotel , literally two minute walk around corner main building . first Impressions excellent staff helpful friendly . book superior suite , little disapointe first room view tower instead straight somebodys flat , room large long hallway nice bathroom good shower . lot clothing space nice tv.visited bar time lobby although cheap still good London price , lot private area sit cosy seat . order Room service late one night night town much choice 24hr service food delicious arrive . overall good 5 * hotel , defently recommend 
 Jan 21 2009 	 Hotel bump we last minute . beware - terrible customer service 	 Grange City look like nice hotel , advertise attractive rate . think twice book popular period like New Year etc . early December , book two night stay Grange City Hotel , could treat girlfriend New Year break . positive review TripAdvisor , feel sure would post glow review stay . but two week later – 22 hour check - reservation team cancel booking . I receive terse email Gerald Maneja ( phone call ! ) inform debit card ' invalid ' , booking ' release ' . call straight back , book go hotel full . the card detail provide correct . furthermore , Barclays tell attempt even make charge debit card . here be happen : hotel decide bump people would book early good rate , could sell last minute room high rate . , decide lie it . when complain management , basically say nothing could . end , choice book inferior hotel , nearly £ 200 per night . Grange Hotels clearly policy bumping early- reservation like mine , make room profitable last minute booking . may still decide stay Grange Hotels . , bear mind risk bump recourse . 
