unique 	 love staff atmosphere Monaco ! relax , whimsical , great seat area throughout lobby lovely fireplace . wine reception 5:00 great touch , even serve hor d'oeuvre . Grand Cafe honestly good food eat , long time dine pretty extravagant restaurant . highly recommend hotel ! furthermore , great location two block shopping ! 
 always pleasure 	 stay long weekend November 2009 , eight year first stay . hotel keep distinctive guest room ( bright candy - striped wallpaper , dark wood furnishing ) excellent , personable service . free wireless internet ( join Kimpton loyalty program , easy free ) bonus , evening wine reception . location couple block Union Square right next Curran Geary theatre - people might jib proximity Tenderloin , fine . catch bus Golden Gate Park right across street . 
 Outstanding 	 say enough hotel . ' want spoil everyone find , ' able get room ' able afford one . wonderfully comfortable bed bath , breathtaking lobby , large fireplace lounge wine serve 5 pm coffee 5 ( great jet lag ) . 24 hour room service ( albeit somewhat limit wee hour ) ! ! incredible gym spa area . street Union Square action shopping restaurant . theater next block . one complaint would restaurant ( Grand Café ) attach . one order waffle one continental $ 40 . however , many place choose . everyone go Dottie ' around corner ( line door ) . olympic almost next door ' look like much good pancake ! give try . finally , car , park around corner 24 hour lot Taylor . see reason pay valet service believe work twice cost . 
 girl Getaway Weekend 	 5 fellow mom recently stay Hotel Monaco recently 2 night , satisfied . research many hotel ( 5 woman please , ) , relieve everyone thrill w / the choice . 2 adjacent room stylish fun . comfortable bed w /duvet cover good - quality linen . room spotless spacious big city . bathroom nice bright w/ Aveda product . location good w/ popular retail store w / in walking distance . service curbside desk absolutely excellent . Staff allow we leave car late afternoon , w / no extra charge . really appreciated , get car , find parking couple hour would hassle . problem arrive back hotel dinner Sat . night friend want dessert drink restaurant , rather lounge . approach maitre have , abrupt informed restaurant eat dinner . , despite many available table . employee 's credit , inform host 's behavior next morning , shocked , ask we would stay another day . unfortunately , get back home . , Monaco terrific hotel , definitely back ! P.S . small dog welcome . hotel even keep photo album canine guest ! 
 Mar 30 2005 	 stay 	 pull front hotel check , 2 staff member ignore car . roll window talking . tell checking , one say & quot ; Monaco ? & quot ; . ( hello ) . said & quot ; Heck yes & quot ; , move car blocking let family pull next curb Hertz car . main guy never say & quot ; Welcome Monaco & quot ; , seem upset 5 suitcase 3 golf bag . said & quot ; would like leave bag car ? & quot ; . tell please put golf bag storage area . press . & quot ; be safe garage . & quot ; said & quot ; want inside . & quot ; ask head doorman , 40 yrs travel , never come contact someone Door top notch hotel . said & quot ; Yes & quot ; , change subject figure . finally get luggage room , room noisy request quiet room re . make pay extra Jr. Suite , inside room . call Manager duty night tell doorman , horrified send comp bottle wine , nice , would rather everything go smoothly . Doorman 's boss call apologize , reiterate Manager tell , door employee instruct remove everything park car , garage valet park Public own garage , hotel not responsible item leave car . next day @ 8 am , ask Concierge make we dinner reservation night . 1:30pm approach desk find happen , call . restaurant full . tell busy . never happen either , would call . convention Monaco , guess priority first help Convention guest , rest we go back line . eat breakfast French theme restaurant , ok , little overpriced . the room decor fabulous , clean . 6th Kimpton own hotel stay , one ' ve issue . bring goldfish room request , staff friendly . I definitely stay another hotel San Francisco . tell front desk upon checkout problem , tell sorry . 
 Mar 28 2005 	 unique pretty nice 	 overall , enjoy stay hotel monaco last february ... not know 4 star rating though . admit ' m kind picky , travel lot . upside : unique decor , staff friendly , walk distance everything , free wine cheese reception ( possibly weekend ) , good recommendation restaurant include new asia chinatown dim sumdownside : hard bed , small room ( maybe bc book priceline ? ) , somewhat worn ( canopy bed tear part ) , lot homeless people aroundoverall though , worth stay get good deal . 
 Mar 23 2005 	 unique decor anywhere . 	 attend meeting last week organize company , idea Hotel Monaco . have never hear . say unique , comfortable , stunning hotel ' ve ever pleasure checking . room decent size decor beyond outstanding . colorful , fun , cozy , warm inviting . front desk staff great . 's restaurant impressive two story ceiling incredible light fixture , display kitchen decent short menu . next visit San Francisco definitely stay Monaco . 
 Mar 16 2005 	 Better Large Hotel Chains 	 spend 3 night Monaco excellent time . professional service , complementary wine cheese hour ( complete Tarot Card reader Massage Therapist ; watch Tarot lady though recommend $ $ $ donation ) , pet goldfish room upon request , soothe lobby . room small , highly decorate beyond anything ever see Hilton equivalent hotel . within 2 - 3 block shop Union Square . definitely return . 
 Mar 13 2005 	 personal touch big city 	 excellent room , tastefully decorate , outstanding service , wine reception every night coffee morning . else need ? oh , interesting magazine read , check , outstanding restaurant , check , valet service , check , doorman get cab les one minute , check . Hotel Monaco San Francisco : warmly recommend . 
 Mar 3 2005 	 Valet park car Tow away zone throw ticket ! 	 hotel Dec 8th 2004 drive straight hotel arrive around 4 pm , drop car member valet staff front hotel leave company Christmas party via cab . month ago recieve parking violation notice explaining not respond original ticket hold soon place registration . ticket record 4:33 pm one corner hotel , day visit Hotel Monaco . husband contact senior staff member have'nt hear back since . recently send email gentelman provide even paperwork , hear nothing . be talk $ 75 buck . pay already avoid penalty 's principle . husband San Francisco buisness time first visit . resolve would try hotel , issue still outstanding , certainly return tell Human Recources stop book employee 's well . 
 Feb 17 2005 	 Fun beautiful great location 	 boyfriend suprise trip San Franciso birthday November ' 04 . lucky enough stay Hotel Monaco 's new favorite hotel . staff friendly , always smile saying & quot ; good morning & quot ; & quot ; good evening , & quot ; people front desk wonderful help we plan day trip Napa . also problem late check - out . room small , maybe 200 square foot , perfect two we . cozy , intimate romantic . white shutter , canopy bed line pillow ( comfortable ) , stuff chair ottoman , beautiful dark wooden armoire tv , video game system ( thing , sure one ) , mini bar drawer . boyfriend like iron enjoy cute comfortable bathrobe . bathroom small , well - stock Aveda product , enough room stuff , one massage shower . every night parlor downstair , hotel offer wine cheese , mini massage , tarot card reading . immensely enjoy location well - right heart Union Square . well within walking distance restaurant , theater , Chinatown , , importantly , Kate Spade boutique . wonderful experience definitely return . next time will request goldfish . 
 Feb 2 2005 	 Monaco simply marvelous 	 Loved hotel ! ! saw review & quot ; Great Hotels & quot ; Travel Channel . place lovely comfortable . people helpful nice . & quot ; Sparky & quot ; fish add request room totally cute . suite stay great jacuzzi tube . love beautiful Grand Cafe locate next door take advantage Spa Eq locate hotel 's low level . co - ed facility aware . would go back & quot ; hot second & quot ; ! Hotel Monaco simply marvelous , darling . 
 Feb 1 2005 	 Beautiful Hotel San Francisco ? 	 stay Hotel Monaco wedding anniversary , January 31 , 2005 . unusually gorgeous hotel exceptionally good personal service . booked & quot ; Ooh Baby Baby & quot ; romance package phone , include small suite , champagne personalize welcome note , 30 minute massage 2 . time pull turn car valet front hotel , check - in process escort Parlour Suite , treat like couple come Monaco year . picture web adequately represent stunning lobby upon entry , staircase go upstairs sufficiently describe photographed . likewise , suite spacious meticulously clean . huge bathroom deep spa bathtub , wife love . get chance peek room beautiful , regardless size . space throughout hotel work great interior design artistry fun walk around hotel discover outstanding art , design architecture . Grand Cafe restaurant also incredibly beautiful monumental detail , whimsical scupture oversized classic theater poster keep fact hotel restaurant heart SF 's theater district feature major play . echo sentiments reviewer write , couple small problem must note . restaurant , banana cream pie people talk , small piece pastry ever see , ' cept Oreo cookie . menu faire outstanding , banana pie particle withstand . also , noise bug , like one else say , ear plugs ask move . although surround neighborhood rich SF culture important world class gallery afore mention theater , street noisy hell . leave , leave belonging store possession walk two block Union Square shop . return , wait bag JESSE L. MARTIN Law Order came check . listen ask clerk Mr. Martin say , & quot ; yes , couple time . & quot ; pretty impressive hotel afford . many SF hotel ' ve stay , easily beautiful . will probably make annual anniversary trip , return beautiful Hotel Monaco . 
 Jan 25 2005 	 love ! 	 use live cal , try get sf couple time year monaco fav hotel ' ve stay far . everything fantastic , room decent sized , bed soo comfortable , nice bath product , great location , nice hotel staff , cool look decor , could go . would definetly stay . stay high room , 5th floor , less street noise 2 double bed perfect . check line various place good deal , call hotel book directly , will match price 's booking fee 's , cancel need penalty 48hrs hand . stay new year eve less 200 $ ! ! 
 Jan 7 2005 	 Great Location 	 review several small property San Francisco , decide upn Monaco . great time , wife two teen child . doorman , reservation staff excellent accommodate . Wine & amp ; cheese plus massage lady every evening . spa terrific , sauna , steam , jacuzzi well appoint clean . great room / suite call & quot ; Grace Slick & quot ; suite . king bed die . kid sleep pull sofa need new mattress . Bathroom , jacuzzi tub plus amenity excellent well coffee daily newspaper . Turndown plus chocolate , nice touch ! quite super fast elevator small property . room service one evening . basic pizza piece special banana cream pie beyond marvelous , great food .. especially room service . easy tv checkout , get car quickly ( stiff parking tarrif $ 35 / night ) , convenient come go . 2 block Union Square , great shopping eatery , cable car , etc . come back regular basis . 
 Jan 5 2005 	 wonderful Stay Hotel Monaco 	 stay Hotel Monaco December 28th New Years Day . location Hotel great , block Union Square . Hotel decorate beautifully cozy . several fireplace lobby couch armchair really nice day sightseeing , course wine cheese 5 - 6 pm nice . service excellent . question request handle immediately . example , read much goldfish request one make reservation . upon check , notice goldfish room . inquire front desk return dinner advise wait come . within 1 minute reach room , & quot ; Pee - Wee & quot ; deliver child 's delight . stay double double consist two double bed , nice bay window , mini - bar , 2 armchair . small enough room 2 adult 2 child infant ( even fit crib inbetween two bed ) .The bathroom / shower immaculate , towel thick fluffy , bed / linen luxurious comfortable . , great time would definitely stay Hotel Monaco next time town . downside check concierge want authorize entire stay credit card , $ 900.00 . balk , agree put hold 2 day charge card . 
 Dec 17 2004 	 sleek Cheerful Modern Hotel meet Charming Old World Luxury 	 Monaco good world : clean , modern , hip , well - run hotel modern & quot ; business & quot ; touch free wireless internet connectivity room intersect charm , beauty , friendliness , individual care old world luxury hotel . word someone stay couple night , plenty time observe . originally suppose stay Hotel Monaco 4 night last day San Francisco fractured leg need surgery . surgeon tell could fly 3 week surgery , stay Hotel Monaco 4 week . course stay , stay 3 different room able observe almost staff . enough word describe wonderful hotel staff . kinder group people imagine . go way make sure comfortable end write long letter President Kimpton hotel tell amazing staff . without fail terrific . room , ' ve read comment dusty room . say honestly recover reconstructive surgery leg , spend great deal time back 3 different room spotless . generally room housekeeping , whether , room always clean , fresh tidy . decor room bright , cheerful charming . first room one tiny room , small well - appoint , romantic luxurious not care . break leg , move handicapped room someone able join help take care move handicapped junior suite . room bit big face Geary Street bit noisy ambulance firetruck night . not let put , hotel downtown SF issue , put ear plug problem , ask quiet room Geary street . first room back first four night noise . wheelchair , make sure specify want roll shower one handicap room junior handicapped suite . bathroom goregous . well - run hotel . oh , first day check , ask goldfish . send one fishbowl little guy turn companion next 4 week . be great touch hotel full great touch . friend ask come back San Francisco would stay consider pain trauma go . far ' m concerned , would not stay anywhere else . 
 Dec 17 2004 	 Loud Blaring Music till mid - night week - day 	 Reservation San Francisco Monaco December 13 thru 18 . make reservation read glow review tripadvisor . 4th night stay , hear loud music 3rd floor room complain front - desk 9:30PM 10:30PM . tell we party part hotel control . offerre move we two seperate room split cost , could not get music reduce . , allege people complain music ! first time ever stay 4 star hotel music travel way low level three floor . get terrible head - ache , also end - up bad night sleep important client presentation next day . bad experience business traveller . I definetly will not stay monaco ever . 
 Dec 16 2004 	 Continues go hill 	 stay Monaco everytime travel San Francisco business . . room need major help - dirty , dusty canopy - mine even tear ! bad yet , staff use warm & amp ; welcome - last visit not want either . encounter cold & amp ; impersonal service every turn . bad , great hotel even year ago . many option San Francisco stay hotel past prime . 
 Nov 22 2004 	 MonteCarlo Jackpot Monaco Hotel 	 Monaco hotel San Francisco . concierge staff amaze helpful . front desk excellent . room attendant staff well ever . mention gorgeous decor place- street room tiny wonderful extra everywhere look . refer everyone , never book flight bay without book room ! thank Monaco Hotel ! 
 Nov 15 2004 	 Favorite Hotel 	 little pricey , good Kimpton ' ve see thus far . stay tiny 200 square foot room , would not want anything large . adorable cover canopy bed line pillow , plantation shutter , gorgeous little stuff chair ottoman ... lobby gorgeous . bathroom well stock . lack high speed room make business center complimentary internet . regret business alone stay . absolutely perfect romantic hotel . next time bring friend : ) 
 Nov 13 2004 	 Charming enticing ! 	 be look intimate hotel experience , place . room large elegantly decorate rich color quality linen . get two room , canopy bed face inner & quot ; courtyard & quot ; , across could easliy see neighbor ' activity leave shade open . room quiet bed comfortable , staff exceptionally helpful pleasant . evening snack hour provide unimpressive , stingy hor'dorves , & quot ; complimentary & quot ; massage turn require mandatory $ 10 tip 5 minute service . ' ve stay many Hotel Monaco hotel ' ve always great experience . time exeption . would not mind stay next time come back . 
 Oct 27 2004 	 nice hotel 	 Hotel monaco centrally locate . close transportation attraction . hotel small , nice art nouveau decoration . room small cozy . recommend would stay . 
 Oct 24 2004 	 Charming Boutique Hotel 	 return overnite San Francisco . travel previously great city past , always stay one large hotel chain , Hilton , Hyatt , Four Seasons , Marriott , Pan Pacific , Mark Hopkins , etc .... see hotel travel magazine , look charming read mostly positive review , decide worth try one night . property far exceed expectation sure return soon . since San Diego , opportunity return often . one important feature make property especially attractive time labor strike affect major hotel chain city , happy midst mess ! Monaco 's guest service excellent , amenity comfortable , jacuzzi Jr. Suite , soft linen comforter , even little goldfish name Ariel . , pleasant stay . highly recommend . 
 Oct 21 2004 	 Loved ! ! ! 	 husband , rigorous search hotel San Francisco decide stay Hotel Monaco . absolutely love ! staff great around pleasurable . return San Francisco , definitely stay Hotel Monaco ! ! ! 
 Sep 28 2004 	 Character Galore 	 first ever visit Kimpton Hotel . lot research trying find happy medium hotel would please friend use stay four season Ritz like hotel story ! although room indeed small ( room stay San Francisco ? ) common area character charm . 6 star friend find lobby Hyatts / marriots/ sterile cold stay Hotel Monaco . 5:00 wine bash allow visit , trade story , gather information guest interesting life . receive great tip lady original Beach Blanket Babylon first start . suggest dinner Caps Corner show . think go great food end eat drink cast show ! great surprise ! 
 Sep 24 2004 		 wonderful experience every time stay . staff accommodate knowledgeable area . great recommendation attraction , activity & amp ; restaurant slightly beat path . Area Director Individual Travel go beyond expectation time time . assist we need , last detail . feel confident Monaco always ensure need meet everything perfect . I please Monaco would highly recommend ! know good hand another guest hotel new find friend Kimpton Family . 
 Sep 22 2004 	 can not wait come ! ! 	 husband purchase hotel stay Hotwire.com . make purchase , find review mention hotel alright person negative experience ; worried 3 month make mistake select hotel . arrive room step fell love . room beautifully decorate , clean . pet stay we , smell . aveda product cool . enjoy pet goldfish " pia " . hotel staff nice always greet we inquire day . doorman well , always cheerful help we explore s.f . hotel great location : close trolley , Union Square , theater art gallery . definitely stay . 
 Sep 17 2004 	 Decadent ... cute way ! 	 quick , luxurious getaway , love Hotel Monaco ! plush , great service even give little goldfish glass bowl keep stay take home ! wine taste evening atmosphere elegant upbeat . 's beautiful big fireplace lobby curl front chilly San Francisco evening , can not beat location , right around corner Union Square ! definitely try cafe downstairs , not forget try David 's Delicatessen , , amazing blintze across street Geary ( swear not work , love place ! ) . Hotel Monaco worth money quick weekend even long ! 
 Sep 14 2004 	 Hotel Monaco : Fabulous Old World Charm 	 husband first stay Monaco July year fortuitous result Priceline bid . expect get room corporate type hotel like Hyatt Hilton absolutely thrilled end . last week , return San Francisco business / pleasure trip pay go rate stay Clift Hotel . disappoint check early move back Monaco . the Hotel Monaco warm hospitality decor . service formal stuffy : staff courteous , professional sense humour . door man real character always greet enter leave , leap energetically street flag pass cab . I feel really pamper , warm cookie check , complimentary wine cheese hour every evening , luxurious spa pet goldfish keep company room . yes , room little small , beautifully individually decorate really not matter . the public room sumptuous - fireplace paint ceiling lobby particularly stunning . Grand Cafe boast wonderful french fare reasonable price perhaps one magnificent dining room city . Petit Cafe delicious cheap food fun bar dinner drink . 's shame close early week - 11pm . this cheap hotel hotel class San Francisco certainly represent much well value next door neighbour , clift . unlike reviewer , not stay Klimpton Hotels can not compare , think Hotel Monaco San Francisco stand merit . 
 Sep 13 2004 	 place well ! 	 husband stay Memorial Weekend 2004 . absolutely love hotel . look whole look hotel love evening wine cheese w/ tarot card reader ! highly recommend hotel ! 
 Aug 20 2004 	 stay ! 	 stay Hotel Monaco August 17 18th . non / smoke double deluxe room 6th floor although room small , reviewer mention , clean , comfortable decorate nicely . housekeeping provide fresh towel nightly turndown along Aveda bath product replenish . feel pamper . 5 pm wine cheese reception pleasant suggest donation receive shoulder / neck message tarot card reading . arrive early sign up . the hotel convenient Union also BART station Powell . travel quite easily SFO BART walk everywhere . plan ahead map ready . check lobby Kimpton hotel come upon , glad pick Monaco . someone always greet we leave day dinner return . the good place far breakfast Dottie ' true Blue Cafe , right around corner hotel . yes , enter beginning Tenderloin district frightening homeless people , etc . however , exit hotel leave walk around corner ( Jones Street ) 's door . place gem food awesome . can not ' say enough . 
 Aug 17 2004 	 Romantic Hotel Monaco giggle 	 third trip Hotel Monaco San Francisco . folk think small equal bad hotel room , charming queen canopy bed Cynthia Rowley 's delightfully inspire decor fashion tiny room coziest romantic bed ' ve meet world . stuff pillow , luscious bedding even light inside canopy , bed special place look forward see . ' ve stay Kimpton property even large room suit one , none compare surprise intimacy gem . giggle hotel 's playful sense self pet - for - a - night goldfish way feel room . 
 Aug 16 2004 	 would like stay 	 ' m fan DC Kimpton hotel . compare groove Helix Rouge , Monaco feel bit tame , like nevertheless . the room small like kitschy / comfy decor small nice touch yoga basket . tenderloin district around hotel bit sketchy though . would incorporate complimentary european - style continental breakfast ( room service breakfast ok overpriced ) , would truly feel hotel heaven . America need hotel like ... 
 Aug 5 2004 	 PERFECT ! ! ! 	 return two fantastic night Monaco ! Suite sixth floor spacious San Francisco standard Jacuzzi tub HUGE ! ! ! fit two easily . decor beautiful . free wine hour start 5 pm perfect place unwind busy day sightseeing . location good ( two block Union Square Cable Cars ) . Staff Top great . name recognition almost scary . return sure . 
 Jul 26 2004 	 overrate stuffy 	 stay July 20 - 24 . hotel measure Kimpton hotel stay . ask fitness / spa locate never see concierge desk . exercise facility crowd small space hot tub way hot . room nice , definitely clean , except exception housekeeper , bellman , desk clerk , staff hospitable welcoming . hotel nice feel welcome Kimpton hotel . hotel give we free upgrade , fortunate , otherwise room would small . not bad experience , expectation Kimpton hotel . would try different hotel next San Fran -- maybe Orchard Serrano Villa Florence . restaurant nice service priority hotel . 
 Jul 16 2004 	 hotel deserve praise 	 stay last year feel guilty take long write review hotel deserve praise ! take wife two child . room good size , decor facility ( inc Goldfish ) excellent . eat restaurant downstair wonderful atmosphere , great service food . staff friendly , enjoy free wine tasting , tarot card reading masseuse Lobby .All lay back Californian . 
 Jul 8 2004 	 first class stay wonderful hotel 	 magical hotel . public room amazing , service friendly helpful , little extra ( include prt goldfish ) make bit special . room comfortable cosy . would highly recommend hotel , would definitely stay . 
 Jul 7 2004 	 another great Monaco stay 	 second Hotel Monaco experience ( Chicago ) . previous stay , San Francisco Hotel Monaco real treat . staff friendly helpful . room clean . bed super comfortable . restaurant outstanding . Etc , etc ... room small cozy . perfect San Francisco stay -- enough room sleep , nap , unwind clean . rest time spend explore city ! free wine hour lot fun serve great start point night town . additionally , free morning Starbucks help kick start day . the location nearly perfect . be short walk Union Square , turn short walk Chinatown Financial District . warn , leave hotel walk , turn right hit sidewalk . going leave drop Tenderloin , rather depressed area sf.all Hotel Monaco compliment great visit San Francisco . 
 Jun 17 2004 	 forewarn .... 	 decide stay hotel great comment ' ve read . unfortunately , experience . forewarn room extremely small . hardly room move around pull ottoman desk use nice chair sit . disappointing aspect stay bed . although bed comfortable , canopy curtain around bed ( four poster canopy curtain around bed ) wear tear many place . keep thinking would look much bright simply remove worn dusty fabric ! room look gloomy dark . , facility clean nice . btw , can not really enjoy open one small window overlook another room see , certainly see room . , room always dark gloomy . the cookie good though . 
 Jun 6 2004 	 romantic dine great staff 	 great oasis travel SF . staff always friendly , pleasant helpful . eat dinner Grand restaurant Memorial Day one delicious , romantic meal ' ve ever . ( special weiner schnitzel ) . waiter sommeli recommend excellent wine . even guest polite , interesting child ! hardly wait go back day . want try Kimpton hotel . a fabulous experience . top quality amenity room , include duvet , stereo , flat - screen television . 
 Jun 5 2004 	 Loved ! 	 look quick getaway S.F . find great deal air fare hotel price airfare alone ! Hotel Monaco fabulous .... people friendly . hotel lovely ... art deco era ! room small , european style still fine . nicely decorate . make sure ask gold fish take advantage massage .. will need walk s.f . hill . 
 Jun 5 2004 	 Amazing ! ! ! 	 ablow sur prize , second visit year ago business time weekend city . manager change know ! ! could stop dotting - want spoil sincerly genuinly check great little place . dont miss personal service present , poise staff . room small well appoint plush ammenitie - back ! ! Mike 
 Jun 4 2004 	 Hotel Monaco nearly perfect 	 almost everything hotel staff perfect stay . also get hotel Priceline $ 65 night steal . post rate $ 199 would also fair relative brand name competition 's rate . lobby : lobby beautiful . ' m sure descibe art term attractive . fresh baked cookie counter enjoy quick process . morning complimentary coffee adjoining room . early evening wine cheese , also complimentary . back massage service tarot card reader whose service free offer gratuity . room : room small otherwise flawless . everything look brand new . dent wooden furniture mark wall - do deep red gold stripe wallpaper . color bold accent show someone put much thought decorate . example artwork wall right size make room look like someone 's home - assume person excellent taste . large chain hotel stay recently , huge wall one small framed print . look silly . accent include huge mirror artistic frame throw pillow bed - comfortable - complement rest decor . room cable tv , cd player , hair dryer , iron , robe . soap shampoos Aveda . fee , high speed internet , fax machine Nintendo game . mini bar fully stock snack , alcohol , soda , water , etc . service : Monaco stand . doorman start help we immediately . ask we travel , hometown , etc . organize bag trolley . pleasantry direct we front desk . mention , check - in breeze . barely room bag arrive - bring another cheerful employee . not much interaction staff everything nearly perfect . come back one afternoon find complementary bottle champagne room mention doorman town wedding day . upon leave , bellman really friendly talkative . checkout breeze . definitely get impression employee really like job probably well compensate relative peer . friendliness never seem force . seem hospitality business choice grasp concept friendly promote repeat business . simple idea seem lose american company day . : hotel small fitness center treadmill , stationary bike , nautilus well large Jacuzzi , steam room sauna . guest room , everything clean well maintain . towel provide . also small business center . restaurant adjoining lobby , Grand Cafe . not eat get 21 Zagat always seem packed evening . location 3 block west Union Square within easy walk distance Union Square shopping district well Financial District . Public Transportation sort nearby . 
 Jun 1 2004 	 Loved ! 	 get price line $ 65 night . stayed 18th 22nd May . night stay , room advertise price range $ 220 $ 300 . lovely hotel . check fast , staff friendly door man ( Ken ) right helpful direction sightseeing etc . the room spacious , lavishly decorate trapping like mini - bar , steam iron , high speed internet access , fax machine , room safe etc . the free wine , cheese massage good . hotel locate central location cable car turnaround & amp ; Market St station block away . Deli 's , shop etc within couple block radius . however hotel border iffy area ( Tenderloin ) . doorman tell way suppose go . follow direction never trouble . for price $ 65 ( 4 star / boutique ) , absolute steal . can not get decent 2 star central location price ( know , check ! ! ) 
 May 20 2004 	 Fab Boutique -- esp . get web rate . 	 priceline boutique hotel SF day , get Hotel Monaco $ 65 night . rate expect key broom closet . instead , give gorgeous room -- everything brand new , fantastic appointment linen . service fine , staff friendly , restaurant downstair fun place grab breakfast drink . , be fine place -- would stay heartbeat . 
 Feb 11 2004 	 would recommend 	 hear nothing great thing Hotel Monaco Kimpton Hotel chain people know . husband decide stay SF location birthday celebration , disappointed vowed never go back . room TINY one thing , fixture bedding look wear pathetic . bed hole ! ' ve tell bed & quot ; heavenly & quot ; bed , anything . breakfast package , receive breakfast free next day . wait 1.5 hour food , call promptly tell staff call sick everyone behind . sorry , nothing . , finally go food , one meal miss ! one wonderful thing hotel give patron bathrobe wear stay . well , miss one . mind , not want accuse take getting charge left . needless say , would not never stay location , would not recommend anyone . however , base rave review location , would try hotel chain . 
 Feb 10 2004 	 Love Hotel ! ! ! 	 truly hide gem ! would recommend Hotel Monaco anyone want unique lodging experience . staff welcome , professional friendly . decor warm inviting - make want lounge & quot ; living room & quot ; day . coffee , tea cookie a.m. complimentary . mention , complimentary wine cheese serve evening- great way end long day sightseeing shopping . great location shopping ! definitely hotel choice next time visit SF ! 
 Feb 9 2004 	 beautiful Hotel Monaco 	 family find Monaco beautful Hotel helpfull friendly staff , make feel home enjoy stay bve back ! thank , Anne Marie Monahan 
 Jan 30 2004 	 Great Location ! 	 stay hotel December 2003 . suite nice size , little worn . however , fantastic location ... close everything ! minute away theatre , Union Square , Bart Cable Car . easy walk Museum Modern Art . restaurant premise excellent ! popular get reservation ! definitely stay ! 
 Jan 22 2004 	 really really want like hotel ... 	 look forward stay Monaco immensely .. read many positive thing , like fact & quot ; pet friendly & quot ; ( although bring pet ) seem eclectic atmosphere . frequent business traveller like try different hotel . ultimately , uncaring attitude lack service lead write review . first , positive ... request quiet room high speed internet meet . wait hour room ready , ( arrive 12 noon , understandable ) ... offer complimentary drink bar pass time , think quite nice . now , negative : attend wine hour first night ; addition wine snack tarot card reader well masseuse . patronize people , make clear & quot ; suggest fee & quot ; associate respective service . paid ask . prior retire evening request wake call next morning .... never come . the follow night , stop wine hour . time , gentleman greeting guest , pour wine . make point tell guest wine , snack , tarot card read shoulder / neck massage & quot ; complimentary & quot ; . approach gentleman alone tell experience night , tell fact pay fee . apologize , say fee solicit , ( admit problem past ) mention gratuity allow , & quot ; gratuity jar & quot ; visibile view . suggest speak managment , give name appropriate person . the follow morning ( receive wake call , albeit 25 minute late ) make arrangement meet & quot ; director & quot ; . reiterate experience ask money tarot card reader masseuse wine hour , person get defensive , state must mistaken , use term offer & quot ; complimentary & quot ; , gratuity allow . explained & quot ; complimentary & quot ; mean free , although suggest gratuity certainly acceptable , state fee something suppose complementary . look apology , & quot ; certainly speak people & quot ; ; thank let management know occur . get none ; make feel imagine whole thing . also mention wake call ( one never come , one late ) tell sometimes & quot ; mistake make & quot ; , still , & quot ; ' m sorry & quot ; . incredible . first stay Hotel Monaco , San Francisco . 
 Jan 20 2004 	 Pet Allergies Beware 	 husband visit San Francisco Christmas holiday decide stay several Kimpton hotel stay . second stop Hotel Monaco three night . check ask room upgrade available , additional $ 80 could upgrade whirlpool suite . choose make upgrade check suite . hotel advertise free high - speed internet access , room 2nd floor connection . several call front desk tell high - speed internet available upper floor . ask move could utilize laptop . suite move pet odor evident , opinion really clean , see leftover dog chew bone unter television cabinet . remember read online hotel & quot ; pet friendly & quot ; advise post sign front desk clerk room previously occupy animal . allergy pet hair advise room & quot ; pet friendly & quot ; move room option get away pet hair . two night deciede cut stay Hotel Monaco short move next hotel . would recommend hotel , would stay . disappointed consider see hotel one Top 100 hotel World Magazine . 
 Jan 9 2004 	 could not ask nice Place stay 	 great place stay San Francisco . room small , GORGEOUS romantic . staff beyond helpful , price reasonable hotel level , be two minute walk away union square -- ten minute walk nob hill , restuarant serve delicious food . I would stay day . 's fun atmosphere . room decorate unlike place ' ve ever see , make vacation SF feel really special . 
 Dec 11 2003 	 Love Cookies ! tiny room 	 stay Hotel Monaco 4 night October 2003 . pleasant stay . staff great , remember name throughout stay . tiny boutique room decorate neatly . bathroom oddly spacious . afternoon cookie scrumptious wine & amp ; cheese nice . arrive early wine & amp ; cheese would like massage tarot card reading . wait list . my one complaint not scale furniture size room . extremely small room , maybe 4x5 walk area . huge desk ( drawer ) , enormous entertainment unit ( 2 drawer , 1 fill thing buy ) , enormous nightstand - drawer giant desk chair . totally impractical , would guess mostly pleasure hotel , Theater district . actually move furniture around accomodate 2 suitcase place put unpacked clothing . take turn pack dressing . 
 Nov 18 2003 	 Slips Service 	 friendly staff attractive room . service lacking- wait 3 hour bag still deliver , book package item deliver . also request champagne deliver upon arrival . turn service . many slip - up price . expect service , try another hotel PLENTY SF . 
 Oct 16 2003 	 will probably go back 	 average room . bed comfortable Lots pillow . get late appreciate 24 hour room service . conceriege get great Thai restaurant within walking distance , good lead certain specialty shop . Union Square within walk distance . wine taste weekday evening comfortable atmosphere . immediate neighborhood little iffy . character still enjoy big chain . not 5/5 room little cramp outside wall mean enough street noise awaken several time night . go would try request ' inside hallway ' room . next time go SF will probably plan go back look around compare see anything else seem interesting . 
 Jul 27 2003 	 nothing compare ! 
 Jun 11 2003 	 3 night June 2003 
 Jun 7 2003 	 Loved Monaco 
 May 24 2003 	 Hotel Monaco Good 
 May 16 2003 	 stay away ! 
 Apr 28 2003 	 monaco rate # 1 go sorry ! 
 Apr 28 2003 	 Great Accommodations 
 Apr 13 2003 	 Best Hotel San Francisco 
 Mar 3 2003 	 Pampering Style 
 Nov 17 2002 	 American Montreal 
 Oct 18 2009 	 ? ? ? ? ? ? ? ? 
