sospa 	 hire spa group six us corporate entertainment event . everyone fantastic time . build beautiful . staff knowledgeable helpful . lunch good . successful day experience definately repeat . many thank SoSpa . the rating base cleanliness , location , service value not see room 
 8/10 	 struggle find top quality hotel London honeymoon night everywhere seem booked hotel ridiculously price £ 500 . previously stay one top central London hotel year ago , Swissotel , Howard Embankment , would prove benchmark hotel stay . pay £ 320 2004 top quality room swissotel , overlook river separate living room area massive bathroom . pay £ 500 + 5 * Luxury Hotel London seem pretty silly , see standard room , offer breakfast room look tiny photo . in end , decide go last minute.com secret hotel option coincidentally Sofitel select luxury room . quite happy luck day rang Sofitel directly tell luxury room fully book date ring back confirm reservation day , say last minute cancellation ............ hmmm ! anyways , tell special occasion arrive , receptionist inform upgrade junior suite delight wife . we take upstairs show room also champagne ice letter management , welcome we ...... say letter , mean compliment slip thought count . the room bathroom small thought would Junior Suite . would luxury room like wonder ? Toiletries Hermes brilliant rain shower . bed incredibly soft review describe . order room service , , expect , overpriced - club sandwich £ 16 + service charge delicious almost justify price tag . as stay one night , say breakfast option .... know be think & quot ; 's guy 's wedding night ... cheapo & quot ; would think £ 26 per person breakfast ...... starbuck job £ 3 pop 's 500 central London . sofitel simple thing well : staff friendly helpful , room exceptionally clean , bed brilliant food . however , beg belief top central London hotel cost much hate think tourist think price choose book . guess less , especially hotels bang central London . yes hotel bang central London , minute walk Piccadilly yet £ 450 + room ( remember book luxury room get free upgrade ) astronomical - not think stay would good give small , luxury room . however , get pay ; question top quality hotel term service receive , food cleanliness room room big enough not expect much basic accommodation option . come conclusion large proportion pay location . everything damn expensive place yet anything complain be treat kindly make feel welcome . would stay though think well hotel , offer well room space luxury money . 
 May 19 2009 	 live expectation - 2 strike enough 	 awful experience one - night stay last year . , hotel love couple friend convince give another try . several night stay Haymarket London early week ( also review - much well bet neighborhood London ) - come back one night decide good chance try sofitel again . it look like 5 - star hotel - really lovely . check gracious - upgrade previous bad experience . , get top - floor room find many window easy roof access ( obvious easy street access ) none window lockable . , ask move . pretty quickly upgrade inconvenience ( really stay - rate , would probably end prediential suite , be worth ) . room really well do can not fault questionable housekeeping . good bed , excellent bathroom , convenient amenity . fact , not couple really nasty stain bed coverlet ( vile ) , would seem every way 5 - star hotel room . the next morning , receive 4 wakeup call . two have schedule two make sure wakeup call receive - bit overkill , conscientious , one problem first trip wakeup call not come . then , meet business associate breakfast lovely restaurant - , unfortunately happen business breakfast last stay - question restaurant front client would pay breakfast . simply say , will take care breakfast us charge room ( sufficient ) - staff not seem speak much English keep insist breakfast include rate ask business associate staying room . unprofessional embarrassing . service mix throughout stay - good front desk staff\clueless concierge ; good bartender\clueless bellman . all - place disappoint service disjoint . far well hotel London even neighborhood . 
 May 17 2009 	 nice thing point ....... 	 firstly anyone know London extremely expensive city stay , especially central location . St James magnificant building location could not well . lobby area front desk quite small , maybe quite would expect pricey respected hotel . stay classic room one night fine . room lot small expect room central london generally . stay couple day might feel uncomfortable . also see window unless stand chair high huge amount natural light get room particulary well . obviously fault hotel date building . Personally Sofitel charge night stay probably expect room actually get , hey ho , that s London ! money option , sure go ahead stay . cost need somewhat control find good cheap hotel area . remember expensive do not mean great ! ! conclusion , great hotel . remember probably will not see £ 250 - 300 pound worth hotel room night ! ! ! 
 May 12 2009 	 Fantastic hotel 	 stay week end girlfriend recommend . location superb , easily walk everywhere room top notch . really think hotel worth extra price compare other . 
 Apr 28 2009 	 wonderful Room ! 	 stay Sofitel , St. James highlight trip London . the room comfortable quailty furnishing beautifulmarble bathroom . terrific location , helpful staff quietperfect retreat . 
 Apr 28 2009 	 simply good ! 	 stay business conference , say be one perfect hotel all - in - all . room clean , staff ( extra ) friendly , location central london.2 thumb ! 
 Apr 24 2009 	 will add accolade Sofitel St James 	 stay six night enjoy stay much . not think ever stay hotel quiet Sofitel St James . noise , period . housekeep impeccable prompt . first time not say & quot ; oh nice back bed shower & quot ; shower mach 10 force bed sublime . Hermes toilterie devine . we Sunday brunch say bring huge appetite lot food . excellent . there free internet use computer business service often even print boarding pass additional charge . the flower lobby stunning . simply good hotel stay London highly recommend . 
 Apr 24 2009 	 great service 	 stay 2 young child . the service exceptional , location fantastic . 2 min walk trafalgar square short walk Buckingham palace . the hotel quiet , anything need deal quickly . even leave chocolate cake room son 's birthday . would definitely stay . 
 Apr 20 2009 	 amazing hotel ! good ' ve ever privelage stay ! 	 wow find ! 's really surprising consider cost hotel- cost £ 220 per night ( deluxe room think slightly expensive standard , large room ) stay 2 night . birthday treat not kind thing often ! lovely feel money be get first class service would expect little touch make stay special ! ' ve stay £ 150 per night London hotel far inferior , location quality one , personally would rather pay extra experience ! Sofitel St James locate end Pall Mall close Regent St , also around corner Trafalgar Square National Gallery . back back Majesty 's Theatre Phantom Opera show ! location wise , could not well ! everything hotel luxurious classy , grand reception 's floral display professional staff quality 's sausage breakfast ! little touch place , umbrella bedroom ' Rose Lounge ' reception , equip bowl rise pou pourri vase fresh rose lounge really smell rose ! ! bed turn night slipper put bed us service second none . everything touch high quality bed comfortable ever sleep ! breakfast well ever eat . next book exclusive hotel would recommend anyone willing pay price would like perfect hotel perfect spot sightseeing London ! 
 Apr 19 2009 	 grand classy hotel great central location 	 nice room bathroom . wonderful lunch restaurant . staff friendly professional . great attention detail hotel . 
 Apr 18 2009 	 Perfect location stunning hotel 	 Sofitel St James top line husband 's recent trip London . perfect location , walk distance Buckingham Palace , Big Ben , Parliament , Westminister Abbey . side Trafalger square Picadilly Circus . Covent Garden street ! great area shop well , designer department store galore ! 3 tube ( subway / underground ) station within 2 minute walk . perfect someone see sight . staff conceirge helpful . get 9 am show room immediatly . concierge make dinner reservation night ( anniversary ) even tell restaurant celebrating bring we special dessert ! also help train schedule trip Dover . the room spacious lack lot closet space . 2 small & quot ; wardrobes & quot ; not hold much . bell boy offer another luggage rack use large windowsill makeshift dresser . bed comfortable , lot pillow , comforter overlay mattress . room come stock robe slipper . bathroom toiletrie Hermes although smell nice , strong . Rose Lounge perfect spot traditional afternoon tea , complete harp player . tea literally bottomless , sandwich , scone french pastry divine . dine hotels restaruant . would reccomend hotel anyone stay next time London . 
 Apr 18 2009 	 really good value money 	 great time business , would recommend it . G [ -- ] 
 Apr 14 2009 	 Excellent stay Great Value High end Hotel 	 hotel ideally situate 3 minute walk Piccadilly Circus quiet location Pall Mall . room well appoint , well maintain reasonably sized . bed , like Sofitels , comfortable . last stay find service people bite reserve stay warm , friendly helpful . free internet room although pay super high speed regular connection reasonably quick fine . one quibble , although stay week , still charge 2 pound 15 minute access computer business centre order print boarding pass .Our room excellent value London & quot ; luxury & quot ; room good size 200 pound night , include taxis . we eat restaurant one evening good . usual expensive London hotel breakfast available ( 24 pound plus taxis ) .We stay Bentley Hotel 41 enjoy prefer hotel value location . 
 Apr 13 2009 	 bad 5 star 	 stay 3 night last week . nice 5 * like four season . give room upgrade . great location thing take away 5 * . furnishing top quality one towel one day fray shower door close properly . nit pick 5 star 5 * restaurant quite nicewould recommend get deal . staff nice well tho . 
 Apr 13 2009 	 Excellent hotel great location 	 nice room – never sleep well hotel . quiet – good bed – clean , stepped minute , clean . prepared room night also ( bring slipper , prepared bed , put water + + ) – stay Deluxe room ok view ( building ) .Excellent service , tough eager sell upgrade … .Location , location , location – smak middle everything . close walk tube , shopping , theatre course pub ' restaurant . all good hotel – diden ' try restaurant hotel , sure ok . cost , afford – book hotel 
 Apr 12 2009 	 Great Hotel Great Location 	 choose stay hotel base review find Tripadvisor , definitely choose right . staff friendly ( many french ) , lobby elegant , room , even though large , exactly would expect Sofitel . breakfast good lot dish choose . free Wifi every room lobby . the location hotel good . walk distance Soho , Trafalgar Square , Bond Street , Oxford Street . underground station Piccadilly also 8 minute away . 
 Apr 10 2009 	 immaculate hotel great location staff problem 	 love hotel . not think ' ve ever use word immaculate . word describe room . room spotless . location centrally locate tourist site . 's upscale neighborhood . time , reasonably price get return . concern staff . helpful direction recommendation . room not ready check - treat us afternoon tea wait brief 15 minute . question room rate - inconsistent book originally . inquire , staff little rude take forever get back . say , would still recommend hotel feel though benefit outweigh drawback annoying staff . 
 Apr 4 2009 	 Excellent service lovely hotel great location 	 stay Sofitel St James twice March . business meeting part UK return weekend . female travel solo feel comfortable . staff discrete , polite helpful . time think France , staff speak French . costly side get pay . room service yummy , bar cosy breakfast day delight . reviewer say bed die . room stayed beautifully decorate bit small side . , previously state location brilliant . recommend everything hotel except afternoon tea , Rose Room beautiful scone cake disappointing price 
