review 	 hotel nice . concierge great well staff bar / restaurant . staff front desk horrible ! ! ! ! wait 1 1/2 hour pass check time finally go third time room ready we . hotel beautiful , room nothing special , hotel close everything ... include hospital across street ambulance siren leave arrive time night ! ugh . 
 Jul 22 2004 	 Nice Hotel 	 decide & quot ; step & quot ; well hotel standard Holiday Inn take kid Chicago day . sign & quot ; Request & quot ; service ahead time get us free upgrade junior suite personalize amennitie . location great close shopping / dining . navy pier museum $ 5 - 7 cab ride . Valet service extra $ 38 / night since really public parking , add room rate . will get unlimited use car , will need let know 20 - 30 minute ahead time . pool small , kid not care . 
 Jul 21 2004 	 okay 	 stay 4 night ( Sun . thru Thurs . ) Wyndham . location close convenient Mich. Ave . shop many restaurant . Corner Bakery across street breakfast great . room nice plumbing problem require maintenance visit room daily first three day . housekeeping prompt request extra towel . check - in interesting name number guest never list correctly room , neither check - in upon check - out despite lengthy amount time spend try correct front desk . nice amenity bathroom , soap , etc . hot tub ( cap . 6 ) pool small . try restaurant inside hotel rave review . bell service possessive cart . would let we use one bring luggage . overall , okay - would stay Priceline rate ( can not recall amount pay ) . 
 Jul 19 2004 	 Weekend Chicago 	 stay Wyndham long weekend . location great room clean , much view . complaint hotel bar . late night terribly understaffed . take long time get serve . order drink snack ( small pizza share ) . pizza absolutely terrible . eat little . might stay location price good , would recommend eat somewhere else . 
 Jul 8 2004 	 disappointed 	 location hotel great . 's close shopping well attraction . extremely disappointed service every department front desk valet parking . arrive one hour prior post check time expect room would ready . clerk front desk take information fill registration card . ask return one hour later room key . return tell none registration information post go entire process well wait additional 30 minute room . room clean exception bedspread one bed filthy soiled sheet . would stay hotel . 
 Jul 6 2004 	 Loved Wyndham 	 amazing size suite . huge queen size bed one room enormous sitting room . plumbing work ( 1st US hotel ) . pay internet , save finding somewhere , bit complicated use keyboard mouse . use gym , pool lot little one give miss . English want tea milk , little deli street towards Lake front half - pint carton ice machine corridor work . make mini fridge use ice bucket room . excellent location , stay . corner shop bakery breakfast , try pop Sunday afternoon understaffe , pack every morning must something right . 
 Jun 20 2004 	 well Average 	 stay 6/15 - 6/18 . great location Streeterville Mag Mile . walk Navy Pier ( 15 min ) , Billy Goat 's ( 5 min ) & amp ; Rush Street ( 25 min ) . convenience store block South . room clean furniture wear . upgrade 2 - room suite check - in . complimentary wireless web access , local & amp ; domestic long distance . pool ideal small child . large hot tub , sauna steam room . 6 elevator minimal waiting . stay . 
 Jun 17 2004 	 Disappointing overrate 	 Stayed June 3 , 2004 . second time stay hotel , last 5 6 year ago open . diappointe poorly hotel keep far room concern . less 4 - star rating consider room . addition , unlike review check prior booking , wall thin could hear neighbor & quot ; talking & quot ; regular volume . staff wonderful trying find another room quieter , hotel full room visit marginally well . location great , look 4 - star property , look elsewhere . also , watch high breakfast price , child order orange juice buffet line cost $ 5 . well walk across street pay moderate price Corner Bakery . 
 Jun 9 2004 	 staff unfriendly ? 	 book hotel read excellent review disappoint ' m afraid- ' m difficult please . main problem reception staff seemingly disintereste guest , manner hardly welcome . also concierge staff attitude except guy call Ryan helpful . anyway , room ok , location good bakery across street great breakfast . 
 Jun 3 2004 	 Excellent location nice quiet inside ! 	 stay weekend , LOVED location/ proximity great Michigan Avenue shopping . also two block Lawry 's Steak House ( excellent also ) . room quiet food restaurant good , although breakfast buffet $ 16 per person ( sure great value Dunkin donut block away ) . negative small pool / workout area slow valet service retrieve car . otherwise , great location nice property . walk distance Art Institute , Navy Pier , Aquarium , etc . 
 may 25 2004 	 Great Location 	 Booked quikbook recieve Wyndham request treatment . bathroom large clean , everything great condition . location prime taxi & amp ; shuttle easily find . good eatery across way . wait long elevator either . complaint enough item stock number room number bed request meet . 
 Apr 22 2004 	 outstanding great bargain ! 	 absolutely excellent hotel great location . room ( standard room two double bed ) first class large . Feather pillow comforter ( unfortunately , wife allergic - staff appear within minute fulfill request non - feather bedding ) . bathroom marble , sparkle clean , huge . even though share floor group high school student sort field trip , never hear peep ! public area beautiful . $ 109 per night ( get parking , matter , perhaps want put car public lot ) . 
 Apr 15 2004 	 BEST Chicago 	 stay Wyndham Chicago one week around Easter find good hotel stay Chicago , live frequently travel . location beat - one block away fom Magnificent Mile . room large , nicely decorate bathroom huge , also extremly clean . staff friendly , especially front desk concierge . good restaurant area , recommend Kamehachi sushi . change hotel Chicago - trip , , stay Wyndham 
 Apr 14 2004 	 Great Location Great Stay ! 	 fortunate enough reserve room Wyndham Chicago really excellent rate . never stay , asure intend make Chicago headquarter . the location extremely convenient Michigan Ave . ( Magnificent Mile ) , Navy Pier , Art Institute , short cab ride away nightlife Rush St. Old Towne . least 10 restaurant block surround hotel , reasonably price Chicago . the staff hotel friendly helpful . check - in breeze since join Wyndham - by - request frequentgu program . find arrival gift wine , cracker , cheese await we . room clean , well appoint , bathroom huge nice marble floor . room extremely quiet despite across street Northwestern Memorial Hospital . I stay number downtown Chicago hotel ( Westin , Red Roof , Hyatt , etc . ) find one convenient . book on - line , get unheard rate Chicago . I highly recommend Wyndham Chicago . 
 Apr 6 2004 	 good choice 	 take 5 kid ( age range 5 14 ) 4 adult Chicago one night stay . booked room Wyndham receieve web rate 1 double 2 connect double . room $ 116 night include tax locate 11th floor . great bargain nice room . bathroom spotless . complaint hear pool size . kid want big pool . hotel close everything short taxi bus ride away . join Request program couple comlimentary Coronas wait check . fight kid Snickers bar . staff helpful especially , bag handling staff . great place great price . 
 Apr 5 2004 	 Nice hotel great location 	 stay 1 night last week . superior many hotel class . Booked Orbitz rate queen king bed end nice room size . wonderful pillow , armchair footstool , ergonomic chair desk . bathroom spotless . fairly good wall insulation despite room location step away elevator . dinner Caliterra restaurant . well expect hotel restaurant price affordable neighbouring place . hotel , breakfast rip - off not time run across street Corner Bakery . location prime hotel , 1 block east Magnificent Mile . overall , enjoyable stay would stay . 
 Mar 23 2004 	 good everyone say 	 first class way . Join & quot ; Request & quot ; program little extra , include room upgrade available . room huge location excellent . service valet concierge outstanding . good rate available web site . ( King Suite less $ 100 per night ! ! ) 
 Mar 22 2004 	 great location 	 daughter ( 20 ) stay March . great location . close everything Corner Bakery across street definite plus ! suite huge , although quite stuffily decorate . bathroom marble large . everything clean spotless , , nothing remarkable . check time 4 pm convenient . lobby small , swim pool whirlpool . room dine awesome , especially Fruit & amp ; Cheese Platter . concierge find we last minute great seat Blue Man Group ; great time , thank ! ! ! 
 Mar 9 2004 	 Great Stay 	 Wyndham perfect centrally locate place daughter travel North South side Chicago visit college visit museum . subway several block away , city bus along Michigan Ave . block away . also centrally locate gorgeous shopping district Magnificent lively weekend close Navy yard miss visit . use public transportation everywhere , arrive via airport , take blue line ( to / from O'Hare ) Clarke - Lake cab hotel $ 5 . well trying find subway stop 's block hotel bag tow . room clean , pretty large enough , beautiful confortable marble bathroom , newspaper deliver every morning include Sunday . concierge , desk , bellman 's etc helpful even print document along airplane boarding pass . * ( Wyndham request come wine , cheese bottled water , get one free breakfast room book online- also , free fast internet service laptop , phone call etc . ' by request ' card . ) corner bakery also perfect breakfast break time . 
 Feb 23 2004 	 wonderful weekend 	 wife stay Wyndham Hotel past week , attend Dental Convention . direct forum ( thank ) sign Wyndham Request , amazed room . wonderful suite ( french door bedroom , etc ) great time . location ideal . 's right Apple Computer store , Capital Grille , Dunkin Donuts , could get well ? enter hotel little odd . entrance street level nice & quot ; bellman & quot ; station - marble , steel , etc - take elevator 2nd floor actual lobby registration . , connect another elevator way another hall access room . tad inconvenient , remotely bad enough keep stay . perfect hotel -clean , cordial , extremely comfortable . 
 Feb 6 2004 	 First - Class 	 hasband decide Christmas present would spend night downtown . last year stay Ritz - Carlton , year decide give Wyndham try read great review . joined & quot ; Request & quot ; thrilled price comfort suite . dissappointe able get early check - in happy bar service restaraunt . room huge beautiful service great . doorman whistle taxi ( something do Ritz ) . location perfect , walk main drive ! 
 Jan 30 2004 	 Great Place 	 everything everyone say true . great hotel . make sure join wyndham request . arrive 10 am , much check time . upgrade large suite doorbell kind great stuff . also get fruit plate , bottled water corona requestd . complaint , need toothbrush toothpaste call several time , never get one . okay Wyndham request . Ill stay wyndham wherever travel . 
 Jan 28 2004 	 great Stay ! 	 sign Wyndham Request later inform book Hotwire ineligible great benefit . go day surprise trip boyfriend . however , special occasion , ByRequest lady upgrade we junior suite really nice . room nice large usual bathroom . excellent water pressure big ' ol tub defrost . thing not think great concierge . pretty weak recommendation attitude make want ask question . good workout facility , cute heat pool , steam room sauna . would stay time spring ! ! 
 Jan 1 2004 	 good stay would highly recommend 	 wife stay Wyndham Chicago day Christmas . hotel could want ask Chicago . receive free suite upgrade surprise . room huge comfortable . everything clean well . location hotel perfect , slightly Michigan Ave . would also recommend & quot ; Corner Bakery & quot ; right across street hotel . place perfect breakfast lunch . wide variety food , pastry , drink . overall pleased stay will not hesitate stay Wyndham Chicago . 
 Dec 23 2003 	 Great Hotel 	 get fantastic deal stay 2 night $ 99 3rd night free . make reservation find Wyndham request program able tie reservation . wine , cracker , cheese , bottled water wait arrive . room huge , could not believe get room price . though get month advance prepay . not get free internet though not honor company go make reservation anymore . one day not finish make bed , sheet clean towel . call room service finish make bed . come promptly finish make bed . everyone friendly helpful . 
 Dec 21 2003 	 great Stay Wyndham 	 stay Wyndham Chicago weekend Dec 12 . mom take daughter American Girl Place Christmas . location could well . be right Michigan Ave central place ... walk everything . ( nearby next block little breakfast cafe - & quot ; something & quot ; Egg Cafe . forget first part - ask staff - recommend ... great hot breakfast . inexpensive . also recommend Grand Luxe Cafe lunch dinner Giordanos well stuff pizza ever . ) staff superb hotel , room large , clean good value . good view room . thank make important trip enjoyable . 
 Nov 19 2003 	 Nice Hotel 	 go shopping trip two girlfriend great time Wyndham . expectation high read review . join Wyndham Request club suggest reviewer , fully expect upgrade suite disappoint none available . , however , get Diet Coke & amp ; Ms request join Wyndham Request . bakery across street great spot breakfast : relatively cheap quick . doorman work great - very friendly helpful hail cab recommend restaurant . location perfect shopping . walk Michigan Ave attraction problem . $ 189 night hotel satisfactory . guess much money expect big room , overall good experience . would stay . 
 Oct 26 2003 	 Wonderful Wyndham 	 Better expect . Wyndham wonderful . spouse go weekend treat well even though huge conference go hotel . room spacious , clean , far away elevator like request . check early desk hold bag go sightseeing ( 9:30 - check 3:00 ) . return hotel early afternoon , room ready like request . eat Cala Terra , restuarant hotel far one good meal ever . waiter great personable - help make evening special even go way obtain complimentary ticket us jazz bar . great service atmosphere . definitely stay Wyndham . 
 oct 9 2003 	 Wyndham silver line dark rainy cloud ! 	 family take trip Chicago see Cubs play -- unfortunately game rain ticket not honor make game . needless say distraught several hour rain finally arrive Wyndham . get room priceline $ 85 night . minute walk beautiful spacious room disappointment baseball game go . sight ! ! room ( suite -- ask upgrade reading info site ) big first house ! elegant marble bathroom even telephone ! far comfortable bed ' ve ever sleep . cheese , cracker bottle champagne greet we room . every request meet quick response . upon morning arrival hotel gladly hold bag room ready . exercise area pool add treat travel child . location perfect -- walk take train everywhere save cab fare . close Navy Pier American Girl Store ( must - do girl ) . would definitely stay -- even full price ! 
 Sep 30 2003 	 Wyndham ByRequest way go ! 	 refer Trip Advisor , decide book Wyndham . Book directly website - you get good deal prepay . Got weekend rate $ 155 / night . get another tip website , joined & quot ; Wyndham ByRequest & quot ; free - get free upgrade Suite cheese , cracker wine wait we room get . location hotel great - just around corner Magnificient Mile . good workout room staff polite helpful . never eat hotel b / c & quot ; Corner Bakery & quot ; across street , great spot breakfast . would definitely recommend Wyndham plan stay one future . join ByRequest make difference experience would recommend . 
 Sep 6 2003 	 great hotel 
 Aug 23 2003 	 Loved Wyndham ! 
 Jul 25 2003 	 great location Great Room 
 Jul 24 2003 	 Loved Stay Wyndam 
 Jul 11 2003 	 wonderful hotel wonderful experience . 
 Jun 30 2003 	 Beautiful Hotel 
 May 22 2003 	 lovely hotel . would stay . 
 Dec 13 2002 	 Surly Front Desk - need Cust . svc training ! 
 Nov 3 2002 	 comfy big bed ! 
 Jul 18 2002 	 Great Hotel ! 
 Oct 1 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Jul 11 2009 	 Super Hotel 
 Dec 29 2008 	 Ottimo hotel 
 Dec 10 2008 	 überteuert 
 Nov 19 2008 	 bell'hotel ottima posizione ! 
 Oct 7 2008 	 Wyndham Chicago beste Lage große Zimmer gepflegt 
