perfection 	 family 3 stay 4 night long Thanksgiving weekend . warmly greet Frances check we without problem . room excellent , yes , window - seat cool ! nice cuddle blanket cup coffee watch shopper scurry around street . we traditional Thanksgiving dinner McCormick & amp ; Schmick 's , less 5 minute walk hotel . starbuck coffee lobby morning wonderful , wine reception evening nice . hotel set Wii kid enjoy parent sip wine relax . the hotel amazingly friendly comfortable . everyone staff smile face , even Thanksgiving day . mean much . finally , location . else say ? perfection . 
 Good need little updating 	 ' ve stay hotel time always good experience . recent trip , notice floor smell musty . room good wallpaper peel wall generally need little TLC . 
 Jul 4 2009 	 simply ... awesome ! ! ! 	 trip plan daughter graduation college . wife , daughter , great time . Monaco staff excellent . location great , close everything . would definitly stay recommend everyone . wonderful room view overlook river 2 window seat , great stay . thank Kimpton , Thank Hotel Monaco , Thank Chicago . 
 Jul 1 2009 	 Fun hotel great location 	 great stay Hotel Monaco . Rich , concierge duty check , welcome helpful , find rest staff friendly helpful well . room clean well appoint , love window seat . less 10 minute Grant Park State Street Macy 's ( check ceiling ... fantastic ! ) , close train well . not try food affiliate restaurant ( South Water Kitchen ) restaurant nearby want try . overall , great experience , next time be Chicago , will sure stay . 
 Jun 29 2009 	 one word ... '' fabulous '' ! 	 stay Hotel Monaco Chicago 3 night ( 6/22 - 6/25 ) . purpose trip celebrate daughter 's 21st birthday & amp ; sightseeing / shopping . previous visit stay Drake Hotel ( also nice ) staff Hotel Monaco go way make sure trip memorable well comfortable . book Priceline get great rate -- drawback can not guarantee queen room ( Priceline 's fault -- hotel ) . however , front desk cheerfully upgrade we King Mediterranean suite ( Room 905 ) partial view river . pad window seat ( 3 ! ) amazing massive jacuzzi tub -- relax . young daughter actually prefer sleep window seat sofa bed . in - room coffeemaker late - riser ( coffee serve 6am-9am lobby ) quick call produce coffeemaker use throughout stay . do not turndown service night stay ( slight negative ) manager send personal welcome note & amp ; complimentary champagne daughter 's birthday -- nice touch ! might mention Kimpton InTouch member -- request meet ( non - pet floor ; quiet room w / view , high floor possible , etc . ) even though book 3rd party would suggest join reward program ( free ) be not already member . hope return Chicago soon definitely stay Hotel Monaco ! ! hat Kimpton make we feel like & quot ; special guest & quot ; -- ordinary traveler . 
 Jun 29 2009 	 almost perfect stay . 	 review rather late , time think want write & amp ; essentially ( husband & amp ; ) great stay . complaint sleep little due loud construction noise ( i.e . jackhammer , etc ) result city roadwork entire weekend conference ; hotel say advance notice ask . stay lovely Mediterranean suite w/ river view , would highly recommend - lot room spread . service great . dining restaurant ok ( Hotel Birnham 's restaurant wonderful ) . also enjoy walk restaurant area ( love Osteria Via Stato ) & amp ; pick snack Trader Joe 's . also able see Wicked first evening Chicago & amp ; go Chicago Architectural Foundation riverboat tour . first introduction L'Occitane product since order ( love Verbena scent ) . love complimentary bath salt use jacuzzi . future , ever return hotel roadwork , change room interior room change hotel altogether unpleasant exist little rest , guess not fault hotel . rather expensive room conference season . 
 Jun 29 2009 	 would stay every time ! 	 stay Hotel Monaco 6/25 - 6/27 4 1/2 year old twin . hotel upscale , make entire family feel welcome - Kimpton Kids pack check - in pair goldfish room . stay Queen - queen - room 1408 - view river Sears Tower . room exceptionally large quiet . kid LOVED window seat spend great deal time hang . due plan , unable enjoy wine hour downstairs - pass look wonderful . excellent location . walk ( we ) Lego store Hershey store . take cab back Hershey store Magnificent Mile leg 4 year old not last long . fare $ 6 - hotel seem good location . public transportation ( bus / metra ) within 2 block . easily use bus system go Museum Science & amp ; industry . Taste Chicago go well easily within walk distance . we highly recommend hotel ! 
 Jun 28 2009 	 wonderful stay ! 	 stay Hotel Monaco 6/24 - 6/26 really enjoy stay . hotel staff friendly . stayed room 912 King river view room . absolutely love bed window seat . comfortable take nap window seat . loved turn service Hotel lobby free wi - fi . thing experience not like wall hall way room apparently thin something . loud guy hall way talk cell around 930pm 6/24 9th floor . say something front desk hear someone room confront . continue loud moment leave . really not anything hotel make experience slightly diminish . anyway . room beautiful clean would love stay . 
 Jun 26 2009 	 Pretty good 	 hotel Priceline $ 90 . call request room two bed say sell availability . bit annoying since travel friend , work something . location great . close enough Loop Magnificent Mile attraction right next L stop rest city . spend little time room , large , nice clean . bathroom seem particularly fancy . service friendly . room face brick wall , expect book Priceline . travel solo could get room two bed probably would perfect . 
 Jun 24 2009 	 one favorite 	 fiance stay Monaco Chicago past several year anniversary . veteran hospitality industry , Monaco always meet standard . beautiful art deco room , fabulous customer service , always return special day . since can not bring beloved dog along , always treat complementary goldfish stand - in pet evening . always treat reasonable price . 
 Jun 22 2009 	 will stay Specific Next Time 	 stay Hotel Monace June 19 - 20 , 2009 . visit celebrate 20th anniversary , although not make type announcement hotel staff . wine reception turndown service great touch - love window seat , though good view , concierge staff helpful . while stay relax respect , couple little disappointment . first , request quiet room high floor away elevator . give 4th floor room right across elevator -- ding , de , de . first greeting receive inside room bark dog ( ) next door -- soon quiet . later find pet - friendly hotel put patron pet 4th floor possible . ' m sure middle - aged couple without pet ended floor ; probably ask different room , not . later Friday night ( midnight ) , awaken two couple , obviously stay opposite end 4th floor call hallway plan next day - , course , goodbyes evening ! rude high degree . the room excellent , would happy well location within hotel . without reservation , stay , next time make sure follow make sure room request exactly want . 
 Jun 20 2009 	 great time Hotel Monaco ! 	 go Chicago bunch friend see MN Twins play Wrigley . book room via priceline Hotel Monaco choose hotel . dissapointe . hotel block two Michigan Ave spend day walk around shopping , eating , etc . several bar , place eat immediate vicinity , ton within short walking distance . Ryan , concierge , always helpful direction , make reservation us dinner couple time . bell staff quick get cab whenever need . hotel situate 3 block train take airport . $ 2.25 vs. $ 40 - 50 cab fare . ( quick ) room nice clean although view roof side another building . expect use priceline ? save alot money use priceline ! every night hotel put wine party free wine coffee morning Starbucks lobby . get room service breakfast one morning not good . friend walk across street Emerald Loop breakfast buffet , go . hotel free wi - fi , always nice . Morton 's Chicago right next door , dinner one night one good meal long time . make sure check website go really great special ! many hotel downtown Chicago sure would pick one , not like , like try new one time , priceline choose one would not dissapointe . 
 Jun 17 2009 	 Love Love LOVE hotel ! 	 whole family LOVED hotel never stay anywhere else Chicago . 4 - year - old want move never leave . 
 Jun 14 2009 	 Great Location Great Place 	 Monaco great hotel . room great size love get goldfish stay . room top floor giant window look river lovely , especially window seat could sit watch city rain . the location great ... right next river theater district . 's close shopping area Chicago Institute Art . the room service food order overpriced mediocre , love everything . staff really welcome accomodating . would definitely stay . 
 Jun 11 2009 	 can not imagine well place stay Chicago 	 truly great time first visit Chicago , Hotel Monaco large reason . hotel perfectly locate , couple block El subway , Magnificent Mile Millennium Park . get river view room ; glad spend lot time sit big window seat look river building . staff truly go beyond . get ( great ! ) room even though arrive check - in , mention town anniversary , Sheena , truly awesome manager , send we bottle champagne . Ryan Sylvia , concierge , tremendously helpful . enjoy help sangria happy hour , free ice cream warm cookie 3 pm . hate stay big name highrise hotel , right alley . friendly , convivial atmosphere , funky design . highly recommend ! one pointer - sign Kimpton Rewards not already member . 
 Jun 8 2009 	 Great Location Genuine Service 	 want recognize many people exemplary service.1 ) Sylvia Rollins , Head Concierge . want fairly last minute reservation MK restaurant . speak Sylvia phone day prior arrival within 15 minute desire reservation . 2 ) Ryan Lettier , Concierge , provide we detailed information architectural cruise . morning cruise end cancel tour operator Ryan provide late check time cover we could get back Monaco . 3 ) Turndown service provide request housekeeping general seem high standard4 ) even bellman go way ask know get train etc leave hotel . room tastfully furnish whimiscal Hotel Monaco feel . bed bed comfortable . complimentary happy hour morning coffee / tea service utililze hotel guest . 
