way 	 hotel street surround residential building get real feel would like live area . find great diner nearby ( Joe Junior 's ) become regular breakfast place , laundry deliver , bar corner ( mumble ) great scallop restaurant , block Union Square 's shopping , restaurant subway . room ensuite glad week . second floor , could walk , good lift seem slow . amazingly quiet ( although air conditioning could rival jet engine noise , not ue ) clean enough . bed little hard double , would not hesitate go back location real star . 
 good value location 	 nice , quiet location near Union Square . hotel attractive facade , lobby room decent . share bath ( least corridor ) close room extremely clean , room comfortable quiet . desk clerk staff member saw , seem pretty detached . absolutely fine , might bother . would hesitate book room . 
 Oct 3 2008 	 good deal 	 stay 2 night Hotel 17.well , NYC room expensive finding room less 200 buck challeng ... hotel 17 nice NYC . ( mean would way pay 200 dollar type room city hell ... NYC ... ) -- & gt ; room OK . triple room friend stay quadruple room much well place : big room , nicer wall paper , safe room , shelf , view ! -Our room clean wall paper awful : stripe one wall , flower . really choke experience turn light ! also ceiling quite bad shape .. morning find paint sink ... -the bathroom surprisingly clean . complaint staff would change bath rug often.-you get iron room get one receptionThe good part hotel location . Close Union sq almost e village ( 10 min walk St mark place ) .you beat this . so would recommend place 
 Sep 27 2008 	 good location well value expect 	 recommend nervous near central park still $ 145 night ( include taxis ) . room good facility - hairdryer , tv etc , shower toilet almost directly across room make easy . Gramercy Park safe feeling , popular area , Union Square good shop busy . room small comfortable . the staff generally speak helpful . subway station 3 block away easy . 
 Sep 21 2008 	 home New York ! beat location 	 stay Hotel 17 four time last 5 year someone point direction another hotel price range fantastic location - ' m go anywhere else ! find staff always friendly helpful , room clean - although time small one ! ( sleep , ! ) never wait one share bathroom . you Gramercy Park Greenwich Village right doorstep . close subway stop , close gorgeous eatery leave right front door take internet ready Starbucks ( small niggle - wifi in - house ) .if look luxury - hotel . want location location location ! value money - place . 
 Sep 21 2008 	 great budget hotel 	 place would not win prize decor care be New York City . important room spotlessly clean bed comfortable . communal bathroom also clean wait twice 8 night - could go one many bathroom want anyway . air conditioning bit noisy soon get use it . it ideally locate , short walk Union Square , take subway anywhere want go , although walk place get real feel city . I pay less 8 night hotel could pay 2 night elsewhere , ' m glad . would stay without hesitation . 
 Sep 19 2008 	 great NYC value -Yes thing ! 	 , Trip Advisor come . would never hear Hotel 17 without research Trip Advisor never experience charming european - style hotel West 17th near 2nd Ave . review right mark , superior value money safe , walkable East Village neighborhood . sure , Hotel 17 slightly worn small room , Manhattan want spend time room ? share bathroom spotless obviously well care , never wait four floor . staff professional without cloy , housekeeping staff nice well . one important feature available air conditioning unit fan run night provide & quot ; white noise & quot ; eliminate street hotel sound might keep awake . Union Station subway five minute walk , eliminate need taxi . , wonderful stay , certainly return Hotel 17 NYC . 
 Aug 25 2008 	 good value ... 	 , family 5 , stay 3 night 2 room , double triple . 2 Nights book via travel website , later decide add third . booking do directly James Hotel17 . get confirmation via email 3rd night room ok . however , come back second day , room kid empty , already occupy guest . as big problem , brace tooth old son go . need wear every night , otherwise investment tooth worthless .... luckily find back light panic we hotel staff . the kid get another room could stay not dear clean room occupy suitcase ; - ) turn third night add system despite promise email . to compensate annoyance we offer deduct $ 35 room rate , accept we . as write reviewer double ( 312 ) triple ( 607 + 205 ) big , clean functional . share bathroom not problem either . find almost always available clean . APPLAUS cleaning staff ! ! Location ok , 500 m . Union Squar metro . good breakfast ( available hotel ) get Gramercy Cafe 3rd avenue 17th street . recommend Lumberjack breakfast , fill diner ; - ) conclusion : despite 3rd night confusion , value money hotel NY . 
 Aug 20 2008 	 good value NYC 	 stay 2 night february 08 . book via hotel website pay 150 $ /night double bathroom . room small pleasant clean . great value budget traveller NYC . pro : cheap well locate . con : wifi , bit noisy hallway . 
 Aug 19 2008 	 great place stay 	 friend stay year previous recommend hotel 17 . say basic , bit gloomy , good value . love bit value decide stay trip October . first impression mix , everything seem small dark , décor border gothic chintz . see room really surprised . everything clean ( bit battered ) , room fair - sized bathroom shower facility great . fact , never wait use see bathroom shower steam clean every morning night . reassuring ! staff helpful guest seem great time . good thing hotel location . close Union Square shop eaterie 2nd . everywhere seem easy reach , yet immediate area lovely explore . pretty much love walk around explore go another city , stumble across Flatiron building Empire State Building 30 minute walk marvellous . I would recommend hotel friend , like , appreciate good location great value , ' mind stay somewhere little worn . would definitely stay , hope soon ! 
 Aug 17 2008 	 good value great location 	 stay hotel Apr 2008 boyfriend guess get pretty much expect money pay . the good thing hotel location , doubt . even though we New York several time think know area pretty well , still find new gem within 5 min walk hotel . one reaturant call House ( 17th St ) other along street head west hotel . do not expect room chic , really anyte special . basically everything need standard basic fine . book room private bathroom , small clean shower nice . size room fine . bed comfortable lot pigeon much love outside window wake we way early morning ( even jet lag Londoner ) .If , like , planning spend holiday enjoy New York sit hotel good choice think would difficult find something cheap standard location . 
 Aug 14 2008 	 bargain bargain - minded 	 can not stop rave adequacy hotel ! even though trust chorus reviewer say decent place , question adequacy linger mind wife finally arrived check . , price standard room ( share bath ) much low plausible option not sure expect . other state -- bathroom clean least one unoccupied every time need arise . linen clean . AC work ( quickly , thank small size room ) . staff professional . location great , relatively lay - back neighborhood feel proximity Union Station ( still little walk , walk be good , ? ) . yes decor bit date ( wallpaper room certainly could not appropriate even first put ) , 's price pay , well , pay low price , hurrah ugly ! stay . 
 Aug 13 2008 	 simply fine 	 book Orbitz month stay - able get room web page , include hotel 's page , show vacancy . I agree review leave recently . hotel simple , no - frill . single room tiny . staff attentive though obsequious . check - in check - out smooth . room clean fresh wallpaper . evidently share bathroom everyone , half bathroom sink well , 4 floor ( 20 room ) problem I . you leave card door maid - service tidy room . note : $ 20 deposit turn telephone room . charge call - include local . unused balance refunded end stay . hotel quiet . could sleep without awoken . a 5 - minute walk l ( Canarsie ) subway 14th St 3rd Ave . bus stop 30 second walk door . delis snack - bar restaurant close by . one least expensive hotel , look . someone spend wake minute day NYC hotel room , would trouble go back time . 
