great 	 stay three night Thanksgiving . choose Executive room ( high floor ) 12 floor - high go quieter room . street noise get bothersome . clean well furnish room - although trouble tv local station operational ( something change system ) staff cheerful helpful time . tradition put beverage near elevator . day get unusual tea time bowl & quot ; cucumber water & quot ; different refreshing . would describe hotel European , small , new , efficient modern necessity . we would go back . 
 Jan 29 2009 	 room good service not great ! 	 room suitable business trip central location . clean functional , large . hotel locate edge slightly dodgy area long head towards Union Square seem relatively safe . service however not fantastic . upon arrive US 14 hour flight reception staff refuse let room ( despite pregnant nauseous motion sickness ) . Expedia one name permit booking , husband 's name . meet time work contactable even though offer show passport surname reluctant . book detail well room number avail literally beg . episode certainly sour overall experience hotel unfortunate . 
 Jan 28 2009 	 great every way 	 elderly Mother Aunt need place stay come visit . check many Union Square hotel personally find expensive admittedly glamourous hotel ultimately impersonal . staff TOP NOTCH comes need guest . personal touch large professional hotel . live company name & quot ; joie de vivre & quot ; . repeat staff good town . sincerely look make stay comfortable . 
 Jan 9 2009 	 great hotel great price . 	 choose property give base rate 109.00 per night ( plus taxis ) . excellent consider want within walking distance Moscone Conference center . hotel clean staff super friendly helpful . hotel room modest decorate 70 revival theme ( think crate barrell modern hip ? ) . room comfortable clean . every amenity available include free wireless internet room . room spacious really enjoy come back hotel room end day . room back hotel quiet enough privacy feel safe still lot sunlight choose let ( provide one day rain SF ) . hotel staff magnificent . even find box pack conference extras tape could mail home save need lug suitcase airport . downside see hotel bar . pack every night great take time get drink bartender little snooty side . however , location hotel make really easy venture lot establishment great food ambience ( old ) like . hotel staff great source ask place go . would definitely recommend hotel anyone stay SF . 
 Jan 5 2009 	 fantastic hotel heart Frisco 	 totally love hotel wish one night ! right middle action , near huge Westfield shopping centre Macy 's fantastic Cheese Cake Factory . find easy get around hotel staff deal friendly . free Wifi awesome too . definitely stay want something old school charm modern twist ! 
 Jan 5 2009 	 great service hip decor fantastic in - room amenity price Adagio 	 book Hotel Adagio Joie de Vivre membership program ( free get well deal , find ) . deal $ 130 per night King Executive room ( especially New Year 's Eve ) . service fantastic , doorman concierge bellhop . arrive room bellhop come bag receive call front desk ask would like upgrade big room concierge notice lot bag . , get free upgrade suite high floor great view area . neighborhood bad ... be across street Clift hotel ( extremely posh famous lounge ) , really , ghetto think could ? yes , neighborhood use little sketchy , street actually pretty nice 's two block away Union Square shopping 's . 's prime location . staff helpful offer map map want go . in - room amenity great ... lot expect . even provide umbrella since weather gloomy SF . minibar offering also plentiful reasonable . this place perfect young people traveler business . good vacation , romantic getaway . love modern hip place , fit bill . Reminded Standard Hotel , except less minimalist . I would stay would definitely recommend friend . parking little price ( $ 22 per night ) , be still cheap compare lot place San Francisco . 
 Jan 3 2009 	 rather overstate 	 big disappointment concidere write up hotel . book junior suite expensive site . arrival ask another room , one allocate pay . Bathroom grubby , room . egyptian cotton sheet nothing like one use feel rough nothing special . fill hotel survey request e mail return home hotel credit respond concern , even offer we free night stay prove could well . however dismay manager admit give we good room , although pay ! ! ! ! say all . this Hotel well situate Union Square , far expensive offer . remind budget hotel stay Times Square New York , back late 70 , perhaps pay nostalga ? ? ? 
 Dec 29 2008 	 Nice Hotel Filthy San Francisco 	 Hotel fine . neighborhood : close Union Square also close many pan handler bum street . street filthy turn we San Francisco . filthy big city recently . Trips Chicago New York cleaner much pleasant . San Francisco mayor create real [ - ] , unfortunately right outside door Adagio . terrible reading light bed . bright enough direct enough . direct lighting ( spot light ) reading . staff kind . leave day early San francisco dump , tired begger stick cup face ask money . three young daughter feel safe could get town fast enough . would liked try Cortez , leave day early . 
 Dec 18 2008 	 Great Location 	 Stayed Executive Junior Suite . the good : location great , free wireless internet , print boarding pass downstairs free , staff helpful Cortez ( hotel restaurant , try crab cake oyster ) great . bad : shower head terrible . room service food limit ( 530 - 11am , 5 - 11 pm ) . take hotel town car airport , take taxi save cash . overall : amount pay Suite , not think get pay . small bathroom , limited amenity , slow room service . would stay offer cheap rate , pay 220 night . 
 Dec 17 2008 	 Great Hotel 	 nice hotel excellent service beautiful room . able book special king suite top floor . excellent great city view . service perfect everyone helpful . 
 Dec 4 2008 	 Great Hotel Great Location Great Staff 	 staff extremely friendly helpful , always willing point right direction . review indicate safe area inaccurate . two high - end hotel essentially across street people hour . point feel unsafe , even walk Post Street Market , heart Tenderloin . room nice large . stay will not regret check lounge across street . 
 Nov 24 2008 	 great start honeymoon ! 	 place great . stay first week honeymoon could not ask anything . staff even give we bottle champagne help celebrate ! get corner room sofa huge bed . clean tidy , bathroom - although seem american hotel tiny bath ! ! cortez restaurant downstair exceptional standard pleasant meal - follow equally pleasant cocktail . the hotel situate extremely close Union Square really handy shop cable car Powell Street take way Fisherman 's Wharf . read reviews hotel Tripadvisor site initally worry 's close proximity Tenderloin 's slightly dodgy reputation , really nothing worry get there . as part stay Adagio will get 15 minute free internet access either wirelessly one hotel 's business centre pc . if stay make sure make effort go Dottie 's true Blue Cafe around corner . awesome ! great week great hotel everything could hope . 
