poor 	 minute check Sunday , knew not go good stay . smell cigarette smoke especially strong soon walk door . lady reception say room would not ready 4 pm ( normal check - in time ) give room 2 Queens instead 1 king have order , could check immediately . question normal check - in time rude . said & quot ; not stay & quot ; reply , & quot ; do not & quot ; . anyway , room fine . extras frustrating . in - room internet cost $ 15.00 per day . gym cost $ 25.00 per day . overall would not recommend hotel . 
 Loved Paris Hotel Stay ! ! 	 return home 4 day stay Paris Hotel love ! stayed & quot ; Red Room & quot ; great . decor modern room clean . view absolutely amazing , able watch water show Bellagio daily ! bathroom large amenity stock daily love blow dryer attatched wall ! linen clean carpet clean , room safe handy although arrive room safe stuck open locked position call maitenance within 5 min someone door ready fix safe . casino fun full excitement staff throughout hotel helpfull pleasant . would definately stay . 
 great location 	 ask view strip Bellagio fountain get it . clean comfortable room . hotel great facility , bar restaurant shop etc . make use spa , find expensive , treatment good . 
 great place stay ! 	 first time Paris last . everything expect . Imperial Suite awesome . room clean amentie great . coffee pot life saver rush morning coffee . sure room coffee pot sure would save number people go elevator first cup coffee . book Paris central everything . pretty much walk everywhere go . Ellis Island restuarant two block away great place eat . check little slow checking breeze . 
 expect price 	 husband stay Paris November 2009 nice mini vacation . trip book quite thrilled go stay Paris virtual tour make room look beautiful . dissapointment room great . seem old weather . view horrible . could see parking garage roof hotel . ask could change well view tell room available time . bathroom not clean either . say concierge desk amaze helpful question activity . staff great well ... friendly . lobby casino really beautiful ! romantic feel really walk street Paris . location strip perfect ! right middle easy walk distance see everything . view Eiffle Tower amazing night ! would say vacation turn great would stay Paris ever make Vegas ! 
 Location location location 	 say , Paris outstanding location , right center Strip . combine frequent rate deal excellent Vegas homebase . Access Bally 's monorail station ( beware , go though Bally 's get , man long schlep ! ) regular shuttle Rio keep hook many property . for & quot ; theme & quot ; Strip hotel 's human - manageable size apart Eiffel Tower replica contain extravagant attraction other seem favor ( zoo , garden , water attraction , ride ) use hotel , per se , definitely middle - of - the - road property . ( Part Harrah 's group ) . high - floor room get renovate / redecorate sell & quot ; upgrade & quot ; & quot ; Red Rooms & quot ; & quot ; , high price . ( premium actual Strip view ) Comfortable well appoint bathroom quite get attention would expect -- non - adjustable , cheap - look showerhead , separate tub small . person could well serve base room care nothing decor view . one hint give : unless intention pig , many senible people opt buffet -- pricey long line -- instead hit one standalone dining site resort . 
 oct 22 2009 	 Reception Staff greet we chew gum ! 	 first impression hotel good , massive check area 3 desk open , wait queue 15 minute greet GUM CHEWING receptionist , seem bit fed day not come across friendly . room ok , nothing special , bit well worn , clean . big disappointment facility room coffee / tea making . eat one evening Ile St louis hotel- disaster - cold steak , rude staff complain , ' what want ? ! ! ! ! ' refuse pay bill pay leave _ no TIP . would not advise anyone go Paris . 
 oct 22 2009 	 Robes Pierre 	 disappoint lack usual amenity hotel . start robe room . basic decor . realize Vegas want visitor casino hotel room really , robe bath ? room service tray leave hallway hour . pool area way shabby , messy dirty . broken lounge chair everywhere . friendly wait staff chair side dining . poolside restaurant open table dining . blast music . public place guest sit outside casino area . chair bench unless wait cab outside near front entrance . would return hotel . stay conference assume convenience would partner pleasant accomodation . 
 Oct 20 2009 	 enjoyable hotel 	 recently come back Las Vegas stay friend Paris . ' ve stay Caesers Bellagio would reccomend hotel highly . find check Las Vegas airport save time wait front desk , although front desk area beautiful . be pretty inside , feel be walk Paris street . Village Buffet great will wait line 's worth . cafe beside Buffet also good . shop cute go effiel tower see city . Mon Ami Gabi look Belliagio people watch eat . standard room stay nice . little shabby side still nice room . stand shower wonderful . friend upgrade room much nicer . big screen tv upgrade furnishing . would definately stay Paris . 's close action beautiful hotel . 
 Oct 19 2009 	 get corner room - well view 	 book standard room manage get room 14xxb - guess b corner room ? ( can not remember xx number ) anyway , corner room great - two floor ceiling window two wall , view bellagio fountain - perfect . bed comfy . hotel really pretty charming pool Eiffel tower great . try le village buffet - really good value . preferred Paris room Caesar 's palace room 
 Oct 19 2009 	 Motel 6 facade 	 stay convention . stay four five different hotel strip Paris one would equate accomodation cheap motel . mattress thin uncomfortable ; linen rough ; not extra plug charge phone plug computer - literally unplug light charge laptop desk ; tub pathetic ; furnishing remind holiday Inn ; tv ancient . place small town , room would acceptable good . Vegas , 's joke . compare hotel strip charge less night ( Bellagio , Venetian ) , disgrace . to fair , room clean neat much like no - frill hotel ' ve stay . 
 Oct 19 2009 	 Average 	 Paris conveniently locate . 's fair hotel fair price . 
 Oct 18 2009 	 good first time 	 spend 4 night Paris husband 30th wedding anniversary . Booked pay several month advance , let know special occasion return guest . woman check - in desk could colder tell we available 2 queen bed even though book king way ahead time ! course could shell extra 55.00 night view concierge floor . decide not worth take queen room . view rear room Bally . previous stay Bellagio Treasure Island hotel give we strip view room ask . besides television really outdate room fine , although matresse cound use replace . like Paris location , Napoleons Burger style sport bar . Breakfast Mon Gabi good service pleasant . see review nastiness check - in sound like woman every review . asian forget name . wish hotel would moniter help future . return next year give serious consideration stay somewhere else . 
 Oct 18 2009 	 Nice hotel perfect location strip 	 stay Sunday - Wednesday . first night rate $ 105 , last two night $ 60 . breakfast buffet excellent server great job check we . small pizzeria excellent food wonderful late night snack . casino nice $ 50 nickle machine two spin . check - in check - out simple . stayed 18th floor elevator quick . room bathroom nice size . notice outside window need cleaning . coffee one shop $ 3.50 , expect luxuy hotel . location perfect 's right front Bellagio watch water show hotel window . Planet Hollywood one side Bally 's other . the city bus stop right outside hotel $ 7 pass ride day perfect get around strip day . shuttle near bell stand take Rio free . get see okey . arrival , traffic street awful , cause taxi fare $ 24 . go back airport mid day , taxi fare $ 13 10 minute ride . want eat outside hotel , find lunch buffett Bellagio Ceasars Palace well . MGM 's dinner buffett disappointing . Pink 's hot dog stand next door Planet Hollywood decent dinner one night . not buy bottled water play slot ... waitress bring seated . three printer lobby get boarding pass . cost $ 5 minimum log internet . People use like mad print Southwest Boarding pass . blackberry , log check , always get boarding pass airport - especially stand line check bag anyway ! freebie hotel , bathrobe , slipper , coffee pot , paper , etc . pay everything , good time - 's Vegas ! 
 Oct 18 2009 	 love Paris 	 second time ' ve stay . 's large hotel intimate feel large casino hotel , guest least likely get lose . check - in formality handle Diamond check - in room conference attendee . elevator close check - in , nice . regular check - in area not busy early morning develop queue 12 pm . the room comfortable , large nicely appoint luxurious 5 star solid 4 star , publication rate hotel . room stay show little bit wear tear lounge chair desk area overall average . view room towards Bally Hotel , nothing brag , window actually quite filthy dust . make look window rather painful . bed comfortable problem bedding pillow . think wall bedroom bathroom picture something break starkness particular wall . lighting room adequate leisure take care business work . television standard issue one find 3 star property ; flat screen would nice upgrade room . closet space contain television armoir cabinet . not favorite arrangement prefer separate closet , efficient suppose . standard ironing board iron . in - room refreshment bar get hungrie . also , 24 room service available . think price fair room service Las Vegas hotel . bathroom solid 4 star , line marble , separate bathtub shower enclosure . bathroom could use little light , especially shower enclosure , rather dark hard see . water pressure low water saver shower head not expect take long , luxurious hot shower ; drought plague much US Southwest . nice bath would probably well choice time fill tub . bathroom toiletries shampoo conditioner pleasant smell work well woman maybe little flowerly man . find mild doubt would issue man . the airconditione system easy use work well , quiet . room general quiet noise intrusion next door neighbor . non - smoking floor , not worry obnoxious odor creep room door a / c system . eat Eiffel Tower Le Artiste Steakhouse . very - well prepared food Steakhouse open casino smoke somewhat issue . Eiffel Tower Restaurant excellent , would patronize venue dinner next trip . I love buffet Paris . grant , 's hotel buffet quality food dip notch plate service mass quantity preparation standtime steam tray . still , overall quality good variety food various part France make adventure like try something non - conventional versus typical Las Vegas buffet offering . public area reminiscent Paris , really appeal . may & quot ; Disneyesque & quot ; many think 's well think easy understand . hotel casino Las Vegas rather gimmicky anyways . casino main walkway hotel casino little easy navigate due one main walkway front hotel back . walk distance hotel minimal want get action first floor be type get hotel explore place along Strip . fact , central location Paris make easy walk casino property 15 minute less . overall , nice hotel , large , easy navigate , intimate enough not feel like one big herd cattle . 
 Oct 17 2009 	 luxury place remember 	 stay hotel year ago honeymoon , job take Vegas past week , want stay somewhere familiar . read reviews site say go downhill , admit right . still great location , still great restaurant , service remember . take check , ask room close elevator . give handicap - accessible room end long hallway , far elevator could get . exhaust ten hour travel , still want bath / shower ! call house phone 10th floor , tell bellhop bring new key another room . half hour , drag luggage back , way casino , reception desk . time get someone much friendly , give nice upgrade 15th floor , face Eiffel Tower Bellagio . go get ice previous guest 's old fruit bucket . wash face dry stained towel . thing ( , much credit housekeeping quickly correct ) , decent stay . give discount first night housekeeping issue , without ask . also bed springy hard . could problem ... Tempur Pedic home nothing compare ! stay , would get upgrade remodeled room . also note Paris quieter casino hotel , plus . food selection great ! 
 Oct 17 2009 	 Nice Nice Nice 	 Great Hotel , Great Location , great food inside hotel , Great Lobby , Great Atmosphere , get point . expect go Vegas good catagory . beautiful inside actually feel like Paris little sidewalk street light . desire stay anywhere else go Vegas . 
 Oct 16 2009 	 great Scenery - Tight Machines 	 take trip Vegas stay Paris Hotel . beautiful throughout . room ok .......... view Parking garage , compe expect . try get strip view check , clerk girl would not even listen want $ 58.00 night strip view ....... play slot , machine tight , put $ 20.00 maybe get 10 credit . try believe , tight , would think would let win one slot PLACE GO PLAYING SLOTS ! ! ! nice place gamble ..... 
 Oct 16 2009 	 need update ! great location though .. 	 nice hotel outside , room need update . service nice , everyone friendly proffesional . Mon Ami Gabi great restaurant ! worth visit stay . would not stay hotel though . do not waste time go ah sin restaurant ... food suck , service bad . Vancouver get spoil great sushi , lesson learnt do not ah sin ! also enoughrestaurant hotel . half hour line up restaurant breakfast ... stay mandalay bay last time line up ever ! twice many restaurant though . final word , nice visit hotel do not stay .. enjoy food Mon Ami Gabi ! 
 Oct 16 2009 	 great location ... great service 	 ( husband ) check room , Room ok , bed be not comfortable . average hotel room . side night table white hard sure stuck night table , sure long . get house keep clean . go lunch cafe St. Louis , waiter ask we want drink .. finish want left return 10min later want . thing lunch . go breakfast buffet , wait line , ok . expect line up people cut front we . talk 2 3 , 40/50 people seperate time line . got til , go pay man cut front we ( travel agent ) think justifed cut front guess . Sat table beside we drunk obnoxious , drop tong buffet put back table tell one server , take 5 minute replace tong . much well service different buffet / restaurant . poor service . really disappoint 4 different time eat hotel . however , great location . 
 Oct 15 2009 	 great hotel 	 Nice hotel . clean , spacious room , great view even standard view . hotel lobby / casino great parisian theme emulate evening Paris . , good part hotel large Vegas hotel feel lose . 
 Oct 15 2009 	 Trip Vegas 	 go Vegas every year first part October usually 80 's time not , Paris Hotel long line go check line go fast . we room great view Bellagio Fountain Eifel Tower , room clean bed not real comfortable & quot ; o.k & quot ; . eat Crepery restaurant serve Crepes o.k , really crepe lover like restaurant alot o.k buffet price breakfast . one day able sit pool not warm normal move 3 time shady area . Paris nice stay somewhere else next year . 
 Oct 15 2009 	 Rubbish ! 	 September go hotel sevice discrase wait reception aleast 30min max.then relise go room room picture picture look 3 * real thing look 1 * appal service come agian asure . 
 Oct 14 2009 	 Good Value Money 	 Better Half stay Europe 5 week way home Australia . we stay 6 day . first time Paris stay MGM last year . it fantasic location strip make easy get around . access parking car simple quick quick return car need it . to get room quick ( compare MGM walk mile ) room self quite comfortable 2 queen bed . clean daily service take care . good value money . we eat resturant - would recommend book meal Eifle Tower reasturant good food bad price . great view . we also eat Ballys next door great steak place would recommend . tip - big breakfast bring cereal Walgreens could get small milk daily newsagent Bally 's ( can not put fridge charge ever use ) good value money - side Casino floor quit smokey find area light smoker - could occasion . 
