Friendly 	 close everything would want . located heart Union Square , lot great dining choice nearby , close cable car line public transportation . large room San Francisco comfortable bed ! staff extra friendly helpful . free room coffee newspaper daily . certainly stay visit San Francisco ! 
 Aug 26 2009 	 totally terrific experience ! ! ! 	 moment check leave , hotel make we feel welcome , comfortable , care long - time gracious friend . start Desk Clerk check we continue Bell Captain hail cab us departure . our room spacious . provide comfortable bed well ample room read relax . wet bar , microwave refrigerator enable we snack room glass chill wine dinner . fortunate room landscape terrace . the roof - top club , provide Continental Breakfast daily convenient casual . full concierge service also available well lobby . knowledgeable staff provide terrific recommendation guidence . not forget , hotel convenient theater Union Square area offer . the restaurant , adjacent , part hotel excellent . enjoy two first rate meal , San Francisco , well price . bar almost & quot ; cheer - like & quot ; atmosphere . pleasant -- - mix outstanding drink . we will say . . . stay Donatello provide we totally terrific experience ! ! ! 
 Aug 25 2009 	 wonderful location heplful staff 	 can not say enough good thing stay Donatello . location absolutely perfect . every mode transportation within block walk . room well take care turn bed service every evening little chocolate goody . every concierge hotel knowledgeable never feel hurry . would highly recommend . 
 Aug 25 2009 	 another great trip SFO 	 number great place stay SFO close proximity Union Square important close action great dining . Donatello Hotel SFO great location one block remove square little bit away crowd trolley car close enough anywhere downtown within 10 - 15 minute . facility well appoint room nicely appoint spacious . overall great place stay SFO near many activity shop . 
 Aug 25 2009 	 great hotel - amazing location ! ! 	 great hotel . locate union square . stay hotel union square another time nowhere near good donatello . walk lobby small typical boutique city hotel . room great though . there s much space fridge little kitchen area . hotel stay union square small . barely enough room suitcase room . donatello would big room city hotel . staff friendly . would definitely stay ! ! ! 
 Aug 25 2009 	 helpful friendly staff . 	 pick Hotel read review check room available area Orpheum Theater . arrive early list ck - in time , gentleman behind desk information check we quickly suggest talk conciere question regard activity short stay . lady friendly give we valuable info get around City area might questionable nitetime . room large clean access fresh air great shower . 
 Aug 23 2009 	 favorite place stay San Francisco . 	 ' ve stay Donatello several time . medium - size hotel great ambience overall comfort . staff try make feel honored guest . one block Union Square , close cable car , art gallery . want purchase pastry Club Room sure go 9 a.m. ! 
 Aug 22 2009 	 Awesome Donatello resort 	 Aloha , check late treat wonderfully , request meet . I love room , cozy close union square , cable car , bart . find restaurant room service excellent , spa exercise room nice well business center adequate . staff wonderful , front desk housekeeping , valet . everyone sure go way power street go shooping center find fantastic grocery store , lot goody . also restaurant resonable price menu ... 
 Aug 21 2009 	 Great Location excellent service 	 although hotel great location service excellent , stay presidential suite require little work . bathroom need redo , include plumbing fixture . second bedroom mildew odor . everyone pleasant except one concierge knowledgeable could . verygood choice . 
 Aug 21 2009 	 finally comfortable bed ! ! 	 first night many night sleep rock hard hotel bed could pass door , finally get good night sleep . room clean , update , cool view city . 
 Aug 19 2009 	 Personal Service Smile - welcome home ! 	 return business trip Bay area another delightful stay , albeit one night time , Donatello . Jesus , Manuel , Mark , Rolando welcome back warmly even though year since last stay : & quot ; welcome home ! & quot ; always , room , breakfast , customer service top . ( wish could imparted hospitable service rowdy street beep car horn scream late night ! ) check historical artifact - marble , belgian tapestry , ceiling lobby . 's blurb guest info book room . 
 Aug 19 2009 	 friendly staff great location . 	 stay one night everything great . staff friendly helpful . room quiet , clean comfortable . location one block Union Square . shopping trip store within walking distance . take Cable Car Pier 39 enjoy excellent dinner . back resort . 
 Aug 18 2009 	 Close Union Sq 	 locate quite close Union Square , Bart Station form transport restaurant . first destination USA happy choice , stay stopover home . decor personal choice , elegant well maintain . mini - kitchenette useful , non standard feature hotel USA / Canada . staff extremely friendly helpful . Friday afternoon gather guest nice feature . 
 Aug 18 2009 	 wonderful hotel wonderful price . 	 4 we recently stay Donatello S.F . think hotel real gem . the price good especially local wonderful amenity . this boutique style hotel comfortable spacious room bathroom . the king size bed treat high thread count sheet . breakfast good serve attractive club / terrace area . the staff courteous helpful . I like small size hotel -not hundred room . the good stay 10 day vacation . 
 Aug 17 2009 	 central location . excellent friendly service . 	 stay 4 night Donatello recently . location central - convenient Union Sq shop city transport . Front desk concierge pleasant helpful . move room batchelor party arrive 2 room opposite original room . request move room deal quickly effeciently without fuss . room good size spotlessly clean . one area could improve breakfast- sweet cake , plain option would good . nice club / lounge city view , read enjoy complimentary tea coffee . would certainly return travel San Fran . 
 Aug 17 2009 	 stay nowhere else Donatello 	 stay 3 time absolutely love ! location close Union Square public transportation , comfortable large room microwave refrigerator , etc . staff 's friendliness helpfullness ! always return nothing negative say . Wish could stayed long use upstairs gym spa ! oh well next time ! 
 Aug 17 2009 	 great hotel great price great location 	 Donatello locate near Union Square ( shopping district ) Powell Street station , make easy get public transportation . chinatown easy walk hotel . really enjoy 5 - night stay . room spacious , nice layout make comfortable we two 18 + child share room . bed great , towel nice room clean . wireless internet connection good . refrigerator , microwave , coffee maker sink kitchen area , dish , silverware , glass provide . hotel staff could not nicer helpful . negative plumbing bit noisy . however , certainly tolerable , hotel great value . would definitely stay . 
 Aug 17 2009 	 enjoy every minute 	 good thing say property true , could meet nice group people . every employee meet efficient service orient . fifth floor terrace room actually get enjoy day . concern noise read review happy say emergency vehicle never hear thing . call breakfast really good beverage fruit , hot drink available 24hour greatly appreciate end day freeze . high 50 's day windy , time evening come ready warmth . spend alot time Wharf area tour etc , think maybe stay area would well idea . think good take public transit see area city great food around hotel . Biscuits Blues next door hotel , good food great Blues show . would definitely recommend hotel service value orient stay . 
