perfect 	 Hotel quiet , street quiet night . hotel close pretty much everywhere will want go . short walk Bryant Park , Grand Central Station . little long walk short subway cab ride Rockefeller Center , Central Park Lower East Side . room pleasant enough room move around , leave luggage floor , put thing away , etc . window actually open nice touch hotel offer . able easily open window get little cool air packing . bed comfortable lot extra pillow ; side bed little table lamp . hotel decor happen exactly style bright color ; make everything feel cheery . excellent breakfast buffet reasonable price NYC . complaint . staff friendly helpful . seem brief problem heat . least be tell deliver space heater notice problem . never need use . heat work fine hour later . also nice find superb rate Kayak . offer park reasonable rate Manhattan , not even need use . got great advice park car get free parking space within 2 block hotel weekday weekend . not know will ever able afford hotel , would love go back . 
 small room yes comfortable . 	 go New York City third time October mom great aunt . teenager , quite bit travel experience . say , Roger Williams hotel second hotel one trip . switch two day stay Novotel . arrive Roger Williams , kind concerned location ( location time square ) , not know nearby . walk hotel impressed . exactly like website show ( sometimes website bit improved ) , comfortable feel , warm lighting . pleased entire stay . yes , hotel room small , compare last hotel not mind . hallway colourful , room white colour . bathroom quite small , yes , light not good . still like . modern , comfy . shower leak floor , detachable shower head over - head one not work . veiw not good , room service kind weird . still , nice hotel compare leave . look feel safety hotel room , guarenteed . oh , add : bed amazingly comfy ! 
 Jun 24 2004 	 Roger Williams Hotel wonderful .... 	 group teacher make trip New York see fellow teacher play . want something close , comfortable , clean within budget . look many hour internet find Roger Williams internet deal . teacher really share bathroom hall share bed two man two lady stipulation room Roger Williams meet quirk perfectly . price $ 130 night great location perfect Broadway , subway train . delighted survice helpful staff . bit problem communication valet parking desk clerk take care we . would definitely stay Roger Williams Hotel recommend make triip Big Apple . 
 Jun 23 2004 	 perfect 	 stay woman travel alone business , choose hotel carefully . minute arrive know make right choice . lobby area like step another world - sleek yet unpretentious . room great - huge bed , power shower would expect US hotel , extra like aveda toiletry , complimentary Time NY chic colour scheme make difference . love mezzanine level - travel alone , not feel comfortable sitting bar evening , perfect place catch newspaper etc , feel coupe room . location excellent - quiet , yet 2 block away action . staff helpful - go way find nail bar open 10 pm ! come back - spend extra getting penthouse ! 
 Jun 21 2004 	 not classify hotel 	 first time New York know room small room extremely small . bathroom problem turn around dress ' m obese . ice maker hotel guest use , call get ice not prompt , walk around city 90 degree temp one would like cold glass water . also , problem get towel face clothe , call desk simple thing . would stay hotel . 
 Jun 9 2004 	 great hotel 	 love rw stay 5 night March . staff friendly , facility hotel offer great - free business centre , cd video player room ( free library ) , free hot drink iced water , free breakfast - fill we day ( take back room ) . room stylish absolutely love bathroom wall shower ( even design fault lead eventual flooding bathroom floor time ) . location fantastic - 5 min empire state 15 time square . thing would made hotel even well would bar , still great loss . would stay ! ! 
 may 25 2004 	 go ! 	 careful consideration decide take girlfriend long break NY . never States want book package deal take time select hotel . search expedia tripadvisor eventually decide like look RW . great review mix fussy people obviously use Plaza ! various hotel Britain would compare décor service Apex stay Edinburgh ' grassmarket . think reason get reasonable ( $ 180 night ) location . ny local speak say ' way ' . bit hard believe right next fifth avenue around corner Empire State Building ! 5 minute walk Broadway 15 time square . arrive JFK get taxi problem straight Roger Williams . first time US weather unusually warm April . half hour drive see city background sight . arrive hotel notice smart glass window foyer could see grand piano window . early evening porter come straight taxi greet we . take luggage foyer trolley check . one thing notice feel valley drive Manhattan . could see anything trademark grid street speed yellow cab ! prove advantage really know RW . 180 buck one five Penthouse suite ! private terrace one quiet room NY . check escort room excite helpful porter . lead we onto terrace tell we look leave . right beautiful sight could imagine . empire State Building glory ! stone throw away bedroom . simply stunning sight totally breath take view straight along Madison Ave 31st . lucky enough penthouse view ESB night put smile anyone ' face . room modern design ( much like Apex ) massive TVand king size bed extra comfy . bathroom ' small great shower . first day excitement accidently snap cord blind patio door . one blind electric another put room darkness . go wander hand cord reception fix time get back . girl reception ' helpful apologetic . explore ny one good 5 day life return soon second visit . ' think twice book RW could ask . mezzanine constant free coffe/ tea ice water 24/7 . breakfast time however could become busy guest read NY time munch bagel . lucky respect could grab tray take bagel cereal etc terrace enjoy view traditional NY style . simply ' want leave room amazing city do . follow evening leave meal greet float sound girl employ rw play grand piano . yet another beautiful moment hotel . respect location hotel ' times square show . around corner esb base city tour bus . hop ticket $ 50 ( valid 24 hour ) must see Manhattan . live Glasgow use underground system daily London equivalent several time . none prepare NY version however ! would compare subway complicated rail network . going use subway please good look map see number train stop require destination . get Battery Park end Brooklyn one stop later ! sum Roger Williams would say go get chance . use expedia get quote $ 400 expensive book company actual website . search google site make reservation credit card without pay penny leave . price quote pay ! request romantic room disappoint . couple late night horse draw carriage ride around central park indeed romantic experience . staff helpful time ' friendly tourist . around NY shop staff general pleasant far pushy . seem pleased come visit home . walk home night find intimidate scary one bit . feel home NY area Glasgow ! city everything could go even . would happy anyone consider hotel contact via email prove I m employee rw ! 
 Apr 28 2004 	 Great Manhatten Choice 	 ' ve NYC least 15 time ; last stay Roger Williams - favorite hotel far . average tourist , be great choice . price reasonable ( almost cheap ! ) NYC ; take look web site - offer fantastic price ! ! check - in : quick , efficient friendly ( nice hotel staff ' ve ever run across ) . room : adequate size ( little big NYC average ) ; clean ; nicely decroate . bathroom : small ( par NYC ) ; good water pressure ; bizarre shower ( shower curtain - half glass wall , water get floor , sure extra towel . architect / hotel designer think half - glass wall stuff good idea ? ? ? ? obviously , ' ve never actually use shower like . 3rd one ' ve run less year ( also Norway Belgium ) . breakfast : free room ( RARE NYC ) ; pastry , cheese , bagel , muffin ; cappuccino machine ( free open 24 hrs guest hotel - 4 - 5 cup per day ) . special request : travel group demand woman - hotel meet every one request - quickly smile face ; doorman offer execellent service hail cab without ask . ' ve stay big chain NYC ( Marriott , Hyatt , Hilton ) ' ve stay small boutique hotel ... return Roger Williams . 
 Mar 31 2004 	 nice nice hotel please give we decent breakfast 	 great hotel great location . big room , ask top floor , modern clean calm . break fast cool improve bad point . 
 Mar 10 2004 	 helpful staff nice location 	 second visit start reservation problem quickly correct . please confirmation information available . entire staff helpful weekend room fine cost . it busy valentine weekend never seem hassle . enjoy surround area love many nearby restaurant bar . explore nice spot . 
 Jan 28 2004 	 good price lacking ... 	 stay hotel 4 night . lobby look modern , room need bit work . recommend stay far away first level possible since windows single - pan hear every car drive street . furniture bit worn . business center high speed internet free use computer printer . overall , want relatively low price hotel expectation luxury great amenity , okay personal stay ( would suitable business traveler ) . 
 Jan 25 2004 	 bit Faulty Towers - none less good value 	 hotel & quot ; fine & quot ; . get fantastic price , bright , cheery service excellent . fantastic area block away Empire State Building . side bit tired looking need spruce . lift be not work ( 12th floor that s hike ) , toilet keep getting block ( repair quickly smile ) bed little lumpy . 
 Jan 12 2004 	 great base explore Manhatten 	 wife recently spend 5 night Roger Williams find adequate hotel . central location prove perfect base explore New York . find staff attentive need room clean tidy regardless leave ! keen get restaurant bar lack hotel worry . fitness room never busy complimentary breakfast good option . reason complaint . 
 Dec 10 2003 	 need update ! 	 get back three night stay . stay 5 - 6 year ago wonderful experiecnce ! today . place wear dirty ... unattentive staff ... request non smoking room provide ... heat room stop work ... tell would repair right away ... end space heater rest stay ! Staff never check we . $ 300 night would like bit attention concern . skip place ! 
 Nov 30 2003 	 good value base mid - town Manhatten 	 pick hotel part deal Expedia good week . free breakfast excellent seating accommodation always hard find . free internet access fifth floor room 24 access hot drink . accomodation small side thing consider not problem family . location good subway station block away bustop outside . find staff friendly efficient . 
 Oct 13 2003 	 terrible experience ! ! ! ! 	 stay hotel one night two friend town . live half hour north Manhattan often spend weekend city convience . book room request two double bed ( three we ) even upgrade big room . check tell large party arrive would take room two double bed ( matter arrive first ) . could offer we one king bed roll away feel unacceptable especially pay $ 268.00 night . however really give we option . leave go shopping day return 10 pm find roll away bed room call front desk , tell available could offer we pillow blanket . basically tell one us sleep floor , feel completely unacceptable ! manager duty nothing try help we , fact never see face face , speak phone . even common courtesy apologize we face face try make situation well . besides lighting room horrible tv would switch color black white turn minute window fall head try close ( open arrive room ) . shower floor cover mold breakfast stale run quite thing . much well place stay New York City would suggest sleep bench Grand Central Station make reservation hotel ! ! 
 Oct 1 2003 	 stay twice ; enjoy stay 	 stay weekend Sept 26 , second time ( first July 4th weekend ) . agree previous reviewer little complain . arrive early ( noon ) time , times able check room upon arrival . staff super courteous , gentleman check we even remember visit . coupon hotel 's web site ... $ 10 per night , accept problem . would suggest pay extra $ 10 250 sq . ft room vs 200 , since even 250 fairly small . also bottle water replace , maid staff great . always go breakfast , continental breakfast serve good spread ( even hard boil egg ) . never wait 2 - 3 minute elevator . complaint street noise ( particularly annoying night car alarm go 4 time space hour ) , New York go territory . make reservation another hotel second stay , first plan second trip hotel web site quote rate $ 229 per night , keep check back sure enough , lower rate $ 179 ( $ 169 $ 10 discount ) two week trip - keep check web site . 
 Sep 21 2003 	 Style NYC 	 ' m wonder previous reviewer stay hotel ! arrive New York train Boston easy 15 minute walk hotel . ever - present doorman open door arrive . Quick , professional check - in . have book lodging.com - save couple hundred pound hotel 's rate - everything , include taxis , prepay . the lobby modern , although not try grand piano . previous reviewer mention lift - two would need impatient person moan wait minute lift . room two double bed . room long narrow , width two double bed plus three foot . quite long , room enough big televison , wardrobe , cd player / alarm clock two easy chair plus coffee table . quite large selection cd video front desk , thoroughly knackere 's nothing 30 - odd television channel . bottled water room ; contrary another review not pay extra $ 1 per bottle , be free ( use bottle every day always replace we maid , not charge ) . yes , bathroom small , honest bathroom home not much large not mind . bath , one wooden shower people mention . , however , clean hot powerful shower . also couple 24 hour internet access computer need check email not laptop computer you . the hotel restaurant bar - frank care ? - offer good fill cold buffet breakfast ; cereal , juice , croissant , bagel like , 24 hour self - service coffee machine . around hotel restaurant , Subway sandwich shop etc , not , walk towards 5th Avenue 34th street much great choice place . the hotel locate ' quieter ' area New York , mean get taxi horn night taxi horn + lot people . not mean be isolated . Herald Square ( Macy 's lot eatery ) three block away ; Empire State Building two . near subway 33rd Street Park Lane 's minute 's walk hotel , complaint . additionally plenty bus along Madison Avenue 5th Avenue - recommend instead subway subway car air - condition ( bus ) platform , make platform close thing oven experience long time . Times Square associate light 20 min walk away - people might seem like walk end earth we problem . Grand Central Terminal ( pick coach JFK airport ) 10 - 15 minute walk heavy suitcase - light without ! concern ; hotel keep case , properly tag , check out . in short , perfectly happy hotel . look around different Expedia - type website offer ; get good deal 's reason book ! 
 Aug 16 2003 	 Family Friendly 	 Roger Williams great place stay NYC family weekend visit . staff friendly video continental breakfast extra charge . also like location since convenient destination 
 Aug 7 2003 	 Great Price ; interesting Hotel 	 Travel , quite bit usually pricy hotel . miss bar restaurant , NYC ! ! ! grab cab . service great , staff friendly ; love cd , never room enough use . air conditioner cold , bathtub ( real turn - off ) bathroom & amp ; room small , though 4 day , not bad . would stay recommend other . 
 Aug 7 2003 	 great service lack area 
 Jul 29 2003 	 Ian Schlager Knock 
 Jul 25 2003 	 great stay 
 Jul 11 2003 	 someone stop Noise 
 Jun 6 2003 	 stay Somewhere Else .. 
 Jun 4 2003 	 nice stay advertise thi site . 
 May 29 2003 	 Service horrible -- deserve zero star 
 May 27 2003 	 great price 
 Dec 17 2002 	 excellent experience ! 
 Oct 7 2002 	 impress 
 Nov 18 2009 	 capodanno da sogno ... 
 Nov 16 2009 	 excellent hotel moderne 
 Aug 31 2009 	 SCHITTEREND ! 
 Aug 11 2009 	 Bon rapport qualité / prix à deux pas de l'Empire State Building 
 Jul 23 2009 	 Buen hotel 
 Jul 13 2009 	 Eleganza scarsa abitabilità 
 Jul 6 2009 	 Excellente situation jolie chambre lumineuse et personnel très dispo 
 May 7 2009 	 Ottimo hotel zona Midtown 
 Mar 2 2009 	 Boutique hotel 
 Feb 28 2009 	 ne vous faite pas avoir par les photo ! ! ! ! 
 Nov 12 2008 	 ? ? ? ? ? ? ? ? ? 
 Aug 28 2008 	 Esperienza del tutto positiva 
 Apr 25 2008 	 bello ottima posizione 
 Apr 14 2008 	 bien placé mais attention aux prix ! 
 Mar 4 2008 	 Magnifique Hotel ! 
