great 	 staff amazing . the breakfast dinner perfect . save we ton money perfect kid . great location ! 
 Jul 24 2007 	 great family hotel ! ! ! 	 read many review TripAdvisor , select Homewood Suites Chicago family vacation . soon arrive know make right choice ! staff super - friendly helpful . room spacious recently instal plasma tv living room nice surprise . & quot ; accessible & quot ; room huge bathroom , nice 4 people try brush tooth get ready . bedroom large bed comfy . sofabe fine two kid alternate sleep sofabe floor , use kitchen much nice one good way save money since full service Jewel - Osco grocery right around corner . 19th floor rear spectacular view Hancock Tower . the amenity hotel much well expect . pool nice , great view towel poolside bring room . elevator fast ever see . fresh coffee fruit available lobby 24/7 . bellman extremely courteous knowledgeable area get around . even free golf umbrella rain , one night . breakfast service excellent , get crowded hotel full . good job get people keep food stock . room big enough get breakfast go eat room . also serve dinner wine beer Monday - Thursday different menu every night , post room . eat first night nice salad bar delicious gumbo soup make - your - own sundaes . save money time - eat early time go walk Michigan Avenue later . the location hotel also unbeatable . short walk subway , near many wonderful restaurant ( recommend Rock Bottom Brewery ) block movie theater shopping center . Overall Homewood Suites provide we one good family travel experience . always big fan Marriott Residence Inns , Homewood Suites far well Residence Inn stay . 
 Jul 23 2007 	 nice 	 lovely hotel . great location . block free trolly stop.2 block red line subway . give breakfat dinner night . call tell dinner .... soup salad , chicago pizza , philly steak ect night something different . washer dryer.the room 2 tv handy kid . king bed comfortable pull sofa bad . could feel every bar thin mattress . kid fussy bother . room public area clean . 
 Jul 20 2007 	 wonderful hotel 	 one good hotel experience family . travel lot place everything : great location , comfortable bed , quiet room , full breakfast , & quot ; happy hour & quot ; reasonable price . highly recommend . 
 Jul 17 2007 	 stay Homewood Suites ! 	 please choice - have do much research prior trip . homewood suite centrally locate , close EL , valet parking reasonable , hot breakfast include , close Michigan Ave.-we walk & amp ; take bus & amp ; El everywhere go . room / suite great - spacious , outside noise , kitchenette . concierge ? helpful . could pleased- definitely feel get $ $ worth Chicago & amp ; definitely stay ! 
 Jul 10 2007 	 Excellent value 	 DH spend 5 night 4th July week . love Chicago ! especially love hotel . go , register 6th floor ( little weird ) . comfortable hotel though , pretentious type . lack glamour , make hospitality . people could not nicer . room fine two . end small suite , fine we . 's 10AM check - in . happy anything leave we stretch leg . true value come meal . Homewood Chicago offer 2 meal ( breakfast & amp ; dinner ) M - Th . call light meal , would not . night different theme side galore , even keg beer bottle wine night . DH love unlimited beer ! save we much money ! think great place family . pool bit small fitness room , include daily pass Crunch gym next door . DH say great gym ! overall expereience excellent ! 
 Jul 9 2007 	 Excellent deal ! ! ! 	 stay excellent . amenity expect . full continental breakfast dinner appetizer weekday . Access Crunch gym main floor . Free wi - fi room . staff friendly accommodating . excellent location local restaurant mass tran . would definitely stay would recommend other . 
 Jul 8 2007 	 Great Location - reasonable rate 	 pay $ 159 two room suite ( on - line nonrefundable rate ) . include breakfast meal dinner Mon - Thurs . great perk three kid ! nice two room kid go bed . great view 14th floor . could see construction new Trump Tower . everyone hotel great customer service valet , front desk , food service worker . two block Michigan Avenue , block ESPN Zone , across road form Nordstrom 's . take trolley back Navy Pier . stop right front hotel . walk Navy Pier trolley service not start 10 . 
 Jul 2 2007 	 Good Hotel 	 stay Homewood Suites four night 6/27/07 - 7/1/07.pro'svery hand location , close Michigan Ave Red Line . good sized suite kitchenette . several nearby grocery store - Trader Joe 's , Jewel Osco , another local one whose name can not remember far Dominick 's upmarket ( $ $ ) shop Fox & amp ; Odell 's temptation not far away Illinois . include breakfast buffet suitable we , might little limited hearty / varied start day . include Mon - Thurs evening food basic , could use stretch budget provide salad / side meal put together suite . excellent mattressCon'sDifficult shut doorloose flush lever room 's toiletdelay lift busy period . would certainly consider stay next trip . 
 Jun 19 2007 	 good family place great service 	 ( family 5 - 2 parent 3 kid ) stay 3 night mid March 2007 . come airport , choose walk train - 20 min city . hotel easy find welcome . suite well appoint one room two double bed pull sofa bed lounge . well equip kitchen fridge , microwave , toaster , coffeemaker etc . accomodation spacious , certainly feel could stay comfort week long . the room service really helpful excellent . the hotel renovate mean breakfast move two room . really not matter we find breakfast plentiful , lot fresh fruit , yoghurt , cereal well calorific fare . staff friendly accept excited kid first day holiday wanting try everything ! ! hotel well locate sight especially magnificent mile navy pier . our good experience leave go airport , doorman order we taxi . get airport , 13 year old discover cell phone miss . 13 year old , realise MAJOR deal . contactd hotel helpfully check room - nothing . put we doorman , know taxi driver , give we cell phone number . sure enough phone car . drop back hotel post we charge . can not beat customer care ! 
 Jun 9 2007 	 good Stay ! 	 large 2 room suite regular door close room . full kitchen include full size refrigerator , 2 burner hot plate , dishwasher , plate , cup , glass , etc . room could clean . furnishing somewhat worn . bed comfy . full grocery store ( convenience store ) 2 block away . big family could really save money make meal room . huge breakfast . week also serve full supper . one night noodle , chicken parmesian , veggie , assorted salad , ice cream , pudding , beer , wine , can soda , etc . staff helpful crabby exception . often bump manager greet we hallway , especially meal . location great . price reasonable downtown Chicago . 
 Jun 2 2007 	 huge room perfect location great breakfast 	 stay four night end May two teen college gal . room large , plenty room girl stuff ! big kitchen , two tv , lot space family . buffet breakfast good , great deal . hot buffet food , plus make - your - own - waffle week , many healthy choice include several type fresh fruit . evening meal wonderful , hot buffet plus salad bar healthy choice . perfect recharge young people ' ve sightseeing day . we enjoy free wi fi connection room . room quiet . window open ! pleasant little fresh air . decor room simple , pleasant quite clean . as other state , location perfect . Nordstroms Westfield mall across street , one block Mag Mile . Millenium Park maybe 15 minute walk , major theatre easy 10 minute walk ... walk Wicked heel , problem . House Blues 5 minute , movie theatre around corner , ESPN one block away , Water Tower area nice 15 minute walk , jump subway blink . subway red line one block away , line get Wrigley stadium go north , Chinatown Museum Campus area go south . hotel guest get complimentary use Crunch fitness center right next door ... excellent ! every type equipment group class could want , welcome Homewood guest . hotel staff pleasant helpful , although see meal check , zero problem hassle . highly recommend hotel base operation family . note serene ( get fancy food ) week , weekend hectic busy many family hotel . 
