impressive 	 stay girlfriend / now fiancee ( propose London ! ! ) 2 night November 09 , receprion area walk stunning check - in efficient ( I ve lot place one smooth ...... trust ) . room great , bed huge everything clean , also huge tv room system could play mp3 player . gym small adequate , pool area / gym / sauna / steam room great really easy find huge hotel ! location absolutely brilliant tube station 30 second away 10 min oxford street , definitely back ! ! ! ! 
 perfect hotel location 	 stay week may deligte stay . book n / s family room 2 double bed hard find london . room assign corner room large many stay north american cite . room bathroom clean bed incredibly comfortable . hilton always brand one trust . already recommend hotel family friend due easy acce tube short walk oxford street . well excellent coffee shop , supermarket restaurant doorstep . definitely stay future staff could helpful interested making stay memorable . congratulation staff superbly manage run property expertise . 
 oct 2 2009 	 big 	 check around midnight ..... good reception staff . reach room ; card key would open door . return downstairs receptionist cut two key . still work . return downstair concierge let master key promise send maintenance man mend door . could go bed leave room wait maintenance , turn television ... nothing happen ( would 2 job maintenance ) . half hour , return downstairs really want go bed , Concierge apologise profusely desk swamp enquiry call maintenance . say 01.00 interste wait everything mend ; want room work ! credit , receptionist immediately arrange move upgrade room wing 5 minute ' walk away . , everything fine . the breakfast room well organise , buffet offer good variety cook food great , probably hotel trying cater many people . economy scale make good great hotel . 
 Sep 29 2009 	 good location nice room 	 location hotel good walker . 10 - 15 min walk Marble Arch Oxford St . 3 min edware station 12 min Paddington . Edgware Rd ethnic community walk evening feel safe . good pub Chapel Street Pub ( modern , gastro , trendy ) Monkey Puzzle pub Suxxes Gardens . pub great atmophere , traditional good steak pie ever . excellent ! room queen size main tower newly renovate . update nice new clean bathroom furniture . beware check in / out busy hotel prepare wait . staff friendly helpful . forget pool , be dark dingy . costa coffee lobby highway robbery . L15 coffee muffin . walk Marble arch go Wetherspoons . restaurant hotel lobby serve excellent thin crust pizza . would stay . 
 Sep 29 2009 	 Good City Hotel 	 good hotel base business pleasure visit London , right opposite tube station , although Edgware Road nice area . book executive room little small adequete . Executive Lounge great end day relax , complimentary drink nibble . grip fact pay £ 15 24 hrs internet access . think free least much cheap price . overall good hotel visit London 
 Sep 28 2009 	 much well grey drab exterior would suggest 	 ' ve always put stay ' 60 multistory carpark ' exterior location beside Westway flyover . close Lord 's Cricket Ground benefit cheap price gave try London one Day International . I lucky get upgrade Club level use excellent Club Lounge - good drink snack excellent breakfast . suppose get see much else hotel . big hotel busy tour group sport bar downstairs look particularly invite . my room good - large ( London ) , well - furnish comfortable bed . staff friendly helpful . still see inside , stay much well look first appearance . 
 Sep 25 2009 	 bad Hilton ' ve stay ! ! 	 check hotel 4 night Sunday Sept. 13th - definitely unlucky date . general area hotel one would expect Hilton , room Tower leave lot desire ! ! use word & quot ; tired & quot ; would kind - dirty , stained carpet , filthy window bathroom definitely see well day . door room look though someone take crowbar point wood around lock area chew up . price hotel extortionate , even London standard , breakfast , drink , etc . double triple anywhere else ' ve stay Capital , hotel similar high standard . definitely hotel would use London . 
 Sep 24 2009 	 terrible horribly expensive rubbish service 	 purpose hotel make profit owner , show . stay twice time movie system fail . it be horribly expensive food good quality . try Quality Crown road - cheap nicer 
 Sep 21 2009 	 Huge Hilton Hotel Superior Service 	 husband really like everything Hilton London Metropole . stay comfortable twin - bed room 449 tub separate shower excellent Crabtree & amp ; Evelyn tolietrie . wish would time use indoor pool , look invite . the extensive buffet breakfast restaurant exceptionally good almond croissant delicious . pancake waffle average , well . find service throughout hotel outstanding . whoever charge manage hotel highly commend . huge hotel run smoothly provide quality product amazing , stay many hotel would well - serve come Hilton London Metropole learn hotel manage ! 
 Sep 20 2009 	 Perfect 	 Perfect location safe area kid / teenager . close Oxford street use walk . really really good food hotel restaurant . great staff - very helpful . Non smoke hotel . love 
 Sep 19 2009 	 Depressing 	 stay two night Hilton conference find depress experience . view interior stair well could not see day light . room must ' ve smoker faint smell smoke . iron work not waste paper basket . take age lift come go room . feel whole hotel tired datedOn plus side staff efficient relatively friendly food good.it also walk distance form Oxford Street although nice part capital . restaurant shop around catered middle eastern population area . ' m sure price company pay know drink bar expensive . 
 Sep 19 2009 	 faith restore Hilton 	 Hilton fan must say hotel let . hotel great location far Oxford St. Outside hotel Edgeware Rd find restaurant every culture italian , Iranien Lebonese . the Edgware tube station right opposite . come Heathrow , take Paddington Express , cost £ 32 return . Change Bakerloo line underground one stop . Checkin smooth friendly . reception area nice plenty seat bar . shop within hotel essential also jeweller . room bathroom small enough stay long , might want large room . Tea & amp ; Coffee , Iron tv good selection movie . there sport bar bar food . breakfast nice . good selection fruit , cold meat , cheese , cereal cook food . good service round find usually let Hilton down . a nice restaurant 23rd floor eat nice poolon 3rd floor . 
 Sep 18 2009 	 Ideal Location pricey 	 stay two night westend show , e - upgrade executive room happy find checkin upgrade , executive lounge access excellent long shopping sightseeing walk round london , perfect location tube nice hotel , drink eat expensive £ 8 glass wine , get good deal hotel go , be not anything special 
 Sep 16 2009 	 GREAT LOCATION 	 hotel fit 4 people one room since travel teenager ! great location , close two tube station . service good put west tower little walk quiet . room clean smell ( always get even clean room ! ) first time country wonderful trip . Website say pool seem part spa package , sure since not time lounge pool ! 
 Sep 16 2009 	 Fantastic Stay - Fantastic Hotel 	 return 6 night stay hotel , say Fantastic . service , staff - nothing praise . yes , lobby constantly busy , consider please business hotel catering business clientele large group coming go time . constant influx people staff manage keep thing flow nicely . breakfast include room morning , 2 morning get downstair rather late find crowded breakfast area , staff manage handle crowd well get we seat minimum amount wait . food offering buffet varied , freshly make order omelet superb - complaint . especially high mark Tobias Executive Lounge help situation stay , Joel concierge help plan trip Windsor . Tube Station right across street , Hyde Park 10 minute walk away , several bus stop nearby , transportation need quite easily meet well . would stay ? heartbeat . would recommend friend ? absolutely ! 
