good 	 make reservation take advice traveller site . arrive 11 hour flight midday , quiet room look court yard ready we . room overly big , clean comfortable bed , great shower clean bathroom . nice decor good amenity . thoroughly recommend Cafe Pescatore adjacent hotel food good . ideally locate Fishermans wharf , cable car , plus supermarket across road . staff friendly helpful ( even buy we English Tea hot water ) .The wine reception great idea nice meet traveller great access free internet access room . 
 May 3 2009 	 Excellent hotel close Fisherman 's Wharf 	 third time stay Tuscan Inn time excellent . the staff friendly go way help . double room 2 queen bed . although room huge , room still easily big enough 2 adult child ( plus 3 week holiday gear ) . hotel close Fisherman 's Wharf ( 5 minute walk max seafront ) close get noise . base cable car line one block away safeway one block away well . at 5 pm every day hotel hold informal reception couple glass wine normally food bring italian restaurant next door . spend exhaust day walk hill SF , great way unwind head meal . case use adjacent italian restaurant - if stay Tuscan Inn get 10 % bill . they ' ve get underground garage Tuscan Inn not use , need car SF . cable car provide easy way get around SF cost soon mount use continually . walk much time take view . 
 Apr 26 2009 	 Excellant Value Location 	 first trip SF sure stay . hotel location could well . block wharf 1 block cable car turn around . room nice & amp ; clean . wine reception nice could use seat . find nice place eat breakfast block call Hollywood Cafe . large selection cheap price around food excellent . staff & amp ; concierge helpful give we lot tip see eat . would stay without second thought 
 Apr 24 2009 	 nice stay tuscan 	 find great mid week deal include discount parking . front desk staff efficent friendly . lobby area decorate nicely nice chair sofas mingle head fun . tuscan offer complimentary glass wine 5 nice touch . room stay two double slight view Coit tower . nice flat screen tv . room clean bed comfortable . room also free wireless ' ve read hotel nearby not . nice visit SF season really enjoy stay . nice BW ' ve ever stay . high rating TripAdvisor . perfect location Fishermans Wharf . 
 Apr 23 2009 	 Mixed Feelings 	 upon arrival hotel instantly upgrade 7 night stay also receive complimentary champagne arrival delight make feel welcome ! room exceptionally clean also bathroom . say see everyone review hotel compliment front desk staff actually find second day unhelpful actually quite rude ! internet connection hotel lobby politely ask front desk print ticket alcatraz leave wait 10 minute rudely tell really need print concierge could help , also find put request ! also third day come back long day sightseeing stop front desk ask milk sugar send room want coffee long day tell go restaurant ask wait staff take room ! imagine happy ! ! ! ! point realise would keep use hotel sleep nothing else exactly do . really dissapointe honeymoon hope somewhere would look little . so sum look somewhere lie head long day place look something bit special good customer service avoid place like plague 
 Apr 16 2009 	 good option San Francisco 	 hotel good selection San Francisco . Front Desk Housekeeping efficient , friendly helpfull . hotel clean till small spot . location well ! Fisherman 's Wharf , 2 block pier30 , close main transportation spot attraction . good value money ! definetely come back San Francisco ! 
 Apr 16 2009 	 great location pretty good hotel 	 stay several Kimpton hotel say Tuscan Inn one good . nice Best Western . upon check - in reservation ( book Hotels.com ) woman work counter friendly act annoyed . eventually find hard copy reservation get room never apologize mix - up anything . room nice big thought would good . bathroom clean bed comfy . the location really good part . right bus line 2 block action Fisherman 's Wharf . I not know Tuscan Inn would first choice place stay next time would not last either . be maybe . 
 Apr 14 2009 	 Perfect Stay 	 return 5 night stay Tuscan Inn . upon arrival greet immediately got check within 3 minute . I ' m sure many people say room small , standard king size bed room huge opinion . end hall small courtyard view . room nite respite noise city great quiet getaway night . we extremely please cleanliness room . not get clean . the bed extremely comfortable amenity excellent . provide great aveda product bathroom . Free Wifi room , free wine reception evening great . all staff friendly , though find maintanence housekeeping staff warm building . I take advantage concierge service , see many people receive great service they . we would defenitely stay again . great value service price ! 
 Apr 10 2009 	 Excellent Service - Great Location 	 room clean comfortable . staff service exceptional . not think could well location , especuially be visit city first time.easy access everything - 's even safeway next door would like garb muffin breakfat . free happy hour really make visit extra special - meet many wonderful people 7 day stay way . 
 Apr 7 2009 	 every hotel staff ! ! 	 I m actually still hotel could not wait write review , moment arrive staff good western could do we . Manager , way car porter , never enjoy stay hotel like stay . every hotel staff best western tuscan inn . 
 Apr 6 2009 	 Perfect Fisherman 's Wharf Location 	 great place stay . perfect location near Fisherman 's Wharf . easy walk popular spot trolley car . kind helpful staff . good restaurant . nice complimentary happy hour 5 pm daily snack , beer , wine . allow we meet new people stay well . would stay hearbeat ! 
 Apr 4 2009 	 nice comfy convienent hotel 	 stay 10 year anniversary like convience hotel . use recommendation other stay well trip advisor request courtyard room . not get first night night , thankfully room first night quiet . hotel suppose deliver champagne request sister that- little dissapointing ! concierge lady front lobby rude feel like inconveiance ask question . LOVED Hollywood Cafe street Noth Point ! crossaint fruit really good ( husband share , huge ! ) 
 Apr 2 2009 	 comfortable bed quiet room easy access SF 	 room smallish could get little damp not keep air conditioning unit , bed comfortable , courtyard - view room quiet . wine taste evening fantastic feature , time perfectly could glass wine go dinner . checkout early Wednesday morning take 2 minute complete , complaint staff . the concierge give discount book city tour restaurant , although try Neptune 's recommend we feel overpriced service quality . Fisherman 's Wharf touristy , appreciate safety area night , store close like Safeway Walgreens . Tuscan Inn close muni system cable car , 2 bus line able travel city without car . 
 Mar 27 2009 	 okay sale price 	 get great reduce rate complaint price . mattress sub standard - creak sitting turning . Fisherman 's Wharf rate . 
 Mar 25 2009 	 talk Amazing Service ! ! ! 	 take daughter San Francisco 30th birthday & amp ; treat like visit royalty ! many little extra mention limited space , couple : request prepare cheese fruit platter we take Napa outing imagine surprise box open - gourmet assortment cheese encircle orchid , freshest various fruit , include chocolate dip strawberry ! hotel staff - whole - happy go beyond satisfy request . room bit small - sleep - complaint ! ! ! 
 Mar 21 2009 	 Location Location Location 	 spend five day Tuscan March . find staff helpful especially Jose . one hour reception nice . surprise , wine , also beer , soda juice appetizer . coffee tea morning . think stop serve biscotti - mistake . agree traveler room small , street noise sometimes annoying . hotel Fishermans Wharf pricey money - would recommend hotel friend . find sale internet . Safeway great save money food . also less block away Subway . little place road ( Hollywood ) exceptional breakfast $ 10,00 . fruit well ever . car , hear complaint hotel hotel well expensive . also - would advise get map arrival one store wharf - lot informative one give hotel . 
