trendy 	 hotel excellent location , couple block away Broadway ( Time Square ) choose hotel cool picture website . altough cool website , hotel still modern stylish . as use hotel sleep , give opinion regard room impression . use facility also chance experience either restaurant bar . the room book standard room . clean stylish , little small taste . the bathroom pretty decent provide brand toiletry L'Occitaine . as almost never hotel express much staff . guy bring bag room friendly helpful . guy escort departed . , interaction staff basically he . as mention early location excellent , reach anywhere NY midtown foot . also undergorund station outside hotel 's entrance . in opinion hotel suitable young crowd ( 18 - 30 ) Overall enjoy stay Dream . 
 Dec 16 2008 	 Nice hotel Shame staff 	 fiancee book go Dream hotel first trip NYC , book look like something different nice ! upon arrive hotel look nice fairly small well maintain ! book trip Expedia pay hotel upfront voucher present clearly state present voucher room would give pay everything advance start check worry one Front desk staff ask credit card incidental usually ok take copy card fine , hotel different advise would need credit card $ 100 per night stay pre authorisation ( stay 6night $ 600 ) say would not check we could not provide ! ! ! totally shocked understand need sort back $ 100 per night ! ! do not sort money nowhere state need already pay upfront room advise could not room already pay do not money want credit card ! ! switch card money be not expect refuse ! ! also advise cash be not acceptable end manage put $ 200 cash first night arrive saturday mum back UK send copy credit card also problem advise do not receive find lie around block room also even though sort . staff find quite rude attitude we favour even though room already pay ! ! ! regard room book medium room , thank god still small , small room must tiny ! ! room spotless evening cleaning service need towel etc bed would redone evening nice ! although 6night shampoo / soap never change never get new although pretty much run this . the hotel location amazing really short walk Times Square Theatres etc also close central park . can not knock location fab ! ! careful hide charge room ! ! ! 
 Dec 2 2008 	 great location nice hotel 	 stay November 21 - 25 Dream Hotel . location perfect , close Time Square Central Park . nice hotel nice room . stay Kingbed room wich really King ok . concierge really good help question . would recommend hotel anyone city discover NYC ! 
 Dec 1 2008 	 seem 	 stay Dream past weekend difficult understand 5 star review come . mistake think good value alternative Hudson W hotel . want spend time hotel , one . overall standard simply not dark tired lobby understaffe poorly train front desk . general feeling seem exist guest , elevator two unsolicited conversation call hotel & quot ; dump & quot ; & quot ; seedy & quot ; maybe bit harsh . positive side bed comfortable , shower good , Chopra spa separate hotel unique great treatment . location convenient go feel special walk poky lobby squeaky front door morning . well alternative neighbourhood . 
 Nov 26 2008 	 Fantastic Weekend Base NYC 	 stay Dream Hotel boyfriend weekend back February . we spend age try find affordable , stylish hotel eventually find great deal Dream hotel ebooker . even without deal , would highly recommend hotel . staff incredibly helpful friendly . rain one day reception lend umbrella . want quick burger last day go airport girl behind reception desk recommend amazing place around corner hotel . the reception area really beautiful big gold throne , fish tank statue - OTT cool stylish . room standard room pretty compact big enough need . amazingly comfy bed , big flat screen tv variety channel , cool radio , fluffy bathrobe plenty storage space . love way bed light underneath , cool ! location fantastic , could wander central park 5 minute 's jazz club far away Lincoln Center everyone go - Dizzy 's Coca Cola Club . easy get taxi outside short hop anywhere would want go . all really fantastic base amazing weekend NYC ! 
 Nov 2 2008 	 Dream big dream Dream 	 stay Dream weekend . love service , eye detail location . staff extremely helpful . Lunch Serafina , facial spa , drink ava lounge . stellar weekend . room comfy , clean bed cloud . highly recommend stay go back . 
 Nov 2 2008 	 Great Hotel 	 return 4 night stay Dream Hotel , NYC . could not fault anything . stay large room 2 double bed . room big airy . location hotel excellent . first time NYC would not hesitate return stay hotel . unfortunatelly terrace bar shut , enjoy view city Penthhouse bar . staff friendly helpful . 
 Oct 29 2008 	 Good Location 	 great location cool hotel . find staff nice desk like apple turndown . room small , even New York , however not long , not really make difference . would stay . 
 Oct 16 2008 	 great location clean 	 hotel close everything , not , subway 5 block away . Time Square right . walk hotel ( corner ) see , amazing ! ! room stay big . quiet clean ! ! bed great ! bathroom big . shower , fine we . nightclub top level , stay 3rd floor hear nothing . review mention elevator wait - we take stair . another place drink main lobby . offer cont . breakfast , across street diner . go every morning . not one bad thing say experience hotel . would stay , ... aquarium lobby soo cool ! 
 Oct 12 2008 	 great location 	 great location , walk lot attraction . service pretty good , room small comfortable . good restaurant . 
 Oct 9 2008 	 sweet dream 	 bad think hotel room first floor ( noise polloution horrendous first room ) change room soon ask rest stay spot ! bed comfortable stay basic double bed . location well .. 5 min walk totimes Square Broadway good idea side escape hustle bustle . room small , everything need , clean modern . girl warn ( GHD straightener not work state ) well think hotel rooftop bar . cocktail not come cheap , suppose be pay fantstic view . would deffinetly recome hotel , couple , friend etc , probably family . 
 Sep 25 2008 	 dream hotel - quite dream 	 let start pro dream hotel .... overall would call 3.5 star hotel NYC.- really nice , large flat panel tv room . great watch good space saver since room tiny- clean , especially rhe bathrooms- excellent location 55th broadway - great jumping spot central park times square- Fun hip feel inside- Apples pillow - nice ! - great toiletry - soap , etc great qualitycons- slightly snotty staff- tiny room image - even small NYC . even elevator small luggage could barely fit door.- build around huge air duct , run time noisy . get room second floor unbearable . not sleep wink . change room . hotel would apologetic . act like favor . move 9th floor , still slightly noisy.- uncomfortable bed - small normal queen sure . 5'11 & quot ; hit end . hard beds.- Way overpriced hotel , hotel bar , spa - even NYC.- Housekeeping knock door time reason . - Weird NYC crowd roof bar . overall - small , snotty , nice much pay . many hotel new york - pick another one like westin times square , W , etc . 
 Sep 22 2008 	 good location average room price 	 hotel close Central Park , Rockefeller Center exclusive designer store . hotel attempt luxury hotel reasonable price . spa , gym restaurant . room comfortable clean . yes , blue neon light glass desk bed edge . guess 's chic touch , personally not like much . room 36 & quot ; LCD tv hang wall Bose radio . bathroom clean compliment hotel image replace shower tile accessory rust . also offer bathrobe , turn bed instead chocolate , sweet healthy delicious red apple . we stay room 116 right Serafina Restaurant Broadway . little noisy due traffic restaurant , tired sleep thru night . staff helpful nice : front desk , concierge , bellboy , housekeeper , everyone . the restaurant expensive though . 2 ravioli dish , 2 glass sangria complimentary focaccia bread pay $ 65 . next morning breakfast Apple Jack 's across street Broadway , like Denny 's restaurant . hearty cheap breakfast . I love soap shower gel L'Occitane . overall , service good , consider hotel price midtown Manhattan , would stay would ask room 6th floor . 
 Sep 6 2008 	 hip 	 ' ve New York couple time hotel expensive poor quality . one pleasant surprise - room well make nice lighting , wonderful bed great shower , location right next central park metro station . even give apple every evening : ) downside quite expensive room service thing wake 8 - 9 am . try find not disturb sign somewhere without much luck . overall great hotel especially business stay high speed internet room free . 
