great 	 stay Apex weekend November base review site . disappointed . stay King Deluxe room first floor room HUGE ! bathroom large bath walk shower . my gripe pillow terrible ! standard one feather would suggest order extra foam one comfortable night . the room quiet London could hear wind tree small square opposite window . within 3 minute walk Tower Hill tube station , take Embankment 5 minute walk Leicester Square etc . Ideal Tower London across road . not food hotel pub around block full english breakfast £ 3.99 ok we . also pizza place , noodle bar various eatery within 5 minute walk . would also suggest walk Tower Bridge walk towards London Bridger South Bank multitude place there . all fab weekend fab price . 
 Apr 22 2009 	 could not make well choice ! 	 MrReaves take weekend trip London birthday past weekend . read review review , seem impossible find hotel London affordable total dump . lucky decide Apex ! arrive check - in time , almost immediately greet reception staff even though several people line ahead we . check exceptionally quick , small carry - on bag take concierge storage explore ! hotel locate catty - corner around block Tower Hill tube stop . * * Opt one instead aldgate use Underground get hotel . * * also locate close Tower London within walk distance Tower Bridge London Bridge . we take time get back room , awesome except one minor problem not find morning ..... will get ...... room 355 . look onto alley construction do building next door . never hear first peep alley . arrive Friday british polite make noise weekend , new favorite people ! room king bed 4 comfy pillow . large flat screen LCD mount wall several medium port build wall underneath -- notably usb port . also provide free internet 24 hour , problem use laptop search fun stuff see do . here be one problem , fair , read site hotel review . shower magnificent -- plenty room heavenly water pressure , water shower decide detour drain , run bathroom floor . little bit -- -A LOT ! even sign door tell dry foot enter bedroom ! shower door glass , 1 & quot ; gap shower floor . aesthetic one thing , ignore practicality sake keep bathroom look neat good . reason not give 5s across board . leave concern comment forum hotel website , wait reply . we spend 2 day place , always welcome warmly staff . check also efficient , leave 4 am Sunday ! ! can not comment restaurant hotel say always full folk dine glass wine hang call Cozy Room ( be line couch throw pillow nook cranny ) .Overall , would definitely stay hotel , would suggest friend stay well . also , get good deal room hotel 's website , sure check well discount site . 
 Apr 19 2009 	 First Class Base London near Tower Gateway DLR 	 first class base London , near Tower Gateway DLR ideal arrival London City Airport . impressed helpfulness courtesy staff encounter , especially Karol concierge Paul Head Waiter Breakfast . breakfast fabulous , deluxe room spotlessly clean spacious excellent walk shower . -room entetainment system new impressive . Easter Weekend hotel ( London ! ) fairly quiet even busy sure service would good . 
 Apr 19 2009 	 Great Hotel 	 second stay Apex Hotel , first London City . check - in quick . give complimentary upgrade Deluxe Bedroom . enter room could believe big room . come sofa 40 & quot ; LCD tv . luxury come mind . come handy watch football ! bedroom well docorate clean . staff extremely friendly . not food hotel comment . location hotel great . minute walk Tower Hill Tube Station near well known eat place . area quiet night . thing not like bed . comfortable . maybe use firm bed . use soft bed problem . come romantic day away get exactly . recommend hotel everyone . bit expensive well worth want away hustle buzz city centre . 
 Apr 14 2009 	 Excellent Location Value - check room window ! 	 recently stay hotel . book internet amazed fantastic rate ( £ 59 excl vat ) room . hotel stylish room lovely - bathroom spacious everything need .... except window . room locate basement whilst quiet , think have preferred room window . late ask room change already use couple facility not check late night . location hotel super - right near Tower Bridge Thames clipper stop . would recommend revisit . 
 Apr 13 2009 	 great hotel good location 	 read hotel rip off London wary everything place positive . decor date clean , small amenity expect , staff friendly helpful . location excellent one small caveat . two minute walk Tower London Charing Cross tube station , since business district , restaurant pretty scarce , particularly weekend . say Pret cafe several door great quick snack ( close Saturday ) Trafalgar 10 minute Tube . like quiet 's perfect . room large quite comfortable London standard . 
 Apr 13 2009 	 great choice 	 Modern , comfy bed pillow , free internet room big plus , friendly helpful staff everything work ! room nicely furnish clean line excellent modern roomy bathroom . location great - walk many tourist attraction 2 min Tower Tower Pier great access river Thames cheap river transport . safe quiet great choice single female traveller . 
 Apr 12 2009 	 one night apex 	 find apex booking .com , hotel perfectly situate sight pool london short walk tower bridge etc . the hotel modern lot focus design lighting work well , room top notch , modern mod con would expect include flat screen tv nice sofa watch , room view tower bridge . I would recommend hotel especially get deal one late book site , leave morning feeling like somewhere special . 
 Apr 7 2009 	 Modern Bright clean 	 lovely bright modern hotel . room excellent service efficient friendly . try one breakfast sorry try more . close Tower Hill station access town , across river excellent new restaurant pub well . Robert Duffy 
 Apr 6 2009 	 Great Location near River 	 stay hotel one night , locate quiet square close Tower London River Thames , also free wifi . room lovely , clean spacious . evening walk along embankment side river . breakfast good lot choice excellent full english breakfast . staff friendly helpful . would stay . 
 Apr 2 2009 	 amazing city stone throw Tower bridge . 	 one good hotel ' ve stay , pricey worth . staff go way help ensure stay good one . 
 Apr 2 2009 	 ideal special long weekend central London budget 	 Staff really welcome attentive give good advice . Breakfast ( continental ) good not bother cook one look good serve quickly . room modern , comfortable , usual facility include big tv walk shower . clean smell pleasant . convenient tube , river transport 02 Westminster . conference facility look ok . great find - go back soon ! 
 Apr 2 2009 	 Ideal hotel 	 would stay . please budget room service receive two day stay . hotel location ideal sightseeing close tube station . planning stay soon . 
 Mar 31 2009 	 simply well 	 stay many hotel last twenty year Apex stand beaconof excellence otherwise sea mediocracy . hotel locate within short walking distance Tower Hill tube station well serve CIrcle Disrtrict line . room public area hotel cleanest ever see , young staff credit . hotel tsaye find fault . hotel stay London . 
 Mar 30 2009 	 great location comfortable bed quiet great bath clean good value . 	 stay Apex City London hotel weekend break sightseeing 27th 28th March 09 . Clio Reservations extremely helpful booking , find rest staff friendly helpful also . bathroom spotless , huge deep bath , wonderful , great shower , toiletry lovely , plentiful . bedroom also clean - bed huge comfortable - great night 's sleep night outside noise . fridge safe room - glad use . pay extra full breakfast book , could room want ( first morning - come request time everything nice hot ) although fare lay Continental breakfast also look delicious would probably next time . location excellent ; 2 min walk Tower Hill tube lot bus , couple nice pub nearby also serve food . sightseeing every day lovely come back peaceful room , soak bath , relax extra cushion provide bed ! would definitely stay , would recommend hotel friend anyone know travel London . weekend rate good high standard accommodation , good value London . rate week higher , though , City London still largely business district , attract business visitor Sun Fri . could find fault anything hotel ; really enjoy stay definitely book Apex City London hotel next trip London ! 
