great 	 world travel gay couple rarely find homophobia . upon arrival hotel greet young lady front desk . ask we three time correct want king size bed . assure correct sneered look like go ill . maybe , defense . warm greeting . the next day ask concierge time TKTS discount broadway ticket booth Times Square open say idea walk . stun we . later day different concierge hand helpful . room huge , comfortable clean . location can not beat . recommend hotel friend probably stay somewhere else next visit NYC . 
 like home 	 really really like hotel , nice place , easy reach mean ; service perfect , price effordable worthy people gentle . 
 Beautiful Hotel RUDE Front Desk Personnel get low mark 	 hotel surprisingly beautiful woman front desk horrible . misdirect room go hotel trying find , keep insist direction accurate . take colleague notify direction flaw even notice still not apologize look computer . later need call front desk person answer - quickly interrupt conversation response hang . beautiful hotel staffer work MOTEL , hotel . recommend hotel mindful rude staffer 
 apparently many folk think be Leona Helmsley 	 stay past ( 2009 ) Thanksgiving complaint whatsoever . the room ( king smoke 14th floor ) large comfortable clean . my good tip ? * * roosvelt deli west end block . cheap , friendly ( ! ) , open 24/7.i think 's safe assume property renovate part Holiday Inns ' & quot ; makeover . & quot ; , ask two cent ' worth , would bring two things:1 ) bright lighting , 2 ) ice machine every floor -- currently be stagger . meanwhile , must say like . travel would prefer , would definitely stay property . 
 Basic Accomodations .... get pay 	 bad hotel mean ... basic run . decor old drab , location mean great . however , far Columbus Circle , Central Park choice , right . unfortunately , get stick hotel Hotwire . sometimes get good , sometimes get bad .... time drab . 
 Jul 9 2009 	 nice stay great city 	 stay 4 night give hotel Virgin Holidays . hotel lobby main area clean spacious , go lift floor hotel seem bit old place , corridor smell wierd odour . room fine comfortable daily maid good . bathroom small door close . trouble road noise sleep fine . bed comfortable . breakfast Gotham Cafe tasty resonable . walk heart NY - Timesn Square , take 15 minute . nice area walk . would use hotel , would look somewhere else first could get well price . New York wonderful city everyone visit great time , can not wait go back . 
 Jul 6 2009 	 good value good definatley bad 	 stay December 2008 2 sister mum 4 night christmas shopping trip . think hotel quite nice nothing ordinary might sound like not impress term value money really good . room decent size clean could bit update . downside think lttle way map not look much way reality have full day shopping walk last thing want walk back hotel . day use taxi great . honest go would go back Wingate Inn Wydnham location spot fully book have certainly consider one . 
 Jul 5 2009 	 Excellent value location . would recommend hotel . 	 stay 5 day June 2009 . hotel good value great location : close Central Park ( 5 - 10 min walk ) Times Square ( 10 - 15 min walk ) , also subway station nearby . room good size clean ( clean daily ) . hotel staff always helpful . I would recommend hotel , would struggle get well value money Mnahattan , would definitely stay . 
 Jun 30 2009 	 Dirty Hotel Horrible Service 	 hotel choose function attend . prior arrival , attempt change reservation ; unable deal competent person - ' assume ' could onsite . wrong . customer service horrible . enter room - dirty ( dust , grime use cup ) ; request room change tell & quot ; & quot ; ... demand re - clean - claim ( standard ) . think go new hotel , refund give ( period ) . also , first night wash cloth . call front desk housekeeping act like ' ve never hear item . could go ... bottom line - never stay , would recommend anyone . 
 Jun 30 2009 	 please do not go 	 stay reason service terrible . book room week advance arrive check date wrong , day long stay , state could not would not alter . inform booking room still pay day even . ask cancel reservation get room , advise would still bill we 4 night . yet resolve issue management . room fine , can not see we stay . 
 Jun 29 2009 	 well position hotel tourist visit 	 visit hotel couple night part UK tourist group . room facility /cleanliness good . main lobby always seem crowded guest come go . use restuarant breakfast adequate although member group find service slow . find bar price extortionateHowever hotel well position access tourist part New York safe enough area . range small shop / cafe nearbye . look really good meal drink without break bank try Kennedys irish pub 300 YDS along 57th St. good meal even much classier place 
 Jun 27 2009 	 Terrible Service Water day Slamming Doors Great Location ! 	 negative hotel overshadow positive , start negative . the bad : first , floor 3 - 18 water 30 hour . mean go restroom realize water way flush human waste toilet without water pressure . second issue , guest would discard food tray outside room hallway . tray would discarded food . tray would hallways day time . two floor alone , one walk every time . third issue , walk discard tray rot food 48 hour , smell start get pregnant wife . pick tray take front desk could something . explain lady tray not mine , sit hall elevator two day food start rot . instead apologize , woman front desk ( people check ) say , & quot ; would bring front desk ? want ? ( censor inflammatory religious reference ) nerve ! & quot ; also , hotel floor 3 - 18 lose water , AC , ability evacuate human waste guest room toilet 30 hour staff rude deceptive reason amount time restoration . staff refuse relocate pregnant wife 12th floor another hotel , say free expense . however , end trip refund 50 % ( one day ) 30 hour without water , satisfactory solution I . the hotel also noise issue door . door slam hard wake wife time someone half floor enter exit room allow door naturally shut . pool hour hotel 10 am 6 pm . would think would maybe noon midnight . wife not able make use pool 6 pm closing time . the elevator slow crowd well sometimes not always function right . the good : not horrible handle food tray situation lack water issue would enjoyable stay ! good part hotel location . large amount subway line & quot ; Columbus Circle & quot ; station actually access underground tunnel 's 57th Street 8th Avenue ( great 's raining ) . quickly easily use subway go anywhere , include Citi Field , Brox Zoo , New Yankee Stadium , anywhere Manhattan . also , be within short walking distance Times Square , Broadway theatre , Restaurant Row , beautiful Central Park . although receive generally bad service , one nice young gentleman man front desk night , gem . the room not huge , not small either . bathroom little small showing ware , nothing bad . , 's Holiday Inn , be swanky bathroom . the tv 's alright lot local national channel keep entertain . while negative list pool , actually nice facility ( bad hour ) . rooftop pool , locate top south tower ( perhaps 10th 11th floor ) great view Manhattan New Jersey . pool facility well maintain . the room clean staff , not fluently speak English , polite great job clean replenish room towel . lady take care 12th floor notice & quot ; Disturb & quot ; sign not want room service day offer we towel come back room , courteous high - level she . also , wireless internet , blaze fast , sufficient much well hotel . easy setup use , able use 12th floor north tower room . 
 Jun 26 2009 	 Great Value ! Great Location ! 	 recently spend four night Holiday Inn 57th Street . pleasantly surprised location cleanliness hotel . arrive late , email request nice room view first visit NYC staff accommodate . lovely king room 12th floor overlook 57th Street . could not please . hotel well within walking distance many attraction feel safe walk even midnight . eat breakfast hotel dining room price reasonably . inconvenience elevator small slow . , could find fault hotel area . one thing big plus window open . would definitely stay hotel another time . 
 Jun 25 2009 	 Great Location Great Price 	 recently spend 6 night hotel . location top notch . could walk theater , Central Park , Times Square , Lincoln Center 5th Avenue comfortably . several good place eat nearby . hotel bit date room good size normal standard huge NYC standard . layout bathroom dress area bit cramp could lay well . real negative elevator . extremely small fill , get stuck floor . find stick one occassion , despite warning , people cram elevator . value tremendous- night $ 150- $ 170 range . already recommend hotel several friend . 
 Jun 23 2009 	 great stay ! 	 Holiday Inn W. 57th Street definitely exceed expectation . room small , clean well appoint , great bedding . staff helpful . gym actually serious , no - frill local gym locate basement , much like one go Los Angeles ( body Builders Silver Lake ) . shop lobby offer plenty snack price exorbitant . take advantage reasonably price shuttle JFK , advise book shuttle seat 24 hour advance . west side location convenient , short walk Columbus Circle Central Park . overall , give Holiday Inn 57th Street high mark . definitely make effort area , include pricing . particularly good place stay former New Yorker know way around city not need babied . 
 Jun 21 2009 	 worst good eith 	 tired drab shabby hotel smell badly cigarette smoke good location that s theonly plus think 
 Jun 15 2009 	 Great Location well average price 	 stay 2 night family . room large average NYC hotel room ' ve experience . check easy check . rate 4 price , location room size could not beat . keep mind fancy hotel . bit wear around edge clean comfortable . expect much pleasantly surprised see property room . place quiet . one negative A / C not work well . luckily cool day town . room floor 2 face parking lot . hear street noise . big plus central location . 8 year old 5 year old walk lot . hotel within easy walk distance park Times Square . walk Natural History Museum FAO Schwartz Times Square . long trek use subway . give 8 year old subway map guide we . subway easy enough 8 year old navigate . subway station couple block 57th 8th ave . eat breakfast hotel restaurant . impressed restaurant . food average service spotty . ' m still rate hotel 4 know well eat hotel restaurant especially NYC food every corner . would stay base location price pay . 
 Jun 14 2009 	 great place stay 	 ' ve stay several time continue impressed pre - trip help service arrive . price get believe 's good deal mid - town . get nice also pay $ 200 - 300 . 's quiet part town five minute subway . great deli two minute walk street great food . plus , be ten minute walk Central Park . can not recommend enough . 
 Jun 13 2009 	 would never stay recommend anyone ... 	 hotel old smelly dirty ! ! ! originally ask nonsmoke room give we stinky dirty old room . request front desk antoher room tell normally would not change room eventually give another room . new room still smell bad wall paper peel popcorn ceiling fall coffee pot . disgusting since hotel room available could not request move . air conditioning get teenage son sick . bathroom small mold ceiling bed old lumpy . could go . good thing location - walk distance 5th avenue . 
 Jun 12 2009 	 nice place price 	 stay weekend find nice far main attraction . wee walk everywhere take taxi end night get back time head back late exhausted . overall nice place look place sleep look . 
 Jun 10 2009 	 great hotel - complaint 	 two female friend stay hotel pleased . room great clean . bathroom could not well . pay $ 160 include taxis . ' ve stay hotel price never even come close meeting standard hotel . think hotel real find money . staff extremely friendly helpful . hold baggage checkout explore Manhattan day . highly recommend hotel . safe area , nice restaurant breakfast far , 8th Ave near 55th street call Applewood . also nice italian restaurant 9th Street near hotel , Ralph 's italian Restaurant . food great inexpensive . think would happy hotel location . 
