GREAT 	 read several review , pleasantly surprised . agree coffee maker room would nice amenity . room large , carpet stain , room overall clean ; linen , nice . bed comfortable . housekeeping service great ! would definitely stay . Location North end strip , be nice busy . easily access bus monorail . 
 well ' ve stay nice place sure .... 	 actually casino . Thanksgiving . suppose short handed help could not even get cup coffee casino . be not coffeemaker room inconvenient also fridge microwave . view good part room . woman Club Sahara helpful black cashier disrepectful rude . bored mind go WASTE money tight slot . money get me.to housekeeping ..... guest room completely clean stay F -- - room rude . 
 get Pay 	 not really sure expect booked trip Vegas . figured hotel would deal ... unfortunately , get pay . concur previous poster problem bed bug . also weird stain wall room . huge one odd place , like wall windows . can not even begin explain could get . also paint chip woodwork room . aside bug , bed comfortable though stay quiet . not think see single person floor . check - in / checkout line somewhat joke . seem like one two people work line stretch entire length lobby / hallway area . one huge positive proximity monorail fact casino not massive maze need figure . would stay can not get past lack cleanliness . sorry ... oh , also internet somewhat expensive not work great - go Vegas sit online anyway ? 
 Jul 11 2009 	 cheap strip ! 	 one old hotel strip , therefore old forniture shiny floor , clean room , big bed bathroom , pool everything else fine . could reccomend hotel holiday friend , girlfriend not get bother dust bed 
 Jul 11 2009 	 get pay 	 hotel fine long remember be pay . we book hotel 2 - night stay Las Vegas see $ 30 night rate . not expect much , happy receive . the room surprisingly spacious , though certainly feel far homely . non - smoking room , though distantcly smoky aroma . hotel casino , restaurant pool not use - would 's much fun place explore Strip ? Sahara North end strip , be quite walk Casinos really want see - Monorail take rest strip , southern end Casinos not make easy find . the Sahara certainly nothing special , be great value money . Vegas , would probably choose stay somewhere not quite far action - cost 
 Jul 8 2009 	 AWFUL BUFFET give RUNS 	 bad leave early , rather stay second night . watch $ 8.99 buffet sign club . know bad ask lady signing quality . answer & quot ; not know , ' ve never eat there . & quot ; yeah right . work bag lunch every day . job , not mind . & quot ; shrimp & quot ; size fingernail , even mostly bread , & quot ; pizza & quot ; look taste like leftover Jeno 's . good thing salad , not anything mention .. work really hard mess lettuce sauce . oh ! garage elevator disgusting ! beer can light , miss panel . hotel elevator also bite dirty . also , look & quot ; service tax & quot ; . maybe ' m rookie traveller , expect one price , throw $ 6 / day use phone - gym wireless . even though not need service . it be good price still , room nice . AC bit antiquate , keep room cool . want save money , be . stay , play , eat anywhere else , will good stay . 
 Jul 8 2009 	 good Choice Traveling Budget ! 	 ' ve stay Sahara last three visit Vegas . mean think one well hotel Strip , price room unbeatable . sahara , old saying & quot ; get pay & quot ; certainly true . $ 35 / night , will standard ( date ) hotel room casino offer regular entertainment plus cheap ( $ 1 ) blackjack table ... probably cheap Strip . monorail stop Sahara , convenient get around see hotel situate far northern end strip away action . would recommend spend extra $ 10 night upgrade deluxe premium room either Alexandria tower Tangiers tower standard room old Tunis tower . casino small new mega - hotel , ' ve actually come appreciate easy navigate . old smell smoky . staff encounter ( aside Player 's Club desk ) friendly helpful . room service great , food good affordable compare Vegas hotel . pool simple , nothing glamorous , usually be crowded . overall , look glitz style , Sahara probably right fit . , not mind old hotel offer basic + extra bargain price - definitely suggest give try . 
 Jul 7 2009 	 stay Sahara ! Customer Service priority ! 	 book Sahara husband , daughter one night wait flight home trip national park . take opportunity schedule dinner show well . arrive line register door ! wait line 60 minute able register ! receive explanation apology . ask see manager tell wait , manager would right . yeah , right ! one registration clerk spend 45 minute man solicit two woman take window next line ! clerk object ! way , 60 minute late dinner reservation . the registration process first impression hotel make customer . result , never stay Sahara advise friend family stay away well . 
 Jul 4 2009 	 great stay 	 stay Sahara March part package holiay LA , grand Canyon Las Veags . hotel top strip take 20 - 30 min walk right middle strip . however would use metro buy long ticket really get money worth . room ok basic room not go vegas stay hotel room ! pool really nice go ride see whilst sit pool . would recommend hotel great get head Vegas ! 
 Jun 21 2009 	 Super Place Great Value ! 	 sister go Vegas quick 3 day trip . not want spend alot hotel want clean , safe place stay . Sahara perfect we . arrive 2 hour check - in friendly staff accomadate we show room immediately . room show wear clean , spacious quiet . bed comfortable a / c work great . eat burger bar mine one good ' ve ever eat . casino much fun machine much friendly ( Pay - Outs ) strip . sahara way main action monorail easy get around . look high luxury hotel many fancy detail , Sahara probably . like look clean , safe , friendly enviorment , love Sahara . know place stay go Vegas . 
 Jun 21 2009 	 wonderful experence 	 family vacation book 3 room total . stay tangier tower problem face slow drain water 2 lamp do not work , satisfied happy . staff friendly helpful . can not wait next vegas vacation ! ! ! ! 
 Jun 17 2009 	 May grand 	 disappointed check - in ( hour ) , room buffet . hotel good deal date . believe date back 1952 unfortunately , property maintain . pool cafe call & quot ; Grind & quot ; shine star hotel . also , rollercaster look like fun not try . 
 Jun 14 2009 	 .... bad review . 	 put perspective - old , worn could use touch update . , be also great way vacation budget not want spend $ 150 $ 200 night . clean , staff friendly part less $ 30 night , be hard beat . beat path - rent car want use monorail , be fine . want walk , forget . choice , stay Tangiers tower - little new Alexandria date . unfortuntately , previous reviewer correct - two nice restaurant close June due slowness economy . , decent meal Caravan Cafe NASCAR cafe . , willing spend $ , well place stay , figure Vegas go to take enough money , might well keep room minimum ....... heck , much time go spend room anyway ? oh , one last thing - pool nice . 
 Jun 9 2009 	 Nastiest Hotel room ever experience ! ! 	 stay Sahara 3 night full comp balcony suite , 786 sq . foot . I wait several hour get suite , spend last 20 minute filthy hallway wait clean lady finish room . I first step & quot ; Cleaned & quot ; Suite 3:25 P.M. first positive : size suite large almost 800 sq . foot , view private 18th floor exterior balcony great , day night . Inside & quot ; clean & quot ; suite condition shocking . badly rip soiled carpet , leave cigarette butts put leave balcony carpet , tub several large chunk take could see black interior composition . I also kill two tick bathroom , clean excess carmel corn leave side bed visitor prior . wet bar / sink combo even dirty . side wall splatter something red , honestly not know koolade blood , vent black dust grease , fawcet handle 2 totally different badly mismatched handle . there also several lightbulb toilet would barely flush . never overflow scared go # 2 toilet . overall Sahara need badly new carpet , wallpaper , paint , fixture , furnishing top bottom . I speak Casino Executive Host tell recession really take toll restaurant well . 2 nice sit restaurant Sahara completely close , House Lords steakhouse Paco 's sit mexican restaurant . also , 2nd floor buffet eat several time close breakfast closed lunch Monday - Friday , know open 4:00 pm dinner . overall Sahara old , dated , worn , filthy people still job stop care detail long ago . Sahara need massive top bottom remodel sadly base long history , wreck ball ! ! would also like say far picky neatfreak , feel since witness firsthand , inform potential future guest . thank . 
 Jun 8 2009 	 check 2hrs 	 check stay & quot ; deluxe & quot ; room memorial weekend , leave 2 hrs . ' m really picky person , completely disgust almost everything hotel . go vacation would rather spend time worry sanitary condition room food Sahara . let paint picture : hallway room floor hot humid , like not even run air . room stain tear every 12 inch space , even pillow , sheet , wall , lampshade desk ( also chip low ground ) . carpet wall paper ratty tear , curtain feel old crusty could almost crumble finger . AC unit not work smoke detector color dirty could not trust work . also small little look like pubic hair leave bathroom floor . outlet barely hold onto wall piece mysterious rust hardware leave bathroom . health safety hazard . lobby , casino , restaurant hallway dark dinghy . dark , old cheap feeling overwhelming . even gnat be fly around one section casino . get lunch hotel 's cafe ( absolutely starve travel much early ) try figure handle situation equally grossed restaurant food . try sit we 8 ft smelly overflow trashcan outside kitchen area even though cafe practically empty . food old obviously come directly ... cold . staff slow move slow thinking , unmotivate tired . explain great disappointment concern manager visible upset take photo room , try say nothing could way could refund money could put & quot ; request & quot ; accounting department money refund website make reservation . long story short end get money refunded leave . in case interested , upset customer , time lobby , 3 people make complaint room condition . feel pity people feel price make bearable situation . view room nice mountain connect monorail , could never make worth . beware SAHARA . 
 Jun 8 2009 	 not ! ! ! 	 place old run . carpet filthy rip , furniture literally 50 's & amp ; scratch [ -- -- ] . staff unfriendly & amp ; food restaurant unedible . got crowded weekend lot college kid internaltional traveler look cheap place stay . not stay even comp . 
 Jun 3 2009 	 bet wreck crew way .... 	 stay Sahara several year , use ok good value , think time look another hotel . the carpet hotel everywhere disgustingly dirty , definite need replacement . foul odor everywhere hotel , doubt carpet big part problem . I stay premier room Tangiers Tower . state premier room , can not imagine bad standard room . furniture badly mark , carpet filthy , window not clean month . tv 's small , old . coffemaker room . pool Sahara probabely 's well remaining feature . large pretty good shape . keep reasonabely clean . a big disappointment close two good restaurant . infamous steakhouse House Lords close last week . beatle eat 60 's . food use excellent good value . they also close mexican restaurant Paco 's bar grill . I still maintain wreck crew 's way Sahara . quite shame could not maintain well , one old hotel strip , lot nostalgia . 
