disappoint 	 like boutique hotel . , one feel cheap 's clean . first ask could quiet room - yes , respond . get corner room full window face main street . 's impossible block light ( noise ) many pair curtain could get stay closed . bathroom , use towel hang shower curtain . let front desk know , actually next day well . phone long black hair panel phone . rug dingy - feel clean anyway . 's real room service & quot ; free & quot ; continental breakfast even good like Hampton Inn . check check bill rate 50 % colleague - ask say travel agent fault book corporate rate . unhelpful actually quite rude . $ 365 , kid . . . . 
 great spot Chicago weekend 	 stay Amalfi pre - turkey day weekend getaway husband . we check little noon Saturday pleasantly surprised room ready . check process smooth , professional welcoming . even chair check desk guest use register . our room expect . huge lavish , great rate , quite pleased . decor modern , room flat - screen plasma tv , I - home alarm clock etc . go lunch Harry Carrey 's italian steakhouse across street split huge italian beef sandwich bar , plus cup soup . couple Stellas , ready shop Macy 's ( three four block south ) along Miracle Mile -- couple block east . attend free reception . crowd , everyone friendly enjoy wine provide snack . little disappointed not view reception room firework along river evening . the next day breakfast available elevator -- type juice , bagel , sweet roll , etc . plus coffee tea . overall , satisfied hotel , service , etc . 
 expect 	 wife stay Amalfi trip visit son friend Norway vacation City . excited stay Amalfi reading review , really disappointed accommodation . web site photo 18 story building house hotel . not state hotel occupy first 6 floor building . rest office . room 4th floor view blank brick wall 16 foot distant . room unremarkable , standard furnishing equivalent Holiday Inn . although close good part City , tuck behind new Trump Tower open surprisingly sketchy stretch road / sidewalk . norwegian friend , contrast , stay 33rd floor swissotel view Lake Navy Pier . 
 bad taste mouth ..... 	 letter management ..... Sir Madam : write give feedback recent stay Amalfi . we guest 11/20 11/23.dure stay use & quot ; Valet & quot ; Service operate Standard Parking . vehicle return steal item glove compartment . much chagrin , $ 44 / day valet service include proper security / monitoring , despite premium & quot ; self park & quot ; .I understand parking service sub - contract hotel , would think worthy hotel would remedy situation . case . I hope staff able take measure rectify situation future guest 
 disappoint 	 book Amalfi base rave trip advisor find hotel tired disappointing . the towel robe old throw away . dresser break feel redone office . the room fine cocktail hour hotel over - rate many . 
 Feb 25 2008 	 lovely hotel ! 	 boyfriend stay 3 night early 30th birthday treat 30 January 2008 - 2 February 2008 . find really lovely hotel . staff nice helpful forceful bothersome ( concerned read & quot ; Experience Designer & quot ; would assist we stay ) . thing would say matter not offer anything like service , check hear someone ask shuttle bus service hotel run , guess not ask not get ! find room smart , modern , clean comfortable turn service offer evening housekeeping nice touch . bed large comfortable , bed non - allergenic ' mock ' . room spacious stylish Aveda toiletry nice touch . room look picture site . bit wary breakfast service read serve lobby area floor , however problem . hot coffee , water tea selection bottled juice offer . plenty pastry , muffin , bread / loaf bagel toaster facility . unfortunately take advantage evening cocktail reception time Chicago limit . location great , area quiet side view not amazing Harry Caray 's opposite Lou Malnati 's ( absolutely divine pizza pie ! ) within short walk . Magnificent Mile 5 minute walk leave Chicago River access Loop 5 minute walk road . be look place go would recommend shop Magnificent Mile , good souvenir shop mall , could finish lunch Pizzeria Uno Pizzeria due toward farther end Magnificent Mile . cheesecake Factory bottom Hancock tower really nice , originally intend drink John Hancock Tower bar take view boyfriend 's vertigo get well 96th floor ! would definitely recommend lovely hotel Chicago , great time unfortunately snow storm quite limited . decide go Chicago would recommend restaurant call Rose Angelis , convert house suburb ( 1314 W Wrightwood Ave ) take we minute walk get taxi back city stand - by snow storm well worth taxi ride . 10 pin close hotel cocktail game 10 pin bowl Chicago Blues within complex . nice hotel city far exceed expectation , regret not stay long ! 
 Feb 23 2008 	 Fantastic stay Amalfi Hotel ! will back ! 	 Chicago business recently stay Amalfi Hotel . price comparable hotels area location excellent . read recent negative review hotel completely disagree . hotel may right everyone . modern , may & quot ; get & quot ; . love way room decorate rich red color . bed comfortableand sleep well . bathroom nicely decorate duel head shower nice smell Aveda product . free wireless internet . many hotel make pay fee , Amalfi . besides , business center two computer printer come handy since print last minute document meet . hotel also include complimentary breakfast floor , convenient . coffee fruit delicious . muffin & quot ; ok & quot ; . hotel staff extremely helpful always willing assist . make request question stay always polite professional . thank George rest friendly staff ! completely enjoy stay will back next time visit Chicago vacation ! 
 Feb 22 2008 	 helpful polite staff 	 stay recommend nice little hotel everyone know . Staff Amalfi always polite helpful . whenever ask something special , door time . the Happy Hour wonderful . lot italian antipasta cocktail , include signature Amalfitini . 's fun meeting talk guest . chair would nice . the room always spacious clean . last year book large suite accommodate we , room spare . it be nice cd provided not bring . view vary , depend location room . continental breakfast every floor always fresh baked good , fruit , juice coffee / tea . enjoy breakfast room go first thing morning . the location walk distance restaurant entertainment , need drive take cab . love Amalfi continue stay whenever visit Chicago ! 
 Feb 20 2008 	 Excellent always ! 	 stay Amalfi Hotel always excellent . time different . usually book direct hotel , however , find slightly well deal book Expedia , save $ 100.the staff great . arrive early room wait . place 6th ( top ) floor quiet comfortable . overall , good get ! definitely continue stay ' m Chicago . remember , hotel close everything - downtown , Magnificent Mile , lot restaurant , etc . everything within walking distance ! 
 Feb 19 2008 	 icky hotel icky staff disappointing ! ! ! 	 stay Amalfi hotel Chicago month good expectation . disappointment ! pay $ 200 & quot ; deluxe king & quot ; , get 2nd floor view construction , dirty , badly & quot ; rehabbed & quot ; bathroom , itchy sheet , comforter ! ! ( sheet gross old hotel blanket thing ) , previously open bottle mini bar , plenty rude , inexperienced staff member & amp ; manager ( def . 3 4 star staffing ! ! ) live Chicago , stay wide range place . know $ 200 February , expect great hotel . many available weekend stay Amalfi , choose say , Palmer House Hilton , Hotel Sax , Sutton Place , Hotel 71 , huge waste . definitely keep look book elsewhere . worth price , not let picture fool . also , would not say experience rare mishap , hotel look like old day Inn undergo slight renvation , i.e. , new lamp . 
 Feb 19 2008 	 unpleasant hotel ever 	 price good true . truth come soon step place . first , George , rude guy front desk take incredible long time check we . like , 5 hour flight west coast nice Chicago welcome , thank Mr George . the lobby really weird , mixed array color , like orange , green , yellow .. feel like brasilian hotel . nice person seem bellman . room . book non smoking room , seem room 20 heavy smoker 2 day never window open vent . even sheet stink smoke ... disgusting . the mustard color carpet pretty wear cigarette butt burn . nice touch book room size , appal compare general feel room . go weird color . the bed comfy , except conforter wich make cheap material turn bed hoven . Maid service really weird . leave every single day water fill bathroom sink .. ? ? ? weird . and turndown service one night .... need ... skip , not one night .... bathroom color add feel dirty worn , need replace red / grey / yellow thing traditional black / white / grey . the breakfast floor bad , really . bottom line , look cheap place stay go , belive overhype self write review ( yes , write review Tripadvisor .. know ) cheap tho low season . really doubt see pay what'ive pay ( $ 129.00 per night ) joke . and also go not mind trate like cool hip whatever stand .... 
 Feb 7 2008 	 Great Little Hotel ! 	 fiance visit Chicago long weekend back May . stumble upon Amalfi online - location good , price budget , want stay boutique hotel pick . room spacious good part complimentary breakfast ! save we time morning - grab coffee , banana , muffin go sightseeing ! going visit Chicago ( would ! ) would recommend stay ! ! ! 
 Feb 7 2008 	 can not wait go back 	 son stay wedding might ever hear . per review book another couple getaway weekend disappointed . check smooth , love magazine room . complimentary cocktail appitizer great touch also , breakfast elevator . coffee delicious , nice bosc pear , wonderful pastry . complaint upon check , mini bar charge $ 35 long distance never use . charge remove immediately , check bill leave . 
 Feb 5 2008 	 good boutique hotel ! 	 already write review free stuff get ' m go write location ! like walk . place close everything ! ! ! ! ' Taste Chicago ' 4th July . let tell , good ' taste ' city ever . massive take 10 min walk . take train airport ( around $ 2.00 solid 45 min $ 2.00 , complain ? ) approx 10 walk hotel . pretty much walk everywhere . walk entire magnificent mile strip . go Blue Navy whatever dock call . favourite bar ' pop Champagne . ' wow . love champagne . course John Hancock Centre . lot shopping ! 
 Jan 29 2008 	 Loved ! 	 understand negative review recently post Amalfi . read make reservation decide stick choice review positive . glad give Amalfi benefit doubt . truly wonderful hotel would hesitate stay . 
 Jan 29 2008 	 good hotel stay long time 	 go back Chicago , stay . usually , prefer try new place , like one much go back heartbeat . I understand comment ( ) red color lobby , remember blue green orange ... sofas stain ... 's first time feel hotel web site match real thing . reception : employee coolest uniform ( leather vest , bright shirt ... ) always helpful . room : nice size , comfy regular tea coffee also option hot cocoa ... nice touch January ! like mug plain black one ( ever really clean ? ) transparent turquoise glass ones.they change tiny tile bathroom large slate ... nice touch . I like yellow towel , be different . selection Aveda product great ... shower head ... wonderful . location : good . bar name Rockit behind love french brasserie around corner not time try . close hotel harey carey ( yum , chip ... ) redfish ( sooooo slooooowwww service mediocre food ! ) also mention organizing meeting sale catering staff amazing hear great comment group . 
 Jan 25 2008 	 fantastic hotel fun weekend getaway 	 fiance decide take look Chicago weekend potential residence future . stay Amalfi primarily want River North neighborhood , close bar restaurant run path . amalfi staff friendly ( definitely uptight rude ) standard room huge nice view . bathroom beautifully decorate shower therapeutic . top , night two hour reception include unlimited antipasto type appetizer top shelf open bar nice wine beer choice , include stay ! definitely nice place fun - love couple . back ! 
 Jan 21 2008 	 wow find ! 	 wow , find . clean hotel , friendly staff , modern décor , good location walk ' Magnificent Mile ' etc . ( 's safe city ) opposite excellent Steak chop house call ' Harry Carry ' ' , plus many nearby restaurant . for reasonable price get modern spacious room , DVD player / TV ( free loan DVD ' foyer ) , free continental breakfast floor eat room , two pc ' Business Centre free Internet free newspaper . good , evening 5.30 - 7.00pm reception guest free cocktail , wine , beer – plus snack . ( yes free beer , limit ! ) complaint room ( like many hotel room ) minimal lighting make pretty dingy night . not fool Hotel name , appear nothing italian hotel , 's expect . although probably five star hotel ( would say good four ) give five star price ! hotel like , Tripadvisor would require ! 
 Jan 16 2008 	 get pay ! 	 base reservation positive review site . location really terrific . close everything . ( Nordstroms rack block away ! ) hotel lobby filthy . actually , chair lobby badly stain / soiled . would not sit check , gross . mention currently renovate upper floor hotel ... hopefully lobby would next . the staff helpful service orient . we great room . external noise disturb us heating system ( could turn ) stuff ping machinery feel like sleep airplane hanger . great & quot ; product & quot ; Aveda . the breakfast nice touch ... quality baked good poor . could not eat . , fruit , coffee juice we . the high rating other surprise . moderately price hotel 's average hotel . 
