value 	 hotel look location , price , cleanliness , 5 star . hotel central park west , 2 block subway , basic clean , helpful staff , fuzzy tv reception , private bath , request room balcony overlook central park , get . pay tax $ 134 nyc november . see hostel share bathroom price . 
 Dec 16 2005 	 nice teeny tiny hotel ! 	 come back stay 5 night Astor . think good value NY hotel . room small , immaculately clean , towel linen lovely , & amp ; shower hot & amp ; powerful . amazing view downtown & amp ; Central Park . staff friendly help direction & amp ; car airport ( actually cheap yellow cab ) .If happy room , ask change , room problem cigarette smoke building next door move we , problem , really good it . the previous reviewer mention subway wrong , 3 block away ( 106th ) 3 subway line take downtown , never wait 5 min train ( & amp ; be cheap ) bus stop right outside entrance . the location great hustle & amp ; bustle downtown 's nice come back district bit quieter & amp ; clean . plenty restaurant nearby ( head west upper west side ) Central Park literally yard away ! would definately stay agin , probably ask big room try book direct hotel think website use bit overpriced . 
 Dec 12 2005 	 would go back 	 stay 5 night , arrive apprehension read mixed revue . basic room , clean , fresh towel linen . close subway , easy access sight . staff friendly helpful . 6th visit New York , expensive time , could not find much £ 200 per night . definately get pay , case , basic clean small room . want spend time hotel room breakfast , much see , many place eat . subway give we quick access Amy Ruths , good harlem restaurant , Abyssinian Baptist Church , Columbus Circle , Times Square , Moma , walk across Central Park Met Museum . go open mind , be Astor Astoria ! ! ! 
 Dec 8 2005 	 job ! 	 room fine , little boxy nicely design . tv reception bit terrible . however , hotel bunch room . nothing else . try tell hotel staff - seem expect tip try help . 
 Dec 6 2005 	 bad Great Either 	 Astor Park locate top Central Park . view park room lovely , hotel far fun stuff want . subway stop 2 block south C train stop day . another subway stop 3 block west , train stop . carefully coordinate train / stop . old building expect modern feature . 1 elevator . narrow staircase . room tiny clean . bathroom small update new hardware tile . bed low ground nice linen . room remind small hotel room Europe . there room service television limit channel . however , NYC room much . fact , sleep showered . sightseeing early morning late night . staff helpful multilingual . offer help luggage , get taxi , offer suggestion restaurant attraction . basically , average hotel price range NYC . stay hotel expect modern amenity like room long time . stay hotel want step away Times Square popular area . 
 Dec 4 2005 	 would stay 	 hotel upper west side Manhattan , road central park . minute walk nearest subway station ( 103rd St ) , make easy get major tourist destination Manhattan . 's mainly residential area without many restaurant shop . room basic small , clean adequate need . bathroom new bath shower . book last minute website happy reduce price . bar restaurant , internet access available fee . breakfast provide , four block uptown nice cafe serve reasonably price food lovely tea . 8th floor room quiet , although could hear subway train pass beneath street ( many place Manhattan ) . staff pleasant helpful . 
 Dec 3 2005 	 watch personal possession ! 	 stay Astor Park two day find facility basic acceptible budget end market . room small . far uptown though almost attraction . main problem come pack checkout find new bottle cologne miss room . reception desk offer question maintenance staff maid room . never get impression take steal item genuine . manager away tell call arrive back home UK . manager agree refund card still not receive money back . room safe sure watch valuable stay . would take risk . 
 Dec 2 2005 	 great low price ! 	 two us bad night ' Jazz Park ' Hostel one block away not expect much 90 Bucks pay per night Astor , positively surprised . nicely locate ( across street central park , subway station @ 103rd St 2 short block away ) , modern style , clean good bathroom . the hotel not offer many feature outside room . reception small elevator hallway , need NYC ? fee - base wifi not usable staid , everything else really good cheap deal get . 90 usd / night seem like steal day thanksgive lucky place . look like hotel normally much expansive . 
 Dec 1 2005 	 astor be not disaster 	 read reveiws astor , can not say look forward stay , however problem actually enjoy stay . yes room small , clean fresh towel every day , bed comfortable tv spanish channel ! ! ! . quiet apart grumble radiator , traffic noise garbage collector shout 3 morning encounter previous visit stay mid - town . staff friendly , find last day tea / coffee / refreshment available along computer access basement . the location astor suit we , think first trip stay close attraction would well , take we 1hr 30 min walk times square , five minute get broadway , time feel unsafe , ( nypd blue ! ! ) even beggar encounter really friendly . book alpha room get 7 night £ 420 , bargain stay thanksgiving . maybe lucky , astor bad mid town establishment ' ve stay cost double price . 
 Nov 30 2005 	 Basic 	 arrive back form stay Astor Park , hotel outside lopok great , staff friendly helpful . arrive request room view , get room top floor , HORRIBLE , look unclean awful feeling , quickly change , move quite nice room 2nd floor , partially modernise , carpet , unfortunately view brick wall . move room follow morning adequate room 10th floor , view great , room clean , bathroom nice . thing let room shabby carpet weird green wall colour . the hotel basic , clean staff accomodate friendly . would not stay , hard day pound NY pavement would liked relax nice surrounding , can not complain really ..... get pay ! ! metrocard learn subway system , bus - stop right outsdie handy , hotel quite far away want . 
 Nov 18 2005 	 careful 	 take back day stay youth hostel . clean scrub clean pretty beat carpeting , stairwell , etc . quite noisy w / window airconditioner especially 2nd floor room front entrance . very small room amenity . tv w / maybe 8 channel , in - room coffee lobby coffee . bigest drawback location , long walk cab food . Park mean top end park ! 
