North 	 always stay hotel visit Vegas get comp room , every time notice bit piece snack leave behind room . example , night stand , table chair , corner room , tv armoir .. find cheerio pretzel time ... apparently , maid might rush clean room , not leave roll toilet paper laundry bag ... call someone bring room , not happen long time ... besides thing , always enjoy stay Bally 's room big , 's good location . order room service breakfast , come timely manner , portion okay . we would recommend Bally 's anyone look good size room location . 
 Great Location 	 go Vegas stay ritzy hotel , place . yes place run chip furniture snag rug , bed fresh sheet bathroom clean . price place hard beat . hop skip jump away everything even partial view Bellagio 20th floor . germaphobe clean freak yes wear sock walk across floor , would stay next time ' m town . 
 picture say 	 stay room 7008 south tower . room dirtiest , raggedy chair old chip shabby furniture . take photo request new room get problem . true room inexpensive strip hotel disgusting . 
 Great Loaction good price ! 	 partner stay friend begin November 3 night request near put 3 seperate floor , speak next day move hassle . staff check fine . do not really anything rest staf hotel can not comment . first room massive could party . second room still big huge . bed ok , good stay clean . see people mean window dirty , second day clean really notice , much well . spa Ballys amazing , attention detail good tender need , question ask . overall would say hotel good . vegas room explore party / gamble . loaction great right middle everything . would stay budget . 
 good deal friendly people clean back Ballys ! 	 Vegas 15 time , second time year . stayed & quot ; low star & quot ; hotel right 4 star MGM . Ballys good deal ever . book Westjet Vacations Nov 14 - 21 , get return flight , hotel taxis $ 1200 wife , $ 400 credit Westjet . actually pay $ 800 7 night stay airfare taxis Regina , Sk . Canada . know Ballys older , surprize . right time arrive Valet parking ( always rent car ) Valet cheerful , happy , helpful . ask Bellman take bag store untill call room deliver . delivery bag take less 5 minute . checkin breeze . 10 minute max . go look room not ready yet . ( 7 pm ) unusual , see room get , said & quot ; would wait & quot ; . hahahaha . come back hr WOW ... large , clean great view 25th floor . 2nd room MGM year ago . PROS : * everyone pleasant , cheerful , smile , helpful , like royalty . never experience comfortable greeting helpful people hotel Vegas . large room , clean , great location . right smack dab middle strip . * cost . * connect Paris . * great eat everywhere . food great . * room super quiet . * floor ceiling wall wall windows . view . con : * coffee maker , ( knew always bring coffee maker Tim Hortons coffee coffee casino shop expensive like early coffee pajama hehehe ) internet expensive room , kiosk everywhere use $ 5.00 15 minute must . go Vegas surf web ? people put hundred dollar slot machine blackjack table complain internet cost ... sheeshWe would recommend Ballys . J.Knox 
 Oct 11 2009 	 wonderful 	 room South Tower great , clean bathroom large . plenty closet space . room face Paris Hotel & amp ; Casino could see water show Bellagio . surprise Hotel build 1973 , not think old . must make improvement lot thing look fairly new . hotel easy access strip . thing not like arrive 9:00 could not get room 3:00 pm . check luggage go eat take long walk see Hard Rock Casino time get back around 2:00 pm finally could get room . 
 Oct 11 2009 	 always great Getaway 	 stay Ballys gambling night away great time . check new & quot ; & quot ; love . buffet fabulous slot good we . enjoy weather , drink people watch . 
 oct 9 2009 	 Bally 's North Tower Place Stay 	 Bally 's North Tower room fabulous ! spacious clean . check line long get painlessly . Michael clerk check we , kind accomodating . appreciate Michael go beyond call duty take care Bally 's customer check in . we read bad review Bally 's , great time enjoy stay . slot pay well , move Casinos Gamble . go Bill 's Gamblin , seem loose slot . 
 oct 9 2009 	 great location strip great price ! 	 Bally 's luxurious pretty hotel strip , 4 guy enjoy Vegas perfect setting . staff check great , get room face sped whole process . the hotel clean , room good , especially consider be pay . really make Bally 's selling point ? free access pool relax long night party location . middle strip , could ask anything well ? be minute walk away heart action quick cab ride get place little distant walk . would definitely stay ' m look good deal . ritz glamour hotels strip ... really , often stay room anyway care long bed comfortable sheet clean ? 
 oct 9 2009 	 great location great comp great people 	 wife friend wife stay Bally 's Sept. 27 thru Oct 2 , 2009 . stay several time past year . pro stay past ie . , location , comp , maid service valet personnel . ( sorry hear Travistine retire ! ) . con tell specific room ( 2168 ) flag stay back May ( not per Michael checkin ) , charge $ 10 plus tax make reservation phone ( credit lengthy discussion tell make aware charge make reservation ( ! ) , charge $ 20 / night plus tax North Tower . stay North Tower many , many time charge . road construction noise night bit disturbing , warn trip one May . big deal .... also , , view well , , big deal spend lot time room look window . however , make future reservation May 2 - 7 , 2010 plan continue stay Bally 's visit Vegas regardless con . yes , checkin line little long , , checkin personnel customer orient always ing answer question one . 
 oct 9 2009 	 great location clean comfortable nothing spectacular . 	 excellent price time ; good central location . Front desk put 2 couple family across hall other . breakfast restaurant slow service ; enough wait help take order ; O.K . food . room north tower big ; room overlook street , street noise night . room service prompt , request extra coffee suppie housekeeping . 
 oct 9 2009 	 pleasantly surprised 	 8th trip LV 11 year . ' ve make successful effort try every decent hotel strip yet stay place twice . read several yucky review , little apprehensive stay Bally 's . room compe 3 4 night stay , brainer try . Stayed 10/3 - 10/7 satisfy . check - in easy pleasant player ' award status . 15th floor North Tower . room clean , well maintain . much view , not bother . housekeeping efficient absolutely complaint . pleased overall room accomodation . anything negative say , would thin wall . flock female stay room next we one night , get crack dawn talk morning NONSTOP . husband not intent block conversation try sleep , could probably reiterate discussion word word . last one day . never really anything casino either . okay . proximity casino , could go anywhere want . anyway , pay , pleased would definitely stay . ' ve find Harrah 's property generous room comp discount rate player ' club member . 
 oct 9 2009 	 great location 	 stay Ballys last year . book standard non smoking room . however non - smoking room full arrive . without complain , put we great suite room . great location walk distance everywhere Paris , Bellagio , Ceasars , MGM , Rio , Planet Hollywood . although old hotel compare hotel Las Vegas , still good condition . stay . 
 oct 9 2009 	 same - o same - o 	 Booked Bally 's friend go we choose stay . fine great location . service friendly except one crabby telephone operator bark like Pluto call ask wake call . room large clean bathroom , yes , window really need clean ! beware make & quot ; toll free & quot ; call charge $ 1.25 per call even though be suppose free . want use computer cost $ 13.99 day , business center computer use across way Paris cost obscene whop $ 5.00 5 minute dollar make copy . cab driver tell we ' Vegas nickel dimee everyone due ongoing recession . not eat hotel food court seem less reasonable . would stay location . yes , place need redo sleep stow gear fine . 
 oct 8 2009 	 great value great location 	 stay one night conference , room spacious . location great , central everything . would definitely stay ! 
 Oct 8 2009 	 serve ' purpose 	 stay North Tower . room big , nice clean . pool okay , rent Cabana , outdated compare hotel . problem hotel lobby right next casino . although Vegas smokey place , lobby reak smoke can not avoid . location great heart Strip ! 
 Oct 8 2009 	 Great Place - Great price 	 first time stay Bally 's . choose hotel base 's affordable price good location busy , least famous intersection Vegas . extremely pleased . room spacious provide additional seating area away view . room clean condition date decor . stay old tower section . easily able room city cover end foot bus could easily find way around navigate problem back home base Bally 's . liquor smoke shop side buide cheap dining block behind building . see need ever look around hotel option . husband pleasantly surprise recommend location anyone inquire stay . stay several place past , include strip hotel , strip hotels downtown hotel . far , good value encounter yet . need sign e - mail special get good rate . call inquire initial booking see low fare offer internet . problem obtain low rate one quick , easy phone call . flip side , downfall fault pool . 
 Oct 8 2009 	 Love ... 	 Bally 's one old site strip , LOVE location ! 's easy get anywhere strip . always stay North Tower , can not say anything South Tower . room great ... extremely large , clean , etc . really not bad experience far . know 's old hotel , hey , ' m old , work ! last visit , soon come room , notice glass one picture wall shatter previous tenant . immediately call housekeeping ask come take care not want worry rest glass fall , want blame problem checkout . someone maintenance less 5 minute remove picture clean around . fairly impressed . overall , great value great location . probably always stay Bally 's ! 
 Oct 8 2009 	 Perfect stay 	 hotel strip good hotel stay reasonable amount 
 Oct 8 2009 	 Ballys modest quality strip 	 recent stay Ballys middle road experience . room large clean , unable get non smoking room settle smoking room . line checkin short , slow . the good aspect hotel strip walk new interesting hotel casino . 
 Oct 8 2009 	 well expect ! 	 know Bally be around awhile , not expect much arrive room , pleasantly surprised ! believe ' ve do recent remodeling , room beautiful . furniture , decor , bed clean seem new . nothing negative say ! 
 oct 8 2009 	 good value . 	 location price great . agree other casino smokey way get elevator without walk casino . also hotel far street takes forever get inside . sometimes move sidewalk break . room also seem like mile away elevator . however room quiet well maintain . 
 Oct 8 2009 	 Vegas 	 beautiful room view Bellagio hotel water work 's . big tub . service excellent . room clean . think really nice dealer be let sit blackjack table watch husband play not play . love Fact smoke casino 's ! awesome can not wait go . go see Jay Leno & amp ; Carrott top Elton John . good show 's . Elton John let we come stage dance well perform ! ! ! 
 Oct 6 2009 	 Central Strip nice price ... 	 hi , last september visit Vegas 3th time initially book room Stratosphere . we always want good time take look budget . after read couple review decide want room centre Strip . find good promotion cancel book room Bally's . we go room old south tower arrive 1 pm check - in . the room ready time ask wait 30 minute . only room next elevator free advice we wait another one . I try get free upgrade new room without luck convention go on . we return desk 2 time time room still ready . so go shop return 5pm . without even ask person behind counter offer we free upgrade new room . Ofcourse acceptedThe room perfect , spacey , clean interior look new . we nice stay 3 night . we use buffet Paris next Ballys . 
 Oct 5 2009 	 Bally 's great place stay first trip Vegas ! 	 alot research booking trip . I must say little bit concerned negative review read decide book Bally 's location . I sure glad . great stay . upgrade we jacuzzi suite first night nice surprise . beautiful room North Tower . the next night move we King Room hall . it also nice room . all staff , front desk housekeeping restaurant , extremely friendly . the Casino little bit smoky would like , people aloud smoke inside get . it little well Paris ( attach Bally 's ) high ceiling . all pleasant stay . the mid - strip location also great several casino within easy walk distance . for price would highly recommend hotel ! 
 oct 4 2009 	 great location strip great value 	 pay $ 88 incl tax , 2 night deluxe North Tower room Ballys . room excellent , plenty large enough , much view nice . Ballys excellently locate centre strip also close monorail station . share common area Paris hotel shop restaurant ( mock Paris set ) . ' ve stay number Vegas hotel ( include Paris ) Ballys compare favourably much well price . Paris expensive , not really advantage stay Paris ( Harrah 's hotel ) - room well . we would definitely stay . 
 oct 4 2009 	 Better Values available 	 read good good review , really want like Bally 's . consider overly picky . unfortunately , would take pass stay . many option available . check - in : yes , line long . although move fast Vicky direct traffic pleasant helpful . room : North Tower give check - in . not ask pay extra . visible piece paper bobby pin lay floor next bed miss prior occupant . terribly upsetting - start wonder . find someone else dirty makeup wedge towel shelf . move towards edge figure would get next day . not happen . ran toilet paper one morning , leave room . move tissue box sink back toilet figure would replace tp cleaning . not happen . get another box tissue sink another next one back toilet . ? ? ? ? call get tp . charge safe - get free place . cleanliness : dirty dish leave day hallway . parent another wing . mother see housekeeping supervisor ask . told & quot ; not job & quot ; . would call room service . 2 day later dish still there . service : cocktail waitress really scarce . seem norm strip . ( except Casino Royale ) excellent service place Fremont . never wait couple minute CW pass by . overall many option available try somewhere else next trip . by way , see Mystere great ! ! 
 Oct 4 2009 	 Bally 's Totally Awesome 	 return stay Bally 's , spend 3 night compe . Bally be going put South Tower upgrade North Tower $ 20 per night . wise decision part . room HUGE , new carpeting , lamp , furnishing , etc . window floor ceiling , plenty lighting room . bed firm , good quality linen bed include comforter pillow . bathroom large marble vanity , also dress room another marble vanity sink . room coffee maker , safe , iron ironing board , mirror everywhere . travel not leave item lay around room leave day also put trash trash can . housekeeping doubt appreciate cleanliness leave triple amount coffee & amp ; toiletry room clean . fresh towel & amp ; linen every day . Room immaculate halls hotel . room large time get ready leave morning tired walking room . I stay away buffet way overprice & amp ; can not eat much food decide try buffet Imperial Palace . bad buffet Vegas . several small casino cafe excellent food & amp ; reasonably price . I highly recommend Bally 's . read hotel review & amp ; hestitant Bally 's far exceed expectation . many traveler complain remember always treat someone want treat . not pay nasty deal anyone . next trip Vegas stay Bally 's ! ! ! 
