's 	 •Clean•Good Location parade & amp ; museum , local food 24x7•close enough Subway lines•good mattress•desk helpful responsive•toilet close wall side , … & lt ; censored & gt ; … ( ' use ) •wind loudly whistle close / locked window one night•No window screen allow room cool w/o risk bird entry•Bed short – need queen size , room small•nobody desk time one morning 
 Apr 6 2007 	 Excellent thank Nelson ! 	 reserve Park 79 website give terrible room . window break , heat , horrilbe street nosie draft come window plus share bathroom , discuss concern NELSON , person charge frontdesk , upgrade we SUPERIOR room , share bathroom , book , instead recieve private bathroom , 2 beautiful double bed , tranquil quiet room private bath extra charge - Nelson well - extemely accomodating , helpful entire stay , great guide New York Taxi Cabs - ABSOLUTELY BEST . would go , second , Nelson serve we . extraordinary . would recommend hotel without hesitation , long nelson charge . care look like be family . five STARS - best - thank NELSON ! ! ( Catherine Katie Canada - first good visit Canada - thank look we ! ! be good ! ! ) 
 Apr 1 2007 	 Excellent hotel affordable price 	 receive good customer service life Park 79 . staff friendly , accomodate willing help direction , travel service anything else . standard room double bed . room clean , nice soft sheet comforter bed . nice size bathroom wonderful toiletry provide . free wireless internet safe room hold computer away . location spectacular Upper West SIde , near Natural History Museum , Central Park , subway , countless wonderful restaurant bar . hotel close famous Zabar 's , also great jewish deli name Artie 's . satellite tv room , room nicely appoint furniture . bed comfortable , almost think home ! plan make many repeat trip , highly recommend . 
 Mar 28 2007 	 impressed hotel . 	 ok read review get bit apprehensive would find Park 79 ( dog pee smell ? ! ) . anyway , prepare impressed . wrong ! doorman duty always friendly polite helpful . staff desk . sort youngish guy really chatty bubbly . room 5th floor . nice room ! everything need , big comfy bed tv . oh mirror ! area hang clothe chest drawer aswell safe . bathroom great , obviously recently put , great big shower really powerful . staff always friendly help we . room do not come hairdryer ask could borrow one problem . really like hotel . decor , staff location great . pay stay , great value money . would certainly stay recommend anyone . seem wide range people stay . surround area nice aswell , feel really safe night quiet . Loved love love ! 
 Mar 24 2007 	 Good Value Money 	 book directly hotel website , stay 2 night wife . room clean recently renovate , although building look old . staff friendly . location also good : silent convenient , close 2 subway station Central Park . it be gorgeous hotel , certainly good value money . stay . 
 Mar 22 2007 	 Mixed Feelings 	 commend hotel business associate . trip new york City , tell affordable great location city . hotel A+ tidiness . service good . would recommend anyone . though due admit staff somewhat desire . Sat 17 2007 person duty night visibly intoxicate sloppy not know come selling . Spoke clerk duty morning . tell contact management . night tell manager . sum , hotel awesome location , clean , watch come - ons 
 Mar 21 2007 	 great base explore NY 	 stay Park 79 4 night January would reccomend anyone look base NY . happy stay close 2 underground station , restaurant , shop Centra Park however looking spend much time hotel could dissapointe . the hotel quite basic bar / restaurant etc however small room nicey furnish quiet clean . bathroom modern nice powerful hot shower . view window brick wall price pay not expect great view city plus want sat look window whole New York explore ? staff overly friendly small contact need really not matter . 
 Mar 16 2007 	 will love hotel 	 Park 79 Hotel adorable room fantastic location , staff one - of - a - kind . Nelson Front Desk , Dallas Front Door helpful , warm friendly attitude , help enjoy long business trip . understand hotel many return visitor . 
 Mar 8 2007 	 good staff 	 hotel kind staff . affordable extremely clean . location beat . wonderful neighborhood . nice size repeat , staff outstanding . return & amp ; & amp ; consider home N.Y.C . Holly & amp ; Jim Nova Scotia 
 Mar 5 2007 	 Great Value - Great Service 	 start Nelson , friendly front house manager . welcome get settle room - courteous bellman stow bag be early . first room face dread elevator shaft . within minute - really - new room open view . small room , well , small clean bathroom quite modern . amenity bath good . 's fantastic location wonderful spirit front desk . got great recommendation restaurant , include place real people like eat , Cafe con Leche Amsterdam example . person buy cheap hotel NYC regularly , top heap . thank Nelson friend make wonderful stay . 
 Feb 27 2007 	 great hotel ! 	 great time New York ! hotel staff knowledgeable , helpful , professional fun ! make stay nice make excellent recommendation tour city . hotel room small , clean . hotel location perfect walk many major site catch city transportation . although share bathroom guest , really pose major problem . minor inconvenience . would stay ! say hello Dallas stay . great doorman bell hop ! 
 Feb 26 2007 	 Park 79 - Great Location Awesome Price Great Service Clean 	 stay Park 79 week Valentine 's Day New York . actually get snow stay extra night . park 79 perfect someone look inexpensive way enjoy New York City . room super clean look recently renovate . large room super comfy bed . staff wonderful friendly . enjoy stay ... sure will not disappoint . yes , location Upper West side great well . 
 Feb 25 2007 	 Real Hospitality New York 	 doorman 's initial friendly greeting front desk clerk 's smiling & quot ; will whatever help & quot ; attitude know special place . 's small boutique hotel 79th Street across street Natural History Museum , ten - minute walk Lincoln Center , block public tranportation . the interior like townhouse , replete poilished hard - wood floor , wood molding expose brick throughout . room fireplace . room overly large , be comfortable , large screen tv 's compact tile bathroom operating room clean . short , Park 79 's friendly , professional staff revelation will back soon . 
