ask 	 first positive ... short walk Grand Central Station . upon enter 70 Park Avenue not get & quot ; Kimpton & quot ; scent Kimptons ( sorry think Kimpton propertie distinct fresh scent ) . lobby check - in area cramp feel claustophobic . dog lover purposesly stay Kimptons pet friendly , find odd ask front desk person dog not know ask front door man ? check request fish bring room . six hour later , still fish , place phone call transfer manager 's voicemail , politely leave message request fish would like one bring room Wednesday . upon check - out Friday never see fin friend Room 709 , way would never stay . room locate right near elevator door use constantly housekeep staff open close make sound someone knock door . apparently hotel housekeeping closet storage . whole three day line hall right outside room various cart towel , etc . television room serious malfunction . set temperature room 65 , consistent 75 ? ? never use room service think breakfast average $ 24 worth . silverleaf lounge offer customary Kimpton Happy Hour $ 5 drink 5 - 7 p.m. nightly . tell live music lounge , not hear not start time advertize . love Kimpton hotel , definitely stay one one NYC next time . 
 Apr 17 2009 	 expect 4 STAR receive 2 STAR 	 sadly , read review site . go expedia see great review . Love Murray Hill area NYC , say , ? want stay 4 star hotel NYC celebrate SPRING kid PreSchool . the photo online look great . description Kimpton & quot ; kid friendly & quot ; service seal deal . do not want bother folk hotel 3 year old want show behind . remember , think go 4 star hotel $ 325 / night price . choose hotel other review it . check in1 . lobby lot date photo show . wonderful photographer . : ) 2 . offer kimpton kid welcome pack , sad , cause kind pump bit kid get excited mini - vacation . 3 . Bell Hop service available . the ROOMS ( two room side side ) 1 . bathroom clean mold shower / tub grout . 2 . much small picture show3 . Bathrom closet bathroom . use toilet , knee literally hit wall.4 . Grandma Chic nice way describe decor . 5 . carpet room old / stain / in desperate need cleaning6 . Windows dirty / dusty window seals7 . Wall paper peeling / rip places8 . wire hang behind wall mount tv ( power cords09 . coffee Maker ? 10 . ice bucket , yet ice11 . $ 16 karaffe coffee give 3 cup ( .includes $ 4 delivery fee , 20 % tip ) 12 . $ 30 omlette ... ( include $ 4 delivery fee , 20 % tip ) 13 . one outlet tv 7 electronic item plug , look like major fire hazard , 14th floor , bit nerve wracking.14 . furniture , tv , wine glass , table , bed side table least 1/4 inch dust them.15 . Baseboard Moldings : need major paint job / cleaning . check ( check 9 am ) 1 . slow process . 7 people check in / check . 1 person work desk.2 . site state could arrange stroller rental . ask front desk person check since lock luggage storage day , would help we get another stoller day ( 4 year old decide enough 5 mile walk ) . state . say , site say . reply , NOPE , can not help you . we CANT HELP ..... be not kiss death hotel , much less 4 STAR hotel . 3 . Bell Hop take forever give we storage tickets4 . nobody help we car pick luggage later evening . okay , positives:1 . Hotel Rep , Matt , try help we offer dinner breakfest . however , see attention give room , dine eating area . would nice credit sort value give back without ask ... do not happen.2 . regrout moldy tub , complete , great . do not complain room moldy . suggestion inspect tubs.3 . wonderful location.4 . starbuck less 100 yard away5 . good apple lobby . ( sure wash ) , okay stay . would recommend hotel need actually stay hotel . use lay head end long day get right away , would okay clean well . 
 Apr 16 2009 	 perfect location cosy hotel 	 spend 5 night 70 park Avenue , delighted choice hotel . room good size , bed comfortable jacuzzi bath , little bit luxury hope ! reception staff hotel helpful friendly , guy help bag etc . however not spend much time actually receeption area not shre wine tasty session , though see event take place . we celebrate husband 's 40th birthday inform hotel plan , treat bottle bubbly yummy cake arrival room - really lovely surprise ! 70 Park Avenue 5 minute walk grand central station , empire state building around corner chrysler building leterally end street . get real sense like Midtown Manhattan , could not choose well place stay . we would recommend city sight see ' Top Rock ' - view exceptional rather inside empire state building , get take photo ! take red city bus tour = Greyline - tour guide great hop hop service . have good time New York ! 
 Apr 13 2009 	 Great Location Great Staff Nice Rooms ! 	 one favorite NYC hotel ! location great , staff excellent , room clean spacious . little bias Kimpton Hotels place one beat city . want stay near Empire State , Grand Central , Times Square , Central Park , place . 
 Apr 13 2009 	 clean friendly hotel . good deal money . 	 stay three night Queen Deluxe room . hotel start look little tired around edge , overall well maintain . room small side , clean , comprehensively appoint . bed comfortable . Room seem overlook kind ventilation shaft constant hum air - conditioner ( even 9th floor ) particularly noise sensitive aware room ( though perhaps bad room look onto street ) . staff friendly helpful . wine tasting evening nice touch , ambience overall casual friendly . location good - comfortable walking distance Times Square Central Park . would stay . 
 Apr 12 2009 	 Great Hotel New York City 	 get back three day drip long Easter weekend ten year old daughter New York City . get great price $ 149.00 night stay 70 Park Avenue Hotel . lovely small hotel look like recently redone . room good size New York modern warm decor . room spotless clean staff lovely . fresh coffee cafe lobby every morning serve breakfast buffet every morning . breakfast delicious . every evening wine reception lobby . hotel quiet area conveniently locate mid town 2.5 block south Grand Central Station . daughter feel safe whole trip could easily hop subway walk wherever want go . would definitely stay hotel would recommend friend . staff also friendly child . 
 Apr 4 2009 	 Great Location Friendly Staff 	 spend two night Manhattan business . location great -- Murray Hill good neighborhood plenty place eat drink , hotel right street Grand Central , be easy get anywhere . the hotel staff friendly accommodate always Kimpton property . wine reception evening nice Kimpton touch also . our king room okay size , layout leave something desire . hard work desk chair back foot bed large screen tv desk . not go New York watch tv , NCAA tournament weekend team play . unfortunately , hotel not get CBS , rather amazing since studio block away . ask reason , give vague answer signal hard get Murray Hill , maybe be be move transmission tower . think probably something digital transition , 's guess . tv hot either , even though 42 - inch flat panel . take forever warm , picture never clear . complaint room coffee pot . offer complimentary coffee hotel restaurant , want get dress mingle people first cup coffee morning ? 's minor detail , puzzle ice bucket room ice machine anywhere , yet coffee pot . the decor nice , bed unbelievably comfortable , bathroom amenity first class . wireless connection good , business center lobby print boarding pass flight home . I would stay highly recommend , especially not care watch tv . 
 Mar 16 2009 	 Cute Hotel- centrally locate 	 centrally locate Grand Central , midtown , away craziness Times Square , 70 Park Avenue great little hotel . lobby room small , cozy . staff really friendly accommodate need early check - in . love Kimptons ipod docking station easy ( free ! ) internet access . complaint service Silver Leaf Tavern ( hotel restaurant next door ) not great . 
 Mar 16 2009 	 's 2 year still think hotel 	 ok , ' ve little slow write 1st hotel review , b / c ' m generally kind person lend influence somebody else 's vacation decision , read review 70 Park Ave , feel like need describe one fine hotel experience ever . 2 year since ' ve stay 70 Park , certainly thing change , experience , tell would definitely consider hotel . 's true , hall narrow , elevator , noise outside Park Avenue ( be New York ... not bother we ) . reason write , though , privy good , sincere service ever . actually propose wife NYC , 70 Park hotel choose stay trip , unbeknownst time . book King Premier room , call let know stay surprise engagement . staff downright giddy , come back hotel new fiancee , greet applause congratulation , well complimentary bottle champaign , fresh strawberry , dessert . dine Silverleaf downstairs evening , food delicious . locale , everything want see close . think room impeccably decorate , bathroom tile cool , light give room warm glow . , stay big room high floor , ' m sure experience would small quarter . four day New York , 70 Park Ave main contributor memory never forget . 
 Mar 16 2009 	 helpful hotel 	 lovely hotel . take husband 30th birthday . hotel organise cake sparkle wine . one helpful hotel stay , stay trip email contact helpful hotel manager . they also lovely touch offer glass wine evening . room clean , average ( new york ) size . good location . fantastic staff . I much recommend hotel . 
 Mar 1 2009 	 nice location good value 	 70 Park nice hotel . room small , NYC . would decrib decor grandma chic . room 42 flat screen , ipod docking station , wine glass comfy bed . staff accomdate , doorman help parking security helping return wife 's wallet leave safe . hotel offer wine hour 5 pm lobby free , nice touch . also free coffee tea morning . location two block Grand Central Station , cool place check . go Oyster Bar old school , worth walk . 
