absolutely 	 hotel recently renovate beautifully do . locate Upper West Side across street Fairway market one great grocery store . hotel room come complete kitchen . really enjoy stay . 
 great place stay do not wan na slap bang city centre .... 	 stay hotel two week .. turn great location holiday .. subway use time ideal we .... staff helpful pleasent ... even meet fellow thin lizzy fan reception good oman ! ha .... lovely view hotel room nite .... clean .. quiet .. ( except jerk decide start play trumpet early hour sunday morning .. phone reception nobody arrive .. small gripe though ) ... laundry room bonus ... great wee cafe rite beside hotel .. close central park john lennon old place bonus ! do not wan na locate heart city .. would welcome quieter area nite .. would highly recommend hotel .. 
 great hotel certaintly live expectation 	 arrive Hotel Beacon sense expectation would hotel cut rest disappoint . stay 8 night lucky enough upgrade one bedroom suite - roomy well appoint need . service great find staff professional helpful everything need include little thing make difference . upper West Side neighbourhood wonderful hard day pound NY pavement load great restaurant within easy walk distance fabulous delis , supermarket bottle shop across street . 
 Jun 18 2009 	 Fantastic Hotel 	 stay Hotel week broadway close central park shop lot see around area . room good size bed comfertable comfort home include flat screen tv internet quiet room . market road good resteraunt next door Theatre way . good service hotel allway help point right direction want go . close anything need holiday many restaraunt diner close also . 5 Star 
 May 30 2009 	 Brilliant 	 arrive New York wet night late April 2009 long flight Melbourne Australia approach front desk Beacon trpidation ; afterall read horror story hotel room New York . WOW surprise ; greet cheerful receptionist quickly organise booking escort suite 20th Floor - booking ask room high avoid noise . bedroom huge separate sitting room kitchen also large . stay 5 night sorry leave Beacon - everything far expectation ; location great minute stroll form underground Central Park museum easy walk distance ; across Broadway & quot ; Fairway Market & quot ; able buy supply eat ; cafe next door serve great breakfast . if ever return New York head straight Beacon ! ! 
 May 25 2009 	 great bed ! 	 stay Beacon six night attend daughter 's graduation Columbia Law . everything positive review claim , . king size bed incredibly comfortable , really appreciate . kitchenette huge plus . location perfect ; able walk lot midtown sight , enjoy relative calm upper west side , cab ride Columbia $ 7 . mom use wheelchair , Beacon staff really kind helpful . real problem occur Airlink van , arrange hotel concierge , arrive take we airport . although specify number people bag have , send van small , create glitch last day . future , instead use Airlink , would make arrangement Carmel Car ( pick we JFK upon arrival great ) Super Shuttle . Airlink seem convenient concierge work , big disappointment . 
 May 23 2009 	 Love Beacon 	 Beacon residential area Upper West Side , surround tree - line street , shop great restaurant . we stay 1 bedroom newly renovate suite impressed size , especially lounge room 1 , 2 closet , 1 clothe . also fully equip kitchen , 2 large tv 's 200 channel , newspaper deliver daily , comfy bed . road Fairways deli - supermarket , huge selection fresh fruit vegie , hot meal , Bar B Q chook , pastry , pie , quiche , gourmet shelf line deli item . beacon bottle shop excellent , find several preservative free wine , home Sydney . free internet access little room lobby , always plus I . as first visit New York , bit concerned , hear people could rude abrupt , encounter anywhere . staff Beacon always smile friendly , doorman , front desk , concierge lady make room . we buy $ 25 7day subway pass , give friendly assistance man local 72nd street subway , business man show we way correct platform , get train . outside subway mass pink tulip full bloom . 5 day explore Manhattan pass , find subway fast safe . Central Park 2 block away , spend several hour , see half huge . the Manhattan diner block away great lunch time special , meal HUGEI would definitely return Beacon , would recommend family extra room cooking facility 
 May 18 2009 	 one good value NYC 	 ' ve two time love everything Beacon . feel like true NYC hotel , old elevator , resident dog , location can not beat . the fully equip kitchen bonus recent renovation tasteful , par late look small luxury hotel . my minor complaint not take extra step upgrading bed linen , still maintain old blanket - style covering low grade pillow / sheet . I feel like true New Yorker instead visitor stay - comfortable . even though busy section Broadway window door provide excellent sound insulation . try great breakfast Viand Cafe next hotel , fresh egg , OJ , hot coffee , homefrie , toast less $ 6.Zabar 's 5 - 6 block north Fairway supermarket across street , outstanding place purchase goody bring back hotel . beacon within walk distance top shopping restaurant , 2 min walk restore 72nd street subway stop , connect anywhere NYC . 
 May 11 2009 	 great choice New York stay Upper West Side 	 love hotel . location FANTASTIC , across road market , close subway , walk distance Central Park . room classified & quot ; suite & quot ; , 3 closet ( one fit 5 suitcase ) bedroom , small lounge kitchen . Kitchen could utensil crockery common complaint amongst hotel . all hall elevator clean lovely . not experience much noise traffic guest . there one lady , clean room , Beacon 30 year - absolute delight speak . everyone friendly . this hotel greatly contribute delightful New York stay . 
 Apr 24 2009 	 LOVE HOTEL ! 	 & quot ; Hello & quot ; . lady book room angel ! moment walk lobby , impressed . book online scary , especially NYC . call speak Dawn reservation . nice ! say New Yorkers rude , well . nice people . front desk housekeeper , lovely . anyway , walk room , think must mistake , must accidentally upgrade h - e - a - v - e - n ! room nicer picture online . wish know hotel connect Beacon Theatre . would check play advance buy ticket show . next time ! say , hotel . never stay anywhere else NYC . 
 Apr 23 2009 	 Love place ! 	 stay hotel beacon twice , 06 , 08 . trip great . first trip , apartment remodelle , still find room large , comfortable , similar apartment urban dweller would find comfortable home . second trip , like , WOW ! , new furniture , LCD tv '' , marble bathroom .... want take home place San Francisco . really love beacon hotel 's location , size room , friendly staff . good place authentic new experiance ! 
 Apr 14 2009 	 Place NYC 	 upper west side New York City great place love , especially child . Hotel Beacon 75th Broadway great place stay NYC Children . away tourist area times square business area midtown , stay 2 bedroom kive room kitchen . shop fairway Citronella across street ; take short walk Zabars H & amp ; h bagel . would not consider luxury hotel mean , safe , clean , great location close subway , would stay . diner corner deliver fraction room service would charge . hotel snob . could family 4 comfortable stay Plaza ? nope , Hotel Beacon . bargain twice price . 
 Apr 9 2009 	 not count sleep sofa bed 	 master bedroom fine - rest advertise : sofa bed mattress torture , ' free ' wifi access gym free staff helpful requests/ question . location good would pass . 
 Apr 5 2009 	 good hotel far 	 Best NY hotel ' ve stay far . good value money , close subway , shop , bar . Nice Neighborhood feel area . Felt safe time day . 
 Mar 25 2009 	 Peakin ' Beacon 	 King Suite great , think price reasonable location . great kitchenette , even though pretty tiny area . go across street Fairway Market stock beer , coffee , breakfast item . bed really comfortable . diner right next door , Starbuck be across street . 2 different atm within hundred foot . overall great experience , minor drawback . could hear everything people room next we say , ' m sure could also hear we . bathroom pretty small , weird location right door room . bathroom door right beside front door , could see right enter room hallway . minor inconvenience , consider Beacon Theatre next door , much area . ' m plan stay next March . 
 Mar 20 2009 	 Pleasant Surprise 	 much well expect ! 3 queen bed ( one pull couch ) less $ 300 night full kitchenette enough space closet . perfect location staff friendly helpful . room expect iron call front desk , gracious staff member door minute . front desk helpful direction provide we several extra key . room clean , modern comfortable . price / location / cleanliness , would definitely recommend stay NYC . 
 Mar 6 2009 	 Cozy Elegance Broadway 	 great , quiet hotel Upper West Side . room spotless , bright modern . staff extremely helpful neighborhood recommendation eat get around . kitchenette come handy stocking drink snack . spectacular Beacon Theatre literally next door step one door next take performance . truly feel like home away home . 
 Mar 4 2009 	 Comfortable Hotel perfect location room kitchenette 	 husband stay suite Hotel Beacon 7 night . recommend fellow Australians certainly disappoint . locate Broadway Upper West side near W75 Street , hotel minute walk 72st subway 5 minute walk Strawberry Fields Central Park . across road amazing Fairways Market view Deli Heaven ! ! kitchenette full amenity real bonus although good choice restaurant cafe near hotel . refurbish room spacious spotless mod con . truly home away home friendly helpful staff , good service opinion well price . 
 Mar 4 2009 	 Beacon shine brightly ! 	 pleasure ! freshly renovate , attractive & amp ; comfortably furnish accommodation really look like photo hotel 's website , photo show airy spacious bedroom suite , size walk - in closet ( window ) , well - equip compact kitchen ( toaster , microwave , basic cookware , small range oven , microwave , sink & amp ; refrigerator ) . bathroom , however , quite compact , towel luxuriously thick . in addition closet space , ample drawer 3 we ; large flat - screen tv directly across sofa ; excellent climate control , ergonomic desk chair ; iPod docking station nice touch -- feature , might add , find Sofitel suite stay 2 week later twice price . , friend report sofabe surprisingly comfortable . deluxe hotel full - service amenity , bar & amp ; restaurant . immediate environ offer variety & amp ; food market ; gym [ day pass available hotel guest discount ] good wine shop next door ; neighborhood , one favorite , delight out - of - town friend much hope . stay long , also coin - operate washer & amp ; dryer pleasant - enough laundry room 7th floor . lastly , staff unfailingly pleasant , welcome professional . could afford , have tempt give apartment live Beacon year - round ; ' m sure pleased stay . 
