smart 	 return long weekend London stay Place2Stay . first choice usual B & amp ; B fully book find someplace else . modern clean . well run comfortable room , excellent shower , efficient elevator . free WiFi room . downside , expensive usual B & amp ; b hotel serve breakfast room nicely equip kitchen nook complete tableware , complimentary tea coffee , kettle , microwave refrigerator . location bit far away Theatre district Oxford st./covent Garden / Soho , customary haunt , convenient Earls Court underground station . Buy Oyster card convenient bus tube travel . overprice London , would say hotel represent decent value would hesitate recommend adult without child . 
 Great Hotel Great Location 	 really enjoy stay . room little small , however still big enough , well appoint extremely clean . service require excellent . great location couple minute walk Earls Court Station . Earls Court Road quiet feel safe night . would stay back London . 
 stay . 	 beginning walk door , base2stay great . staff extremely friendly go way help . location hotel central 2 minute walk tube . taxi 's need . room clean comfortable . modest sized double room suit need tour day . would suggest look large room plan spend lot time chill room bed take majority floorspace , desk , lounge chair bathroom . however tour London , would perfect . the bathroom clean generous size compare many hotel . the staff assist we day tour available , offer assistance wherever could polite . pay £ 243 2 night worth . overall , hotel modern , comfortable , centrally locate staff great . would certainly stay strongly recommend other . 
 modern clean convenient affordable ! 	 pleasantly surprised base2stay Kensington . staff member helpful courteous . double room reasonably price , really small . not big deal since really need sleep , hang . modern decor charming old Kensington neighborhood . good closet space nice kitchenette mini - fridge hide behind closet door . receive 20 % coupon local restaurant front desk . hotel short walk Earl 's Court tube station able travel around London great ease . would definitely stay next visit London ! 
 Sep 28 2009 	 base2stay small well - locate hotel friendly staff nice amenity reasonable price . 	 room small comfortable , nicely appoint immaculate . ingeniously conceal kitchenette wonderful convenience not feel like go meal . wonderful market gourmet takeaway shop block . moreover , staff & quot ; problem & quot ; attitude take care request respond difficulty . price bargain London standard even average lodging exorbitant . 
 Sep 28 2009 	 great location amazing customer service- definitely would stay ! 	 mom , sister stay triple 2 night base2stay really pleased . location close tube great restaurant within walking distance . stay european hotel trip aware room size compare american hotel bathroom big ! ! ! hotel clean new . also sweet patio attach room nice place unwind dinner . would definitely stay ! 
 Sep 27 2009 	 Exceeds expectation 	 base2stay turn great find . good location midpoint two Tube stop : Gloucester Road ( Picadilly , District , Circle line ) Earl 's court ( District ) . nice neighborhood . although small mix - up checking , quickly graciously rectify give complimentary upgrade . although room initially show - L4 - look good , terrace ! room First floor immaculate , small efficiency kitchenette ( microwave , sink , fridge , plate & amp ; glass , etc . ) . quiet good - sized room . excellent front desk staff exceptionally friendly helpful . really add whole experience . would definitely stay long one night ! 
 Sep 27 2009 	 everything need 	 book night hotel base recommendation see trip advisor , disappointed . room fairly spacious London standard , quite large bathroom well . ask room bath possible provide . small kitchenette fridge small amount crockery cutlery allow make cereal coffee morning , great people not partial mammoth english breakfast . Decor tasteful furnishing comfortable . husband love large screen internet access room . staff friendly helpful . importantly quiet , street noise , pretty street charming house main thoroughfare . 
 Sep 25 2009 	 good place stay London 	 stay London number time agree review - great place stay . convenient everything , lovely room , great staff . room low floor quiet would not even know big city . air conditioning welcome hot London . will not stay anywhere else visit London . 
 Sep 21 2009 	 wonderful 	 husband stay two night find hotel perfect way stay London comfortably nice location . restaurant room service massive lobby be need . room nicely decorate new clean . ' m picky free wifi work well . small kitchenette even . 4th floor face street notice street noise . staff friendly helpful even give we 30 % near restaurant . hotel couple block underground . quality price excellent . 
 Sep 19 2009 	 class ! 	 stay 10 night single room base2stay recent London vacation . meet rather high expectation , base review TripAdvisor elsewhere , respect . already know like area , base2stay staff invariably helpful question local shop restaurant . my room tiny clean , fresh , adequate base vacation ; rarely daytime hour . single window large look quiet mew ; never hear street noise . however , sometimes hear stomp footstep stair creak floor adjacent part building . clothe closet pretty good size hang area bit short couple jacket - not hook room hang coat ( count small hook inside bathroom door ) . like kitchenette - in - a - cupboard , allow keep food hand enjoy coffee , tea , snack light meal room . fridge not keep thing cold home fridge US ; review mention not surprised , keep cheese bottle water cool enough I . the bathroom winner , comfortably sized shower , good sized sink , attractive tile finish , generous ledge toiletry , wonderful large heated towel rack . Kudos hotel 's designer , could probably fit room create ridiculously tiny en suite bathroom find many London & quot ; budget & quot ; hotel , ! front desk staff always friendly helpful - Tony particular ! great value money ; hotel feel upscale , quiet exclusive , always happy return end day . be new , clean , fresh . serious shortcoming , opinion , lack communal sitting room lobby sit area . ' m sure omission part concept , hotel 's owner ever build another base2stay , hope revisit issue . ' m already browse internet plan next trip London , although ' m find cheap room rate , ' m find lodge option really compare base2stay price range . it be definitely class . 
 Sep 16 2009 	 GREAT choice ! 	 husband choose base2stay base location , value , room amenity high rank tripadvisor.com happy choice ! third trip London together stay nearby previously ; base2stay nicer less expensive . 's super location 3 - 4 minute walk Earl 's Court tube stop Piccadilly , Circle District line easy access everywhere usual tourist would want see . location Piccadilly line mean direct access Heathrow 40 minute stair except four door hotel . Front desk friendly , yet professional ; check - in quick . request , give room king bed ( two twin & quot ; zipped & quot ; together make king ) quiet location away traffic , elevator , etc . room small US standard expect anywhere London . well set - up , clean comfortable . tiny , efficient kitchenette microwave , ref , dish , cutlery 2 . bathroom large UK standard window like ventilation . Loved heat towel rack . big ledge toiletry . luggage storage space bed . decent sized wardrobe hang clothe couple shelve drawer . be type completely unpack suitcase available drawer , etc notice room leave suitcase without crowd room case , block kitchenette . nice linen duvet , mattresse okay , great , mention hotel . might box springs allow storage space . Earl 's Court area many eatery ; love Nando 's chicken 1 block west tube station ( be right be face station ) . hotel offer laundry service be desperate , also launderette around corner . one BIG TIP happy international vacation PACK LIGHT ! ! all - in - all , big thumb base2stay . minor point mattresse quality level rest room lack suitcase space . neither would keep we book property especially since never pack ! ! definately check website detail , etc . note - single room tiny US standard . 
 Sep 14 2009 	 good service nice room great location 	 base2stay locate quiet area , yet close Earl 's Court tube therefore perfect starting point trip downtown London Kensington area . service A+ room high class , especially give moderate price level . definately recommendable . 
 Sep 13 2009 	 everything promise 	 alway wonder , book hotel base tripadvisor review , whether live expectation . well , base2stay live expectation - . arrive 11 am ( well check - in time ) , mean drop bag check later . , tell room ready we ... immediately & quot ; home & quot ; . lovely quiet outlook green garden . everything right - hide kitchen , internet , large bathroom , comfy bed . check - out , leave luggage safe - keeping , give place freshen end day leave city . wonderful ! , able utilize service base2stay 34 hour ( one night stay ) - quite amazing ! thank provide base we London . 
 Sep 11 2009 	 good value ... small room 	 location hotel ideal 2 block tube close many restaurant pub . decor minimalist - chic service good . front desk staff extremely nice . two complaint room awfully small ( be understandable give loc . ) iron room . 12 - yr . old we , would likely decent room - especially money ... third bed room , hardly anyplace even put suitcase , much less walk around one another . husband need iron , take thousekeepe hour find one ... plug , blow fuse ... take another 20 min . resolve . time want spend ( small ) room much see London see ! believe relatively small investment individual iron / iron board room warrant - especially since base2stay advertised & quot ; hotel & quot ; - hotel - like amenity expect . overall , think nice hotel ideal location see London - probably well suit single couple travel planning spend lot time room ... 
 Sep 10 2009 	 Ideal base2stay 	 stay second time July year ( previous visit July 2008 ) would agree positive review post . place ideal traveller & amp ; day simply need excellent base2stay whilst explore london . location great , convenient underground quiet road . staff helpful stay . small enough friendly welcoming elegance quality hotel . take time walk around Kensington area interesting architecture visit market - eg Portobella Road & amp ; Camden well busy traditional sight . visit local museum highly recommend . 
 Sep 8 2009 	 clean modern . well locate . helpful staff . 	 wife 9 yr old son happy hotel . everything clean , modern aesthetic . kitchenette plus - tuck away nicely . hotel well locate . short walk Earl 's Court tube ( direct line Heathrow ) , Gloucester tube ( District City line main sight ) . good restaurant Earl 's Court , especially Gourmet Burger place . walk distance excellent Natural History Museum , Victoria Albert Museum , Harrods / Harvey Nichols bit . staff helpful . book activity , recommend restaurant , keep luggage checkout . would definitely stay . 
 Sep 8 2009 	 great hotel independent traveller 	 Excellent facility , new high quality . helpful staff , convenient location Earl 's Court easy Tube access , quiet street good night 's sleep . squeaky clean . room small ( depend category book ) ceiling high . mini - kitchen handy staff willing recommend local restaurant , negotiate discount hotel guest . if would like good location thick Oxford Street , high - service hotel need room service , generally pretty independent , great hotel great price . use live Earl 's Court area always stay visit London . also bring two - year - old son stay comfortably , need book one large room . 
