woooooow 	 make one short sweet : ) Vegas magical city whatever heart desire ... long cash ! speak world class dining , over - the - top vip treatment club , high roller treatment casino , uber luxurious spa treatment . on actual review Planet HollywoodFIrst , location PRIME ! ! center strip . locate across bellagio new City center construct . plan see whole strip would good place stay , near middle strip , plus Miracle Mile mall attach shop essential ( alcohol , food , pharmacy stuff ) rite downstairs without pay resort price . get resort room view bellagio fountain pool area . complain huge room , movie theme little weird , Baywatch , cool pic baywatch fan . also , real complain room position tv ; face bed , could not move bed , could watch chair . good part room washroom , huge , big bedroom , sink , side , separate side boy toiletry lady side vanity work . middle huge open space , giant soaker tub , standup shower seat course toilet door . the atmosphere rockstar - ish , everytime go downstairs like party go . good place get drink people watch , pleasure pit always fun prive nite club well think go . pool area little PH style , seem little bland almost family orient , nice view paris tower though . eat earl sandwich , good place grab bite , cheap . try spice market buffet , second fav buffet Vegas , reasonably priced consider get . the overall impression good one , hip trendy , still work , upgrade pool area want . service friendly throughout hotel , one issue maid , would not give towel thought need . room amazing , vibe amazing , location amazing , dining amazing ! ! ! Planet Hollywood ROCKS ! .p.s . Holly Madison start headline Peepshow ..... woooooooooooow ! ! 
 Planet Hollywood Las Vegas Review 	 huge room , great location middle strip buffet amazing ! ! ! free bottle whiskey wine also help ! ! 
 highly recommend perfect location Strip 	 stay first part nine night trip States 16 November . hotel locate right middle strip make get around easy . check not queue whole process take less 5 min . room 31st floor view strip two queen size bed , large bathroom spotlessly clean . room also connect door ask could move room without one , upgrade even large room luxurious bathroom inconvenience move . whole complex big bit confusing finding way around everything soon click place find bearing problem . ever lucky enough return Vegas would stay Planet Hollywood without hesitation . 
 Vegas 	 beat hip , gear towards young crowd . still adult . 
 Nov 3 2009 	 fantastic hotel stay 	 love hotel - minute arrive minute leave ! stay Monday 26th October Friday 30th october love everything ! shall give list everything love hotel . the hotel good spot town - right heart everything ! check - in queue short ( 3 people front ) one guy efficient check two people front we us time other check one person ! ! name EVAN ! ! lobby clean , bright attractive . the shop get free bottle ( full - size 750ml bottle always least 2 staff serve - whata great offer - free booze ! ! champagne 2 night stay save bottle whiskey gin take home England ! ! lift easily access 6 north south side hotel - lucky - 12th floor around corner lift ! room LOVELY ! ! ! night room could done overhead light rather 3 lamp ok day ok anyway . course massive bright bathroom great put make - up ! ! love size tub shower - big enough two ! also two sink great - couple would great group friend get ready time . Hubbie loo shower time - good saving time ! non - smoking room get two double bed make room large love big hall room , bathroom feel like suite rather room . maid always get back room anywhere 2 4 afternoon always make bed , clean bathroom put fresh water bottle cabinet . newspaper arrive every morning . we Burt Reynolds room sutie hubbie cos love ! ! good place eat hotel ( place eat actually ) Spice Buffet - recommend highly enough - especially indian food ! ! indian food Englishmans favourite meal , know spice BEST indian food ever taste ! ! ! get 2 price 1 ticket room card use , sure would like pay full price though ! hate spend lot money food ! atmosphere hotel lively , young hip ! 40 's hubbie 50 still love hotel . be not busy fun watch gambling part casino . do not gamble much table give good bit back play table age relatively small bet ! girl table dressed basque tiny short dancer pleasure pit sexy would not say bad see tv walk street sometimes ! ! nighclub do not use hotel one can not comment . do not use spa , swimming pool gym either . on day go home , leave case baggage drop room hold case til 4.30pm could spend day want unencmbered case ! ! trouble they . we take bus airport hotel ( $ 6 ) get taxi back airport go home ( $ 15 - give driver $ 20 ) would definately recommend bus aiport hotel traffic get hotel heavy get back airport would cost lot get airport hotel ! ! taxi wait outside lobby always man check taxi know rip off . I would also say go GRAND CANYON MUST ! ! ! use Heli - USA - get ticket one booth ( do not get hotel cost fortune ! ) get te trip helicopter flight McCarron Airport Grand Canyon , fly Hoover Dam , Lake Mead Colorado River fly Grand Canyon stop lunch cowboy ranch ( do not expect much though ! ! ) .The thing would recommend need dress bit - do not think feel bit underdressed even daytime ! ! think week need - 4 night , do not want . Planet Hollywood great hotel - would recommend one cheap hotel - nice - would say want top notch hotel Mandalay Bay , Bellagio Wynn hotel you . if want detail please email I . all - hotel great place stay - would recommend anyone ! ! 
 Oct 31 2009 	 Fantastic ! 	 great ! stay honeymoon great time . upgrade fantastic & quot ; fountain view & quot ; room love watch fountain get ready hit town . good location strip price ! 
 Oct 31 2009 	 enough 	 arrive late 10 pm , 10 minute wait register . Clerk unfriendly , abrubt appear bother deal we . Stayed Hollywood hip room , strip view ( face City Center ) . tell we room available room 2 double bed . fine except one white bedspread small spot blood cover 2 sq ft area top center area . room dark , almost storage hanger space ( leave 2 bag pack ) . take shower ( restroom nice ) get dress , put white sock , walk around room get ready go , sock black bottom . ( maybe be room dark ) . tell ' get free alcohol book airline vacation package . still charge $ 5 + resort fee top reservation . stay Aladdin ( love , that s go time ) be definately Aladdin anymore . hotel hallway dark . parking : Parking Koval , behind Miracle Mile Mall . , get walk long way mall get parking garage . speak mall nice still ( keep old theme Aladdin day add lot neon signage not compliment theme ) . many time especially late night group drunk ( drinking ) young adult hang around mall entrance parking garage . seem case people leave mall . parking garage dingy well lit . casino : casino confusing 's layout . stay 5 night , see cocktail waitress last day . ( get drink casino almost immediately ) . stay . stay NYNY , Monte Carlo , Sahara , Aladdin previous visit . bad customer service ever dirty room ever . Loved Monte Carlo probably go back . 
 Oct 31 2009 	 Place ROCKS ! blast ! 	 stay PH Sunday Oct 25th , Thursday Oct 29th . killer deal $ 59 night Twitter page get free 750mL bottle upon check - in . we arrive desk around 11 am walk Saturday night stay Excalibur , tired exhausted , wife ask upgrade wedding day & quot ; Angel & quot ; check we key stroke get we King - Smoking - Fountain View Room , Room number 2493 . perfect . I not care everyone say , room NICE . not dark like people say , think people complain complain not happy life . bed comfortable , bathroom HUGE , least we , comfortable bathtub ! detach shower nice touch , hot water never problem , water pressure fine . as gambling , come way ahead get lucky slot several good run blackjack . come $ 1,000 leave $ 2,000 . manage collect $ 5 New Years 2009 chip play blackjack think cool well Pleasure Pit Peepshow $ 5 chip have . Spice Market Buffet - simply BEST ! go Breakfast , Lunch Dinner , Lunch Dinner compe rate play one pay Lunch still worth coupon get A - list Players Club Book . seriously , eat Buffet 3 , be AWESOME , thank later . Earl Sandwich - PERFECT place quick bite go . get discount place good food . always get italian Sandwich , DIE ! actually go remake back keep eat till Vegas ! stay get meet , talk take picture Jerry Springer ! ! guy ! upset Steelers beat Vikings though could tell ! haha . GO STEELERS ! incredible time property visit hotel want stay fully decide Planet Hollywood primary hotel stay every single year , fit age range , 25 22 , upbeat , music playing , pleasure pit , night club huge mall . can not go wrong Planet Hollywood ! ! 
 Oct 30 2009 	 dirty - Great Location 	 ph great location , two entrance Miracle mile shopping mall . Paris next door pool see fountain Bellagio . issue ph , check charge additional $ 5.95 / day ( free ) booze bottle two water bottle . choice cheap wine , rum couple other , would like open wine happy sell wine opener $ 3.00.the pool area disgusting , way around , really look like lot party little cleaning . bathroom never mop ( even arrive ) , bring shower shoe need . agree review little hang space dark room . stay different property different price level one work money . 
 Oct 30 2009 	 great view Strip ! 	 Hip Hotel ! great location strip . P. F. Changs one favorite place locate right hotel . Decor room trendy . favorite part free bottle booze upon check ! 
 Oct 30 2009 	 Excellent trip 	 stay planet Hollywood 22 - 26october arrival ( 3 pm ) reception empty see straight away plenty people reception $ 20 trick get billagio fountain view room north tower 2485 think . even get drink we voucher ' initial . room clean spacious bathroom huge . side windows ' massive light room poor bathroom light fine put make hair lady . ' worry . look hotel window look quite small could see fountain watch fine Vegas stay room . trip canyon grand canyon tour number one trip advisor ( look ) cheap get breakfast lunch go Hoover dam route 66 canyon long day worth every penny small group chat together . back Hotel . I ve never America first experience . eat planet dallie one morning breakfast food great big portion come $ 50 tip . really buffet people try last day spice market breakfast $ 14.99 $ 5 coupon bargain include tea coffee juice . food choice amazing know would much choice probably would choose planet dallie save penny . pink hot dog place take we 15mins deice many choice , ok think chili cheese dog sort thing . strip house steak house ever hotel amazing ! good bit beef ever eat cooked perfection . ' cheap worth every penny , ' busy either ' feel rush . hotel casino lively music play loud money roulette casino . hotel would say middle strip great location drink Us select full bottle choose note order wine get room find bottle opener call room service pay one dollar still little unimpressed . young couple 24 - 26 think hotel great nothing complain bare bottle opening . madam tuasade gondola ride lion king show excellent . much little time . english man can not survive football away get cab crown anchor ( english style pub English run also ) Ricky Hatton teddy sherrigham drink show premiership game sure other boyfriend drag pack good atmosphere serve english breakfast . cost $ 12 planet Hollywood . Miracle Mile shopping - hotels shopping centre would say might cheap one . time share people ' stop ' see I m sure everyone say maybe lucky . great time . 
 Oct 29 2009 	 like nice hotel one 	 go group friend choose accomodation . would not choice . line check still take 30 minute get check . room reserve available ( king non - smoking ) , put smoking queen room . call room ask move upgrade would not anything we . next day move we non - smoking king room . huge hassle repack move . newly remodel hall room pretty run . casino nice location hotel perfect . Miracle Mile shop attach hotel shop Ceasars across keep we shopping hour / day . trip awsome despite hotel . ' ve stay place like Palms Place Mandalay Bay , style . be picky , value location Planet Hollywood good . 
 Oct 29 2009 	 Dark room 	 stay planet hollywood , 4 night october , location hotel brilliant , construction work bit messy . room large elegant , dark , hardly wardrobe drawer space , bathroom light spacious 2 sink , towel small rough horrible mauve colour , not hear nice big white fluffy towel , basic toiletry , shampoo conditioner & amp ; soap not get replace daily . we good view strip , new york new york side . pool area good , sunlouger fall bit , squash together could not get either side , swim pool nice big size . I like casino area , plenty atmosphere , cocktail waitress come round often . I stay bellagio , paris & amp ; alladin planet hollywood , must say much prefer place , not think would stay planet hollywood . 
 Oct 28 2009 	 cheap luxury 	 really like hotel , room great , 2 big bed , massive telly , posh bathroom seem quite plush price pay . only downside nigh impossible figure lift ( elevator ) room casino , doubt purpous get spend money thi shiney casino , bit annoying tired walk strip hour , glad be not drunk , would curl corner somewhere ... 
 Oct 24 2009 	 Gimmicky ( awesome ) room great casino 	 previously stay Hooters Flamingo Strip Vegas say hotel real nice thing . room sort Hollywood paraphernalia ( get Steven Segal room , call & quot ; Overweight Has - be Room & quot ; ) . room pricing come free bottle alcohol , could get hotel general store , every night stay , nice , too . the room , room - wise , low tier room , nice . big bathroom nice shower big tub . thing not like toilet room , light switch outside room ( make hijinks ... shenanigan ) . nice big flat - screen tv huge oak wall - unit . overall nice room . the casino , also , A+ . big plenty every type game . also & quot ; Pleasure Pit & quot ; akin Caesar 's & quot ; Pussycat Dolls Lounge Casino , & quot ; lovely lady dress scantily deal game , distract make good bet decision . again , totally recommend place 's good hotel / casino overall . 
 Oct 24 2009 	 Great Location Great Room Great Value - Sylvester Stallone 	 daughter great time stay Planet Hollywood 8 night - perfect location right middle strip ..... could not fault anything check in / out go smoothly room clean spacious . daughter first time Vegas really enjoy can not wait go back . Kerrie walk casino see Sylvester Stallone interview Pierce Morgan bonus . trip - go see titanic exhibition well worth money Bette Midler fantastic .... definitely would not hesitate stay hotel . 
 Oct 23 2009 	 Planet Hollywood 	 beautiful hotel ! enjoy different theme room . highly recommend 
 Oct 23 2009 	 good location 	 agree another reviewer say would know hotel 2 year old . we check quickly late night arrive . ask change room bother regular dragging / roll noise we ( turn near elevator make complaint ) .The second room much well partial view strip ( NY NY side ) . room relatively clean spotless clean . room two queen bed instead King request many month ago make booking . Bt say could . bathroom walkin shower ( hurray ! ) . Bu thte towel old , fade threadbare - toilet clean arrive ( i.e urine seat ) . disappointing . the hotel good location . concierge particularly helpful fact charge $ 5.00 print boarding pass . I stay Luxor good far . next time try upgrade Bellagio . 
 oct 22 2009 	 Vegas Baby ! ! ! ! ! 	 stay Planet Hollywood Hotel vegas strip week begin September . stay hotel previously Aladdin . room cleanish , ok not look ander bed . also carpet tap deffinately stay Aladdin ! definately big enough , share room brother , two big bed plenty space , let face vegas , not room ! casino , restaurant bar etc clean . drink bar middle casino , eat PF Changs , Earl Sandwich breakfast buffet , great . hotel great location strip , although lot building work happen side hotel opposite moment sure will not go much long . want go bit feild taxi easy catch hotel . free drink voucher come room great bonus , drink know . overall great , excellent value hotel Vegas . 
 oct 22 2009 	 great value great experience 	 moment book trip earlyvegas.com , know would well experience hotel , excited spend 3oth bday . check get line perfect time , wait ten minute , people behind wait long get check . were'nt friendy welcoming . room perfect , 25th floor , great Belaggio fountain view , beautiful night . yes room dark , perfect we since partake Vegas nightlife would sleep till noon . room casino clean , great plush bed , like home . 
