purely 	 stay throughout 10 day stay along colleague , say pleasant stay . stay single room , though hotel big family room spacious comfort , even though spend much time work sightseeing . hotel one quite by - lane main london , tell one bomb blast happen right front hotel . actually not take taxi even bus get client 's place matter wherever wanted go , restaurant dinner near tube station , much with - in 5 - 10 minute walking distance . could walk crowd place London , Piccadilly square 10 min still come back hotel , right opposite silent beautiful park Mahatma Gandhi statue . overall hotel conveniently place kind activity mention helpful staff helped advise rightly we everything approach , direction indian restaurant nearby book we taxi odd time airport . thank well - define process place guest . 
 quite comfortable . 	 stay Tavistock week comfortable . room clean , water bathroom hot , bed fine , thankfully , lot light bed read . check really hot ask turn heat immediately . breakfast copious . 's true be friendly not need lot personal attention . want stay spring concerned review single traveler bunk people someone show door middle night . hope management read review . 
 value money great location 	 friend stay overnight way Eurostar , arrive 11 pm leave 6.30 follow morning . rather worried mixed review , room perfectly adequate , clean well - equip bathroom . staff friendly helpful . although leave far early breakfast , start 7 , staff reception anxious least try arrive ten minute early could probably accomodate - happen , leave early tea coffee facility room need . staff reception cheerful friendly left , could not fault . would happy stay . 
 good money 	 book Tavistock last minute give good room 8th floor , complaint clean adequate , face front hotel bit road noise not keep we awake . room warm cosy tea coffee make facility , haridryer tv . stay apparently switch tv near bed . the Bathroom clean well equip towel soap shower gelThe reception staff helpful courteous , lifts fine , restaurant staff friendly , breakfast good - plenty eat complaint tin tomato ! ! excellent location near EustonWe not read hotel would not stay would miss good clean reasonably price hotel London . 
 Oct 28 2004 	 Great Value . 	 read review probably concern look budget hotel London . honestly say hotel well beyond 's price range give fact Lodon expensive place tour will not regret save money lodging . the location excellent say least . 15 minute walk put midddle Soho , Picadilly Oxford St . number restaurant grocery store nearby . around corner choice two tour bus take around london . course also take cab get transit bus like tour . Russell Square underground station 5 minute away . good thing since will not need take cab airport . the room clean quiet . big remember Europe , unlike U.S. , everything happen small . take look underground train will see talk . one reviewer complain size bed , well 6 ' 2 share double bed girlfriend . no problem . staff friendly helpful . the hotel restaurant bar . also gym around corner use small fee . when book ask room view Tavistock Square . mine eighth floor nice view park . this hotel well beyond expectation would defenitely stay hotel . 
 Sep 20 2004 	 Ambiance plus ! 	 stay Tavistock four night mid August ...... pleasant stay . room quite small impeccably clean . look Tavistiock Square view green peaceful . room basic everything need . staff helpful courteous . brekky ok ..... toast tea service attentive . whole place art deco feel .... look like something old movie . bar spacious comfortable able catch olympic highlight big screen . transport easy .... tube station one block away Russell Square .... take directly centre London minute .... hop on / Hop tourist bus stop around corner .... see sight way . also around corner Airport bus .... leave regularly , take 1 hour cost 8 pound Heathrow ... ticket available hotel tour desk . hotel represent great value money .... book British Airways web site get great deal . highly recommend ! 
 Aug 3 2004 	 good experience 	 wife stay six day November , 2003 , go back week November . room clean comfortable , staff friendly helpful , location excellent . not 5 - star place not pretend , perfect we . 
 Jul 26 2004 	 Tavistock sparse clean comfortable 	 agree previous post regard smoke Lobby , pretty comfortable recent stay ( July7 - 11 ) Tavistock . room 634 , look side street . pretty spacious offer two electrical outlet ( although none bathroom ) . shower work great bathroom clean . room sparsely decorate good , bed comfortable room spotless . girl clean room great job everyday friendly . staff indifferent , everyone porter desk friendly helpful . stay hotel London well decorate , clean nice neighborhood Tavistock . breakfast good Tavistock , Waterstones bookstore right around corner Costa Coffee serve light breakfast fare good . also good restaurant nice little Internet Cafe call cybergate block away near Cartwright Gardens . expect clean Motel 6 kind room disappoint . would stay get good rate like one get British Airways . also nice guesthouse type hotel Cartwright Gardens might cost little , decent deal London . oh , yeah smoking . irritate always overcome announced two day ago London begin implement plan restrict smoke public area ( i.e . pub , lobby ect . ) , pretty interesting . 
 Jul 24 2004 	 problem Tavistock Hotel 	 Tavistock undoubtably affordable hotel convenient safe location , number drawback mar recent business stay . Non - smoker beware - although non - smoking room available , smoke allow lobby linger smoke permeate entire ground floor elevator . room clean , decor furniture shabby date . night tables desk ( vintage 1980 ) room scarred water ring deep scratch . lack amenity , especially important business traveler , top list compliant . one electric outlet room ( none bathroom ) prove major inconvenience . tv unplugged order use electric water pot hair dryer . forget bring toiletry . hotel offer complimentary bath product norm many hotel . additionally , alarm clock present room must remember make arrangement desk porter wake - up call . iron available touch wrinkle clothe , especially problematic meeting attend . travel budget , away hotel majority time , mind close quarter share room , hotel adequate . business traveler like , suggest stay elsewhere one access pleasant surrounding amenity make life travel road little bearable . 
 Jul 22 2004 	 Cheap 	 stay Tavistock Nov 2003 5 night . & quot ; triple & quot ; room 5 yr old go we . big request non - smoking room , daughter asthma . evidently hotel primarily smoking room , make sure ASK . little concerned upon enter lobby blow away smoke - see lobby . room fine - 2 3 NON - smoking floor . get room & quot ; budget & quot ; . frill , double bed twin , basic furniture , etc . bathroom clean - not crazy shower - plastic liner hate thing . wear flip - flop shower . , experience problem . staff overly friendly , not stay - price 3 we stay . alot B & amp ; B 's London let child stay , opt hotel . price right ! book BritishAirways Holidays - get much well rate AMERICAN $ $ - we fantastic since $ $ $ keep fall rapidly pound . much cheap book direct hotel . square across street stunning - especially fall . beat location - middle London fraction price . depend individual important . ' m picky CLEAN hotel provide - nothing extra , clean . unlimited fund blow hotel , would stay Savoy course , watch $ $ go Europe , would stay . hardly room - night sleep . hotel serve purpose ! feel free email question ! 
 Jul 8 2004 	 stay look save money 	 problem find wall rather thin hear neighbor tv . roll breakfast also rather hard . however ' ve London want place sleep bad place . within easy walk distance Russell Square tube station Airport bus . 
 Jun 3 2004 	 expect 	 little leary property consider post price versus near - by hotel rate area . extremely pleased choice . employee among hospitable ' ve encounter . room small , clean neat . hotel centrally locate near bus tube . find . return London , return Tavistock ! 
 may 8 2004 	 nice stay great location 	 spend two night April 28 , room small need , clean , great staff , super location . tourist bus pick around corner , tube station 1 block away , atm one block away , great rate british airline , definitely would stay . 
 may 3 2004 	 much well expect ! ! ! 	 read review , expect disappointed room . pleasantly surprised . great view park , receive double bed ask , staff seem helpful enough . location great , often able walk meet friend frequent nearby restaurant . Taxis frequently pass street front . problem local call add quickly , extra 15 pound . receive great rate British Airways , think get much pay . 
 Apr 29 2004 	 good cheap hotel traveler budget 	 really sleazy cheap hotel London , good one people budget . location nice explore ... ton well - know place like British Museum within walk distance plenty not - so - famous place . lot literary connection area . could walk west end good walker , otherwise will take Russell Square underground couple block hotel . nice lounge breakfast area . ask room overlook Tavistock Square . 
 Apr 13 2004 	 would return 	 stay Tavistock many occassion yet disappoint . budget hotel excellent location . everything need nearby , tube , pub restuarant . room clean , modest design , comfortable . request double bed , room bathtub , room overlook Tavistock Square meet . staff polite helpful . tavistock home home whenever London . 
 Mar 24 2004 	 pleasant stay 	 return trip London 22nd March , 2004 . stay week Tavistock hotel really enjoy . book room via British Airways website . price good consider fact private bathroom include . arrive , room 624 ( recommend ) wait . corner room overlook Tavistock square . high enough traffic noise drown , even window close still noticeable time . not interrupt sleep , though , tired night explore London . room lot charm ultra - deep bathtub relax . large window two wall ( north west ) allow view city well provide nice breeze . fortunately , never use radiator heating . room clean . porcelain bathroom sparkle white . separate room bathtub commode , window well . overall , room comfortable quaint . shower wonderful immediate hot water plumbing welcome bonus . staff accommodate . morning ( guess receive reduced rate ? ? ) receive complimentary continental ( oppose & quot ; upgrade & quot ; English ) breakfast . breakfast consist limited selection every day : white flour toast roll , butter , jam , coffee , juice , tea . envious eat English breakfast consist sausage , egg , various hot food . really look good could 4 pound extra morning . lobby smell stale smoke smoking allow certain area hotel . however , non - smoking room unpleasant odor . like area not busy / noisy / congested part London . feel safe . reasonably price convenience store nearby well good fish chip restaurant : North Sea restaurant Leigh St . whereas Tavistock obviously old hotel , think charming locate good area . consider price , think good value . close proximity Russel Square tube station plus . would definitely stay hate leave ... 
 Mar 6 2004 	 Tavistock good budget choice we 
 Mar 3 2004 	 nice place great location excellent value 
 Feb 7 2004 	 clean decent problem service 
 Jan 15 2004 	 room inn ! 
 Nov 16 2003 	 good choice 
 Oct 22 2003 	 joke ! 
 Sep 19 2003 	 Terrible 
 May 26 2003 	 love 
 Jan 19 2003 	 Convenient Clean 
 Oct 16 2002 	 good Cheap Stay 
 Nov 19 2009 	 Calidad precio estupendo 
 Nov 17 2009 	 Niente male per Londra ! ! ! 
 Nov 4 2009 	 pessimo 
 Sep 23 2009 	 Gutes Hotel 
 Aug 17 2009 	 Caratteristico 
 Aug 11 2009 	 Recomendable 
 Jul 12 2009 	 Regular 
 Jun 25 2009 	 Nessun motivo per non tornarci 
 Jun 14 2009 	 buona posizione e buon rapporto qualità - prezzo 
 Jun 6 2009 	 Perfecto su precio de calidad al lado del centro 
 May 16 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 May 15 2009 	 Positivamente aceptable 
 May 4 2009 	 Bon hotel pour visiter londre 
 Apr 15 2009 	 pesimo 
 Mar 12 2009 	 Perfecto hotel muy buena calidad / precio 
 Feb 25 2009 	 se siente su 
 Feb 2 2009 	 Buena relación calidad - precio 
 Jan 13 2009 	 2 notti tra comodita ' e comfort 
 Jan 10 2009 	 Ottimo prezzo e sistemazione ragionevole 
 Dec 13 2008 	 Desastroso 
 Dec 12 2008 	 Un simple aprobado 
 Dec 5 2008 	 Bastante bien 
 Nov 11 2008 	 Abili borseggiatori 
 Sep 27 2008 	 ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Sep 26 2008 	 Limpio sencillo muy bien comunicado 
 Sep 22 2008 	 realiza su funcion 
 Aug 28 2008 	 l'ideale Londra ! ( Rita - PG ) 
 Jul 30 2008 	 Nie wieder Tavistock 
 Jul 29 2008 	 UNA OPCIÓN MUY RECOMENDABLE 
 Jul 7 2008 	 Ottimo Soggiorno 
 Jun 30 2008 	 assolutamente ! NOOO ! 
 Jun 25 2008 	 Situación inmejorable . 
 Jun 12 2008 	 Precio localización buen desayuno 
 May 20 2008 	 Effort à faire sur l'accueil et les sanitaire 
 May 3 2008 	 Para Londres en ese sitio por ese precio un lujo 
 Apr 11 2008 	 Sencillo pero bueno+ 
 Mar 24 2008 	 cuidado con los inglese mejor las inglesas en ese hotel 
 Mar 21 2008 	 meno mal que estaba centrico 
 Dec 4 2007 	 Seguro que hay algo peor muchos mejore 
 Nov 3 2007 	 necesita ser reformado 
 Jul 22 2007 	 gusto bastante 
 Jun 30 2007 	 buona scelta per poche sterline ... 
 Dec 18 2006 	 Calidad / Precio ajustada 
 Nov 25 2006 	 Hotel antiguo muy sencillo . 
