charge 	 unfortunately relative pass away urgently need use phone call home . - information due warning regard potential extortion price one phone call . one 12 minute call could stay well hotel night . when ask speak manager avaliable would avaliable tomorrow either . walk upset yet another crampy hotel service . the way speak joke , walk vow write review inform everybody else wrong ... bring phone card , urgent matter arise think good deal situation hand . I would tell manager , can not charge price , without due information avaliable hand , price list US hotel , stay .. 
 Sep 22 2008 	 small dark old fashion 	 book lot recommendation friend . double room , share bathroom . whilst undoubtedly reasonably price New York , feel little hostel . room tiny , dark , decor extremely old fashioned . minimal storage space room generally tired run . bad problem however fact hot water run 8 am . quite sight , see towel clothe tourist run different bathroom trying find shower hot water ! location good feel safe . also find reception staff friendly . 
 Sep 15 2008 	 good place base trip 	 hotel good . Kinda small place , ( elevator claustrophobic ! ! ) clean comfortable . bit outdated , honestly . be go NYC need someplace close action ( place three block subway ) will not break bank , try . good time not problem staff , price , location . 
 Sep 15 2008 	 clean safe 	 Hotel 31 fantastic place lie head end busy day New York City . give nature property ( share bathroom , small room ) , nervous lead trip regardless TripAdvisor review standard cleanliness unusually high . need not worried . room small immaculate . never wait bathroom ( one floor take , go another floor ) always spotless . share bath actually make thing little easy we three girl since could get ready time two bathroom floor sink room . the little bit extra make give property five star , though , friendly accommodate staff . arrive hotel 9 room ready we . let we put three people small room two crammed cot mattress onto floor we . , end trip , check 12 PM bus not 9 pm . tag bag lock we let we use shower freshen come back long , hot afternoon walk around city . never even bat eye whatever could make stay city perfect possible . even charming old gentleman show we room 's amenity add little bit character stay . if be look opulence , stay high - end , multi - hundred dollar per night property NYC will doubt satisfied . be look experience taste classic NYC , will happy . 
 Sep 10 2008 	 clean safe small central 	 stay begin September five night . fiitst thing notice location - right near Empire State building , grand central host shop eatery . subway block away . the room fairly small dark , furnish well clean . maid service every day . share bathroom not problem never wait use bathroom . room 's sink mirror hairdryer handy . queen size bed firm spacious . arrive middle heatwave , terribly humid , room air condition almost little cold ! air con noisy , eventually figure turn fan whilst still cool air blow in . the hotel not provide breakfast , bit inconvenience , find several delis nearby good breakfast . the front desk staff sociable people ever meet , efficent . hotel rather quiet time , not see many guest , ' m sure . people mention hotel lift bit old side , find quite charming , never problem it . overall hotel basic , great look somewhere rest sightseeing New York . 
 Sep 9 2008 	 you re basic hotel . 	 go quick Labor day weekend New York stay hotel . room stay small 1 person , let alone 2 people . bed hard taste . paper thin wall . ( call ) concierge front desk helpless - airhead ! location block NYC attraction . room decor outdate - clean . elevator soo slow ancient . bathroom , although share bathroom clean well maintain - always tissue . great view empire state bldg thru room window . hotel good quick night stay . 
 Sep 2 2008 	 Perfect price ! ! 	 exactly look : affordable hotel excellent location Manhattan . we problem hotel 8 night stay . - People reception ok- room ( double bed share bathroom ) clean quiet . surprise nice view Empire window ! 6th floor.- Aircon work fine bit noisy sleep . open window 's ! - share two bathroom clean frequently , wait ! - Daily maid service clean towel . not care towel like hotel , bit old ... ; - ) ok , be true , hotel kind old fashioned , flowery wall paper ... think 's part charm . overall , would recommend anyone , would go back Hotel 31 ! opinion , exactly need NYC . clean quiet place rest exhaust day city ... 
 Sep 2 2008 	 Perfect ! ! ! 	 LOVED ! ! ! ! Great Location ! ! ! ! walk distance tourist spot : Empire State bldg , Grand Central Station , Times Square , 5th Ave . etc . close lot great restaurant like Guy & amp ; Gallard Umi Sushi ( get to try little japanese place , great host & amp ; food ) staff friendly courteous , especially old gentleman name & quot ; ziggy & quot ; ( say call , not call & quot ; collect & quot ; LOL ) room clean , private washroom spotless , fresh towel everyday , A / C.The place make first trip NYC memorable one . definitely recommend especially first time visitor NYC.100 % stay . 
 Aug 30 2008 	 satisfactory 	 boyfriend stay three night double shared bathroom . hotel friendly reception staff , decor little old fashioned locate nice peaceful spot manhatten . bathroom always well clean air con effective . 
 Aug 26 2008 	 great price 	 partner stay two hotel Christmas trip NY Dec07 ( Hotel 31 Pod ) great way . price location , Hotel 31 wonderful option wish spend much place rest head night . place will not win award decor little date corridor little musty dim . apprehensive first price , really ok . room 2 queen bed , great coz could spread stuff one , sleep . bed quite comfy ( complaint ) , sleep like baby importantly winter , room warm ! bathroom clean heater ! love old - style lift ! experience use lift since never use old one ! honestly , hotel quite interesting end coz decor , old - style phone , tvs lift ! like little blast past ! good part hotel location . close subway food outlet , important we . addition , could walk Empire State Building , Macys load shop attraction . also really easy get cab 6 am morning catch train , although hotel small side street . good experience Hotel 31 would stay 
 Aug 26 2008 	 would stay 	 not major problem stay . location hotel great room share bathroom tidy neat . despite opt share bathroom , never problem accessing bathroom . hall indeed dimly light , light could bright . room second floor floor view window wall neighbouring building , not disturb much though . constant noise come outside window fortunately not loud , not bother much . the negative experience cardkey stop work twice ( reception reprogramme immediately though ) somewhat indifferent attitude reception staff . hotel also not answer e - mail inquiry one particular thing arrival . time make reservation decide confirm . first time tell & quot ; call back tomorrow & quot ; rude manner call back next day everything go fine . different reception staff different day though nice , depend happen talk . late check - in ( 6 pm ) problem . e - mail hotel check late check - in go smoothly even though never answer e - mail either . well , least seem like e - mail get through . despite negative experience , would stay hotel . 
