hotel 	 arrive hotel noon room not ready yet ( early ! ) decide first go check surrounding . come back evening ( already dark outside ) enter room could say ' wow ' ! high Floor Corner King balcony really call ' room view ' . view amazing ! night also day . the rest hotel room nice : 2 lounge chaire , tempur pedric matrass , shower great , ... unforgettable experience ! 
 mixed bag 	 Positives : love neighborhood , cool design , sweet staff ( move we nice room without ask ) , comfortable relatively clean . negative : NOISY ( Friday night , 5th floor street side , outside reveler 4 am sound like window open ... manage ignore partner sleepless night ) ; also , tempur - pedic mattresse everyone , steam shower ( interesting feature ) smell bit moldy due lack ventilation . bottom line : would stay high floor rack rate . 
 edgy exciting 	 great place stay want see real NYC . love edgy Lower East Side daily walk hotel conference venue Greenwich Village take Little Italy , Chinatown really interesting old tenement area . , single female , feel intimidate danger - even walk back late night ... sooo many people around really friendly . hotel different staff - particularly doormen - helpful friendly . room contemporary well - equip . thing miss extremely well stock minibar earplug ... city never sleep district partying prepare noisy , thoroughly exciting stay ! 
 Jun 22 2005 	 Place Business 	 choose Rivington recent business trip NY intrigue idea stay place offer something different usual business hotel . hotel low east side , great spot weekend frolic ; hot business purpose , include mine ( know go ) . staff friendly efficient . room decent - sized , hip , floor ceiling glass wall corner room make wonderful view Brooklyn Bridge Wall Street way Empire State Building . floor ceiling glass shower bit off - putting ( see , can not see ? ) . agree one reviewer comment quality workmanship room leave something desire . peek behind head board , instance , notice wall unpainted ( big deal , tacky ) . be rub : room populate two high style chair equally high style coffee table , plus little number appearance shaggy , knee - high , poodle dog badly need shave ( good guess sort table ) . desk work station . iron board iron . spotty service wireless internet . bad ( particularly Seattleite ) , in - room coffee , coffee shop nearby , hotel not begin serve 7 a.m. , woefully inadequate early - to - work crowd . , fine fun place stay recreational trip N.Y. good business traveller . 
 Jun 21 2005 	 Lower Eastside Hipness 	 three girlfriend stay Rivington June 16 - 20 . entrance understate outside , walk , interior stylish . & quot ; hipster & quot ; write . lobby bar serve great drink loung cool chill day explore low east side east village . room much large Manhattan hotel room . posterpedic bed awsome , japanese soak tub bathroon . speak bathroom , large enough accommodate three chick makeup / toiletry bring . one whole side room nothing floor ceiling window . could see empire state building room . service EXCELLENT . grant three pretty girl , guy work hotel bend backward anything want . bartender hot also . can not beat location . already plan another stay September . 
 Jun 15 2005 	 average read .... 	 stay night June 2005 . reservation - careful . first time book online , call back day act like not get reservation . course , cheap room request & quot ; long available . & quot ; instead book large room , guess , much money . yet .... arrive , not even give room ... instead give Suite price ? ? ? odd . need get reservation process straight . room - Suite nice size ny . light not work huge female hair cover bed . room ultra modern . Suite sit area two plasma tv . Steam Shower ( not soak tub ) cool . large . even two shower head . location - Terrible . kind shady people walk around . cool location alone , bring FAMILY spot unless plan hit Soho , Noho rest low Manhattan . service - Elevator break walk lobby second floor . staff beyond dumb , although nice answer question . 
 Jun 4 2005 	 hip 	 book regular room upgrade corner suite price arrive . hotel completely finish staff accommodate & amp ; friendly . room AWESOME ! floor ceiling window double layer curtain draw back privacy view ! Views Empire State Building & amp ; Lower Manhattan . heat tile bathroom terrific . never spend much time NYC hotel room soak japanese soak tub . tempurpedic bed & amp ; Frette linen comfortable . tell continental breakfast include morning lobby . assume would usual fair stale bagel & amp ; donut happily surprise fresh selection bake good , fresh fruit , cereal , & amp ; yogurt . please stay . 
 Jun 2 2005 	 Rock Star Room Rivington 	 girlfriend book room Rivington read soft launch article Conde Nast Traveller . hotel not officially open yet , room ( $ 250 ) considerably less hotel Grand Opening . read early review site , prepared glitch . pleasantly surprise even somewhat overwhelmed superior room , pleasant staff excellent breakfast . 12th Floor room contain two - person japanese soaking tub , large , black - tile shower , bed magnificent hand - out room . also contain little seat area could view flat - screen tv amazing view across city . keep hang clothe could live beauty place ! neighbourhood terrific . 's great veggie cafe street ( Teany 's ) , yummy candy store across street , pleasantly seedy pub around corner , world 's good dill pickle emporium ( Gus 's ) close - by ( near Tenament Museum ) . walk everywhere ( Village , Soho ) , trouble catch bus subway nearby well . 
 Jun 2 2005 	 Great Bang Buck Soft Opening 	 hotel excellent price pay ( $ 235 plust tax ) , stay Gansevoort subsequently $ 465 plus tax , Rivington good well . room large , funky two big flat screen tv ( one sit room one bathroom ) , nice product bathroom great view Lower East Side . service could definately improve upon , staff friendly over - work could helpful not want go way ( want walk 10 block buy international adapter something would expect standard one tv work first night ) . 
 may 31 2005 	 amazing room friendly bumpy service 	 book medium king room friday Memorial Day weekend upgrade corner suite . happy cancel plan outside city stay another nite room . room stay 11th floor spectacular 180 degree view uptown Empire State Building , west village downtown skyline . ceiling floor window create & quot ; float feeling & quot ; wake see sky . sky cosmopolitan view not thing , press button wall next bed two layer curtain electrically move place provide privacy . bedroom also ok quality flat screen tv online access entertainment . the bed comfortable ' ve ever sleep adorn high quality Frette linen . bathroom nice layout shower provide amazing all - window view uptown well . suite separate living area two love - seat size couch acceptable comfort level well another flat screen tv . find staff friendly helpful . even tinge snobby & quot ; ' m cool hotel worker & quot ; like might get Manhattan hotel . however , organizational confidence employee bite sparse . hotel officially still construction evident still try work bug , overall great hotel experience would stay heartbeat . 
 May 29 2005 	 poor service 
 May 24 2005 	 Great Space Great Bathroom Great View 
 Apr 14 2005 	 Cool Hip Hotel 
 Apr 13 2005 	 need lot work 
 Mar 30 2005 	 great hotel 
 Mar 27 2005 	 Rivington not - even - train staff can not even spell ` ` service '' 
 Mar 7 2005 	 great 
 Feb 21 2005 	 awful soft opening ... stay close 
 Feb 10 2005 	 completely unprofessional Unfinished Unnerving 
 Dec 19 2004 	 good Views Town Party Neighborhood 
 Nov 11 2009 	 Tres bien mais ... 
 Jun 16 2009 	 nicht zu empehlen 
 Apr 14 2009 	 ne pas manquer pour un séjour en hauteur à NY 
 Nov 13 2008 	 Pour la vue 
 Aug 16 2008 	 hôtel remarquable 
 Jul 28 2008 	 Bel hôtel moderne situé dans un quarti sympa de NYC 
 May 13 2008 	 Vue magnifique accueil relax mais bruyant 
 Sep 18 2007 	 Inattendu ! 
