excellent 	 pleasant find ! room bathroom c - l - e - a - n . mattress new comfortable . include breakfast good , convenient unlimited . front desk staff great ! discount parking garage directly across street . block away Times Square ! can not beat . 
 Excellent Hotel ! 	 husband stay hotel parade last week . location great , staff friendly , room clean . yes , room small , want stay room time be New York City ? ! would highly recommend hotel . free internet access , free breakfast , can not find well bargain midtown . book hotel phone receive low rate online rate , receive another 10 % check ! stay ! ( sure bagel breakfast ... good ! ) 
 GREAT ! 	 hotel much well expect ! clean , quiet ( be rare ny , especially Times Sq ) , friendly staff , comfortable bed . definitely back cute little hotel . thank great weekend NY , Comfort Inn ! 
 great location price 	 situate half block Times Square place gem . well price area upon arrival inform would another 10 % reduction . room good size king size bed comfortable . Breakfast include consist toast , bagel , muffin , danish , cereal , yoghurt fruit drink . always plentiful supply staff member ensure everything clean . issue hotel concierge however staff helpful . 
 Apr 18 2009 	 great location great room low price NYC 	 stay Comfort Inn 4 night . last time Casablanca get serious pamper , prepare slightly disappointed . dead wrong . level comfort Casablanca , get : pros:1 ) top notch Service , always smile . Geovanni ( spell like , know ) spend almost hour solve problem airline . thank Ignacio ( Argentina ) .2 ) great , clean big ( NYC standard ) room , comfortable bed ' ve ever experience hotel ( ' ve stay LOT ) , great LCD TV , clean decently sized bathroom , hot water time . 3 ) decent continental buffet breakfast , get coffee , tea , milk , danish , pastry , bagel , cream cheese , jam , butter , orange apple juice , 3 type cereal , yogurt , apple bananas.4 ) Location , location , location , 1 block broadway , 2 block Times Sq . Great.5 ) Beautiful & quot ; old school & quot ; lobby.6 ) free local long distance call ( within US ) room . Free Wi - Fi.7 ) amenity not chance use available : 24 hour open gym , clean 3 - 4 new machine ( get plenty exercise walk around ) ; office center , cheap ( , NYC standard ) parking . ( minor ) cons:1 ) glass door bathroom nuisance.2 ) heating system get noisy times.3 ) renovation undergo entire facade cover scaffold . Guess take week come off.4 ) Breakfast lounge pack would wait turn sit breakfast . early ! , can not beat price . get thumb . enjoy ! 
 Apr 5 2009 	 find favorite NYC hotel bathroom door ... 	 ever return New York City , stay ! room big imagine , everything new good tv ' ve ever hotel room ( though not use much ) . think size 40 & quot ; big flat - screen tv . iPod owner , room also ihome instead cheap clock radio , nice ! plenty electrical plug everywhere free Wi - Fi . wake early enough ( not ) 's free continental breakfast provide downstairs free newspaper . hotel small free gym provide water towel . we king size bed miss day , comfortable ! service , part , excellent except check - in asian guy help we accidentally overcharge credit card close 10 time amount suppose not tell we . halfway vacation discover thousand dollar charge instead hundred panic ! think New York without money . talk bank settle still 30 minute stress could avoid . deep sigh relief , forgive vacation continue . the bathroom door see - through foggy window ! not mind except whenever , know , sit . would light much privacy possible . be comfortable people be stay bathroom door go to tough time . also wish hotel provide conditioner , shampoo . the room get pretty warm expect run cool night . location , Location , Location ! ! ! ! Located Times Square Rockefeller Center PERFECT ! right middle city close everything . across street St. Andrews Pub , fall love place usually go bed every night . Conner bartender , 's nice guy give great service . my complaint : -the credit card & quot ; woops & quot ; ' m sure will not happen again.-the room get warm - the bathroom door see - through - the Dasani Water machine lobby tricky - no conditioner - bathroom sink water .. cold freeze hot clear lava 
 Apr 3 2009 	 place stay NYC .. 	 price , perfect place stay . take 2 teen son springbreak trip visit city . love location ! several different option subway nearby . close enough Time Square close . Felt safe . room quiet . elevator slow , 's old building small elevator . walk three flight stair whenever could . free internet check HOPSTOP.com direction . room small ' ve stay small . udate clean . bed must new comfortable ! staff 100 % friendly helpful . 
 Mar 28 2009 	 clean comfortable -- great location value . 	 concur previous reviewer . clean , comfortable room . great mid - week rate consider location -- -1/2 block Times Square . hotel much look exterior , inside look fresh . request room away street . view speak quiet . staff courteous . check book rate frequently fluctuate widely . parking guest across street also less many hotel $ 23 / day . would stay . 
 Mar 24 2009 	 EXCELLENT . great rate beautiful room 9 floor close time square . 	 READ POST ... tell ! would definitely stay hotel . reference glass bathroom door room another post , not bad . see privacy . would not make first date hotel anything . close time square , LOVELY bed ... sleep great ! beautiful main level date remodel throughout . maid service nice . vend machine water soda lobby . ice machine . great breakfast morning . great room temperature . flat screen tv 's . ipod docking station alarm clock . pay low price would stay ! Wish remember take photo share . great stay , regret ! oh luggage storage need check still see city . close MoMa International Photography Museum . close 5th avenue shop . HIGHLY RECOMMENDED ! free internet ! 
 Mar 23 2009 	 Super value clean comfortable hotel great location 	 husband stay Comfort Inn Midtown last weekend great stay . check quick friendly , room spotless ( room 806 ) king size bed , small efficient clean modern washroom shower . bed linen well expect , room quiet , window open . much view , hotel right beside church , quiet . park $ 23 / day , great find , room even well deal . phoning hotel directly , CAA pay $ 139 / not right Times Square ! worry bargain , work fabulously ( one traveller go Tripadvisor put bad review first .... see bug hair ' m outta ! ) . guarantee stay . room fancy , clean , modern , flat screen tv 's simple breakfast get morning great lunch Greenwich LIttle Italy ! staff equally great . problem wtih check , billing issue , problem room safe , arrange put stuff behind front desk securely wait serviceguy arrive somewhere building . delay touring ! return , fix pick thing front desk problem . I highly reccommend Comfort Inn Midtown ! 
 Mar 22 2009 	 good value clean hotel 	 great deal room clean efficient -- small care nyc -- staff friendly -- breakfast good -- computer lobby -- -fantastic location cheap parking -- stay everytime I m nyc 
 Mar 20 2009 	 awesome NYC experience 	 friend stay 5 night first time NYC . location great . minute Times Square several Rockerfella Centre . heart all . we room King size bed make room bit cramp minor . bed comfy , toilet clean newly renovate think . we enjoy complimentary breakfast . complimentary meal , selection good . guy take care area nice fellow , make sure food top . 's always greet : ) business centre free internet printer free printing come handy need print online ticket attraction etc . we nice enjoyable experience . thank Comfort Inn = ) 
 Mar 16 2009 	 Mom daughter getaway 	 stay Comfort Inn Midtown two night early March teenage daughter . demand four Seasons type amenity stop read . however , look clean , safe , well locate room , include light breakfast , Manhattan , get , $ 135.00 / night , search . will not stay dump , place feel unsafe , can not believe value money . would much rather stay simple room buy luxury toiletry money ' ve save ! oh , mention free wireless internet ? two bedded room , shall say , european standard space . word , small room ' ve ever stay country . also seem bit drab first glance natural light room ; even though room face front window take climate control system . upon close examination however , everything room newish , excellent repair , perfectly clean . bathroom also clean modern . big city resident , not bother outside noise , admit plumbing room bit annoying , bearable . location terrific 46th Street 6th 7th ... Broadway theatreland one block right , 5th Avenue shop one block leave , restaurant everywhere . staff seem friendly , although reason ask help . one tip , book use AAA AARP discount , make sure card ! carry mine routinely , never actually ask check - in . minor quibble aside , would absolutely stay . price like able visit NYC often ! 
 Mar 12 2009 	 comfortable great value 	 teenaged daughter enjoy three night stay February hotel past three year . like see friendly accomodate staff member year year . arrive quite early airport ( 8:30ish ) desk staff say room would ready around 11:00 , offer we breakfast hold bag till return walk . ( hold bag check - out , , ready transportation airport . ) room comfortable clean . share king - sized bed , room size comfortable two people . bed nice . bathroom clean . towel little scratchy . complimentary continental breakfast real plus ; food good service person attentive . love location - close theater , shopping & amp ; subway . visit February rate lower ; lot fun despite cold . feel safe . 1/2 block 46th St. Times Square . entrance well light be always someone front desk . would heartily recommend hotel , hope visit . 
 Mar 7 2009 	 fantastic value great staff 	 Location value good get head Broadway show . short walk away subway station , restaurant , Broadway , Central Park totally walkable . staff super friendly accomodate , room though small ( course -- 's Manhattan ! ! ) clean elegant expect amenity include nice flat - screen tv . bed comfy , bathroom full bathtub . include breakfast great continental breakfast , though might want grab coffee street . location decently quiet , excellent area Manhattan . definitely , definitely would come back highly recommend friend . the perfect hotel couple group friend tight budget , want sacrifice comfort lifestyle.jt 
