feel 	 Platinum Ambassador chain really expect take care give notice celebrate wife ' 40th . get upgrade executive king room impress room . bathroom 5feet 7feet . mould water leak wall . light dull dressing table hair dryer socket situate WC wife stand infron toilet curl hair dull light . toilet seat numerous chip look awful . cup coffe fancy new coffe maker afterwards discover allow one coffee day , ( ) , free coffee would charge $ 3 plus tax . bring back kettle free coffee , tea hot choc please . first night exhausted go bed 1830 surprised doorbell rang 2130 . clean want check room . 0230 morning back home shatter . never visit late rang complain . tell fault put disturb sign . room 8th floor could see sky . room dark gloomy . bed comfy mtress topper . ask room change bright room never happen . drink expensive . vodka coke JD coke $ 20 2 breakfast $ 65 . breakfast buffet quite extensive expect , thing cold . good thing eat cold bagel salmon cream cheese freshly make omlette . ask 5 time juice one morning end go pick caraffe . waiter come snatch hand . foyer impressive music play guitarist evening quaint . concierge service keen assist help thing may gain commission unhelpful issue . online concierge service work tv either . gym unsupervised go first morning steam sauna find turn . rang maintenance came show turn . emergency stop button timer activate service . way alert anyone distress service change room remote . fitter say alarm sound service get hot . require sauna need turn hour go . street noice loud glass garbage truck wake we around 5 - 5.30 . New York brilliant enjoy everything . would go New York would stop Barclay . 
 Fab Time Barclay Intercontential 	 nine us girl stay Barclay 20th 23th Nov great time . could fault hotel staff room service first rate . arrival check within second , luggage take room immediately , room immaculately clean , staff could helpful . the hotel well situated get around next Grand Central Station , short walk Rockafeller Centre Times Square . I would definately recommend hotel anyone . 
 old dirty expensive staff attitude 	 barclay locate conveniently walk distance 5th Av UN building . however , would advise anyone stay hotel . lack ( friendly ) staff , room old , dirty expensive . with two staff check entire week ( rest staff hiding office behind check ) , start bad . check almost take hour , tell reserve early check room ready . , two hour later wait 45 minute get key . unacceptable . the room small ( expect NYC ) , urgent need thorough clean complete renovation . furniture dusty greasy , bathroom feature mould , hair , strange stain . ask housekeep clean bathroom , indicate would happen next day ( conveniently check ) . complain reception impossible , busy . bed ok . AC , noisy air recycling system . Windows open , noise outside much . good side , room quit , room next elevator without noise . wifi room , wifi reception area free . breakfast good . weekend buffet , week omelette station ( good one actually ) . breakfast expensive though , buffet usd 39.00 ( ex tax service ) . add usd 9.00 ( ! ) espresso . indicate , lack staff staff extremely rude arrogant . actually think rude self - defence , otherwise would able cope many complaint . since wifi available reception area , spend time watch one person complain possibly everything one could complain . , old dirty room amenity cost around usd 450 per night wonder people disappointed demand improvement . 
 Aug 3 2009 	 Served purpose 	 Hotel fine ... especially get relatively cheap priceline . room clean functional . bathroom small ( clean ) one not usually spend lot time hotel bathroom . much - close personal roof lobby - can not complain since book priceline .... certainly problem we . couple thing bring review bit . bed pretty comfortable slope downward side .. stay middle bed . alarm clock hard read desk across room ... nightstand . we without 20/20 vision need either bring time keep device somehow move alarm clock . even close distance clock hard read . lastly , remote not seem work . could change channel push button tv . not time watch lot tv not bother enough inquire fix .... still would expect electonic work fancy hotel . lastly - definately need keep fan room white noise - otherwise hear everybody hall ... wall little thin . , good location excellent value priceline - would expect pay close list price . 
 Jul 30 2009 	 BEAUTIFUL 	 well get one beautiful place ever stay . amazing walk place know ' actually go stay . lobby gorgeous massive . decorate well look amazing . room nicely do everything need little small comparison Holiday Inn ' . aside one amazing hotel . gym brand new one feel like make . also steam room sauna . guy hand give massage want one . whole inside place beautiful pleasure stay . 
 Jul 23 2009 	 Loved . 	 book trip , read review , little concerned would well . need . check check problem . okay , bathroom little cosy , ` ny sit bathroom day . serve ` purpose . room large enough three two queen size bed comfortable indeed . plenty closet space drawer clothe even iron ironing board . hairdryer bathroom ` work , one phone call another deliver within ten minute . staff desk helpful doormen brilliant . direction give spot . location great site ` come , course Fifth Ave , Park Ave , Madison & amp ; Lexington . ` use restaurant bar ` comment . find make good choice . one tip anyone go Times Square eat . ` go Red Lobster . starter arrive table even pick fork , main course come . hence main cold . say ` re - heat , ` sorry , like pasta fresh microwave . also notice lot leftover dinner plate leave . however try Bubba Gumps ` seafood restaurant . great food , excellent staff really good atmosphere . ball , enjoy . 
 Jul 23 2009 	 Nice Stay Barclay 	 say impressed Barclay NY . get internet pre - pay rate $ 155 per night seem like good deal compare hotel area . room big expect bathroom little cramp well thought would . bed pillow nice . 2 starbuck close depend way start walk . Saturday morning street market around corner hotel start set early little noisy , fun walk . lots food cheap t - shirt , purse , scarve etc . ( buy scarf ? ? ) . front desk friendly accomodate line bad . got early Thursday put luggage storage area able check later afternoon . good experience overall , would stay . 
 Jul 19 2009 	 Classic hotel great location ! 	 spend weekend hotel really nice many way . hotel elegant , polished , quiet feel even though lobby get busy day . everyone staff make point friendly courteous . great deal use Priority Club 's stay 2 night , get 1 free offer . spend 2 night South , week later get completely free room NYC . can not beat ! Saturday street fair Lexington , right behind hotel -- look like go every Saturday . nice suprise ( try chicken kabob sandwich ! ) . Sunday morning , go block Ess - a - bagel good bagel ever . work calorie , hotel 's & quot ; real & quot ; exercise room least fifteen different piece equipment good workng order . read reviews unrenovated bathroom , not case we . everything room nice clean good size city . furniture chip expect NYC hotel . bed comfy . wireless internet available room , lobby area . the one negative one come around pick discard room service item hallway ( previous tenant hallway ) time check early around 1 pm come back room around 9:30 pm . something simple hotel control . travel China , something leave outside hotel room door would pick within 15 min -- someone always make sweep hallway sure nothing leave . aside , really nice place would definitely stay even pay ! 
 Jul 18 2009 	 great stay barclay 	 stay 26 june 1 July , hotel lovely , staff friendly eager help anything direction help get converter plug socket forgot ! ! room big comfortable bed climb ! ! high really comfortable , read review try comfort dinner great real new yorker sunday morning breakfast ! find amazing thai restaurant sure street go patsy 's one old italians new york get close ! ! 9.30 evening walk back towards time square left hand side amaze ! can not wait able go back maybe next year ! would definetly stay barclay . 
 Jul 12 2009 	 Great Location Nice Bedroom horrible bathroom 	 great internet ( prepay ) rate $ 155 / night , pretty excited , stay hotel 4 year prior . room great , hotel facility staff wonderful , bathroom horrid . thing need simple fixing -- toilet seat multiple chip , inadequate hairdryer ; bathroom overall horribly outdate , lot caulk place expect . location great , will not stay remodeling do . many good option today 's market . 
 Jul 9 2009 	 make sure u wear suit 	 stay twice city break . ambassador member , ambassador desk check one care we 20 min , girl chat & amp ; laugh even see we wait . one girl come & amp ; happy demin short trainer say 5 star & amp ; businness hotel . ask upgrade say thing ambassador member suit . dun thing come back . 
 Jul 9 2009 	 Tired Business Hotel Need renovation 	 stay frequently business hotel New York client colleague . Barclay Intercontinental deliver service require business traveler , i.e business center , room service , etc . feel quite dated . room feel old , especially bathroom . well alternative price range midtown Manhattan . 
 Jul 6 2009 	 Paper thin wall ! ! ! 	 return 5 night stay Barclay . got great deal priceline $ 110.00 per night . price right , not think would return hotel . wall thin hear toilet flush surround room . New York hotel double pain window keep noise level . nope , hear every horn blow siren sound make day night ! lobby beautiful enter building make think WOW ! get elevator floor decribe moldy , unclean smell . carpet room stain wear . bathroom tiny toilet look outdated decade . Love NYC return Barclay . 
 Jul 6 2009 	 4th July Blast ! 	 come 4th July DC take Bolt Bus . get room use ICH reward point freebie . reserve deluxe king . can not say feel deluxe bathroom small could get still usable 6 ' 7 & quot ; husband . room # 1464 14th floor front building . room comfortable size bed excellent . room mini - bar coffee service center , tv entertainment key board accessing net . also ipod docking station night stand . besides small bathroom , also feel maintenance clean bathroom could well . , everything else par . I love old hotel . 's certain elegance new one seem miss . brass fixture , width hall way , grand foyer , etc . think sometimes enjoy top luxury era blast . there many good place eat within walking distance course , metro far . hotel excellent location everything fun NY rest metro stop away . probably would stay holiday weekend price would make worth . pay much room want bathroom luxuriate . reward room , bad . get deal , stay , otherwise well price . 
 Jul 4 2009 	 Charming Elegant Cozy . 	 bad description title not reflect staff . still good hotel nonetheless , however let service staff , especially front desk . however , ' m sure one occurrence unlucky . hotel conveniently locate Lexington Park around 10 minute Central Park Times Square 20 minute Empire State Building . extremely happy location hotel first time New York , make thing LOT easy . oh may see important delegate come hotel accommodate many UN rep . room extremely cozy however , small side , bathroom bite dirty major issue . amenity pretty nice , internet price reasonable 24 hour . also free internet lobby however quite slow . overall , pretty good stay , unfortunately let staff . not let deter great hotel , conveniently locate unlucky . could little touching , however still solid product . 
 Jul 3 2009 	 Nice hotel let small thing . 	 would book hotel due low price good location . room clean times bed comfy . however front staff exactly rude exactly welcome either . hello , thank stay , etc . like usually find good hotel / b & amp ; bs . bathroom also bite tired . enamel come bath , would make unconformable bath shower pressure low shower take twice long . get good price come go elsewhere . 
 Jul 2 2009 	 beautifull hotel 	 Nice hotel , good size room ny.nice lobby , close everythinggood deli corner . thru priceline good price $ 125 pn 
 Jul 1 2009 	 terrible staff hotel equal 2 star Europe 	 aged furniture , old hotel , need renovation . equal 2 star hotel Europe . not go choice . hotel staff unhelpful , lie thing . front desk staff open room key card without warn . they speak word would not say dog . Front desk staff tell & quot ; shut & quot ; upset yelling dare open room .... swimming pool would expect property advertising 5 star luxury hotel , 24hrs room service ( advise go ice room 4th floor ask ice 11 pm ... ) , property dirty fall apart . I travel around world , stay many upscale property definately bad experience . disguisting attitude , never go back never ever stay intercontinental property . also look photo attach . let homeless sleep front stair hotel 48th Street . 
 Jun 26 2009 	 great location hotel 	 score hotel Priceline.com $ 125 per night room 1102 great size - especially New York . fall love king size bed pillow comfortable . room quiet like block curtain great sleep . love upmarket part town . convenient walk Times Square ( 10 minute ) , Central Park ( 10 minute ) , Grand central station ( block ) great attraction . great chinese restaurant eat block away hotel , walk towards Lexington 's opposite side 48th Street . Sunday Lexington close market lot fun find bargain . we also one hop - on / hop - off bus tour one stop conveniently locate around corner Intercontinental . the hotel busy buzz never wait around result eg taxi elevator super fast . during time , vip visit , not affect stay . manage gain access free internet service room use laptop convenient . not use hotel 's facility interaction hotel 's team gentleman check we upgrade we ( lovely speak ) , concierge get umbrella ( not enthusiastic ) porter hail taxi terse ' discussion ' taxi driver 5 am . room immaculately clean , appreciate room attendant 's work . 
 Jun 22 2009 	 room not ready arrive unhelpful staff ! 	 arrive 2 pm long day travel England . check time 3 pm , tell room would not ready 4 pm . tell busy weekend room three people ! finally get room , ok nothing special . two double bed , massive room comfortable . location great , staff welcoming . 
 Jun 11 2009 	 hotel Fabulous 	 return 5 day break Barclay New York , book hotel via COOP travel sure expect , read several review site complain service decor rudeness staff little apprehensive ..... need .... hotel absolutely fabulous . I imagine people different experience room ( 965 ) clean , spacious , well maintain equip , good bathroom storage space king size bed die . would agree avoid hotels bar food due cost deli starbuck road plenty eatery close by . the location ten minute walk Times Square 2 nearby subway connect Manhattan . we problem staff , booking , cleanliness noise think room front could perhaps quieter one say Lexington main road . this first trip New York hotel ideal base operate , think bad review exception rule , problem would go back tomorrow could afford ! ! thoroughly recommend . 
