Better 	 basically reason stay Las Vegas Hilton could enjoy one fantastic option around town . first , hotel reminiscent 1970 's , decor , patronage , amenity . case point - Barry Manilow ABBA show Hilton time visit spot . room break , outdated decor , old television , dirty tapestry , . crowd cheesy old ... prepare see interesting character wacky clothing . lastly , hotel locate Strip basically way action . this typical , upscale Hilton , budget Vegas hotel hide behind positive brand name . look affordable option , would suggest check Flamingo , Tropicana , Bally 's , something actually Strip . might similar & quot ; cheese - factor & quot ; ( like call ) , least enjoy nice pool well location . 
 dirty pit ... customer service ... avoid like Plague ! ! 	 go convention think would good stay host hotel convenience Hilton 's prior reputation one excellence ... ugh ! check nightmare . day convention know many people going check understaffed . feel like Disney line high season . room adequate size etc . jet tub excited . fill hot water , get turn jet , lean back closed eye .... aaaahhhh .... open eye EEEEWWWW black foamy crap ... come jet , jump jump shower scrub .. heck , someone else 's dirt skin ... still feel ick talk ! . go front desk response repulsive event ... & quot ; hmm ... be odd .. anything else help ? ? ? & quot ; ? ? ? ? even apology , let alone compensation even free drink .... wow ! Buffet absolutely disgusting ... McDonald 's could do well . actually take tram Planet Hollywood buffet awesome .. avoid eat hotel . would not recommend keep dog .... 
 Pleasant surprise - well expect 	 attend weekend event attach LV Conf Ctr daughter stay Hilton . know go remove Strip , pleasantly surprised on - site food value ( sandwich shop sport book really good ) well in - and - out Burger Sahara . let state room experience greatly influence Hilton Honors status . receive complimentary upgrade Grand Room ( 600 sq ft ) couch mini - fridge seem reasonably freshen - room really need make great , relax stay . another hhonor benefit complimentary breakfast buffet 2 - save major buck ! valet service reasonably quick compare place ' ve stay Vegas . all , think nice place stay nice non - themed place good value . 
 Good Hhonors perk 	 stay LVH last week one night . booked rate $ 38.xx Visa 25 % special , use AMEX pay get . check vip room next front desk ' m Hhonors Diamond member . upgrade offer ask - heck , one night . ask Diamond amenity check clerk go look pre - printed sheet . room basic Hilton quality room . bed comfortable . tub huge . nice west face view strip 20th floor . glass elevator north end north tower ( close parking deck ) quick little wait fun able look ride down . the spa nice , free Diamond member . also use Diamond card get free breakfast buffet . parking free convenient , although three & quot ; 15 minute limit & quot ; space check appear long term parker . enjoyed walk around hotel , check restaurant , casino sport room , although also go sight see Caesars Palace quite impressive . pleasant experience well worth cost . 
 Met Requirements 	 travel Las Vegas Birthday Bash adult child . husband member Hilton Honors use point holiday . request room North Tower adjacent . arrive hotel quick pleasant allocation room helpful receptionist . bag quickly bring we problem room adequate need . problem encounter dripping shower ( waste water ! ) . room well appoint , bed comfortable keep clean promptly cleaner . the hotel little tired , one old . buffet breakfast excellent vast array fresh fruit , cook breakfast mountain cake bun . certainly could eat fill . try Paradise Cafe first night food brilliant . never eat restaurant hotel prefer visit strip restaurant Paradise Road . eat good chinese P F Changs hotel good steak Ruth Chris Steak House . casino hotel quite small compare other find loose winning , well luck Mirage other strip . all read review quite happy stay , would prefer stay strip convenient get around night . hotel get busy stay convention , prehap good tourist want leisurely time . 
 Good Value money - need updating 	 book stay Hotels.com find fabulous rate ( note folk would try invoke Hilton ' Best Rate Guarantee – hotel exclude policy ) . check quick easy since Hilton Honors member . person check give we room face strip 18th floor center tower . room large - large . amentias room modern , nice new desk , chairs dresser hold large flat screen tv . bathroom , clean , salmon color tile wall floor rust tub / shower . way keep shower dripping constantly put lot pressure single knob control water flow . carpet atrocious orange color stain middle large go front desk let know not . front desk offer move we another room , big deal . king bed plenty pillow comfy . finally decide get bed quickly learn water pipe room around loud squeak harsh tone someone flush toilet take shower . in morning opportunity use spa / workout facility . workout room 5 treadmill 2 elliptical 4 bike . however 3 machine order . also set weightlifting machine dumbbell use . fresh fruit available guest spa charge . food / coffee expensive property . wife pay $ 6USD large coffee morning . opt walk across street AM / PM mini market soda fix . checkout leave lot desire - front desk person deal downright rude . hotel strip ' big deal . always rent car money save hotel basically pay rental car . not get car monorail stop hotel . overall good experience . bit update would great experience . 
 oct 4 2009 	 despite review time live Hilton ! ! 	 book Las Vegas Hilton travel agent place would stay get marry Las Vegas . read review worried stay . wrong even give second thought ! Hilton amazing , arrive travel Heathrow long layover Chicago lady check we quick , polite we room less ten minute arrive Hiltom . room centre tower fabulous room ever stay USA many time . great strip view , king size bed , walk wardrobe , 40 inch Flatscreen . amazing ! people moan 's strip ! ? grateful get away , strip amazing full ( labor day weekend never see many people life intimidate ) . use monorail fantastic , hear people moan drop back casino handy , use Harrahs stop great stop good restaurant casino . oh way Hilton stop convenient short walk hotel lobby . all feel silly worried , contemplate pay upgrade waste money would already pay fabulous room . 
 oct 4 2009 	 nice stay watch Paradise Cafe 	 Hilton look bit tired compare hotel see , room great , brilliant view . we use Paradise Cafe twice breakfast . first time fine , second wait 45 minute two undercooked egg piece ham . use buffet book . 
 Sep 28 2009 	 Excellent Stay 	 stay Las Vegas Hilton room north tower , nice large room . visit conference find nice right next Conference Center . I purchase 3 day monorail pass $ 30 well worth end consider conference south center end would take monorail evening hit strip . hotel great resturant option , large casino lot shopping . pleased except Paradise Cafe , slow service many mistake . find little time relax pool , nice , large clean . great 2 1 happy hour . I would suggest hotel visit Las Vegas conference reason , yes 1 long block strip never feel far anything . 
 Sep 28 2009 	 Phantom Rooms 	 reserve 3 room one night 2 room second night son 's bachelor party . pay upfront deposit one night room cancellation policy first night . AAA discount come $ 55.00 per room per night almost good true Sept weekend . check Friday take 20 30 minute time get desk . computer freeze switch station . somehow deposit get apply one room use one not guess get credit back card -- see ! . thing go downhill thereon . try make charge room tell room & quot ; unoccupied & quot ; could -- give mastercard front desk go back say everything cool . room service come & quot ; cash & quot ; . finally last evening make restaurant call front desk able charge room . clean new towel last 2 day one room last day room even though houskeepe call several time . one room run tp .. never get . cable go several hour Sunday afternoon . internet slow $ 14.00 per day per computer - room . Comps catch 22 situation get suffice say unable use small amt get cause inadvertently cheke one trip front desk . right leave look outside discover water main break morning -- wonder folk stay store rest day ! Hilton Honors member amazingly bad experience . usually great . good thing say race sport book people nice professional . book get crowded weekend . 
 Sep 23 2009 	 well expected 	 read several review Las Vegas Hilton be favorable bit concerned might experience stay . overall ' ve great luck Hilton Brand due proximity conference decide good bet Las Vegas visit , primarily business orient . check take 5 - 10 minute . people line ahead . clerk friendly offerred option could stay within hotel . select one & quot ; renovated & quot ; room 2 double bed . the room nice , modern , comfortable clean great work space wonderful view Las Vegas . thing might gripe inability stop tv display closed caption . complaint . I spend quite bit time pool area comfortable . hand fantastic pool towel plenty chair available . one favorite area pool outdoor excercise area . not large well equipt enough . the spa hand lay everything could offer . spa staff friendly helpful . this hotel tram ride different casino . conveniently locate hotel walk always plenty cab available . I recommend hotel sure . one thing complain lack place eat mid day . place lunch . everything close dinner time . eastern time zone often hungry day many option . 
 Sep 21 2009 	 would like roach lousy service ? 	 recently take mother Las Vegas honor 77th birthday . fly Las Vegas via American Airlines to / from DFW . complaint . time usual cramp quarter . we take Gray Line shuttle LAS airport hotel . , complaint . $ 11 roundtrip per person , deal ' beat . Gray Line prompt , courteous professional end journey . while Las Vegas , stay Las Vegas Hilton . arrival check - in quick efficient issue delay . non - smoking room , # 1573 , two queen sized bed , well appoint remarkably large . bed crisp comfortable . on downside , air filter – ' miss walk room – looked change since Elvis last perform 1976 . a / c fan loud well . crack drywall shower , everything else appear order . my mother find food site café – Paradise Café , locate first floor – decent , bit expensive basic . toast , bagel , coffee two one OJ cost $ 20 . cereal next day – along two coffee one small OJ – run bit high next day . service hit miss one waitress hell bent get we ( ) soon possible . look face tell ask ' one minute ' mom decide . ' soon forget scowl . on disappointing customer service experience … . second visit breakfast Paradise Café , mother point large bug crawl , look side find , rather large cockroach scamper across left shoulder . knock roach napkin proceed scamper booth . thereafter , nonchalantly walk maître ' inform experience . discretely describe experience , maître ' reply " oh , ' absolutely terrible ! gross ! Ick ! ( roach ) show definitely need get new exterminator . " much surprise , dismiss couple walk seat . thereafter , maître ' walk booth many time course business never stop . as checkout Saturday , call room well advance post noon checkout request checkout extension one hour . much surprise , tell , " sorry , ' that . " although Hilton 3,100 room , room need immediately . mindful , even conference / event weekend . thereafter , go downstairs speak front desk in - person . " oh , problem whatsoever . take care 1:00pm checkout . " waste time could easily avoid . give experience , would recommend Las Vegas Hilton , , unless like inconsistent customer service cleanliness . 
 Sep 20 2009 	 nice ... 	 one night stopover Vegas . lovely lobby , long wait check . pleasant check agent give we free & quot ; upgrade & quot ; deluxe room . room mold bathroom dust bed computer desk . move another deluxe room one floor good free internet include room . next day check water take bath , give choice shower spa another rooom . opt another room give room 6th floor & quot ; old & quot ; wing . glad original room . overall nice palce stay , mold bathroom dirty room unacceptable . 
 Sep 19 2009 	 great value - clean comfortable quiet 	 find fantastic value . choose standard room king size bed strip view . room spacious , great 40 in LCD screen good aircon room safe . bed comfortable strip view well could get Hilton 's location approx 400 m strip Riviera end strip ... far Stratosphere . fact rear entrance Riviera 5min walk Hilton . would prefer in - room refridgerator fair hike ice machine happy room . get strip easy use monorail system although stop obviously end walk place line ... particularly everything side strip casino vicinity Mandalay Bay . not concern fit able bodied think could problem other particularly 108f September heat . another feature like spa / fitness centre ... free Hiltons Honors Rewards Club member .... book stay directly hotel ... dissapointe comment make think in - room wireless internet access expensive $ 14 per 24hrs .... 's . good job LVH ! ! 
 Sep 14 2009 	 much well lot Less Money ... like Super8 ! 	 wife go Las Vegas August 18 - 22nd . book hotel advance intention stay three day . first hotel great ( Mirage ) . decide stay extra night book last night Hilton . advertise 4 - star hotel strip . since car , location not huge worry figure big - name Hilton would good place stay . pay $ 50 , actually quite good give short notice suppose 4 - star rating . check - in actually quite good , give review . front desk friendly , courteous , quickly get we room . hotel casino futuristic design , mimic something like space ship . seem childish lacked originality Vegas theme . hotel room another story . free internet . think 's $ 15 . can not stand hotel charge basic feature . even though vacation , need work keep touch office . bathroom ridiculously small relatively outdated . sink outside bathroom . free coffee maker ( course , coffee shop downstairs charge $ 5 + specialty coffee , conveniently ) . bed bad have ever seen - pad many sheet make lack mattress support sink sleep . hotel horrible location . far anything ( seedy area right strip ) self - parking lot long way hotel . lug bag long way get vehicle . hotel lack attraction hotel . thing see , Barry Manilow concert ( see ) . casino good size dealer friendly . overall , poor stay hotel obviously even close 4 - star . expectation relatively reasonable even would not stay . ' ve well experience low - end hotel . one place particularly like & quot ; Orleans & quot ; hotel , far cheaper well overall experience ... give idea find reasonable . Book early get good hotel . pay $ 50 / night Mirage LOT well Hilton . 
 Sep 10 2009 	 lose Hilton name 	 one bad Hilton experience ' ve . hotel barely acknowledge Hilton Diamond status . room quality board broom closet pimp suite . food quality poor many dining venue close CONVENTION make get food challenge . locate well strip nothing right around hotel . not plan stay . 
 Sep 9 2009 	 Decent get pay easy access drive 	 stay hotel business trip . go Vegas party get full experience , go stay Strip hotel . business trip want accumulate Hilton Honors point . make sure get renovate room . monorail access nice little pricey . do not get benefit silver status , guess work way back gold platinum . alot noise lobby due remodel . room ok , bed comfy , bath tub little worn dirty . good part easy access hotel get work . avoid strip traffic altogether know way around . breakfast buffet average , get free ticket co - worker platinum level . 
 Sep 9 2009 	 Nice Stay 	 back weekend stay Las Vegas Hilton . great . busy weekend check go smoothly . room nice roomy refrigerator pleasant surprise .... need get ice keep drink cold . bed comfortable bathroom nice shelf drawer make seem even roomy . overlook golf course North Tower close scenic elevator make convenient go to / from parking structure . nice stay look forward return . see Barry Manilow ...... performer ! ! ! 
 Sep 7 2009 	 never ! 	 Snooty . room unclean . security patrolling casino floor make we feel unwelcome . poor service . 
 Aug 30 2009 	 Great Location ` ` Strip '' 	 stay LV Hilton part conference August , like hotel location attnde confernce explore Las Vegas . first time Las Vegas strip walk back several time event strip . hotel one good location monorail connect hotel strip , walk distance restaurant , drug store many hotel . great room great view clean well maintain . couple restauant hotel decent . go back several night later travel Arizona get fantastic rate impressed find get free parking rental car airport 10 minute away . 
 Aug 29 2009 	 great strip view good value 	 stay hotel 2 night conference rather pleased experience . room clean spacious ; comfortable bed pillow ; marble countertop everywhere . side tub bathroom . not believe dirty , think might time update tub . breakfast good ( include rate gym spa ) . also like quiet night , able get good night sleep . 
 Aug 27 2009 	 Nice stay 	 admit concerned hotel reading review . also concerned feel compel communicate experience . check breeze , maybe 5 group front we though weekend long line exist . nice lady help we check . offer upgrade ask choice room notify $ 20 / night could upgrade renovated room accept . room get actually next big size standard room , north tower view strip . absolutely complaint problem room . hotel get old show place . yes , appear try keep cost hallway could cleaner well window need clean . service fine staff friendly . contrary previous review see room service tray sit hall long couple hour . really enjoy pool area . pool could large surround area large good service . eat hotel much though highly recommend deli sport book . good food reasonable price . location excellent us pool tournament attend Riviera easy walk . look strip place . probably big question whether hotel live Hilton standard . usually stay Hiltons stay Hampton Inns quite often . would put hotel par well Hampton Inns stay keep mind renovate room . total $ 80.00 night feel like good value . 
 Aug 27 2009 	 probably well option elsewhere consider lack service 	 flight across country , 1 - hour line late Friday night check . hotel really need address problem think everyone line annoy . internet access 14 dollar 24 hour way much . location inconvenient planning go strip location often since monorail price add . room adequate view good top floor . well stay strip somewhere . 
 Aug 24 2009 	 Disgusting 	 AAAHHH awful miserable experience . husband arrive 1:30 tell we ' king bed force sleep 2 different bed ! arrive room 3 finally ! ! ! see beetle one bed ! move another room 4 am.disgusting bathroom full mold old towel stain wait we second bedroom . finally move king size bed room 8 hour problem without fridge ! ! ! ! move 3 time 36 total hour . happen birthday night . 
 Aug 23 2009 	 watch double charge ! ! 	 first time Las Vegas Hotel do . basically , room pay company hotel charge incidental credit card room check . pool redone , nothing write home compare Vegas hotel . 
 Aug 23 2009 	 great hotel happy 	 hotel fine , totally enjoy . get free room upgrade good . problem check room comfortable look new , quite spacious . really happy hotel experience . definitely recomme paradise cafe downstairs , thoroughly enjoy . not really know casino gambler all . about bad point think bathtub actually feel like could use bit clean , feel like layer residue top . thing location . actual walk strip far , be nothing 10 minute get action 's quite hike . far walk . tip get , not bother deuce evening , take forever get anywhere . go monorail whole time jsut walk rest distance . thing would say las vegas hilton take hilton honour membership . little hassle one afternoon deal rather wait looooon line able basically jump queue hilton honours member . be free online . oh want pool scene not bother pool really not big . easy enough deal though . not mind internet charge either . take laptop think 14 15 dollar US . compare place see 's quite reasonable charge . oh not expect tea coffee facility vegas will not dissappointe . 
 Aug 23 2009 	 far action . 	 Hilton definitely 4 star hotel low end 3 star . room date small small bath . Personnel check really nice ( unusual Hilton ) . main problem hotel far center strip locate next Naked City ( bad neighborhood LV ) . 
 Aug 21 2009 	 great room great price great strip view bathroom suck . 	 husband stay hotel weekend 07/31/09 - 08/02/09 weekend vegas getaway . room nice clean bed comfy pillow . hotel pool nice breakfast buffet . room strip view good part . thing like valet service kinda suck bath tub horrible . tub like old dirt stain guess could call tried cover bath tub mat . not even want put foot go ? hotel look like spend money upgrade like flat screen tv 's granite counter top skip bathtub area completely . would redo tub would love come back hotel take chance stay somewhere else . 
 Aug 21 2009 	 avoid Flea Pit ! ! ! Fur Coat 	 thank complete cock Thomas Cook , ( group 9 people ) find abandon McCarran airport hunt around hotel Las Vegas . we check Bellagio early day know quality like spoil benefit stay quality property ! stay Hilton group hotel world hote lis second none ... lack cleanliness quality ! ! ! Hilton Honours Member get free room upgrade ... God know standard room would like ! ! ! 4 room , 2 King Beds 2 dbl Queen Beds . room normal person would class clean . the first thing point one central set lift , cover floor section hotel . get enough challenge door close soon open ... that s lift even arrive ! ! ! floor greate corridor full dirty crockery tray , plate half eat food lie around general dust dirt along corridor . when get room maid never introduce Vaccuum clean dirt food crumb room . dont get wrong , room large enough bed comfortable ... think eat alive mite , lice anything else alive carpet , furniture bed . needless say check next morning complaining go MGM grand ... next mistake ! would recommend hotel ? overall . long way strip Monorail expensive ( $ 5 per person per trip , although get 3 day pass something think ) monorail trek whatever hotel get monorail station monorail run along back hotels strip . typical Hilton standard disappointing . extra $ 30 night ... stay Bellagio ! 
