pricy 	 forget many time ' hotel . location convenient we . this peaceful hotel ; ' big busy , however well locate restaurant , bar , disco , shop etc . like Sheraton Hotel room refurbish , clean cozy . overall service staff decent , great , due language barrier ' fully bilingual . staff member would require refresher course customer relationship . overnight interior self - serve parking $ 20.00 , park nearby exterior parking lot less $ 10.00 . food quality price venture local restaurant vicinity , choice variety remarkable . M & amp ; L , Ottawa 
 Mar 18 2005 	 per expectation 	 go Montreal 4 day Feb 2005 . Le Centre Shereton averege hotel . room spacious classy compare ' W ' hotel . pay 135 $ per night would say killer especially charge $ $ parking car also .. 
 Feb 27 2005 	 Bring Kids Dog ! ! 	 hotel clean , people friendly helpful ( especially concierge ) pool wonderful ! room average . select hotel want pool kid want bring family pet . black lab . , disappointed . get great rate $ 149.00 CA extend checkout 4:00pm two full day fun need spend extra $ stay second night . book Sheraton web site . park two block away walk dog somewhat convenient cold . dog welcome staff guest ! kid love pool . clean warm hot tub add + . open till 10:00 plenty time fun . outside ice skate Old Montreal highlight weekend . blast ! ! rent skate large park skate . ( go winter w / child , not miss ) . $ 40 CA whole family rental parking . baby bring stroller . let ice skate push stroller ice . fantastic ! ! lunch highly recommend Forgot Cafe Bistro St. Paul Old Montreal . sweet french bistro wonderful food old time atmosphere . second trip truly enjoy everything . owner usually present see perfection although & quot ; kids menu & quot ; find cater child . ( chef prepare plain pasta daughter ) presentation desert awesome ! ! want experience quaint french bistro child give try . lunch run around $ 80 CA family four . Sheraton 's location convenient would defenitally stay . 
 Jan 22 2005 	 Big Deal 	 stay 5 night early January , come Montreal business . hotel little beat , need renovation guest room . say room move new room base internet access issues- issue figure internet access 1 - 800 help desk could figure could sign on- 2.5 hour later try busine center able get line , thus move new room . gym pretty good , could use new cardio equipment . Gym pack 6:10 a.m. day , maybe expand . staff part nice professional . 
 Dec 7 2004 	 ok 	 find place clean efficient , generic big hotel touch lobby room . Checkin smooth staff seem nice . room 29th floor , sort corner , view parking lot street . rate terrific , convenient location business destination . close St. Catherine Street , aware part street 's close , well side street would walk along , seem strip club district . Fine 's thing , be bring kid might want take circuitous route . room feel pretty dated , old - fashioned curtain room ( pattern shower curtain ) quaint wallpaper bathroom . bathroom large , strange marble plank floor extremely cold . pack slipper . closet mostly occupy safe pedestal make impossible hang anything long man 's dress shirt center closet . room fit coat along side , second coat would not fit . coffee maker bathroom -- be far possible toilet still might invoke & quot ; Eww & quot ; response be squeamish . ' m sure -- would plenty room top minibar move fliers advertising internet service Starwood Preferred Guest program . complimentary bottle water , nice . aware also hotel taxis quite high ( 16.5 % ) , though exchange rate U.S. dollar still pretty good . 
 Nov 27 2004 	 bed ... 	 stay Le Centre Sheraton late summer receive excellent deal ( $ 109 ) location within walk distance almost anything downtown Montreal . the check - in efficient staff friendly . ( even get free disposable camera part AAA rate - great since have forget camera ! ) request high floor room check 24th floor great view mountain . corner , downside window small - bathroom , old , immaculate large . bed amazing , however - Sheraton Sweet Sleeper extremely comfortable - long adventurous drive Toronto ( not ask ! ) great arrive relax bed , lot pillow , soft duvet , comfortable matress . amazing . one advisory parking - parking hotel something like $ 20 night - 's large lot across street front Molson Centre charge $ 5 day - downside , go back pay three day , however cost saving , big deal . suggest rather get rip hotel . overall , great hotel , little 80 - ish design comfortable friendly despite large size . enjoy stay . 
 Nov 21 2004 	 so - so well elsewhere ! 	 mainly business / convention hotel . lot convention room horde people suit . cavernous feel , personal attention , small - than - average room ( 275 sq ft - yike ! ) . also , many hall stain carpet . plus side , be close Bell Center Ste Catherine shopping street , be much Old Montreal hotel . like location , except be good IBM 's right across street go work . nevertheless , never stay hotel anymore travel work , despite convenience across street IBM , many well hotel ' ve stay . instead try one boutique hotel Old Montreal , want big downtown hotel , believe Chateau Champlain Fairmont well choice Sheraton . think chateau slightly well rate usually . stay preferred choice available . pay $ 120 / night Sheraton . price be okay . 
 Nov 4 2004 	 close perfect 	 stay hotel 3 night begin November 2004 . hotel really really good . check friendly efficient . room 29th floor tastefully decorate large , amazing look king bed extremely comfy . movie entertainment second none ( pause movie go back later want ) , high speed internet access faultless , comfortable chair footstool , bathroom spacious . room service twice totally excellent every way breakfast 3rd floor restaurant delicious load fresh fruit / pastry / muffin bar cook omelette / egg etc order . room robe . four star hotel fulfill every criterion . would almost rate five star except ceiling room upper wall rough knobbly finish remind basically concrete shell plaster decor , maybe toiletry could luxurious ( pantene proV ) minibar selection well ( chocolate ! ! ) . 
 Nov 1 2004 	 Superb service great location 	 location Le Centre Sheraton great - walk distance lot restaurant , one block St. Catherine Street ( be lot shopping food ) , two block Metro . be feel adventurous , Old Montreal 30 - minute walk . besides great location , service provide staff superb . everyone come contact , housekeeper cater staff front desk staff concierge incredibly friendly efficient . Sweet Sleeper bed duvet comfy ! tip : request corner room . give bathroom space extra window panoramic view . sure breakfast Chez Cora Stanley Street ( 2 block away ) . menu full fresh fruit enormous crepe . 
 Oct 16 2004 	 love 	 definately good hotel I ve stay . stay twice last November , definately worth extra money . club level room little amenity ( 3309 1st stay ) however standard room stay second stay ( 2216 ) similar bed . I also enjoy Parrot ' Cecile ' near pool . 
 Sep 24 2004 	 Tres Bien ! ! C'est un hotel fantastique ! ! 	 visit Montreal summer second year row . Stayed Queen Elizabeth last summer planning staying year . however , find well rate Sheraton stay August 8th 13th . the Sheraton open mid 80 's . , modern feel rather historic feel . service hotel prompt , professional , friendly attentive . upon arrival , meet promptly luggage take care . check - in uneventful , though look little long expect . the room great . relatively spacious bright corner room . complaint would coffee maker bathroom next sink ; make thing little crowded . Sheraton sleeper bed awesome . comfy large lot pillow . day explore Montreal , nice come back wonderful bed . location great . across street Bell Centre , two block restaurant nightlife Crescent St. St. Catherine St. block away . plus , one Montreal 's good steakhouse , Le Queue de Cheval step hotel . bad hotel connect Montreal underground . if sport fan , like hotel many team stay Montreal game . stay , Toronto Argonauts CFL also stay Sheraton . 
 Sep 20 2004 	 Hotel Made trip 	 friend go Montreal concert Centre Bell . not know way around Montreal what - so - ever , want hotel good location , could easily find everything need . hotel perfect . nothing bad say . maybe 2 minute walk , less , Bell Centre . depend door hotel come , shop St. Catherines St. right around corner . great store must add . lobby nice , well staff . room really good size , small expect picture website show . still enough room . bathroom clean big . safe let we pick keycode . bed comfortable ' ve ever hotel , maybe 10 + pillow come . , can not say 1 bad thing hotel . would definately go back second , would recommend anyone go Montreal first time , not know way around well . oh , be also close train station underneath Queen Elizabeth Hotel , get home . go April , weekend go happen blister cold snow storm , nice walk long distance . fun hotel ! ! 
 Aug 25 2004 	 Wonderful Hotel 	 book thru HotWire rate $ 87.00 ! ! ! ! steal staff wonderful give we upgrade room . hotel nice pool two year old love Cecile ( exotic bird pool ) ! ! definitely worth money classy child friendly ! 
 Aug 24 2004 	 Pass LeCentre Sheraton Montreal 	 hotel close various attraction , club floor room stay lack atmosphere . also , check , call front desk room item leave previous guest . overall cleanliness room lack . stay Sheraton Niagra Falls , Canada 2002 hotel excellent comparison hotel . would stay hotel again.l 
 Aug 22 2004 	 great Stay 	 great price , near hot spot ... could not ask anything well Sheraton . stay Sheraton several time recently , great investment new bed we return time time . 
 Aug 3 2004 	 Excellent rate 4 - star Sheraton 	 stay Sheraton July 3 , 2004 . great hotel excellent view CAA / AAA rate $ 129 free disposable camera & amp ; entertain jazz cd absolutely amazing . aeroplan mile collector , sign bonus 6000 mile promotion . Join Starwood Preferred Guest program & amp ; pay American Express get bonus point . Valet parking $ 18 service incredible . 
 Jul 5 2004 	 always stay ! 
 Mar 9 2004 	 view ? cheer ! staff ? jeer ! 
 Jan 12 2004 	 wonderful stay 
 Dec 26 2003 	 great ! 
 Nov 11 2003 	 could not ask well ! 
 Sep 8 2003 	 Center ! 
 Aug 19 2003 	 great hotel room location 
 Mar 26 2003 	 stay away one 
 Oct 19 2002 	 Loved atmosphere location 
 Jul 2 2002 	 renovate room 
 Nov 3 2009 	 Un Sheraton jamás se olvida . 
 Aug 25 2009 	 Nahe Downtown guter Sevice bequeme Betten 
 Jun 1 2009 	 Super Blick vom Zimmer 
 Nov 16 2008 	 Sans plus ni moin 
 Oct 7 2008 	 tre propre 
 Mar 1 2008 	 Bien pero nunca regresaria 
