go 	 stay four time past 3 year , recent Thanksgiving weekend . unless special occasion warrant well hotel , place stay go Vegas . property nice room huge , clean , relatively nice , cheap . real complaint separate $ 10 nightly resort fee tack check . cover free wi - fi public area , pool gym use , parking . include fee rate like hotel ( even bump rate ) make optional not need use amenity . seem kinda bait switchy . anyway , good - to - know stuff : - join free member club , mail coupon , time get we $ 25 nightly rate Thanksgiving oppose $ 59 rate otherwise . still pay resort fee though ! - wall thin . first 2 time stay , people walk room we keep we awake night . since request top floor noise not problem . - Marilyn 's Cafe good . walk small , smoke - fill casino get though . little pizza / hot dog place decent , too.- kitchen area sink , stove , fridge . without pot pan , good stove ? provide microwave instead . - parking challenge night . might park far away walk dimly light lot and/or pathway get build ( never feel unsafe though ) . - not expect perfection . old school television room slightly fuzzy every time ' ve stay . always manner patchwork bathroom , like poorly fix tile , visible screw hold vanity together , loud vent , etc . last time , remark lack padding carpet ( seriously , like walk cement ) take offense sign bathroom warn we would charge take towel ( kinda low rent tacky opinion ) . may thing , , box spring look like see well day ... lot traveler ! - room lay like big open box . sleep , living , kitchen area together bathroom separate . prefer suite sleep area separate privacy homey feel . , Tuscany still good value though . will back ! 
 Bogus charge bill 	 overall ok stay . room huge stale smell . the bad experience check 3 bogus charge refund one right away hassel tell would refund 2 ( long distance call never even make ) ! get credit card bill never refund 2 charge ... ridiculous . 
 Jul 31 2009 	 TSC : deal 	 travel frequently Vegas , usually week , hotel rate much cheap . brother recommend Tuscany Suites Casino ( TSC ) ; be usually stay Vegas , Expedia come $ 22 / night rate date ( 20 23 July ) , decide book . generally prefer glitz , glitter , buzz Strip hotel , ' m always willing give recommend place try , especially bargain price . case , ' m glad . TSC excellent value , comfortable room , friendly staff , user - friendly layout , easy parking . I give nonsmoke king room second floor & quot ; & quot ; building . room decent , separate sit area , TA reviewer note , minifridge coffee maker . find room similar large room ' ve see various Holiday Inns , Comfort Inns , etc . year . furnishing bit wear high quality , $ 22 / night , real complaint . a / c old - style floor unit work well . bathroom pleasant surprise : large , separate shower stall bathtub . fancy -- sort of . I trouble sleep first night , getting late hear upstairs neighbor thump bump around -- unusual motel- garden apartment- style & quot ; resort & quot ; . noise resume fairly early morning , call front desk ask possible room change ( something third , top , floor TSC ) , operator abruptly say , & quot ; will security check out . & quot ; maybe 10 minute later , call , & quot ; Security & quot ; say have visit room mine find empty ( speculate , , party stayed late check early ) . sleep couple hour call front desk ask room change . woman answer say , & quot ; problem ; will hold another unit 3rd floor H Building . & quot ; go reception , receive new room key . new room improvement several way : new A / c ; recently renovate furnishing -- include smart new bed treatment duvet even accent pillow worthy MGM Grand 's West Wing room -- ... quieter first room . call front desk thank again . TSC 's location parking also strong point . 's E. Flamingo , block Strip . one problem -- nothing TSC per se -- E. Flamingo , like many Vegas 's busy road , undergo major repair , make access hotel bit difficult usual , especially night . TSC , parking free , easy , plentiful , long walk room . the & quot ; Beach Cafe & quot ; -- locate next pool adjacent casino hotel reception -- convenient snack drink expensive . personal pizza true Vegas dining bargain , tasty cheap -- especially meat lover 's , meat one eat , $ 4.50 . not use pool TSC -- rarely Vegas hotel ; hot crowded , prefer ocean swimming -- fairly big look alright . internet , reviewer note , free wifi form area hotel ( lobby , Beach Cafe , around pool ) cost pretty much Vegas hotel in - room connection via wifi cable . , give room rate pay , can not complain . use free wifi available area ; work pretty well time . I game TSC 's casino ; alright . slot neither loose tightest ' ve experience Vegas . nothing else , casino good adult respite kid elsewhere property . conclusion : TSC great value , part , be fairly nice property . be neither luxurious peaceful , score hotels resort fill need . TSC kid- family - friendly time provide good , solid , reasonably quiet accommodation solo traveler like . would recommend stay spend saving wining , dining , gamble Strip . 
 Jul 30 2009 	 bad Vegas Experience yet 	 upside : room spacious . furnishing get little worn , be acceptable . dining facility range value price . downside : be off - strip . far , off - strip . expect low winning rate casino 's machine ( slot , video gaming ) . avoid . table , however , nice . staff horrendous . contrary advertised website attract hotel , $ 13.99 per day internet access fee ( one pet peeve Vegas strip hotel ) . call inquire , front desk tell area hotel internet access free , not include room . say , & quot ; 's bull * * & quot ; get hang . lead complain managment , find callous unconcerned degree check hotel day check , go street . there plenty place Vegas happy business . not bother Tuscany . hospitality business , consider revenue source , guest . 
 Jul 29 2009 	 Good Value off - strip Hotel 	 hotel nice not mind stay strip . keep mind 's extravagant resort . 's budget hotel / motel . room large . mini - fridge coffee maker . pool nice get busy . decent size large . dine inexpensive Marilyn 's Cafe ( look 2 1 coupon tourist book room coupon book provide upon check - in ) . food average . prefer stay strip ; therefore , would probably come back ; , nothing wrong resort . 
 Jul 28 2009 	 disappointing many level 	 hope high . call confirm nonsmoke double / double room ahead time since two child asthma . upon arrival , smoking room available double / double take King sleeper sofa option . tell call bedding get room -- seem odd would dispatch someone bedding room get late . bed deliver hour later -- past midnight -- repeat call front desk . blanket rip three foot long obviously fall apart . room smell odd -- like recently transition non - smoking status . overall , feel cheat sleep money , since pay rack rate . 
 Jul 20 2009 	 shock amazing stay .. 	 room huge great price , amenity quality , service quick , book room last minute not actually finish reservation , call drive go ahead honor rate try book , 20 dollar cheap rate . ask razor , tooth brush tooth paste , room could return back front desk , send 2 shave gel . everything bring name brand , usual cheap cheesy hotel item . walk room , could across large parking lot , biggie ( unless lazy fatty ! ) pool amazing 7 , people , clean nice hot side . room service ok price , take food go save money . casino try pay .. spend money casino room .. oh well fun casino block away . even let late check charge .. overall happy would pay still happy . 
 Jul 18 2009 	 fairly Decent 	 stay Tuscany resort Las Vegas football Thanksgiving weekend . room nice clean . casino fun . food great since 3 different restaurant . lobby elegant . the thing expect little bit well . walk strip every day . 
 Jul 18 2009 	 tuscany beware extra charge 	 book room Tuscany base low rate day travel . overall bad place not mind stay strip really full hotel casino experience . front desk problem , first check 3 pm , hotel post certain time always let check couple hour early , Tuscany . stay Vegas 15 time atleast 10 different hotel never deny check early . tell option pay extra fee check early , believe around 13 dollar , clearly way make money guest , bad move . okay decide not want pay extra fee check early extra charge stop . go back 3 pm check tell 11.20 day resort fee , kid , cheap room think book go extra 11.20 per night , another bad move Tuscany , stay due extra charge . 
 Jul 17 2009 	 Decor little date great value comfortable 	 stay Tuscany several time feel need give review . usually stay King size suite sit area small dinette area ( sink , cabinet fridge . ability cook ) . room big roomy could probably fit another king size bed problem . decoration little date brown / tan fabric old tv . not go Vegas stay room . bathroom also huge toilet , tub , shower separate . complaint limited cable . able watch TNT , USA , MTV . not know happen FoodNetwork HGTV . , not go Vegas stay room get play ! ! 
 Jul 14 2009 	 Great Place 	 stay 4 night . room nice , big clean . check - in 3 pm arrive 11 am . hold bag till problem . overall experience great , price go wrong . enjoyed stay much . concern staff , barley speak English bit rude time , major problem . would definitely recommend place family young couple . 
 Jul 11 2009 	 comfortable - highly recommend 	 stay room 303 top floor building b 3 night June . husband book online much research use Trip Advisor . really happy room large kitchenette big bathroom separate toilet . furnishing seem quite new . walk night strip 10 minute away dinner mexican restaurant twice food good reasonably price . not gamble can not comment casino not spend time pool . comfortable stay Tuscany Suites Casino would definitely recommend anyone want stay away hassle strip . 
 Jul 4 2009 	 Relaxing Stay 	 May June stay several place Las Vegas Tuscany Suites one good 's price range . two pool two spa . spa behind fitness center seem get less traffic choice . 3 story building easy get quickly need go somewhere . room large , well furnished , good condition clean . tv service basic internet service fast . fee internet use room though lobby back patio Tuscany Suites offer free internet dervice . able lunch diner feel reasonable price . casino appear well lay good service . find stay comfortable relaxing . 
 Jun 30 2009 	 Great Hotel 	 stay 3 night . choose base exceptionally low price good TA review . reception : number x . forget personal welcome etc . cargo credit card . room : excellent . room large kitchenette . right beside pool convenient . room spotless also . pool : two pool . use . main pool get busy early ( 9 am ) overall area quite small . use second pool pretty quiet . location : 10 minute walk main strip ( Ballys Intersection ) . parking also free hotelconsidere price would highly recommend hotel . overly luxurious live without go . 
 Jun 29 2009 	 Horrible 	 stay Tuscany Suites past weekend boyfriend , cousin & amp ; boyfriend . be not try spend crazy amount money hotel room Las Vegas find Tuscany Suites online room look good everything need somewhat close strip . check front desk within first 5 minute boyfriend be not happy . staff extremly rude , fail mention time booking room , would $ 200 security deposit would get back check long do not order movie , room service , etc . pay spending money , get room , broken tile bathroom , mini fridge do not work entire first day , cigarette hole burn comforter . course thing minimal b / c would not spend much time room first place . time check hotel , send house keep check room -which never happen , even nice hotels- take 15 minute , house keeping call back front desk & amp ; tell smoke room . reserve non - smoking room b / c boyfriend asthma one room smoke , course do not want smell . proceed charge we $ 50 smoking room , manager would not even listen we explain one smoke cigarette , say , well say be not cigarette insinuate smoke something else room , want dispute charge could wait another 30 minute security would check room . point frustrated rude manager woman front desk trying check we room- way idea doing- say forget get $ 150 back leave . far bad experience I ve hotel Vegas definetly learn lesson staying & quot ; cheap & quot ; hotel save money go . 
 Jun 27 2009 	 great place stay 	 stay 4 night Tuscany Suites . find hotel web searching place stay Las Vegas . price $ 20 night appeal we plus fact strip . hotel suite room well hotel . casino great along restaurant . play casino earn comp use towards hotel stay , restaurant bill use gift shop . pool spa nice . place plan stay come back Las Vegas future . 
 Jun 26 2009 	 Nice 	 actually stay couple year ago , never get around review , not want review get bury . stay part promotion put Pacific Monarch timeshare Las Vegas . everything clean , well maintain , almost like new . room large , casino small , 's really place go gaming anyway . restaurant staff friendly . one bad thing decide drive Strip almost always gridlock get . fast walk . strip 's advantage . think attract well clientele usual riff - raff low life find Strip . especially like pool veranda area could sit shade mister enjoy morning paper cup coffee . definitely rank high 43 . 
 Jun 26 2009 	 great deal nice room 	 find room large comfortable big comfortable bed , nice living room area even small kitchen area . could not beat 50 buck . 
 Jun 25 2009 	 simple big cheap relaxing 	 enjoy stay Tuscany fast check - in huge standard room pretty pool affordable restaurant inside casino . walk strip take 12 - 15 minute depend speed . fine we intersection much go anyway . room even large room Trump ( splurge later ) . half price compare anything else everything work great - minimal noise , get microwave , smoke smell , room service request , etc . another bonus - cabby know hotel big ( surprised ) even though 's strip . eat Marilyn 's ( good breakfast ! ) Cantina ( great ) . many kid pool , music mellow relax even affordable drink service ! enjoy ! ! 
 Jun 23 2009 	 great hotel budget 	 Tuscany fabulous hotel customer service excellent . room large enough 2 year old run play . beautiful pool area hotel ground clean well maintain . free internet access certain area hotel pay small fee internet access room . this great hotel family , couple single locate close Strip various restaurant locate nearby . 
 Jun 21 2009 	 pretty friggin awesome ! ! 	 friend book hotel never hear place ... pay less 20 buck hotel website stay sunday thursday night . would say place pretty sweet ! ! would ve never able afford anything like ! ! ! staff wonderful ! ! clean staff efficient place absolutely clean ! casino next door so - so ... make sure u purchase 10 buck worth slot - machine credit u drink bar much u want ! : ) far strip ... do not even bother take taxi .. first taxi take we long way , we realize like 15 minute walk distance strip ! pool pretty sweet also ! room roomy little fridge , coffee maker , microwave . little dining area , living room , study desk plenty room clothe ! u honestly like 6 people stay sleep one room since king size bed huge couch futton pretty big ... heck ur true party monster ur ok sleepin floor , possible fit like 10 - 12 people still plenty wiggle room . bathroom bath tub shower area seperate toilet tuck away neatly private door . third floor face strip wonderful view . a / c ice room jiffy also . towel always fresh bed always make everytime get back . make sure soap shampoo stuff really great . hehe . buy drink ice like ur going stay indoor vegas right ? hear noise u go sleep ... work airline travel place heck place good sleep I ve hotel around u.s . .. sleep like baby milk whiskey . .. also , ur flight later u check , u ask bell boy front keep bag frolick around town without worrying bag . make sure tip bellboy : ) thank tuscany . first vegas experence truly epic ! ! would come back definitely . 
