great 	 4th trip Vegas , 1st stay Mirage . will not last . bed heaven . bathroom little small american standard . complaint . give BLT wide berth , deli well option . liked fact security Lifts night , hotel do away . location strip great , much clean end , lot less hassle . enjoy great stay Mirage without fear . 
 mostly good 	 stay last 3nights 5 day stay , first 2 night four Queens obviously room definite improvement , hotel large time easy find way around . definetely use bell - hop take bag room , quite hike lobby plus go casino . BB king open good . store room elevator pricey , $ 6.59for large bag chip ... stock get want munchie . pool area nice . secret Garden well worth time , dolphin amazing , purchase photo take entry $ 23.00 , seem like good souveni time get shove drawer first day back . love excellent . 
 absolutely wonderful experience 	 husband travel Las Vegas twice year . opportunity stay Mirage first time ever absolutely pleased stay . room recently renovate beautifully outfit large flat screen tv , dock station ipod , iphone mp3 player , work station seem wire anything , guest robe , safe minibar . lucky book visit $ 15 resort fee start cardio center amenity free we . husband absolutely enjoy spa facility Mirage . use sauna , full gym , jacuzzi tubs related amentie well worth 3 day package $ 35 . BB King Blues Club fun additional Mirage . food wonderful live band awesome . check - in smooth . arrive 4:00 get room right away . room type want , King - Smoking , not available high floor go Queen - smoking pleasantly upgrade strip view room close elevator ! every staff member encounter helpful friendly exception one person player Club counter . 
 Mirage gamble ! 	 travel Vegas parent 79 & amp ; 83 yrs young . wanted & quot ; central & quot ; location , nice accomodation ... solid 4 star receive Mirage . everything good room ( book deluxe view ) recently update .. food ( parent love buffet ) entertainment service . nice casino also gamble slot near tropical area bright air flow nice - feel like smokey casino ..... complaint arrive around noon wait 4:00 pm ck .. room ready early hope . would happy return hotel recommend ! 
 Fun Sun 	 beautiful room , good service , great show , good food & amp ; great pool ! ! ! 
 right well vegas 	 reserve King non smoking room strip view , arrive leave king smoke two queen bed non smoking . take two queen . room modern , tv large flat screen , bed ( even queen ) extremely comfortable . one great thing fairly large safe room . pool area large beautiful ( unfortunately temp high 50 's F get use pool ) .The clean staff great job . room spotless . never see always come wonderful job . when play tv notice could check hotel bill . see charge $ 30 taking item fridge . since even open fridge complain take amount bill . make sure look bill . one negative room door soundproof . could hear everything go hallway . another issue though room wi fi , $ 15 charge 24 hour use . perhaps big negative hotel casino . get old . distinct smell smoke get hotel , feel dark less appealing . eat Buffet breakfast . rather plain , acceptable price pay . also eat steak restaurant name Stacks . expensive good steak ever eat . could cut fork . highly recommend . entertainment , chance see Beatles Love . fantastic experience . performance less acrobatic dance normal Cirque . dance Beatles music magic . to sum nothing terribly wrong MIrage next time think try another Hotel . 
 Exceeded Expectations 	 great hotel good location bang middle strip . check simple & amp ; wait 5 min . room 19th floor different set lift different area hotel wait second lift come . room ( room 103 ) really spacious massive flat sceen tv ( time watch ! ) & amp ; massive Queen Size bed not even realize share anyone big ! bathroom nice & amp ; shower adequate . Room & amp ; hotel spotlessly clean & amp ; bed make daily . ring UK room phone ! ! rung home couple time without realise cost we $ 20.00 per minute ! ! yes 20 dollar per minute ! outrageous & amp ; room list much phone call . Carniage Deli hotel great breakfast & amp ; cake ' Cravings ' Buffet & amp ; good value money . Beatle ' Love ' show well worth see . pool good & amp ; clean & amp ; warm ( go Nov ) first trip Vegas & amp ; visit hotel stay , one good , although like look MGM & amp ; would stay next time change . will not disapointe stay - not use room phone ! 
 Nov 4 2009 	 would not change thing ! 	 great time Mirage Las Vegas . clean , comfortable ( secure -- go elevator night always someone check room key ) room , great casino , ambiance staff . perfect location right middle strip . arrive noon check we right away , nice expect wait around 3 . would definitely stay ! can not beat Mirage ! not miss beatle : Love , Cirque de Soliel show Mirage . top notch amazing ! 
 Nov 4 2009 	 nice experience 	 apart awesome volcano front hotel , Mirage exciting place stay . inside quite ordinary nothing make go ' wow ' ! even though choose cheap room view speak , quality specification room high clean well maintain , large comfortable . hotel also well position Strip . whilst would really choose stay ( rather lack Las Vegas excitement ) still pleasant experience . another matter - get see ' La Reve ' Wynn disappoint - quite breathtaking spectacular show . 
 Nov 3 2009 	 overall good value 	 first time Vegas think would try couple decent reasonably price hotel choose Treasure Island Mirage . Room Mirage nice big bathroom disappointingly small cramp , especially share room 13 year daughter paraphenalia . like bath find size one minute unsightly rust mark plug hole look like enamel chip repair . several bulb replace . coffee make facility room great disappointmnt 10 minute trek Carnegie Deli Starbucks . tell check careful mini bar sensor anything move would charge whether take . ice bucket room way keep drink cold . think price Carnegie Deli BLT well overprice $ 12 plain turkey burger fry side . we try Cravings buffet lunch / dinner breakfast morning departure . not mind late lunch go 2.45pm , pay lunch price stay change 3 pm bring ' well ' dish dinner session save $ 8 per person . lot choice believe rib beef do perfection . steer clear noodle station . serve miserable man wanton revolt spit - could make well . dessert brilliant bread pudding - one favourites- disappointing sloppy bottom . breakfast nothing special least fill day . overall , get good room service staff always courteous get good deal . 
 Nov 3 2009 	 Loved Mirage ! 	 stay Mirage October 30 - November 2nd . arrival snafu room - request smoking tell smoking room available . quickly correctly phone call downstairs immediately move different room wonderful view . safe room work - call desk someone within 15 minute fix safe . location Mirage hard beat - walk nearly everywhere nice . resort restaurant eat good . particularly enjoy Rhumbar drink evening watch world go . room pleasantly decorate ample space . disappointed see Allegiant Air drop line hotel . would definitely return Mirage ! 
 Nov 3 2009 	 Good experience 	 spend four day mirage - good experience . surprised however check find & quot ; hide cost & quot ; stay resort . $ 15 day find check use gym ( not use ) , newspaper receive ( guess pick lobby ) water deliver room daily ( drink ) . room clean however bathroom little small . very friendly helpful staff . location hotel great . disapointe could get ticket Terry Fator full . Sue Belanger , Lake Leelanau , Mi 
 Nov 3 2009 	 Fun Trip 	 Stayed Mirage group friend end October . cheack /room : check quick group put floor next great help . ask upgrade weekend U2 play hotel busy could not get one . room nice . good space although say bathroom ( shower / bath small do not really spend much time room ) .I think bathroom clean black hair floor still bath . only minor problem . bed nice sleep pillow divine . although alcohol night also help put sleep : ) hotel : hotel much . highly recommend Beatles Love show amazing . Beatles Revolution Lounge expensive walk strip find cheap bar ( O'Sheas Irish Bar great start night cheap beer ) . find staff revolution lounge quite ignorant one guy particular could really learn smile say thank . staff nice polite . pool : pool fab . get get queue weekend 9 am ( one busy wknd tell ) problem get chair 12 we together . week real hassle get chair . food : be not overly impressed food Vegas eat one italian restaurant Fashion Mall absolutely gorgeous . pricey buffet good option budget high . eat BLT Burger good portion huge starter hard face burger fry . shopping : would advise look around outlet shop buy andythe . find great deal day go do not buy staright away . all think trip fantastic . think would like stay different hotel return Vegas try someplace new do not enjoy hotel . great first stay young group people would definetely recommend Mirage first stay . 
 Nov 2 2009 	 9 10 ...... near perfect score ! 	 stay 5 night 2 lady blast ! room perfect , housekeep first rate , casino ton fun , show ( Ray Romano Love ) worth every penny . I would give Mirage 10 inexplicably rude person work box office Ray Romano show -- let us say people work customer service , crazy long line every morning Cravings buffet . wound eat elsewhere 3 5 day not want wait 30 minute cup coffee ! definitely back , think Mirage element require perfect vacation . 
 Nov 1 2009 	 disappointed 	 disappointed room . ask strip view , get , yet window dirty look something pour upper floor splatte window . obstruct view . bathroom small opinion tile tub need scrub . terrible turn . carpeting room look not steam clean year , room surface dust , move ice bucket tray would surprised amount dust . offer different room , decide not want pack unpack . although offer another room believe complaint ignore . burn bulb never replace . hotel limit food area , especially breakfast . ' m sorry not go Dennys ' m sure would saved money . visit number hotel strip big disappointment . enough , will not return mirage , oh one thing , agree coffee room , go casino 2cups coffee piece cake costly adventure . anyone plan trip put room17 - 027 check unpack , 
 Nov 1 2009 	 Tropical Paradise ! ! ! 	 stay Mirage Oct 25 - 29 , 2009 . fantastic hotel . great tropical theme . front volcano erupt every hour night , set tribal drum music . step inside greate huge atrium fill palm tree waterfall . nice . the check quick easy . explain lady check us anniversary trip ( tip $ 20 ) , upgrade tower suite great view pool strip . and pool . 's huge waterfall , bridge lagoon , surround palm tree . get chair next pool not easy however . take two chair back arrive move people leave . the casino exciting place , lot noise , busy , people fun . drink come quick regular table , slow slot . Dinner Samba great . try Rodizio , eat brazilian bbq experience . good . when get back room long first day , bottle champagne chill wait we . guess say anniversary . nice touch , great end great day Mirage . we never go Secret Garden , hear good . dolphin tiger , even new baby tiger . Valet never take couple minute , everyone always friendly . our flight not 4 pm , ask 2 pm check get . even compe meal Samba , base table play . great capper great trip . I ' m writte home , count day til go back . thank Mirage ! 
 Nov 1 2009 	 Excellent hotel 	 location among good strip , hotel upgrade recently room nice modern . large room king bed , beautiful furnishing ipod dock . restaurant good , serve reasonable breakfast , buffet awesome sunday brunch . travel large group , could always find since casino floor not huge like place . we would definately stay ! 
 Oct 29 2009 	 modern decor great buffet clean room great location strip 	 2nd trip Vegas ( stay Bellagio first time ) . come see Pepper concert Grand Canyon , highly recommend whole day kill . this hotel great . room modern look bed comfortable . strip view room , view erupt volcano night cool . pool huge , nice waterfall . need get early though , want lounge chair ( none available we ) . pool 1/2 hour make everyone get due chlorine explosion , disappointing since day enjoy pool . eat buffet lot , enormous cost effective restaurant hotel . try burger place impressed . also , walk across street Dennys find breakfast , price one back home . Next Dennys also food court inexpensive food . location hotel great , righ middle strip . overall think hotel great would definitely stay . thing lack jacuzzi tub , guess pay , get standard room . really can not go wrong hotel . 
 Oct 29 2009 	 great location good service newly renovate room 	 whole family ( include grandparent toddler ) stay Mirage 3 night October . arrive Saturday noon lobby crow . lady front desk spend lease 10 minute find two room next we , much appreciated . also order crib refrigerator us request . crib refrigerator free . hotel old ; however , room newly renovate . decoration contemporary , big flat screen tv wall . size room well bath room kind small , normal size regular hotel , though . room get pool view ( pay extra ) part Strip view , pretty . room quiet , . location hotel AWESOME . help stroller , manage visit almost well - know casino Wynn Mandalay Bay ( call Taxi time catch show cost $ 7 - 10 buck way ) . not swim walk around swimming pool area . nice . 60 lot people pool area . disappoint Dolphin Habitat , though . dolphin show , nothing , several dolphin swim around . not even schedule feeding time . need pay $ 15 get , please save money something else . book room via Mirage 's web site . 25th anniversary package , get free ticket Dolphin Habitat $ 40 credit per room toward Carving Buffett . Saturday night stay expensive one , Monday night cheap . average price pay three night $ 138 per night per room plus tax . price include premium upgrade view . overall think reasonable deal . gambler , toddler , not spend lot time Casino . comment . overall like hotel , especially location . will recommend friend try hotel next time . 
 Oct 28 2009 	 great Stay Las Vegas 	 planning stay Las Vegas 2 night , want something right strip , allow we walk destination . mirage perfect location . park self - park garage ( free ) , check quickly walk room . walk self - park garage room quite trek , strip hotel walk casino reach guest elevator . room , 17th floor , lovely ; large comfortable . great bed , pillow shower . love huge magnifying mirror bathroom . wish every hotel one ! great view window . eat breakfast Denny be across street , much reasonable Mirage restaurant , breakfast . eat lunch Carnegie Deli , Mirage , good huge ! ! take advice another Trip Advisor review sign Mirage Guest Book prior book room . result , receive good email offer low room rate , book . bottom line , great stay ! 
 Oct 28 2009 	 Wonderful 	 check early afternoon , although type room specify not ready assign we room equal ready . , without ask , announce rate low . save dollar , still end great upper - story room quiet fabulous view volcano strip . pay $ 220 include lug . room obviously remodel last couple year , well appoint , excellent tv bathroom . would benefit addition easy chair . hotel crowd , line restaurant pack swimming pool area problem . plus , restaurant service slow . food good really enjoy stay . 
 Oct 28 2009 	 Mirage 	 visit Mirage September anniversary . arrive 4:00 unfortunately room not ready yet , drink bar wait . hour later room ready . give exactly reserve . king room 12th floor overlook volcano . complaint , even though request smoking room , room continually smell smoke . seem day age way get smell . , room great . many say , bathroom quite small , eventually get use . love fact window open . balanced air conditioner also allow fresh air circulate room . first night hotel send bottle champagne anniversary . think great touch . couple time order room service , deliver promptly food good price . staff great . location can not beat . 's right middle strip , everything minute away . overall Mirage great hotel great staff . definately consider stay future . 
 Oct 28 2009 	 wonderful experience 	 stay Mirage Suite disapointe ! suite great size 2 bathroom room look like newly refurbishedwe problem room service food decidedly average fairness , refunded part bill . I stay Vegas Mirage . would happily recommend atmosphere , food general vibeI like ' good hotel ' one meet expectation ! 
 Oct 27 2009 	 good value strip 	 family close Las vegas travel lot . usually book suite hotels action child book mirage time . book tower suite one bedroom automatically upgrade penthouse suite nice . suite large , howeber date renovation suppose start next year . loved bathrooma dn bathtub , incredibl water pressure . House keep excellent get fresh fruit water free every day . however tea coffee ammenitie clearly miss . guess logic behind keep guest within casino area . fast line pass many restaurant absolutely worth . line huge travel child jet lag strenous line . food great expensive ( travel eurp curency pound ) view penthouse suite spectacular especially night . bed great tv hide closet front bed . penthouse tower suite also come free pass magic garden love lion baby dolphin . also special staff desk , special elevator spend extra money well worth since hassle free travel sort free bee . pool crowd would let bare pool . gamble say anything casino . the mirage good kid , however without kid would recommend palm wonderful suite mandalay . good nightclub TAO venetion across street . 
 Oct 26 2009 	 Excellent hotel ... 	 review read correct , beautiful hotel , shortcomming , like coffee pot room , hair dryer . mean , even day Inn offer amenity . walk throught casino get anywhere hotel L N G walk . we get free upgrade suite wonderful view strip volcano , would recommend , need add amenity room . we go Jubilee show FANTASTIC . also go see George Wallace funny . worth every penny . another bummer pay $ 15 night wireless internet laptop check business , seem uncalled . 
 Oct 24 2009 		 return today vegas.i never write review anything get chest . the MIRAGE do not care anything bottom line.rude staff , slow bartender dealer attitude.we choose go vegas season hopefully avoid issue , luck . $ 15 day resort fee , $ 15 day gym fee . $ 18 horrible cheeseburger . $ 16 dry corn beef sandwich.drugge lady hire elevator area every morning.stay wynn , stay venetian , stay palazzo never low rent mirage . 
 Oct 24 2009 	 first timer HAPPY ! ! 	 stay 4 night , 3 full day . check - in quick easy . booked king bed pool view , get double bed room . immediately , without drama , upgrade newly renovate king room top floor lotsa room gorgeous spa bathroom ( double vanite , seperate glass shower , jetted tub , tile floor ceiling ) . room service tasty expensive . casino not overly smoky . food average blt . guest service excellent . large area walk , nice nonetheless . good location nicer resort free show . definitely well keep pool dreamy ( large bridge grotto waterfall ) . get good rate check ! 
