decent 	 hotel old large room . get kitchen suite , family great addition ( eat inside ) . need space want low cost hotel , great option . 
 Feb 16 2009 	 great 	 clear : not high - end hotel ( ala Hilton , Westin , Hyatt ) chic boutique hotel . apartment building , mean room much big hotel , include small kitchen . however , will not amenity hotel ( turn - down , room service , overall fit finish ) good place stay great location , can not beat . staff nice helpful , Grand Central 4 block away . reason give four star instead five could use little update interior . probably would not stay business , personal trip , great . 
 Jan 31 2009 	 Fantastic Budget Hotel 	 $ 112 night one - bedroom suite , get one good deal town ; still good deal anywhere $ 200./night . hotel use apartment building , room full kitchen . & quot ; suites & quot ; quite large , although furniture date , wall art tacky 25 year ago first purchase , bathroom really update ... relatively clean comfortable price . 's restaurant hotel long , lot good delivery ( not try Frontier Restaurant ) . many parking garage neighborhood , although garage use valet not accept suv , park carry bag around block doorman / bellman pretend busy ignore front entrance ... 's one doorman really not job ... sit around day gabbing front desk staff , doormen fine ... even open door time . 
 Jan 22 2009 	 would stay ! ! 	 partner stay Eastgate Tower June 2008 3 night . hotel clean , staff friendly well locate right Mid - Town . walk everywhere ! shopping , restaurant , supermarket , Times Square Empire State Building within short walking distance . room roomy - surprising New York Hotel room notoriously small . kitchen great convenience , full sized fridge stove . great quick breakfast head fun - fill day New York . bed comfortable - great long day want put foot . would definitely stay chance . 
 Jan 22 2009 	 great find ! 	 really like hotel . location superb service welcoming . find room 's facility quite old , especially mirror , spacious , clean , good look great view . ' ve NYC cold period ever , Tower 's room always feel cosy warm . overall great price value ratio ! 
 Jan 22 2009 	 really happy Eastgate Tower 	 family 4 include 1 teenager , 1 pre - teen , stay Eastagte Tower 7 night January 2009.our room exactly represent , clean junior suite lot space , include full kitchen . the hotel location superb , 20 min walk Times Sqare , 10 min Grand Central Station train subway , 5 min East River United Nations . hotel bar restaurant close rennovation , listing room local deli 's restaurant deliver in . there 24 hr market drugstore corner block , Dunkin Donuts , McDonalds , Abitino 's Pizza friendly cheap Frontier Diner 5 min away . in addition hotel staff helpfull suggestion restaurant travel tip . upon checkout bill exactly agree surprise . 
 Jan 19 2009 	 Great Deal 	 get great time andeal eastgate tower . great location good service . room clean well organized , really big NYC . 2 kid really enjoy time hotel . concern restaurant hotel multiple choie area . 
 Jan 19 2009 	 another great stay Eastgate Tower 	 stay Eastgate Tower hotel second time January 2009 . previously stay one bedroom suite girlfriend November 2006.this time , honeymoon stay studio suite . gripe request king size bed give double . flu arrive not energy take anyone . Hmmnnnnn ........ wonder would move we mention ..... late find ! say , nothing else bad say hotel . yes modern decor - wise actually not see problem . clean warm staff friendly . keep eye travelzoo promotion . get great prepay rate $ 106 per night initally book via affinia.com high rate switch , obviously . lol . the hotel central everything , 39th street . get cab river cafe brooklyn $ 15 . lot lovely restaurant close - by 3rd Avenue . I definitely stay Eastgate Tower next trip NYC would hesitate recommend friend family . 
 Jan 7 2009 	 great find ! 	 partner stay Eastgate tower Dec 08 . Booked 1 bed suite Expedia , cost less small hotel room ! suite 15th floor everything ( ) could need . lovely comfortable massive bed , tv lounge bedroom , full en - suite bathroom seperate toilet , full kitchen - although use fridge dishwasher ! suite always clean , furniture whilst date functional clean . service great one evening request pillow delievere suite within 10 minute , reception arrange transfer we back airport ! restuarant site many place get food problem . problem location walk Grand Central Station 5/10 min , Empire State Building 15 min walk . end busy day nice get away noise relax space go night . wait go back - love New York love Eastgate Tower . 
 Jan 6 2009 	 stay East Gate 	 stay Eastgate Tower number ocassion . trip family holiday . hotel great location wlake distnace lot attraction . agree one previous reviewrs say hotel clean feel little grubby need major refurb term decor . stay 10 night towel change daily sheet not change stay . first night sofa bed one room book full crumb cover . contact housekeeping staff wait four hour bed make clean someone could sleep . noise corridor also make hard sleep time . locate room adjacent think staff room door room close bang throughout day night quite irritating . lift also slow hard get peak time . we find front desk staff quite unhelpful . give we wrong advise number ocassion . relation range thing , example new year day tell we major department store close , fact incorrect theytwere open . give wrong direction seem try push bus tour book type thing front desk . happen throughout stay , careful double check information give we . when came check find service front desk staff really fail . take hour quarter check . one room charge , another chrage without tell person tell check credit card security thing chrage would make check third room money miss count member staff find make mistake reluctantly agree recount . staff member point quite difficult deal . bad way finish stay . overall disappointed stay Eastgate . frequent visitor New York not intend return East Gate , . would also reluctant reccomend friend many problem . organise stay hotel large group family member disappoint overall level service receive . 
 Jan 6 2009 	 central 	 arrive hotel rip ' taxi driver ' charge we $ 95 dollar get hotel . fault .. warn ! ! pleasantly surprised hotel mixed review . bit date thing negative ! ! clean , large room kitchenette . staff helpful friendly minor problem resolve within minute . bellhop , patrick , particular excellent . hotel central everywhere within walking distance , underground taxi . would say travel peak holiday time like wer , prepare queue ( get line ) tip ... pay extra ' fast track ' empire state building unless do not mind wait two hour . good stay would definitely use hotel go back . 
 Jan 4 2009 	 brilliant place 	 place really brilliant . get good location 2nd 3rd avenue 20 - 30 min stroll times square 10 min 6th avenue shop . 1 bedroom suite 10th floor . spotless warm sheet change every day along fresh coffee . 's small kitchen cooker fridge microwave large lounge 2 big ( comfy ) double bed bedroom.it also 2 bathroom 2 tv 2 kid handy convertible bed settee not uncomfortable either . and downside ... can not think ! ! nice gym take trainersall highly recommend . I d definitely stay . 
