great 	 2 day return another 7 . location could not convenient 's 5 minute walk Gloucester Street tube station Picadilly , Circle , District line . good , reasonable restaurant nearby grocery store Gloucester Cromwell . staff nice helpful . breakfast great . call continental , include egg , bacon sausage , baked bean , toast , sweet roll , cheese , meat , juice , etc . thing miss fresh fruit . stay two different room , quite nice . really like refrigerator . two non - smoking floor request ahead . not try wifi computer internet access lobby , 1 GBP 20 minute . guess like crisp sheet firm bed find everything comfortable clean . 
 Jan 26 2004 	 good . 	 okay , ' m entirely sure nice review come , maybe not see hotel London like , believe get well . MUCH well . reception area decent , internet access , room substandard . room small ( even european standard ) bed perhaps bad ever sleep . one standard room , maybe one well .. know . pay around $ 100 usd night , least make somewhat palatable guess . location ok ( South Kensington , 300 yard near tube ) . recommendation find something else . 
 Jan 14 2004 	 Nice Hotel Helpful Staff 	 much enjoy stay Park International . build fairly old , room facility well do modern . compare hotel stay throughout Europe room spacious . the staff also helpful , especially reservation staff . go way help correct mistake make original booking . would definately stay . 
 Dec 11 2003 	 bad price 	 stay hotel Dec 2 - 10 , 2003 vacation . check go well upgrade king room charge request . room small workable ( hate think size regular room ! ) plus : value -- $ 100 / night taxis include without breakfast ( apparently travelocity & amp ; expedia include breakfast price ) -- -if search ' net talk people London know hotel much expensive ; location mention previous reviewer convenient & amp ; two block Underground ( London subway ) Gloucester Road Station ( Picadilly Line come directly Heathrow Airport -- 40 min ride ; also District & amp ; Circle Lines serve ) bus Rte 74 stop 1/2 block hotel service Harrods ( day 7 day travel card unlimited subway & amp ; bus travel purchase station Heathrow ; several inespensive restaurant provide good food breakfast , lunch & amp ; dinner near corner Cromwell ( hotel Cromwell ) Gloucester Road , also 24 - hour grocery Gloucester Road south Cromwell east side street another grocery store nearby Cromwell call Waitrose ) ; internet cafe open long hour across hotel -- 20 minute 1 pound 2 pound 60 minute -- hotel one computer 1 pound 10 minute lobby private keyboard not work well ; -- generally Kensington / South Kensington neighborhood good one , safe problem walk hour day night ; room small well take care , everything need ; hotel two elevator .... minus : many front desk staff helpful ask question London , restaurant recommendation etc -- especially night staff . arrogance indifference display two desk staff other quite nice busy ; room little view -- -I highly recommend ask room floor 2 - 4 north exposure overlook Cromwell St -- room enormous window -- room hardly window view ; mention another reviewer , also problem hot water one day -- -but report front desk staff fix ; also , power go one evening entire hotel 3.5 hrs front desk staff poorly train deal emergency -- people gather lobby restaurant power go -- -no contingency plan reveal power go reasonable amount time ; make sure book thru internet breakfast include price hotel room bring copy receipt prove front desk staff purchase breakfast 7.99 pound . if want well hotel neighborhood next door Park International -- Holiday Inn Kensington Forum good one -- spacious lobby , restaurant , nice room -- high price . overall , budget minded traveler want bang buck , Park International work fine despite flaw could correct several staff send back customer service retraining ... 
 Dec 1 2003 	 Good Solid Hotel would return 	 husband & amp ; take sort belate Honeymoon trip Europe , include stay London Park International Hotel Nov. 17 - 23 . come 2 day & amp ; 3 night Paris , room size closet , even $ 125 per night . pay less Park International - $ 100 / night - huge relief check room , room pleasant size clean . ' m sure size bed , ' m sure large double . bathroom also decent size , tub & amp ; shower . basic amenity would expect ( shower curtain , alarm clock , hairdryer , phone , etc ) , several find expensive paris hotel . plenty room hold luggage without cramp we , well . also small fridge nice keep drink & amp ; snack , although since breakfast include nightly rate , not need much extra food . not fabulous view , good sized window could look . stay winter , travel summer month , see a / c control room . decent selection tv ( maybe 15 channel ) , look like actually upgrade tv stay , last night tv replace new , large one . also essential coffee & amp ; tea making , extra afford paris . also get free paper every day , nice bonus . Breakfast serve 7 - 10am , good selection - cereal , bread & amp ; pastry , meat & amp ; cheese , scramble egg , plus juice , coffee , tea , hot chocolate , etc . include room rate definitely decent deal . location wise hotel also pretty good - 2 minute walk near Underground , Gloucester Road , several grocery store market nearby want buy snack . also several restaurant laundromat right across street . far sight , 2 museum minute walk street , though not visit , able walk Kensington palace & amp ; kensignton Gardens 20 minute , would say . otherwise , tube close hotel , hop get close enough everything else want see . try schedule dinner rush hour though , 5 - 7pm , tube rather pack like sardine time . ride usually quite short though , stop , even ride crowd not horrible . also appreciate comment sheet leave room - indicate interested customer think & amp ; interested improve need . real problem hot water , rather lack . plenty hot water sink , shower bath , pretty much room temperature , really even warm . night well , bathe morning , awful . manage dump water sink & amp ; heat weater intend tea , tub . think complain desk day ... near end trip bit soon morning water not hot warm . last morning 5 am water actually hot . maybe get use later , ' m sure . hot water problem fun , disappointing experience Paris hotel , Park International like dream comparison ! stay 4th floor , ' m sure room equally pleasant . noise - wise pretty good well - could hear nieghbor sometimes , nothing disruptive loud . good deal Americans stay well , be US probably will not feel strange place . feel good , solid hotel definitely would not mind stay future . 
 Nov 13 2003 	 great location friendly staff 	 stay 4 night , love . 's block Gloucester Road tube stop ( line Picadilly , Heathrow , Leicester Square . 's supermarket , patisserie many restaurant within walk distance hotel . book trip Expedia , would cheap book hotel , especially continental breakfast not include Expedia hotel rate . staff friendly , feel safe , even though room safe break . would definitely stay . 
 Nov 11 2003 	 ' m go back 	 inexpensive hotel superior location helpful staff . Gloucester Tube Stop ( three line ) 120 yard away . large supermarket good restaurant nearby . while small , room large expect extras include huge bathtub , refrigerator , clothe press , hair dryer , safe . I stay April . 
 Oct 14 2003 	 Howard Johnson 's London 	 room bite dingy bathroom decent size , staff helpful place adequate short stay . upgrade superior room get good deal book online hotel website . breakfast include package , could do without food probably expire shelf supermarket . location , however , great -- ten minute walk V & amp ; museum , History Museum Knightbridge ( Harrods ) . tube two minute walk away , bus stop Cromwell 's also supermarket around corner ( Waitrose ) hotel . ' m tight budget , would stay . 
 Oct 12 2003 	 absolutely awful 	 base review site other , high hope Park International Hotel . though book superior accomodation , room dark , furnishing wear , carpeting stain , bathroom filthy , floor slope spongy , mold around air conditioner , etc , etc , etc . return desk immediately , relay disapointment room indicate plan stay one night instead four originally plan . tell would responsible entire stay regardless . ask speak manager tell not available next day . manager reiterate liable entire cost stay , quote 72 - hr cancellation policy somewhere blue . offer change accomodation another room -- upgrade possible , since supposedly already stay & quot ; superior & quot ; room . room slightly less worn first , however , general condition room shabby spend next three day work suitcase sleep top bed -- inside cover wear unkempt rest room . reason , though accomodation suppose include breakfast morning , tell include one four morning would stay . though realize every traveler standard , not think mine exceptionally high . expect clean , comfortable , well - light room along amenity promise fair price . Park International Hotel live none expectation staff extremely rude , outright dishonest dealing guest . needless say , pleasant experience return . 
 Sep 19 2003 	 excellent stay ! 	 wish staff Park International great winter season . great stay , really enjoy time friendly staff . professional , well manage run , leave know acquire new friend side world . thank - you hospitality hope see around Christmas time ! Rick 
 Sep 14 2003 	 Charm England 	 first trip England . find lodge Park International meet expectation charm England . staff friendly helpful . location great , close tube abd shopping , easy reach Heathrow . definitely plan stay return next year . 
 Sep 12 2003 	 want 	 choose career travel lot UK & amp ; stay manner place ( god bad ) . find refreshing Hotel relaxed atmosphere round feeling actually treat customer & amp ; welcome one ! ! ! well situated , far enough away quiet hustle & amp ; bustle London , close enough get everywhere ease . resonably price consider area good clean tidy enviroment .. throughout hotel .. would stay without question .... obviously not see every room judge comment , fully satisfied ..... please fall free email would like depth review . 
 Sep 9 2003 	 well 	 ok 3 star hotel . almost quite . sometimes be not even 2 star . hotel mixed bag . look upgrade go slow process . lobby decent enough . clean well light two internet terminal simple seating . check little staff little flighty nothing serious report . elevator run well . room though small worn . bed fine shape room make bed take space . small desk tv . closet small safe work . bathroom decent typical build 60 's good shower mostly modern . , room though awkward small . view except pidgeon alleyway . hotel quiet keep fairly secure . stay winter room warm . tea service iron plus use . breakfast room decent offerent juice , cereal , bread , cheese fruit . also on - premise bar . neighborhood quiet central tube station 3 block away . would attempt find accomidation price rage though sure could do well . room dingy worn uninviting . put new simple furnishing , brighten thing little new paint job pay little attention cleanliness may improve enough actually deserve 3 star rating give . 
 Sep 9 2003 	 Great Stay 
 Sep 8 2003 	 Pleasant Stay ! 
 Sep 8 2003 	 great experience ! 
 Sep 8 2003 	 great time make well 
 Sep 7 2003 	 wonderful stay 
 Jul 31 2003 	 disappointing 
 Jul 21 2003 	 never 
 Apr 15 2003 	 nice experience 
 Mar 5 2003 	 stay away ! ! 
 Nov 11 2002 	 Horrible 
 Nov 4 2009 	 bien situé 
 Oct 19 2009 	 Posizione ottimale ideale per famiglie 
 Oct 1 2009 	 personal nicht hilfsbereit 
 Sep 29 2009 	 ? ? ? ? ? ? 
 Sep 14 2009 	 Todo correcto 
 Sep 5 2009 	 ottimo 
 Dec 15 2008 	 ottima soluzione per una vacanza Londra ! 
 Oct 4 2008 	 Buono per gli standard londinesi ! 
 Aug 29 2008 	 100 % zufrieden und positiv überrascht : ) 
 Feb 7 2008 	 Bastante aceptable 
 Dec 25 2007 	 ottimo rapporto qualità / prezzo 
 Nov 30 2007 	 hotel de bonne facture san plus 
 Nov 11 2007 	 Buen hotel para familias 
