money 	 location great ! service awful ! room large New York standard . 
 Best Hotel Best Location 	 positive review hotel real . take negative review folk can not please matter . stay hotel twice stay numerous hotel NYC , say one well far favorite . really like small apartment heart Times Square . never spend big buck restaurant since small kitchenette bring buffet food store nearby . satisfied Hilton Hhonors Gold member , get free breakfast every morning , make terrific deal . hotel ever consider visit NYC . 
 Sep 21 2009 	 terrific large Room ! 	 stay hotel wife , mother - in - law , two child - age 1 & amp ; 3 . room renovate within last year , fantastic ! ... large New York hotel . furnishing surface seem practically new . bed great , fold - out sofa bed even okay . 's perfect size family 4 . bedroom separate room close rest room , good part bathroom - large double sink , 2 door - one connect bedroom , one connected living room . plus 3rd sink wetbar ! 's great setup ! staff service great . business center still need update . location great tourist activity - 's subway access point almost directly outside front door . TKTS booth directly across street . complaint location 's crowded corner Times Square . come go often involve navigate dense crowd people . need large room New York , great choice ! 
 Sep 16 2009 	 wonderful hotel perfect location ! 	 stay five night . first time New York visitor , thrilled location . able walk anywhere , take subway right corner ! suite perfect five night stay , nice extra room ! hotel clean , feel safe , staff extremely helpful everything . room 39th floor city view . amazing ! 
 Sep 16 2009 	 Location space can not beat 	 concur review - good room size , comfortable bed pillow , dark curtain black neon sign . pull couch dirty cushion , bed portion fine . bathroom fine , super clean , sufficient . Good AC . brunch nice expensive . 
 Sep 14 2009 	 great hotel NYC 	 come back year US Open , third year stay Times Square Doubletree hotel . the location can not beat convenience , staff friendly helpfull , room spacious clean , price surprisingly reasonable NYC great location . overall would highly recommend hotel stay next year 
 Sep 11 2009 	 great stay 	 second stay Doubletree . NYC business two teenage daughter go along ( hotel great base kid explore city , however would not recommend turn teenage girl loose Times Square mine well acquaint city ) . room , staff , check , perfect . always feel safe , staff first floor lobby discreet however observant people coming go . location , course , perfect . subway station literally 20 step front door . I leave positive comment survey card upon check , manager call follow week thank . never happen hotel previously ! recommend hotel highly certainly return . 
 Sep 10 2009 	 Excellent hotel staff incredible 	 second time stay hotel New York great . room nice sized recently decorate . hotel exceptionally clean . right middle mid - town close everything . go go broadway show walk hotel . everyone nice . friend get really sick need go hospital . call front desk , get cab we , come room escort we , tell cab go . great . call room several time check . really appreciate concern help . 
 Sep 9 2009 	 great room awkward entrance night 	 stay 2 night great time . two room help travel infant - put baby pack play bedroom night , hung family room . room clean , check easy , good . stay Times Square conference nearby . lot lot people sidewalk outside , hotel across Tixs Center . one strange thing lobby 3rd floor , take elevator get . come later night , secuity people almost let name reservation . also , could use towel , though help awesome take big bag birthday party trash . 
 Sep 9 2009 	 Place recommend New York visit 	 stay Doubletree Times Square 6 night family 2 teenage son August 2009 . arrive early give room straight away . suite king size bed sofa bed boy . provide we excellent accommadation family stay NYC . location prime postion Time Square . read previous review agree sound proof hotel excellent consider prime location heart NYC . recommend buffet breakfast . plenty choose waiter friendly . fact last day give 2 tin Doubletree Cookies Steve cook speak times breakfast . really nice summed hotel staff . every member staff helpful kind . tip - free wireless internet hotel reception bar area . I recommend hotel family stay New York . look hotel happy choose Doubletree Guest Suite Time Square . 
 Sep 9 2009 	 Sweet Summer Deal sweet we 	 decide Sweet Summer Deal trip NYC granddaughter . information web site state child ( age 12 ) would need order child 's menu , call hotel ask . tell could order anything regular menu . first night waiter tell we Deal require child order child 's menu . explain tell child could order regular menu . waiter say sorry , rule special . go downstairs speak manager . also tell deal require child order child 's menu . point rule make clear , call hotel make reservation . manager agree contact restaurant tell child could order regular menu . ' m sure food receive result go management , roll hard cut knife smoke salmon salad consist small thin piece smoke salmon two little green top . go another restaurant later evening dinner . decide would eat lunch dinner remainder stay . bottom line pay basic cost room SS deal , think girl 's lunch dinner would include . experience first night , meal elsewhere . get pay . write review Doubletree , bother reply . hotel fine , breakfast buffet fine , lunch dinner deal waste money . 
 Sep 9 2009 	 love place 	 stay anywhere else go back . loved bed , pillow LOCATION . perfect door man nice . 
 Sep 7 2009 	 Awesome experience ! will LOVE ! 	 get back weekend stay Doubletree . family five plenty space . able check room 1:30 pm . staff front desk bell service restaurant server bartender security top notch . fantastic location - right heart action .... quiet comfortable inside room . enjoy suite 42nd floor . fantastic view ! would definitely stay ! ! ! 
 Sep 6 2009 	 great way around 	 twenty - something daughter spend week New York late August fantastic time . stay Doubletree perfect . location great - crowd people , minute walk door tranquility cold air hit we like pleasant breeze . room great - clean quiet cool . service great - night time cookie well ever . 
