great 	 stay hotel 3 night friend . incredible . staff amazing , room beautiful , breakfast lovely get special offer quite reasonable cost wise . like everywhere else San Francisco , climb uphill bit get , really good location centre city . 
 May 26 2008 	 nice room shame breakfast experience 	 family stay Orchard April way Greece . position hotel good close Union Square . stay one King suit lounge separate bedroom . the room comfortable clean plenty room we . glitch arrival get thing less ideal start nothing dramatic . 2 year old , request cot ( crib & quot ; play - pen & quot ; call States ) room . unfortunately , arrival ( 12 hour flight ) asleep baby cot . first arrive broken 2nd work fine . could not get fridge lock ! never stay hotel lock fridge .. seem little odd . lock break fridge could open . fix quickly good need keep insulin cool . try use coffee machine room , belch rotten smell hot water chunk God know eventually get replacement ( staff intially tell we normal machine ! ) .However , minor much big deal mention hotel stay 1 month away cot ready room , usable fridge clean tea / coffee make fascilitie . the big disappointment stay breakfast . pay & quot ; breakfast include & quot ; package part breakfast ok ... nothing startling ( compare hotel ) good enough . effectively serve little help two fairly sour look staff morning . fact , male staff member serving make we feel quite unwelcome seem reluctant help . now , tip custom country although understand big States part follow custom USA . however , expect good pleasant service fork extra cash tip staff off - hand , rude make fall generally unwelcome , not think tip deserve . due sour service receive , leave tip first two morning one second morning male staff member give lecture tipping . surpirse extremely rude . although already pay breakfast next two morning , eat hotel wish feel pressured pay extra ( i.e . tip ) poor service risk form retribution tip . summary , hotel pretty nice convenient place stay ( glitch intially big deal ) . however , definitely pre - pay breakfast . eat lot well elsewhere less get much well service ( pancake place around corner good breakfast Uncle Vito 's good pizza dinner ) 
 May 25 2008 	 Great Location ! 	 stay 4 night hotel . location good , cable car line around corner Union Square 3 minute away . room clean comfortable . bathroom nice , furniture ok . like expensive parking ( 38 $ day ) . also staff argue happen front guest . 
 May 25 2008 	 great hospitality heart San Francisco ! 	 stay hotel base excellent recommendation read Trip Advisor . it boutique hotel , well locate shopping Union square . the room modern , spacious , clean well appoint , good facility business ( work desk free wireless internet ) .. pleasant restaurant ground floor , serve either continental la carte breakfast . the staff friendly helpful . make feel welcome help useful tip first time visitor . I recommend hotel represent good value money . besides usual expect feature , several nice touch , like library several hundred DVD 's available view free charge , quality toilerie , etc . there general warmth hospitality make pleasant stay . 
 May 23 2008 	 Sleekcontemporary clean 	 Exceptional hotel experience -- bell whistle , pleasant stay efficient , friendly staff available accomodate . skip food though -- many choice area . location great well . 
 may 23 2008 	 Excellent stay close toeverythe 	 hotel excellent . good location , friendly helpful staff continental breakfast good . stay hotel next time come great city . 
 May 22 2008 	 enjoy Orchard experience 	 Booked Hotel reading review Trip Advisor disappoint . hotel small reasonably price area . room comfortable great night sleep , not eat hotel abit pricey liking , recommend good eat place nearby suited requirement perfectly . overall pleased accommodation , would choose stay . cable Car handy quite expensive travel single trip , get long term multi trip ticket start . 
 may 20 2008 	 Loved Orchard 	 great place stay . conveniently locate city . wonderful staff lovely ambiance . 
 may 17 2008 	 absolutely wonderful 	 say enough good thing Orchard . daughter stay room 839 street side love . bed comfy , bathroom spacious nice shampoos lotion . meticulously clean nicely decorate . wonderful location near union square right cc stop . buy liquor mixer street small market make nightcap , breakfast starbuck since not breakfast package least 2 within 3 block area . would recommend hotel anyone quiet oasis heart city . 
 May 16 2008 	 really great experience middle city 	 really fair price beautiful , modern environmentally friendly hotel middle everything . love room book illustrate merchant city organic , natural eco friendly . go room restaurant hotel . bed Breakfast package provide fabulous breakfast morning 3 day stay . Granola amazing fresh grapefruit juice wonderful coffee . loved video library available guest . really comfy bed . super friendly staff . everyone make feel welcome . walk work day stay , financial district . take 10 minute get cherish pretty walk bustle city day . would recommend Orchard Hotel anyone look personalize service independent , non chain hotel ! 
 May 15 2008 	 great Gem Near Union Square 	 hold 3 - day business meeting 14 guest room . meet attendee absolutely love hotel 's sister hotel , Orchard Garden street . food highlight whole trip .... amazing . group still talk . 
 May 15 2008 	 Old S.F . Charm Modern Amenities Great Location 	 ' finish contract San Francisco fly Mondays home Fridays . want small hotel flavor old San Francisco , generic national chain hotel . spot Orchard internet unable book first week . end one many old , small hotel populate area first night challenge preconception . get dinky room look 6 foot wide alleyway separate hotel next building ; restroom small , go outside turn around ; air conditioner open window . I already book follow week Orchard decide pay inspection visit case need revisit chain hotel option . delight large room , new furniture , huge bathroom , comfy pillow - top bed . room equip dvd system front desk maintain DVD library . hotel build new safety feature amenity include ; visual elevation , however , design fit rest neighborhood . immediately book several week ' finish twenty week Orchard . on - site restaurant , Daffodil , first rate on - site dining rewarding ' mood go . staff great : friendly knowledgeable area ; attentive routine . ' pleased decision stay Orchard comfort , safety , cultural standpoint . Orchard flavor complement special San Francisco " je ne sais quoi " without cramp need modern accommodation . locate Bush Street , Orchard two block away Union Square . ' locate city residential area fine everyday restaurant , store , salon , art school , Cathedral , like . orchard step away cable - car line cross - street Powell . Union Square , Powell , bustle well know shopping , eatery , hotel compete attention . chinatown ' Pine Street parallel Bush one block away Union Square , main entrance Grant Street two block Bush . location " IDEAL . " plenty attraction amenity within easy walk , noise congestion commercial area ' lap . transportation wharf , Market Street , North Beach , rest San Francisco offer door . put way , twenty - one week , Orchard remain hotel - of - choice San Francisco . ' happy choice back . 
 May 7 2008 	 wonderful hotel ! ! ! stay ! 	 wonderful hotel ! negative thing say . amazing price level service get . free movie rental ( room come dvd player surround sound ) , free concierge service ( extremely helpful finding place eat ) , centrally locate , comfortable bed , nice room bathroom , etc , etc . feel like home hotel . stay ! 
 may 6 2008 	 nice stay Orchard 	 new bride stay Orchard part honeymoon . staff friendly accommodating . wonderful room 10th floor view good downtown hotel . room bathroom size average . also never bother noise . orchard two block Union Square two block entrance Chinatown . 's step away Powell St trolley line . car , parking area expensive , 's hotel 's fault . hotel convenient place real value . would stay . 
 Apr 30 2008 	 friendly comfortable central 	 stay couple night end March 2008 . room well equip , bed comfortable whole hotel ahd feeling fo well - care . right cable car real convenience hotel 's position enable we see great deal historic centre short stay . well worth stay . 
 Apr 29 2008 	 Great Hotel resonable price 	 will keep short sweet . great hotel bargain price . read many , many review SF hotel truely unsure stay . see Orchard one top rate hotel SF find deal travel booking website around $ 100 night decide take chance . be world traveler expect Ritz like luxury may hotel . however , expect nice place stay call home day / week tremendous value FANTASTIC HOTEL . service overall average . although minor issue ( retrieve key mini - bar , extra towel , etc . ) request eventually take care . room well average term cleanliness , ' ve stay share room price range leave lot desire . true . beautiful furniture linen ample space 2 . never eat hotel resturaunt enjoy couple glass wine bar cheese platter . nice place can not comment food . cheese plate great . LOCATION , LOCATION .... really close anything everything . short trip Wharf , Downtown , transportation station make really easy get around . Union Square shop resturaunt come right around corner easy walk distance . I would definitely consider Orchard next stay SF . 
 Apr 28 2008 	 Great Place stay 	 girlfriend recently stay Orchard Hotel trip San Francisco ( 4/24 - 4/26 ) . outstanding . great location . super view ( 10th floor ) . clean comfortable room . service extremely friendly . hotel everything could ' ve hope little bit . stay two place trip ( one city / one outside ) find hotel provide enojoyable / comfortable stay . drawback impression breakfast include room surprised find not case . unfortunately , nobody tell we front find last minute ( order ) . minor note overall . . .we walk street great breakfast Lori 's . would absolutely recommend anyone want enjoy San Francisco . boutique hotel ammenitie major chain . love . 
 Apr 25 2008 	 would recommend Orchard . 	 return yesterday San Francisco stay Orchard April 17th - 23rd . since first trip SF compare hotel , find charming . room spacious , bathroom absolutely spotless bed different use comfortable . check quick smooth staff extremely friendly helpful . visit onsite restaurant feel price extremely high food offer . one disappointment hotel advertise Aveda bath product . nice touch turndown service extremely comfortable robe available . room quiet outside noise . hotel one good part stay . 
 Apr 23 2008 	 sleep great noisy city 	 husband decide get - a - way weekend short notice ; love San Francisco . find charming Boutique Hotel on - line . the Orchard Hotels locate Bush Powell near China Town . cable car stop corner . concern noise light sleeper . street - side near cable car stop ; surprise hear traffic cable car . desk clerk say window treat sound - proof material . guess ; work . bed great ; ' remember sleep well . we dine hotel first evening . food delightful ; new restaurant ; sure everyone find ' able get in . the weekend great ! 
 Apr 21 2008 	 great experience Orchard Hotel 	 daughter stay one night Orchard Hotel quick trip San Francisco . great experience would highly recommend . even though build old , everything update clean . staff friendly professional prompt service , include valet parking . room beautiful comfortable . lot search on - line , know price reasonable location type hotel . & quot ; generic & quot ; hotel ; rather feel upscale yet cozy . we like location right cable car line couple block away Union Square . be woman travel alone , would good choice . would feel comfortable stay . 
 Apr 19 2008 	 gem ! 	 nice find business 's operate satisfactionof 's clientel mind . Orchard Hotel certainly one ofthose business . spend 4 day charming hotel . since flight Atlanta arrive San Francisco around11am , arrive hotel around 12:30PM . wife procededinto hotel take care driver time Igot inside already set room 7thfloor . hassle regard early check - in , front desk act like pleasure take care we . our room nicely decorate good sized . bathroomwas marble tile also good sized . bed verycomfortable 4 large pillow . location hotel wasnear corner Bush & amp ; Powell , within foot powellstreet cable car . Union Square 3 block walk downhill . Buythe 3 day metro pass $ 11.00 ride publictransit include cable car back hill . hotel personnel extremely pleasant helpful . maid evenmade point thank we daily tip . hat theownership , management personnel operate hotel . wish like . 
 Apr 16 2008 	 wonderful find ! 	 real find . staff great . friendly always greet name . room spacious , clean , well equip bathroom . well insulated . room close elevator never hear sound hall . hotel offer continental type breakfast , prefer eat one many near - by restaurant half price ! fact , restaurant would complaint . offer hot breakfast room service 's quite pricey . would also like see simple salad sandwich room service menu . , great stay would reccommend other heartbeat ! 
 Apr 12 2008 	 Great Location clean 	 stay Orchard first two night road trip around California . 28 England . I park Stockton sutter garage stone throw away hotel cost $ 45 two day . believe valet car parking Orchard $ 34 per day . Stockton garage not in / out priviledge not really need car see San Francisco . the location excellent one block away Union Sq . 50yds entrance hotel cable car stop along Roxannes reasonably cheap tasty breakfast . room clean coffee tea facility seem rarity trip ( four diamond Venetian Vegas not kettle ! ) bathroom spacious good powerful shower deep bath . I would certainly recommend hotel anybody visit San Francisco want good central location . 
 Apr 9 2008 	 Location staff room - grerat 	 little bad say experience Orchard . book junior suite perfect two adult two child . bathroom huge although toilet separate bathroom . master bed vast comfortable crisp white linen change daily . room wonderfully clean , although new small sign wear . ( e.g . marked wallpaper behind chair ) . noise neighbouring room . its location outstanding yard cable car Union square shopping districtthe check staff concierge good help restaurant booking recommendation . however get sense favour we , rather full - service front desk . ( guess difference $ 200 $ 400 per night hotel ) continental breakfast expensive , convenient . guest seem eat elsewhere . overall , great experience comparable $ 400 per night hotel … 
 Apr 3 2008 	 orchard great place stay ! 	 husband stay Orchard 22nd 27th March . great time ! hotel staff friendly check we quickly . room ( double ) clean big bathroom free internet . thing want see within walk distance need transportation catch bus within one block , cable car four five ( easy downhill walk ) , taxis always pass front hotel . recommendation eat : Sears Fine Food breakfast , around corner Stockton street . 's always line outside door move quickly . try 18 little pancake light crispy waffle . Trattoria Contadina excellent italian food . ' ve never taste delicious homemade fettucini ! bruschetta appetizer amazing ! indian food try New Dheli Post St . think close 2 5 get early lunch . if go opentable.com make restaurant reservation line would highly recommend place busy . I could go food sight ! truly leave piece heart ! hope find review helpful lucky San Francisco traveler ! 
 Apr 1 2008 	 pleased would recommend friend 	 v convenient location Chinatown , easy settle bubbletea craving . one good thing place complimentary dvd , come handy mum crash 9 pm everyday ! also v handy Powell - Mason Powell - Hyde cable car stop right hotel . handy main department shopping ( Macys , SAK , Nordstrom etc ) . get to / from Airport BArt andwalke Powell ( yes , veyr steep hill ) hotel . definitely invest muni passport ( cable car bus subway include ) . BART extra . cable Car tip : Walk hill Union square get Cable Car , be full ( go North ) time get Hotel 's stop Powell & amp ; Bush Sts . room decor nice , power shower though . nice toiletry . view nothing speak , not really bother we , spend hour hotel . guess room location ( 8th floor , non - street facing ) mean also thankfully quiet . staff absolutely awesome . problem use hotel 's guest laptop reception , hold ontothe luggage whilst touriste aorund last day . 
 Mar 31 2008 	 love orchard 	 wonderful city , wonderful hotel . staff excellent . room clean , bed comfortable . location perfect wander city . can not wait return . 
 Mar 29 2008 	 great location great price 	 good place stay city : clean room , really comfortable bed big bathroom ( bath , double size shower ) , quiet ( non view room ) , room safe fit laptop , free fast internet , friendly staff good supply fresh fruit reception . not eat hotel restaurant , could not choose well location city get around major transport link , site , restaurant . also look sister hotel ( Orchard Garden ) close also look good , slightly modern flavor place . 
 Mar 28 2008 	 good location / room 	 spend four night March . Taxi airport little uncertain hotel 's location surprising consider central . perhaps exposure big name area . good thing hotel location bedroom . first impression hotel little unsure entrance reception area simple . however , bedroom spacious comfortable bathroom . free wifi also pleasant surprise . breakfast include rate simple enough adequate . Location Union Square central . problem steep hill around area ! street cable car stop corner taxi trip city $ 10 per trip bargain . street cable car expensive $ 5 per journey per person people taxis much well option . would recommend hotel location bedroom lack public area neighbouring hotel . 
 Mar 28 2008 	 great hotel 	 lovely hotel excellent location . 50 yard cable car stop 2 block Union Square . room quiet , spacious enough nice bathroom . buffet breakfast adequate . catholic church 5 minute walk hotel street . starlight lounge around corner . hotel staff courteous helpful . laptop reception desk check email . offer car transfer airport 45 dollar . normal taxi approximately 36 dollar . nothing negative say hotel really enjoy stay . 
 Mar 26 2008 	 Excellent experience ! 	 base trip advisor review ( orchard top 20 place stay ) access hotel website decide stay Orchard Hotel March Break ( Canadian Spring Break ) . book accommodation impressed professionalism friendliness person speak promise request would meet include adjoining room ( family 4 ) , room high floor , mattress topper , extra pillow towel . check pleasure ; front desk staff extremely friendly , professional fast ! amazed request file assure room ready everything need . true word request carry . never happen ever ! ! ! ! ! ! ! ! concierge provide several excellent restaurant recommendation , help we direction give great advice . service invaluable we . room spotlessly clean , towel thick large , shower great , noise hallway next door , bed super comfortable mattress topper ( make sure request ) . experience everything could ask . midweek price room extremely reasonable consider downtown San Francisco hotel twice price . get bargain price top quality room service ! 
 Mar 26 2008 	 excellent hotel ! ! ! love ! ! ! ! ! 	 stay Orchard hotel March 02 March 06 , 2008 . hotel good ! ! come hotel recommendation read . thank people ! hotel room clean , location superb , staff nice ! ! ! ! ! free selection dvd movie reception choose movie want see room . yes , dvd player room . laptop also free surfing room . they really give attention little detail make feel comfortable . I stay many hotel hotel special . we enjoy San Francisco lot map give room good . near hotel : supermarket , Union Square , Laundromat , transportation need . I recommend hotel everyone come San Francisco come back , stay ! great ! 
 Mar 25 2008 	 gentle stay 	 first impression slightly dissapointing , glitsy website portray staff busy . however , first day staff attentive see past ordinary facade little gem hotel . situate beautifully sightsee cable car walk store . breakfast little monotinous good food . watchout confuse book proceedure guest fall . think pay stay reserve room . 1 poor guest borrow money pay bill . 
 Mar 25 2008 	 Loved Orchard 	 great time hotel . can not believe quiet . could not hear sound room . slight negative use wifi internet . connection little slow connect time . hotel direction say configure computer automatically obtain IP address . Mac not know mean . maybe problem . besides , wonderful stay . everyone friendly . 
 Mar 24 2008 	 terrific hotel staff location 	 terrific , great room , wonderful staff location absolutely perfect . be $ 5.00 trip away great tourist location block away amazing shopping . 
 Mar 24 2008 	 lovely comfortable boutique hotel 	 fair amount business travel , really love hotel . none desolate , lonely feeling get lot chain . room clean comfortable , bed digital thermostat big , squishy comforter pillow . dvd player room front desk dvd borrow free . miss : crazily soft bathrobe closet . man , love lounge around thing . business traveler , feel desk area could electrical outlet ; thing charge room . hope not forget . also , minor trouble free wi - fi , though company - issue laptop may fault , always get connect end . oh , mini - bar crowd hideously expensive ( $ 2.50 soda ! ) stuff could barely fit leftover dinner . still , hotel will stay SF someone else 's dime . 
 Mar 23 2008 	 nice staff Convenient Location 	 thoroughly enjoy stay -- tempt sister hotel : Orchard Garden ( two block Bush Street ) . staff extremely friendly ; room large . find location convenient : walk hill Union Square area ; walk hill Chinatown / Financial District ; walk hill amazing view . Union Square night seem safe area , especially one get close ' Tenderloin ' District ; hotel safe street extremely pleased stay ! 
 Mar 21 2008 	 Boutique value heart SF 	 stay 1 night business trip , find user 's review Trip Advisor . right ..... think great bargain boutique hotel right heart San Francisco . large bathroom nice tile work , large stall shower . style , location , price add good experience . two complaint though : bed , although uncomfortable , little lumpy . 's box spring , mattress . and free WiFi never actually work . could not connect . colleague not trouble , maybe . little annoying . and restaurant lobby nice well . overall good experience , would recommend business travel . 
 Mar 19 2008 	 Pleasant Orchard 	 girl friend stay 5 night March Orchard Hotel towards end lovely 2 month holiday pleasant comfortable stay Orchard Hotel . arrive 8.00pm quickly check room spacious light . 3rd Floor room corner building experience small degree noise traffic early morning rubbish collector nothing keep we awake . we room 2 bed request spacious bathroom walk show bath . impression could room adapt disabled several grab rail obtrusive . breakfast serve restaurant small lobby buffet available simple choice fruit , juice , bread , scone ( delicious ) cheese , ham boil egg croissant . cooked meal available would nice option presumably , tariff would reflected addition available . position Hotel could not really well we , extremely close Tram stop walkable Union Square couple block away . Reception Door staff always friendly informative ensure pleasant day lovely city SF . 
 Mar 17 2008 	 everything Perfect ! 	 get really good fan Trip Advisor . look hotel right combination good location price . stay Orchard exceed expectation . able give we really early check . wait we new room preference . everybody bell boy , front desk maids eagar help always nice smile . give we great suggestion dinner ! doubt go back next time visit SFO 
 Mar 16 2008 	 gem -want go back 	 stay 2 night break return journey uk nz . arrive 11.00 able check straight away . staff could helpful . yes business hotel bu feel right home . the bar manager friendly come table eat prior theatre make sure ok . advice restaurant give ; proximity cable car , shop touristy thing fantastic . 
 Mar 13 2008 	 Nice Hotel Great Location 	 nice hotel perfect location . right intersection Union Square , Nob Hill Chinatown . great shop food around . Perfect walk anywhere city . nice size room comfy bed . room front hotel could hear cable car go ... love bother request room back building . 
