quite 	 stay 4 night Thanksgiving holiday slightly apprehensive base review . however , find Landmark almost perfect every regard . hotel beautiful , spotlessly clean , terrific public area lounge . unable check immediately flight arrive quite early , leave bag go explore London . upon return , room ready bag already deliver , kind reception staff member show we personally room . book low price , queen room , large ( swear bed large queen ) two armchair , desk , two large window overlook Marylebone Road , lovely bathroom nice amenity . issue road noise ( could barely hear odd ambulance go ) . service impeccable -- repeatedly order ice deliver within 5 minute every time . as location , bit beat track ; however , nice neighborhood number excellent restaurant within walking distance ( try Veyna excellent North Indian / Pakistani also marvelous experience ultra - sophisticated Orerry Marylebone High Street - also great shopping ) . convenience Tube station key , station also contain number food drink option coffee kiosk not want pay Landmark price . concierge service outstanding well . I book hotel via Expedia get good rate . give location , level service , beautiful public area excellent room , would highly recommend Landmark anyone travel London . 
 FANTASTIC ! ! ! EXCELENT HOTEL 	 come hotel back entrance , ( accross station ) staff carry bag reception , greate lovely receptionist . upgrade delux room executive room . our bag carry room we . place rack . staff EXCELENT thus hotel ! room fantastic ! big bath room fantastic ! breakfast hotel even super , staff bring amazing ! hotel fantasic , beautiful . and right accross station . I definatly return . Super hotel , super staff ! 
 Aug 27 2008 	 awful service treat like trespasser 	 book deluxe suite hotel special occasion - visit hotel many time great Sunday Buffet unlimited champagne . disappoint booking - despite arrive quite late room ready could allocate another room . wait bar area accost security guard ask guest hotel tell take photo footballer - say even know talk security guard aggressive tell we celebrity disturb almost try chuck we . check give dirty non smoking room stank despite request non smoking suite . eventually move nice room . request iron board never materialise . breakfast another disappointment - poor choice slow service . staff joke restaurant manager tell staff within earshot . would return deserve 5 * rate London hotel . 
 Aug 17 2008 	 never ! ! ! 	 return Landmark Hotel London , say experince terrible . stay one night want relaxing weekend make use spa . book ' last Minute.com ' state check time 2 pm , turn 2.30pm tell arrival room ready could tell we room would ready we . say want use spa say could leave belonging lobby ..... do not think valuable , end take luggage spa we . with we checking room , mean could get prepared treatment , get robe slipper use spa . change area clean tidy plenty towel take , individual change room . everything else amazing nice enviroment relax - many people limit amount people use facility make extra special . after finish relaxed couple hour look forward get room ..... receive room allocation , content finally ready . allocation room , mean Delux Suite , terrible .. standard bed hard rock , air conditioning hardly work - shower would make swimming pool bathroom . I really happy experince way home . would visit hotel . 
 Aug 13 2008 	 5 * Landmark Hotel 	 stay Landmark Hotel first rate , truly 5 * hotel , right next Madam Tussauds 20 minute walk Oxford st . executive room huge comfortable super king bed beautiful marble bathroom . room 1st floor rear hotel overlook Marylebone train station quiet . Food La Carte good . central atrium within hotel call Winter Garden great restaurant fantastic space show inside 8 story hotel glase roof . would return hotel time . 
 Jul 25 2008 	 great hotel 	 conference - avoid sequence late night / early morning journie Chiltern Line ! grand hotel - everything one would expect 5 - star hotel major city . many room large well - appoint . set busy major road , even front hotel , sound - proof excellent . atrium airy lively day . food first - rate - though long high - class fine dining room . perhaps minor criticism would make downstair bar pleasant rest hotel - even though hotel slightly away main tourist business district , shortage alternative watering hole ! 
 Jul 22 2008 	 love ` ` wow '' 	 come back weekend away stay 5 * hotel , say & quot ; wow & quot ; . book internet price include breakfast review state . normal work man surprise wife 's 50 th , mean special . taxi pull outside hotel fantastic inside even breathtake . the room great big small , downside pay everything well top . & quot ; know 5 * expect pay top dollar everything not special time would need bank loan ! ! ok company quid bank budget hotel . drink £ 5 + bottle lager ie peroni , vodka coke £ 13 . breakfast £ 25 want eat room extra 3.50 room service . that s gripe way hotel . would definately stop hotel fab , staff really friendly , look top hotel look futher . 
 Jul 21 2008 	 good 	 good previous review pretty spot on . room big expect read review ( standard double ) large compare london hotel room stay . view atrim . good location next marylebone station . Valet parking hotel nice touch ( £ 40 per 24 hour ) Leisure centre include pool ( do not visit ) £ 10 hotel guest visit ( £ 30 non resident ) think unfair especially tell book BA.com ( although tell hotel web site ) Service & amp ; staff good & amp ; helpful . continental breakfast include nice . hotel grand throughout . I would recommend & amp ; would stay . 
 Jul 14 2008 	 Excellent hotel - well recommend 	 second time wife stay hotel - time deluxe room breakfast include . check - in process quick , staff main desk friendly - even let room early availalbe ( we ) . deluxe room fantastic - large , large be , comfortable chair , large bathroom bath separate large shower . although tea coffee making supply standard , ' hire ' £ 10 day - cheap compare room service cost beverage . the food breakfast always enjoyable serve winter garden ' m sure worth pay £ 28 - mention , always part package we . we always eat evening price appear little high - tube right outside hotel access lot good restaurant quickly use it . the check - in quick , staff always friendly , helpful courteous - even let room early available ( we ) 
 Jun 19 2008 	 Spectacular ! 	 place great . build terrfiic start , conversion courtyard winter garden / atrium take next level . decor good , understate general ( see comment ) much keep architecure building . ' ve stay three time five year period every time be look like new . 's quite feat witha place large busy . positive aspect room huge . believe ' ve always stay standard room , even sixth floor roof bagsof space nice layout . make luxurious . ' m always bit disappoint call five star hotel end beautifully - decorate cupboard . cramp really take edge , issue . one gripe carpet . floor level colour scheme harmonious , low key really compliment architectural feature . look hit blast bright yellow , highlight blue geometric higlight . that say big issue colour carpet , can not really complain . booking prepay not know much room cost . tarif card say standard £ 430 . 's lot money , nowadays level space quality Central London , almost seem like deal .... 
 Jun 9 2008 	 elegant hotel lovely stay 	 choose hotel fair bit search trip advisor pleased choice . particularly want hotel room London space not feel cramp . staff perfect room . stay executive suite , pleasant , nice interior , huge marble bathroom love ! not eat see price expensive . 
 Apr 24 2008 	 worth splashing suite ! 	 stay lovely Juinor Suite inside face room . get see everything go hotel lobby / lounge area window . really lovely atmosphere around whole hotel nice staff . room exactly like have see hotel 's website relieve - hate see beautiful room hotel website find one ' m stay boring , miserable affair . loved fact suite actually feel like proper suite - huge sumptuous bed ( comfy ) nice lounge area , two televison , large bathroom doorbell suite ! hotel actually recommend taxi driver moan stay Hilton Park Lane week early ! glad stay one nice hotel experience ' ve - highly recommend junior suite romantic weekend away get chance ! 
 Apr 13 2008 	 Nice Weekend Landmark 	 boyfriend stay Landmark Saint Patricks Weekend . room lovely one big Central London hotel room . Dinner Winter Garden delicious expensive . room service last night tasty great selection also pricy . I use pool jacuzzi bonus great hard day shopping . we defintely stay Landmark 
 Apr 11 2008 	 Excellent 	 hotel service . request fulfill . room clean comfortable . hotel well situate major attraction city . wonderful pool excercise room . the major problem extra charge . excersie room , internet room amentie , rool - away bed , significantly extra . telephone charge high . I would stay , careful extra . 
 Apr 5 2008 	 exceptionally enjoyable ! 	 stay 2 night Landmark simply not stay ! good room look Winter Gardens , yes , hear piano tinkle ! room ' inside ' spare London traffic noise inability open window tad irritate - rely air con rather ' fresh ' air . somewhat irritated fact room well equip - toiletry ( hair conditioner ) , iron / board , tea / coffee / ice , decent hairdryer ( one awful old fashion ' hose ' type bathroom heat / speed control get hot handle ) . say room service impeccable - need / order attend minute . sometimes though want quick pot tea quick press trouser without ask pay ! bit petty really top class hotel usually provide essential room . location plus - straight rear entrance Marylebone station / underground . local shop ' emergency ' 5 minute stroll onto Baker St . Felt little irritated ( ) £ 5 charge refresh teapot afternoon tea £ 30 ! advice ' yes ' stay lovely prepared pay lot little extra , take hairdryer ( importantly ) shop around good deal include breakfast - price difference quote weekend see believe ! enjoy ! 
