Great 	 Hilton away great business hotel , Thanksgiving weekend , perfect hotel location go mutliple play . NYC many time , convenience time fabulous . hotel perfectly locate middle everything well well run , good service . lovely high level room . one small , encounter rude breakfast waiter big hurry get shift 11 , odd exception . 
 Sep 7 2004 	 great new hotel great location pricier though 	 stayed first open June 2003 . first let say travel world find dollar dollar hotel New York bad value term much cleanliness newness dollar buy . fact will go beyond say average hotel room price pay average big city buy amount dump opinion nyc.have stay one dump trade show Javitz June 2003 last night stay search hotel NYC CLEAN BRAND NEW.This Hilton simply awesome . view great , location great , room beautiful service good . rate 4 star lobby full people wait room not ready . probably hotel open recently . anyways , thought have find ultimate bargain pay 149 night ! ! well , everyone else world must discover place 's hard get book many consecutive night good luck find rate less 250 , even less 450 peak travel time . but get room be guarantee 's real deal brand new hotel , one NYC place lobby look nice spend million guest room filthy . 
 Sep 5 2004 	 outstanding 	 son stay 6 night early August . echo review . security great . feel small hotel amenity much large one . location superb , go theatre every night , could walk everywhere . 
 Aug 18 2004 	 Unbelievable view 	 view 43rd floor : Empire State building , Statue Liberty , Manhatten south Times Square , Hudson River .... spectacular . location unbeatable . price good . staff friendly . room service reasonable . definitely stay . 
 Aug 16 2004 	 Great Family Hotel 	 return Hilton Times Square August 13 - 15th completely enjoy stay . accompany husband 12 year old 7 year old . location perfect ; close everything . book room first several month ago book ticket Lion King several week ago pleasantly surprised find located door ! room comfortable great big window child look city night . family restaurant close - although husband would opt & quot ; upscale & quot ; cuisine -- need keep kid palate 's pocketbook mind ! highly recommend hotel stay ! 
 Aug 9 2004 	 great hotel great concierge 	 stay hotel July 2004 . please size room great view . special mention must make Len concierge give we great advice everything especially eat really make stay perfect . 
 Aug 8 2004 	 make excellent choice 	 stay Hilton Times Square 7 nights- July 25 thru August 1st . excellent choice far location service . staff exceptionally helpful , friendly accomodating . always greet good morning evening , whichever case . security great . lobby 21st floor show room key get elevator would take we room . take 2 elevator get room , never , ever wait long 20 second one . time ( 98 % time ) one wait we . fast also whisk 21 floor matter second . second elevator seem always available room less minute . also 24 hour room service use expensive . location great sightseeing . subway station half block away train go every direction . use subway lot also walk lot . past midnight almost every night never feel like safe area . many people time incredible . anything want quick subway ride away within walking distance . walk many many place short time period . sure stay plan return year two . 
 Jul 28 2004 	 expectation 	 friend go NYC Tap Festival , stay Hilton Times Square June 30 July 11 . come NYC , do many research hotel Manhattan , finally choose Hilton Times Square due good comment . upon arrival , inspect thoroughly throughout room ( locate 34th floor ) totally satisfied . room unexpectedly spacious quiet ; queen size twin bed comfortable ; bathroom clean . hotel staff helpful , location hotel wonderful . Broadway musical show theatre within walking distance ; subway station around corner ; internet cafe right beside hotel . frequent traveller , many hotel around world one , would rate 4.5 star definitely come back next time . 
 Jul 27 2004 	 Great Hotel 	 stay toel July 22nd July 26th , 2004 . first time New York ; room spacious clean ; great view ; staff courteous helpful . torrential rain storm hotel provide umbrella we continue sightseeing . feel secure hotel one allow take elevator floor without show guest hotel . stay hotel recommend people . 
 Jul 25 2004 	 go Marquis instead 	 visit NYC July 8 - 11 , 2004 . get hotel tell staff double bed available expect & quot ; large & quot ; group reserve room . reservation ? ! ? ! $ 239 pay customer , ! say request free refrigerator room , charge much open open room ! get rental refrig . , albeit dent like drop elevator shaft ! much well service , want first time price well locale , go Marriot Marquis ! 's LOVED ! 
 Jul 20 2004 	 fault 	 get back New York . stay excellent hotel . right centre thing oasis calm hustle bustle Times Square . quiet due lobby start 21st floor . room large ny standard . security brilliant . key check entry , make we feel safe . not stay anywhere else . 
 Jul 12 2004 	 good hotel TIMES SQUARE 	 fantastic place stay NYC . get pretty low price priceline wait last minute , far TIMES SQUARE hotel , good 10 ' ve stay at . great location , great security , great FRIENDLY service everyone ! justly lovely . 
 Jun 29 2004 	 great place stay 	 teen - age son stay great . exceptionally clean , good service , price call & quot ; New York City reasonable & quot ; . still can not get quiet . great relief noise bustle city . 
 Jun 22 2004 	 School Group 	 bring group middle school student stay June 3 - 6 , 2004 . stay fantastic . really appreciate hotel staff locate ground hotel lobby check sure register guest enter hotel . front desk staff , housekeeper , concierge , security , porter nice kid . price hotel moderate high side location ( 1/2 block Times Square subway station ) , experience , high quality make worth . 
 Jun 20 2004 	 great hotel heart NYC 	 stay hotel 6 night 13th 19th June 2004 read tripadvisor.com . list hotel liked check review - Times Square Hilton jusifiably receive good report honest difficulty find fault . really want picky could say housekeep patchy - like one bed turn two hardly issue . de - luxe room large ( quiet ) , bed exceptionally comfortable staff friendly helpful . room 42nd floor view downtown outstanding . look great hotel heart NYC close buzz . 
 Jun 4 2004 	 Love Hotel ! ! 	 stay hotel twice last year . stay hotel last summer black hit . staff incredible ! ! elevator work hotel generator emergency . beat location right heart Times Square . room large comfortable . highly recommend hotel ! ! 
 Jun 1 2004 	 great ! 	 hotel great ! spaceous , clean , service execellent . get priceline $ 100 night , well worth cost . 
 Jun 1 2004 	 romantic Getaway 	 boyfriend surprised weekend city . include night Times Square Hilton . staff amazing , second pulled curb check everyone super friendly . view time square setup bar area awesome . stop drink . 
