Great 	 family & amp ; stay past week . room good size 2 double bed ; 2 side chair ; desk ; walk closet ; kitchenette bathroom ! room clean front desk staff helpful / friendly ! location superb ( 2 block Central Park ) several local eatery within 1 block ! negative street noise throughout night ( window close must thin ) . price though - great find NYC ! ! 
 great family Holiday 	 Excellent hotel . close popular attraction . 
 Room Size vs. Price Location well 	 go NYC always prefer stay Salisbury Hotel people earth hospitable . room quite large NYC price reasonable especially consider location . also love breakfast . always stay December see rockette Christmas decoration . leave tomorrow NYC . 
 Sep 18 2009 	 dump ! ! 	 room place fall apart room door look like crowbared open stage lifetime . look like really bad motel inside basically place need major paint - job ! security guy , pretty new , fantastic , helpful friendly ! 's one two positive place , location pay , extortionary price room place - stay tripadvisor review ( misleading ) . do not stay unless u like ripped look good location ! 
 Sep 17 2009 	 Fabulous hotel ! 	 hotel great location , subway entrance block couple block Central Park . huge room , easily fit 4 adult 2 child suite room spare . outdated decor , clean satisfactory ( ' m picky ! ) staff extremely helpful , even get we cheap ride airport way home without we ask ! directly across street Starbucks , many gourmet and/or cheap restaurant block , also 24 - hour grocery store one block , could well case 's something need last minute ? overall , impressed happy hotel . would definitely stay ! * * $ 4 continental breakfast every day ( not try ) $ 4 first 15 minute internet usage lobby 
 Sep 16 2009 	 's location 	 strike real lucky salisbury great price 7 night 1 - bed suite hotels.com . glad pick . first , location . middle 57 St 's 100 yard either direction nearest subway ( 57/7th 57/6th ) , plug straight popular destination Manhattan . Carnegie Hall end block Tiffany 's 2 block . fabulous location sightseeing close ' action ' far enough away able escape hustle bustle sleep night . find take 15 minute walk hotel either Times Square Rockefeller Center . the room spacious large screen tv , fridge , microwave , alarm clock importantly iron . also plenty space walk - in closet . everything clean tidy say decor see well day could really bit freshen . bed huge firm ( may everyone 's taste ) word warning ; currently construction work go street , guy start 8 am , light sleeper may find noise bit distracting . noise front , find air - con unit quite noisy turn night . there restaurant site ( serve cold buffet breakfast $ 4 ) , directory local restaurant ( menus ) area deliver . feel like venture plenty place include 24hr Brooklyn Diner near Carnegie hall . the real downside wi - fi free , hotel Manhattan seem offer free shame ( go Starbuck 's 6th use laptop ) great stay think twice stay . 
 Sep 14 2009 	 everything want - except exciting design 	 much well expect ! one economical option midtown time booking , since room say big ( ) , expect catch . look picture tripadvisor , think catch would room fact old , outdated , smelly , noisy . well , be ! newly refurnish , oldfashione bland design . so , good location , big , well equip room . on first day go $ 4 breakfast 7 am . okay . next day go later ( 8ish ) way busy . worth wait ( good ) go countless breakfast alternative area . would go back although usually tend go bit exciting design . 
 Sep 14 2009 	 Loved - Great Location explore NYC 	 Title say , great hotel fantastic location 2 min walk Central Park & amp ; 5th Avenue . Bed & amp ; Breakfast well worth , plenty choose every morning . room huge ! especially New York usally tiny . stay 5 star New York actually preffere salisbury hotel . recepetion staff polite , friendly helpful , definately return salisbury . question message & amp ; respond asap . hope help ! 
 Sep 9 2009 	 LocationLocationLocation 	 Salisbury great location , hotel within walk distance time square central park . hotel room large bit date clean . five adult stay one room plenty room . hotel $ 60.00 cab ride LGA tip toll include . book limo front hotel go back LGA $ 100.00 toll include tip optional . go back New York stay Salisbury . 
 Sep 9 2009 	 close everything . 	 nice , clean & amp ; close everything . staff could friendly . room huge . lift slow & amp ; creaky . would stay . try Green Cafe door 's breakfast . 
 Sep 8 2009 	 ok ! 	 + locationbreakfast 4 dollar ( big selection ) big room lot space - the crew : crew friendlythe room feel litte old . the rool hot drywe stay 17 floor noise street high . the hotel ok find reasanable price , otherwise find well . 
 Sep 1 2009 	 salisbury hotel make stay 	 hotel room clean . towel change , bed make etc daily . lacation spot , minute central park subway station . walk distance times square , empire state , chrysler building , rockefeller theatre name . also close major sop like abercrombie fitch , tiffany , bloomingdale , barne fao schwartz.room brillant , king size bed sofa bed . bathroom shower spotless . microwave , fridge , kettle , iron / iron board , room safe hair dryer provie free charge . also flat screen tv bedroom lounge.service great , staff friendly helpful.hotel definately value money . breakfast thi dining room every morning , 4dollar u want continental , tasty . also use taxi booking journry back airport , 60dollars include tip toll . 
 Sep 1 2009 	 Excellent hotel good location ! 	 New York far cheap place stay , Salisbury offer reasonably price suite room bang middle Manhattan . £ 175 per night , suite good size - one large double bedroom similarly large lounge area - sofa converting pull double bed provide ample sleeping space kid . bathroom come bedroom small kitchen area ( pretty basic - microwave , fridge coffee maker pot pan ) could grab quick coffee bite eat without hit street . staff friendly professional round . hotel clean largely good order - bathroom bit date lounge bed room come flat screen tv . scuff paintwork nothing major . get hearty continental breakfast morning $ 4 great value - egg , bread pastry , cereal , coffee juice - staff not overly military leave dining area extra muffin . location great - far subway 20 minute walk Times Square . , great find . 
 Sep 1 2009 	 great location friendly staff fantastic value 	 Booked hotel line 4 day part travel holiday around state , good stay . fantastic location , Central Park , easy walk distance Times square close Subway station . staff really helpful friend nothing much trouble . room amazing , upgrade one bedded suite two bedded suite take whole cormer hotel , two bathroom , sleep 8 people need huge lounge / kitchen / dining area . time breakfast $ 4 bargain fresh quick . teenager took think great . recommend friend go New York definately bei go . 
 Aug 30 2009 	 Great Value 	 book well advance Expedia get fantastic rate one - bedroom . clean , lot space , nice website ( although & quot ; fancy & quot ; ) . location unbeatable ... yes , construction noise 's midtown Manhattan expect ? $ 4 charge breakfast consider alternative , be actually decent price . bad say place elevator unbelievably slow ( 16th floor ) internet cheap . Book ahead enjoy . 
 Aug 22 2009 	 Great Location Value 	 stay 4 night excellent base explore big apple . couple block central park nice easy walk time square . room large clean . staff friendly . $ 4 breakfast fantastic value ! problem time sometimes wait elevator hotel busy . would certainly go back . 
 Aug 20 2009 	 marvelous value 	 huge , comfortable room ( # 601 ) king bed , sofa , two easy chair , write desk , big flat - screen tv wall . bit shabby spot , clean welcoming . staff extraordinarily friendly accommodating . fantastic location . continental breakfast pleasant breakfast room 11 a.m. $ 4 person real plus . altogether , unexpected value . 
 Aug 13 2009 	 Perfect stay 	 last March stay week hotel New York definitely say back case return amazing city . perfect , perfect location ( 5 min . walk Times Square ) . BIg , clean comfortable room satisfy staff . 
 Aug 12 2009 	 great hotel great location 	 girlfriend stay Sept 08 love place . room great huge bed , nice bathroom . location good , able walk sight highlight great city . breakfast basic worth fill good way save food cost . already recommend hotel friend family . overall really good value hotel would undoubtedly stay . 
 Aug 11 2009 	 perfect location 	 room big clean comfy bed . nice breakfast 4 dollar . perfect location nice staff . definately stay . 
 Aug 10 2009 	 hotel great location near place interest 	 would recommend hotel situate quite near Theatre District , Times Square Central Park ( opposite Carnigie Hall ) . hotel lobby nicely present staff reception helpful . decoration room corridor slightly date everywhere clean . lucky enough complimentary continental breakfast stay food offer plentiful well organise . think breakfast room could large quite small size hotel day long queue people wait seat . real minus thnk lift REALLY slow arrive could wait age one annoying have spend day walk around city . room fridge microwave not expect bonus . overall would recommend 
