nice 	 husband sepnd three day NYC friend 's wedding ; Millenium Hilton chose hotel wedding party guest . first . plus : hotel elegant well appoint ; stay junior suite 21st floor , view Manhattan WTC construction site , well Hudson river - can not beat ! compare average NYC room , Millenium Hilton spacious room ; even bathroom large . bed comfortable . for minus : construction WTC site go overnight interruption - first night sleep ! addition unbeliavable construction noise , fact hotel facade completely open expose wind - strong gust wind - feel like window break . , despite comfy bed , sleep . thsi really ruin experience .... another ( small ) issue restaurant close 2 5 pm , time frame even room service - arrive 1:45 refuse service . minor point go local eatery , hurry get somewhare time spare . also , concierge recommend nearby italain restaurant fact close ( least know concierge ! ) would recomme hotel people bother loud , constant noise throughout night ; would suggest wait major contruction WTC ( couple year ? ) 
 Excellent Stay 	 happy stay Millenium Hilton , especially since get $ 130 per night Priceline Thanksgiving weekend . since holiday weekend , noise really issue we although jackhammere hour Friday afternoon . go day , see people would upset . hotel try make thing right - even check room , offer we sound machine earplug . think current price probably reflect noise inconvenience . the location fine easy take subway anywhere . Cortlandt Station right front hotel . also walk across Brooklyn Bridge , nearby . lot go area not really matter NYC since easy get part town . the tv remote annoying . first thought need new battery , turn hold certain angle change channel . would nice would something . small nitpick , love stay would happy stay . 
 Jun 6 2009 	 fantastic experience 	 first trip New York 3 we . fantastic time 4 day there . the Millenium Hilton lovely bright airy , clean friendly hotel excellent base start sight seeing trip BIG APPLE . staff helpfull extremely friendly funny . the room share spacious clean everything need ( include hairdryer , essential 3 girl ! ) . corner room 42nd floor give we detailed view ground zero across bottom part Manhatten Island . within walk distance Brooklyn Bridge , Battery Park , Little Italy , China Town Century 21 next door . lovely little deli round corner great breakfast start day . subway station close get center ie , Times square / Central Park could walk spare hour half ....... blister ! get great deal price round excellent hotel . would definatley recomend hotel friend . 
 Jun 4 2009 	 Hilton never disappoint 	 room clean , flat screen tv , extremely comfortable mattress pillow . extremely clean . great location financial district . hotel across historic 9/11 site . walk distance battery park , Brooklyn Bridge , ferry Statue Liberty . subway right across street . one subway stop away China town hotel great tourist . 
 may 27 2009 	 great hotel 	 book standard room two queen bed make mistake give we room one king bed , upgrade junior suite ! location great , right ground zero . be probably good business trip . downside charge everything -- park $ 55 day use pc browse web 10 minute business center charge $ 5 ! guess normal New York city ? 
 May 26 2009 	 view ! 	 Excellent hotel . want 5 star without NYC 5 star price highly recommend hotel . 's downtown opp WTC not let put . subway station right outside hotel entrance will get Times Square midtown around 10 min tube . be also perfect walk distance trendy restaurant / bar area SoHo Tribecca meatpacking district . Book online Hilton website . good rate option upgrade ( small fee - much less price upgrade room book ) upgrade room available time check . happily find upgrade king room junior suite 36th floor . open door strike amazing view , find corner room view Hudson Midtown . pretty amazing go sleep look Empire State Building . usual 5 star luxury , nice toiletry , bathrobe , mini bar . hotel also pool fitness centre . staff excellent . restaurant room service pricey food service could not faltered . definately go back . 
 May 19 2009 	 modern spacious hotel great view 	 partner stay 5 night stay 2 night Waldorf Astoria sure something follow ! hotel modern inside staff helpful . stay 52nd floor great view river New Jersey . must mention fast lift / elevator ! never wait 30 second one could top bottom 23 second . room look right onto ground zero - pretty surreal . room modern massive bed massive tv . review website complain noise ground zero could not hear thing . ( probably due high floor room ) . great choice demand film tv . would liked see free wireless internet throughout hotel . USA really behind UK hotel offer service . gym pool facility great always really quiet . great way wind . use free online check facility reception help we great deal . subway stop ( 53rd Church St ) 30 pace hotel door catch e train take central ( time square , broadway , china town , little italy , penn street , madison square gdn , macy etc etc ) 10 minute . buy metro pass 27 $ week use load well worth money . little Armish Deli Market 1 block hotel . sell great food pizza , sandwich , massive salad bar thing need room like extra drink etc . well worth visit . get great deal hilton website hotel would not hesitate stay . 
 May 11 2009 	 great hotel bit noisy 	 stay 1 week , hotel great ( easy get airport subway ) , room great service . amazing view ground zero 's noisy . stay floor 48 hear noisy especially early morning , hotel restaurant expensive safisfying , print online borde pass reception save expensive business center 
 May 5 2009 	 excellent location . 	 stay Millenium Hilton April 24 - 27 good friend 's bachelorette party . great location train , shop many restaurant . great view fom th 55th floor hear sound construction . clean service excellent . negatives- total number guest 6 , book 2 room 2 & quot ; double & quot ; bed . see beds definitley double bed . single . complain front desk give we roll away bed make bit comfortable . advice upgrade suite 2 people per room . I would definitely stay hotel ! ! ! 
 May 1 2009 	 Awesome ! 	 stay 4/14 - 4/15 . great deal $ 129 / not City view upgrade Jr. Suite arrival additional $ 15 / day . arrive 10 room immediately available . nice surprise ! check quick . everyone friendly helpful . corner room decorate nicely , clean spacious . great view 50th floor . construction noise not bother we . elevator quick . subway line within short walking distance get around easy . eat Les Halles Pearl Street Diner breakfast lunch- within 5 - 10 minute walk . century 21 next door . plenty restaurant / fast food within walking distance . otherwise , midtown 20 minute subway ride . take taxi past 11 p.m . otherwise , feel safe area since subway line close . cleanliness , lobby public bathroom mess . never get night turn service - sure suppose ? ? ? big deal . Toilet stop . fix within 10 minute call front desk problem . room service within timely manner burger little overcooked still edible . would definitely stay ! 
 Apr 30 2009 	 Great price Great room Nice Location 	 look decent price hotel city lack comfort class . Millenium Hilton Financial District right . $ 170 plus taxis , corner room two double bed 39th floor . , bad NYC . bed little small room clean stylish . view great also . bathroom roomy clean , well . subway step hotel 's 20 min ride mid town . location nice quiet . although , constuction ground zero ( right across street ) , 38th floor , hear thing ... maybe low floor different . great deli across street call Stage Door Backstage ... something like . wonderful food ! would highly recommend hotel price great room . 
 Apr 25 2009 	 Nice surprise 	 stay one night long Easter weekend able book free room Capital One reward point , make fantastic stay . Junior Suite 44th floor ( corner room ) like much . location great downtown thing subway convenient . actually like quiet neighborhood night . travel NY often location fine we , might well first time visitor . price parking high , much pay midtown , seem odd I . the staff pleasant helpful , although not interaction beyond check - in check - out . overall would stay . 
 Apr 18 2009 	 Great Hotel great location 	 upgrade junior suite fabulous room overlook Hudson harbor window two side . also could see directly WTC site . room spacious , layout terrific allow one person sleep watch tv room . staff helpful . several subway line locate right hotel , easy get around easily walk Little Italy ( be leave ) Chinatown , tribeca around FInancial district . downside internet room free . 
 Apr 17 2009 	 excellent hotel 	 excellent hotel - service brilliant staff . we room 50th floor overlook ' ground zero' . my wife scare height good view ever have . night time eat restaurant non existent . oh sorry BurgerKing across road urgh . a tube station outside front door take ' uptown' . the ferry take Statue Liberty short walk away . ' Wall street ' around corner . if plan visit Central Park / E.S.Build prepare long walk . this hotel deserve 's 4 * status . if book disappoint 
 Apr 16 2009 	 simply stunning view high ... 	 stay Millenium Hilton 4 night early April . locate opposite ground zero sight . interesting sorrowful ... bit noisy seem constuction night day . check , emenitie , service , room great . .good location walk Chinatown , waterfront , Wall St. , Little Italy easy catch Metro bus . room real bargain .... sure book directly website worth much pay . 
 Apr 16 2009 	 comfortable elegant hotel 	 stay Easter , pay little reviewer still enjoy stay . reception staff be not friendly check , hotel book try put we low grade room pay . refuse delay situation eventually resolve Duty Manager . room 34th floor note previous reviewer constant buzzing noise . bed comfortable , little disappointed even junior suite shower & amp ; bath combine . view city nice look Ground Zero depress . even number tourist come day stare take photo quite macabre . food drink expensive New York Church & amp ; dey restaurant quite good compare well value restaurant area eg ; Palm Restaurant nearby tribeca nothing special yet expect pay ( taxis etc ) steak $ 45 $ 10- $ 15 side order . Biddy Earlys Irish pub neither authentic friendly . bear quite close Biddy early , wise woman Co Clare live excited experience irish hospitality . never see black / white pudding like burn offering receive , facility make tea coffee cold . friendly either patron . kitchen seem run appear south american staff , terribly authentic . the Hotel ideally situate subway connect sky train JFK . daily unlimited ticket subway cost $ 7.50 $ 25 5 day . shuttle JFK cost $ 19 take one half hour . rain seem last day sun shine icy wind , still winter New York . I would return hotel reminder mass grave Ground Zero go 
 Apr 14 2009 	 Lower Manhattan Millenium Hilton 	 stay April 5 10th , 2009 . upgrade corner suite 51st floor great view Brooklyn Bridge Statue Liberty . excellent room comfortable surrounding , friendly staff great Concierge ! 25 step door 4,5,6 train Upper Manhattan around corner giant discount shopping . excellent stay great hotel . highly recommend ! 
