affordable 	 stay Allegro Chicago 3 day thanksgiving break . book hotel priceline cheaply worried quality hotel . well , worry disappear soon walk hotel . large room family , spacious , clean , modern looking . hotel employee friendly housekeeping lady great job everyday ! ! impress control quality hotel low rate . recommend place travel family , significant other , etc . 
 great 	 minus hotel provide free morning coffee Kimpton hotel . great place stay theater rate say morning coffee . the robe room take long time ( hour ) great place . concierge excellent . 
 different side Chicago 	 want try little different hotel mega hotel Wacker Michigan Avenue area , via travelzoo , find excellent deal huge room Hotel Allegro . super location Theatre district , hotel boutique hotel upscale & quot ; neo & quot ; urban feel . funky decoration lobby , loud ( loud really ) new techno - type music , fast paced feel good service greet door . reason dinge service Restaurant 312 corner connect hotel bad service one day , otherwise bellman , desk people , housekeeper security great . trendy look lobby seat area , complimentary wine service early evening complimentary continental breakfast morning . hotel also lot old / historic charm recently undergo large scare upgrade . room well however . suite , great seat area 60 's style couch light fixture , inroom bar , flat panel HD tv ( not work great ) table sit one office work . bedroom large kind sized bed ( comfy ) , high end pillow , sheet mattress , huge armoire hd tv . bedroom view building , nothing special , great & quot ; blackout & quot ; blind . bath awesome giant , two person whirlpool tub . high end fixture , funky flooring decorate . different feel sure . great time friend would say fit top 5 Chicago hotel sure . thing would tell management -- -turn crazy euro - tech muszak ... exepecte see Hans Franz work lobby least skinny white guy dancing . 
 Mar 5 2009 	 small great 	 hotel beautiful , boutique - y ! ! ! room cheap room available , believe even call & quot ; small king room & quot ; . small alright , nicely decorate . staff wonderful , book online get complimentary continental breakfast . defiantly stay next time Chicago . 
 Feb 28 2009 	 great location Great Hotel Great Wine Great Fitness center tiny room 	 good hotel bargin Chicago overly unhappy small room . great hotel redo Kimpton . great hotel chain really provide sense escape fun hotel . location LaSalle next Cadillac theater . 4 star resturant enjoy relaxed atmosphere amazing italian meal . wine list one good city great restaurant . kimpton social hour 5 6 wine hotel . sit designer , kind London circa 1968 couch fire place nearby lose art form relaxation fellow guest . super animal friendly provide complete service dog wish bring . exercise room great spa well . two Kimptons money Allegro good value location . always consider kimpton never disappoint ever use . 
 Feb 17 2009 	 Nice hotel small room 	 not complain price downtown Chicago hotel holiday weekend . catch great rate $ 90 / night shop online nice stay Hotel Allegro . the location can not beat right heart Loop . fine dining option little away , pick quick / cheap breakfast lunch easy one two block walk many option . the wine happy hour 5 6 pm nice make sure hit night . lot place sit various part lobby . parking typically Chicago expensive valet $ 48 self park $ 45 / night . blame King Richard II ( current Mayor Daley ) sell city parking right . even 2 hour limit street parking meter $ 3 / hour . the tv nice , new 37 & quot ; hd capable set . ( fact , almost exact model LG home . ) however delivery system use get signal room pretty bad . poor quality standard defenition signal . hd option available : either regular channel pay - per - view . however on - screen menu hd.the Wifi free easy connect . fast download speed . ton plug option around desk area . the bathroom small well - light . sink area around pretty small . couple hard time find enough room even lie basic . shower good pressure high enough tall people . the mattress bed comfortable . fall sleep easy . the wall seem bit thin could clearly hear couple next room . however see hallway lobby seem ALWAYS TALK LOUDLY ! ! ! ! hopefully neighbor understand concept indoor voice . the room hotel public area clean well - keep . staff come contact nice . when visit Chicago , make sure check Hotel Allegro . however make every effort book one large room . 
 Jan 18 2009 	 mix business pleasure 	 fun , funky hotel . staff wonderful . location great business meeting fun event plan . hotel happy hour fun . complaint room really small luggage rack . 
 Jan 1 2009 	 Great Hotel Pet - Friendly ! 	 love hotel - reasonable downtown Chicago , old hotel great reno ( bit over - the - top design , still lovely charming ) , clean room , friendly staff . they be also amazingly pet - friendly - welcome 130 lb Mastiff cross gift bag ( treat direction off - leash area ) , even cute blackboard visit dog 's name . 
 Dec 5 2008 	 wonderful stay ! 	 love Hotel Allegro ! favorite place stay far Chicago . somewhat retro decor fun , employee friendly helpful , location also great . check early result take handicapped room , standard armoir huge bathroom , otherwise room comfortable . soft bed , plasma tv ( ! ) , free wi - fi ( ! ! ) , free wine bar evening ( ! ! ! ) . may want try get room high floor ( maybe 10 + ? ) el train run right past back side hotel . 16th floor barely hear anything . also note : unlike many hotel house old building ' ve stay , elevator Allegro modern fast . nice be high building ! big fan Kimpton 's & quot ; green & quot ; practice , first chance ' ve experience . like able continue habit recycle travel . also , unlike hotel ' ve stay , Kimpton actually let reuse towel instead say program still replace towel anyway . 
 Dec 4 2008 	 Great Location 	 sister - in - law stay Allegro girlfriend weekend happy every aspect stay . first trip Chicago us location great make easy get around city . take advantage train station close hotel take train to / from Midway Oak Park trouble . wine hour nice treat hotel bar good scene before / after show next door . yes , room bathroom small . , go , size matter . hotel great price hotwire ( $ 109 ) price , definitely feel like get money 's worth ! 
 Dec 2 2008 	 incredibly disappointing 	 choose hotel convenient location downtown Chicago . could choose several high - end hotel , one trendy look . enjoy picture online , book elsewhere . first , room small . mean , teeny - tiny . one fabulous feature look forward take advantage yoga package - give yoga mat borrow yoga channel tv . unless enjoy yoga bed , room . king size room , 5'11 & quot ; woman , could do yoga open space . second , 2 pillow king size bed . , instead able prop comfortably nice big bed , stick crook neck . third , staff quick short guest . try ask direction sushi restaurant . end go 6 block wrong direction thank direction . morning try order room service breakfast tell 45 minute wait would well take advantage continental breakfast . sound great - complimentary continental breakfast would perfect ! shower ( take literally 3 minute get warm water - never get hot ) pack go lobby . & quot ; continental breakfast & quot ; 4 pastry , 4 piece fruit , woman & quot ; guard ' & quot ; coffee . think , okay , well , be go prepare coffee - okay . Nope - charge $ 2.67 cup coffee . completely baffle . complimentary wine hour lobby night can not provide coffee morning ? absolutely ridiculous . mention disappointments young man check say say something would done something yet even offer anything upon check . return receive survey Kimpton hotels member & quot ; Touch & quot ; program . fill survey , give good grade 2 week later nobody contact . saleswoman major retailer incredibly disappointed quality customer service receive . recommend hotel . want beautiful , classy downtown Chicago hotel stay Palmer House Hilton . 's 100 % worth price . 
 Nov 17 2008 	 stellar staff great location 	 husband & amp ; return weekend Chicago celebrate anniversary . stay Hotel Allegro find incredible price hotel 's web site $ 109 / night . I say pleased aspect hotel . never Chicago unsure part city stay . rest assure , Hotel Allegro great part town . located theatre district Loop ( downtown ) , within walk distance Macy 's , Millennium Park , Magnificent Mile , boat tour , many restaurant . interior hotel beautiful staff over - the - top friendly accommodating . encounter single disgruntled employee stay . even upgrade King room ! room little small side , expect base review read early . be concerned space , always book suite . a word advice ; park car self parking , either hotel across street . valet parking convenient , will not need & amp ; priveledge pay extra . can not walk Chicago , get $ 6 cab ride . drive , will pay least 3 time parking . I definitely recommend Hotel Allegro , especially find deal room . love Chicago can not wait go back ! 
 Nov 10 2008 	 close convenient go theatre 	 husband happen Chicago Halloween year buy ticket see show far hotel . ride cab theatre husband trouble walk far however Cadillac Theatre right next door hotel Chicago Theater not far . also within walk distance Old Marshal Fields Macy 's still great ever block E. Randolph . when check , could not find preferred Kimpton number go room small . ' m sure room would work although bit tight , finally find number walk desk ask upgrade . girl desk give we large room floor . the hotel look recently remodel . decor make think modern take Art Deco . artsy colorful fun , seem fit Theatre District frame mind . however , agree someone not like bathroom door type french door open room . not feel privacy sometimes want bathroom . new , large room not view building 's typical large city . room look little bare chair piece furniture miss ? ? ' m submit photo see yourself . we go wine reception lobby desk clerk employee dress Halloween make thing fun festive evening take dinner show . my overall feel place seem nice enough get good price . bedding bathroom seem clean service we friendly although nothing overboard . want go Mag . Mile , would probably want take short taxi ride . 
 Nov 6 2008 	 try avoid one 	 ' m frequent business traveler often Chicago trip . time , be difficult even find hotel downtown Chicago , one time . recently pay almost $ 400 one night Allegro . absolutely worth it . the hotel fill capacity conventioneer , check - in check - out slow . elevator , work beyond capacity guest . morning check , elevator stop every single floor 16th floor lobby , elevator almost completely full get 18th floor , imagine long must take guest get downstair . the room extremely small cramp , even though obviously renovate recently . tv , bed , decor new high point hotel . still , rate way overprice small room . good thing Allegro room service , prompt . food good , price reasonable room service . from , regular hotel book , will take cab farth city not worth . 
