worth 	 fly SF extend family gather San Fran wine country . stay hotels world expect clean well appoint room japanese hotel chain . lobby impressive really look everything chip , scratch dire need repair update . room show light color carpeting extensively stain , lamp shade dirty stain , furniture bang . ask room change explain hotel go renovation would move room complete renovation project . well , two room later gave decide go condition room . try UPSELL we checkin two three top floor ' Nikko ' floor $ 89+/night . not realize unless upgrade - would get stick ! ! ! ! 
 Jul 15 2009 	 highly recommend 	 recently attend conference last week.staye 5 night .service staff - 5 star ratingroom - high floor partial view bay - partial b / c building block view.the room small standard , clean comfortable ; bathroom upgrade excellent.the breakfast buffet japanese restaurant monotonous really anything ordinary.on 5th floor i d huge healh club pool spa etc ... one big ever see hotel star rating.i ' ve many hotel life , rank right many levels.it within walking distance many sight ; BART station 7 minute easy walk cable car station even less.the drawback locationwise sit edge tenderloin district , sort area would like wander night.if walk opposite direction , be head towards union square.the moma 20 min walkand financial district . parking set back 45 usd / day - do not bring car not to.there shortage tour etc ... show basic SF stuff.when sf , try hotel first , unless be budget , heck - live little , life pass 
 Jul 13 2009 	 ok 	 get $ 84 room Priceline ( come $ 100 taxis fee ) . know book Priceline run risk get one hotel smallest least desirable room 's expect somewhat fair . 's always case , be often case , actually , we . check quick , front desk agent offer sell we $ 35 upgrade another $ 10 use gym / pool . decline offer . room tiny , not feature / ammenitie list . . without mini bar robe . it clean exception huge black mark wall . far small hotel room ' ve ever see life . can not imagine spend one night spend money room . fairly sparce appearance not room put much . linen pretty comfortable . the hotel quiet , quiet , good location shopping dining tourism . the lobby beautiful white marble , water feature fresh orchid . check fast efficient . 
 Jul 13 2009 	 Worn Furnishings 	 book Nikko four - star hotel Hotwire $ 98 . good rate . Good Location . gracious staff . good ; bed , sheeet , bath , etc . frist room see blotch thoughout carpet smell smoke . request another room ( Andrew desk helpful ) carpet improve furniture dinge , damage heavily worn . take away think four - star . otherwise , good , though small room price . 
 Jul 12 2009 	 expensive nice 	 get price $ 100 night Priceline . find shortly afterward small room queen bed . upgrade room two bed twice size 40 dollar . room nice 18th floor great view union square area . room quiet , bed comfortable . never hear another person . elevator hotel fast ever see . location hotel great far access cable car shopping . many homeless people area though ruin whole thing . hotel fault though . parking hotel expensive 50 night . end actually spend 225 night room end upgrade , parking taxis . 
 Jul 12 2009 	 everything Perfect 	 's rare stay hotel never drop ball time . be happen recent two - night stay Hotel Nikko San Francisco . get request upgrade junior suite 20th floor , access lounge 23rd floor complementary buffet breakfast morning . get right room upon arrival , even though early afternoon . room view spectacular . staff universally friendly attentive . breakfast hotel restaurant first rate . lounge free internet access , several different free newspaper , great continental breakfast ( not need complimentary buffet breakfast ) free wine cheese every afternoon . Staff go way make sure well take care . location San Francisco perfect we -- two block Union Square , close symphony opera building ( 12 block ) , 30 - minute walk waterfront . definitely back ! 
 Jul 9 2009 	 Great experience 	 read review , see budget traveler . not require lot fancy thing would prefer save nickel area spend ... however , stay nikko work remind people stay nice hotel . nothing good thing say nikko . clean , friendly staff , great location accommodate . , need comb safety pin : housekeeping run . even waive fee get self dispense fridge son pull candy . question ask , charge nothing . bathroom new modern . also sit mirror vanity nice classic touch room . hotel cater asians staff asian lot japanese newspaper available . spa / workout area remodel still nice facitily . workout area large ample space vs. small room mirror appear big . pool nice glass roof keep warm . although hotel high end , still family friendly . location -- - conveniently locate . union sq , moscone center easy walk . border meatpacke district careful & quot ; line & quot ; not go evening . 
 Jul 6 2009 	 modern japanese decor Union Square 	 book hotel Priceline one night $ 85 . call hotel confirm reservation find queen bed offer upgrade king deluxe room $ 30 . take offer glad do . we 8th floor nice , modern room minimalist style decor . room clean quiet . parking $ 45 per night unlimited in - out privilage . hotel locate Union Square , not need car drive north follow day , would opt public transportation avoid valet fee . there pool fitness center hotel charge $ 10 access fee ( optional upon check - in ) . 
 Jul 3 2009 	 amazing stay 	 pleasure staying work . incredible hotel . staff incredibly gracious room beautiful luxurious . San Francisco wonderful city comfort hotel actually make want stay inside relax instead go outside explore . 
 Jun 29 2009 	 Modern hotel near union square 	 wonderful hotel within 2 block union square 3 block BART ( less 5 minute walk ) . location safe near cable car line ( 2 block ) well shop . get imperial club room , $ 20 regular room , include breakfast happy hour well internet usage spa/ work - out room/ pool . great value , be also put high floor building . room 23rd floor . room size small hotel city , comparison hotel San Francisco , room fairly large . turn service nice since put jazz music stereo system ( include club room ) . 's tv bathroom mirror bathroom include separate shower tub . workout area nice especially like steam room shower head spa . would highly recommend get club room Hotel Nikko , especially be minimally regular room . hotel looked include Hotel Abri Hotel Union Square . 
 Jun 25 2009 	 great find - location comfy easy 	 get great deal could not happy . modern room - comfy bed & amp ; huge bathroom . bit small , work great 2 . great italian restaurant around corner healthy breakfast . Starbuck 's right front door . lot explore foot nearby . find cheap parking across street clean , safe ramp . 
 Jun 23 2009 	 first anniversary 	 hubby spend first wedding anniversary Hotel Nikko celebrate . want mini - escape / staycation , definitely get here . all staff encounter extremely accommodating . ask could swap room order different view not bat eye request . step lunch take care everything , include move stuff new room . definitely appreciate special touch , . return dinner happily surprised find bottle champagne room . presume put something reason stay reservation info ( definitely worth be celebrate something special ! ) .Our room nice . big website make look , definitely boast beautiful skyline view union square area ( east view ) , well residential part city ( west view ) . bed comfortable bathroom great shower tub . personally like counter sink - give sleek feel . the floor stayed also give we access Imperial Club . run little rate - wise room , get free happy hour 5 - 7pm free continental breakfast morning . would recommend pay extra bit be travel family - probably save money go breakfast . general location place great . two block Powell St. BART station , block Union Square hustle bustle . 
 Jun 22 2009 	 Great Hotel - Excellent facility service 	 family ( 2 child 2 ) pleasure spending two week hotel work San Francisco . upgrade Junior suite executive suite due extended stay . room well appoint bathroom large well decorate . pool gym excellent . location first rate close Union Square Westfield shopping centre . staff excellent , knowledgable , friendly helpful . overall would recommend hotel business traveller well family holidaymaker . 
