strip 	 ' ve palm business many time , first time stay . previously stay across street Rio Gold Coast . guess travel department get good rate , put trip . the bed comfortable , hd tv room , bathroom nice . complaint amenity . hotel locate strip , plenty , even want walk hotel across street travel strip . several trendy club ( include Playboy club ) . club scene , pay $ 20 Ketel one outrageous , hey , Vegas ! fantastic view club , locate top hotel , be worth it . the restaurant ok ... like Mexican one , cafe slow service , food be ok . good value buffet . 's small strip hotel buffet 's 's enough selection tasty food satisfy anyone . there be also food court frozen yogurt stand ( similar Pinkberry NYC ; serve however much want , put whatever topping want , pay per ounce . ) be also movie theatre hotel , enough table show , catch flick . think palm cater young crowd strip hotel to . I not stay previously room rate high comparable hotel , travel department would pay difference . however , get palm good rate , definitely worth . Vegas hotel vie business , good buy . palm worth pay premium , creme de la creme like Wynn Bellagio , right price , be great deal . 
 Apr 8 2009 	 Exceeded Expectations 	 admit , worried read previous review . however , keep mind people write review upset experience . content traveler write less often . say , satisfied customer . 21st birthday weekend front desk clerk well could give good experience possible . give we high floor suite nonsmoking room view north strip vip pass man woman group Rain evening . view beautiful top ghostbar Moon . little know enter Rain evening , would give we access pass worth $ 40 - 60 free . vip admission nightspot Palms . the room first tower . sure , not renovate flat screen yet , roomy comfortable room ipod hookup . bed super comfortable ! eat 24/7 cafe , garduno , little buddha . personally think not expensive , serve lot food charge . service overall wonderful well . could not give perfect score bad apple , not ruin trip . 
 Apr 6 2009 	 Palms ..... 's crack 	 experience Palms ruin trip . understandable & quot ; little guy & quot ; see type customer service high roller get Vegas , Palms make sure reinforce . horrible service every Palms employee run . nobody seem want address problem resort . would surprised Palms picture next pass buck dictionary . get use & quot ; sorry can not help , let transfer someone & quot ; . top , wife leave cell phone charger room . call informed send we would problem . select cheap option give we ( $ 5 ship parcel post ) . upon review credit card statement , palm charge $ 43.33 send $ 20.00 cell phone charger . one bad customer service nightmare telephone ( security , lose find , business office ... think also talk pit boss ! ) finally get someone tell $ 43.33 minimum charge cost send something . question ridiculous , get nothing & quot ; agree , minimum charge & quot ; . press would willing make guy like , unfortunately , nothing . even line pass , comp admission club , even $ 5.00 slot credit ! anyone least bit customer service sense , would call ask really ( quote $ 5.00 initially ) would want charge $ 43.33 send $ 20.00 item . nice see palm even stick trip Vegas ' m 3000 mile away . 
 Apr 1 2009 	 extremely disappointed hotel 	 say , boyfriend visit Palms past weekend birthday , less impressed . hotel room simply adequate . view excellent , room surprisingly disappointing . surprised lack flat screen tv , Gold Coast across street , much less expensive hotel , advertised room , show new flat screen television . also must say disappointed treatment hotel guest night hip hop concert hotel . arrive hotel night strip , greet rude hotel staff tell we valet full needed find parking elsewhere . drive around 10 minute luck find parking , return valet demand , hotel guest , let valet area . ultimately let , distressing feel hotel care concert goer artist 's entourage find valet parking , hotel guest . enter hotel , meet member staff less helpful . push way bouncer , concert - goer club hopper get elevator bank return hotel room . get , realize choice remain room rest night . leave , would fight crowd downstairs , help hotel staff , idea would able get car valet . all , stay palm pleasant one , believe return hotel . 
 Mar 23 2009 	 Happening Scene Vegas 	 Palms never dissapoint . always happen place .... 
 Mar 10 2009 	 Book Halloween Night - Excellent people watching 	 somehow manage stay Palms halloween night 08 . wild place . casino fairly empty many 23 - 29 year old dress get Rain , one premeir night club . dressed costume Frankenstein basically see thru lingerie . woman might well wore nothing . costume good part night . line way around entire casino get club apparently capacity . room pretty average , clean comfortable , though price high place . maybe occasion halloween , sure . want people watching stay nice place strip , stay halloween , pretty cool . 
 Feb 26 2009 	 Best Customer Service Experience Trips Vegas 	 cust serv pat .. industry say , snap step plate .. everyone encounter go extra mile good .. thing happen , however one travel , nothing .. AC room work well .. call fix within hour .. safe permenantly lock great look security guy come unlocked right away since inhaler .. accidently break glass carpet .. call housekeeping someone come .. call incident . make mistake bill , fix right away ... ok tangible stuff .. Room Palms tower , clean , bed comfy view mountain request . get GREAT deal Expedia .. throw food credit . small hotel movie theatre see movie . wonderful toiletry tho towel rough part .. sure .. stock fridge keep lock . fyi .. walk Gold Coast take shuttle strip Orleans - we see Dana Carvey . hoot ! ! . lose slot $ blackjack happy . $ 50 trip hooo .. 51 year old woman think hotel might young , see old people , couple kid go Sun - Wed .. coupon spa wonderful 1/2 spa day .. lovely feel uncomfortable .. good food expensive whooo .. ROOM service expensive , food good .. fee get .. $ 1 line fee $ 20 resort fee per day fyi ... get good deal Expedia , help .. say enough good thing palm ? much , bad except expensive room service fee , opinion .. 
 Feb 24 2009 	 can not believe not like palm 	 Stayed Palms Sunday Night 2/22/09 . can not believe not like . excited stay disappointing . Vegas many time , know have trading location ( well strip flamingo ) hippest happen place town . hang Planet Hollywood Palms , be shock say PH far hipper . can not believe say . palm slow , customer service poor ... clearly cut back staff . Dinner Gardunos slow actually feel bad waitress give we bad service ever . else could ? 2 waitress 30 table guarantee horrible time . leave zero tip hilarious / epically horrible service feel bad leave $ 10 $ 80 tab hazard pay . room great view entire floor ( palm tower 31st floor .. sign say non - smoking floor ) smell like smoke room smell like dozen people chain smoking room day . terrible not even cover . let . advice : be go Palms Playboy Club Ghostbar concert , mean , save cab fare stay , will likely hammer need quick place rest head . club scene .... can not imagine reason would want stay . 's small , far away , guess ... 75 year old play slot try avoid Palms . stay strip . 
 Feb 16 2009 	 not use service concierge desk want perfection 	 double check reservation well ahead time , use service provide concierge desk . cls limo sevice recommend schedule request , valentine night . 14th check desk make sure reservation correct , find charge wrong date . one lady get last minute car , get car reserve , stomper instead ( dirty inside , champange rise , heat , moon roof break , cd player , driver jerk ) . Jared , concierge manager nice , refund money , staff desk less impressive ! 
 Feb 15 2009 	 Great Hotel strip 	 book 1 night special deal find internet . room come 2 pass palm nightclub awesome . go Ghostbar , fun . want stay right strip , good location . ... want strip perfect . room really nice , good view ( 24th floor ) . problem tub faucet coud not turn . Maintinence come right away fix . upon checkout $ 10 dollar room service charge not charge ask drink bottled water , say , remove charge . problem , be probably adult hotel atmosphere . 
 Feb 14 2009 	 great stay 	 room great , comfortable bed , nice linen , great bathroom accessory ..... concierge , Tifani , help we immensely plan suddenly change . can not say enough great attitude , make thing much easy palatable . Dinner k9 well ever , live beef country ..... cool dessert like smore mean roast marshmallows table . buffet , also eat cafe , excellent service food , well worth it . the view night incredible , use shuttle get strip . would definitely go back . 
 Feb 11 2009 	 Good Hotel 	 palm one good hotel young people Las Vegas . clubs awesome restaurant deliver good food decent price . thing shop outside hotel . 
 Feb 10 2009 	 Fantasy tower fantasy vacation 	 good va - k life ! ! time check ( Memorial Day 2008 ) ask room avail upgrade . cont would suite locate Palms Tower disappoint . smell like marijuana date . go back front desk explain situation clerk accommodate . place we Superior Guest Room Fantasy Tower 35th floor , Hugh Hefner Suite , fun , hope catch glimp and/or room . the Superior Suite name appropriately . beautiful furniture , modern great color scheme . bed comfy bed ever , linen all . we hang pool day make great people watch . Playboy Club nice low - key place gamble drink Moon hook . retractable roof - top AMAZING ! guest well staff extremly nice friendly . Vegas many time stay hotel never much fun stay Palms . warning , stay Palms Tower remodel . want live party like rock star Vegas not budget , stay Palms . will not regret . 
 Feb 3 2009 	 single complant 	 come Las Vegas Saturday Jan 29 . palm grade we beautiful room Fantasy Tower . ask extra blanket houskeepe deliver less five minute . the food nine restaurant wonderful . fun Casino . late slot V.P . machine . drink service prompt . stay palm ten time never bad visit . 
