give 	 spend Saturday night hotel , must say big mistake . a West end show , romantic dinner night great area London spoil hotel . although staff pleasant helpful , room tired / antiquated bathroom / pathetic toiletry / dirty windows / tatty net curtain / filthy window runner / mini bar ( 4 star London hotel ? ? ) breakfast awful ( hotel try charge , prepaid B & amp ; b term / bad stain carpet / basic bed pillow - miserable room . I sure Health Safety regulation , ever fire corridor outside room stay , occupant would perish window could open all- secure mean obvious screws window frame . 's hotel like give London bad name - room two star well - stay expect 4 star ! 
 Jan 30 2005 	 ok suppose get cheap 	 stay Copthorne Tara Saturday night , book via Priceline $ 48 ( include taxis ) . location ok . be five minute walk road High Street Kensington tube station ( be simple shortcut half distance have daylight ) . tube station complex several decent sandwich & amp ; coffee shop well large Boots Chemist . hundred yard High Street 's late - open Safeways hot food deli counter easy pick food snack room save eat . circle line tube train frequent have like load bus high St Ken : catch one Knightsbridge along Picadilly Trafalgar Square . however , Millennium Gloucester , 4 * hotel seem come area via Priceline , beat location alone much close busy tube station grocery shop second rather minute away . arrive around 2.15 pm queue 10 minute reach reception tell room not ready yet ( check - in 3 pm ) . plus side , check - in staff offer we smoking room tube side low floor want check immediately choose wait till ready . lobby non - smoke another plus . allocate 10th floor room quiet side , 2 x single bed ( want ) . not think give Priceline customer naff room automatically . view not wonderful ( rooftop back Kensington Close Hotel ) not noisy . room certainly not four star , even fairly unassuming british standard . one good thing , compare Millennium Gloucester , fact mini - bar small empty fridge could store food . otherwise , decor furnishing old worn stain ceiling age bathroom fitting . would say bed fine - nice white duvet rather sheet & amp ; blanket mine comfortable enough - daughter wake several itchy bite swear come something bed - bleurgh . our main bugbear ( lol ) though light system . instead light switch three four electronic panel throughout room , button mark ' master ' , ' room ' , ' bathroom ' , ' desk ' , ' bed right ' , ' bed leave ' . press button beep noise lucky corresponding light come . not lucky . firstly discover neither bedside read light work call housekeeping send engineer fairly promptly . spend half hour work equipment floor wardrobe tell we could not fix . decide bother ask change room stage pyjama planning sleep shortly would prefer cope without bedside lighting go hassle move . fast forward sometime 2 am woken series loud beep light room go . daughter get use bathroom unable locate correct button panel dark . put pre - teen ineptitude 7.30 urge , exactly thing . way tell button right one without try . , something go wrong whole lighting system - bathroom one stop work altogether keep set beep / flash every time walk past light control panel . there another long queue check - seem really short reception staff - fill post speed checkout form leave . the possibility get hotel would make think twice bid Priceline Kensington area future , shame Millennium Gloucester fantastic would love stay . 
 Jan 20 2005 	 Loved ! 	 stay Copthorne Christsmas week 2004 find hotel staff wonderful . location ( High Street Ken ) fabulous . hotel smack dab middle ton boutique commercial department store . however , hotel situtate couple block commercial strip , make quiet residential feel hit shop . I find hotel staff incredibly helpful accomodate room comfortable , pleasant overly ostentatious . however , one look bit glam buck , may find . real beef hotel outrageous phone bill end stay . make two 15 min . call 5 night . check find two call cost $ 250 ! ! drawback stay . otherwise , terrific . 
 Jan 19 2005 	 not WORRY 	 , , nervous hotel reading review . fine . ask quiet room , non - smoking . could hear Tube . pay $ 70 / night , bargain , especially London . absolutely worry . 
 Jan 12 2005 	 Copthorne Tara good value great position . 	 stay Copthorne 6 night , 29th December 2004.room high standard London hotel . quite spacious , clean plenty cupboard , drawer . good thing refrigerator ! common London hotel . save lot money buy breakfast item nearby Marks & amp ; spencer supermarket . milk , tea , coffee , jam fresh bread roll . book online Londontown Xmas special - 79 pound . 6 airline use hotel flight crew , give idea calibre . hotel behind Kensington High St tube , minute walk bus stop Kensington High St. great position , highly reccomend get close price . 
 Jan 5 2005 	 good deal even bargain price 	 stay 3 night December 2004.I travel US Europe ( English live US ) qualify bad hotel stay ever have . the foyet look nice ( true hotel , foyet not even look nice probably serious trouble ) , exterior building give idea lie beyond . the first room put nice view city , room ok sized London cleanish . bathroom dimly light , although dirty dingy feel . one drawer cabinet bedroom refuse close , assume cleaning staff try close give . manage fix minute fiddle , entire unit , like furniture , look like see well day . the room light control high - tech centralized touchpad . lightswitche ! unfortunately within minute get dark light start randomly come . annoying . call send man . walk spot huge water damage ceiling ( paint peel everywhere hotel ) . take control panel wall point damp rusty short light ... call front desk get we another room . pack bag move second floor . room pretty much , dingy bathroom light , water damage , etc . they room safe offer free lockbox service . take passport extra cash front desk enquire lockbox . tell not leave , move already annoy make noise , somehow find one ... anyway get room look like plenty slot lot lock . there one difference room , lock adjoining door next room . find night , door make noise transmission appaling . could coughs snore next room , turn tv could not . normally would ask move , move 2 night not energy . the staff ok spend lot time line deal problem mine . my advice try somewhere else . 
 Dec 16 2004 	 Tired date 	 stay one night Dec 2004 ' refurbish ' standard room 1st floor . hotel appear date little money spend last 20 year ! room refurbishment amount soft furnishing / duvets/ carpet etc rather fabric building old wear ! Bathroom old wear , update . bed / towel cleanliness ok though english breakfast good . agree continental buffet offer disappointing . bar environment equally wear out . location good need Kensington area , car park convenient cheap London . more weary 3 star 4 star , although perhaps worth consider cheap price location . 
 Dec 13 2004 	 Least risk hotel London 	 stay 3 night Dec 2004.the room 10 floor & quot ; tired & quot ; 3 half star . wallpaper come away , paint flaking , bathroom feel old mildew ceiling . room size ok plenty hang space etc . bed good room clean well . some noise tube problem . a / c .. heat good . english breakfast excellant , chese meat poor buffet . staff fine London . great location . italian main street call Strade .. fantastic . it least risk hotel London , room 4 star . would stay , London , risk money 
 Nov 30 2004 	 poor value Copthorne Tara Kensington 	 seem like good deal £ 125 v £ 225 front desk . location excelent . empty fridge room put food . but room need refit , bathroom door would shut , bathroom ceiling flaking , mirror need re - silvering . looks tackystaye well money , poor value 
 Nov 24 2004 	 need worry 	 husband stay Copthorne four night early October honeymoon . despite bit nervous review read , keep reservation have book LondonTown . grant , upon arrival , sleep 24 hour anything bed would do . however , interior hotel nice staff courteous . well get we room soon possible , though arrive 9 naturally wait couple hour lobby . kill time gift shop email computer lobby , convenient cheap use . end one upgrade room backside hotel face tube track , noise loud . get use time , bed comfortable fall asleep soon head hit pillow . white duvet cover nice touch room throughly clean day . hear noise room , though occasionally hallways pretty much expect anywhere . bathroom fine , yes , different american one -- 's point foreign travel , not ? , would definitely recommend hotel . real complaint , though mention , age hotel show spot . 
 Oct 22 2004 	 pleasant professional 	 wife stay Copthorne Tara late September 2004 . room Mezzanine level , love even though view neighboring tube track ( staff first ask minded , think thoughtful ) . since view high floor , find convenience close street level plus . room clean , bed comfortable , bath place hang clothe dry ( wife love ) , internet access lobby ( fee ) , tube station ( Kensington High Street ) nearby , restaurant , etc . Marks & amp ; Spencer tube buy provision eat cheap well . ( love clot cream ! ) discount price Londontown stay match price . ( 75 pound / night ) 
