love 	 hello , stay Soho Grand one time fantastic experience . room noisy first day ask change room give one 15th floor great view . staff nice helpful left good tip ; ) go back January book there . relation quality - price : excellent . 
 Jun 7 2008 	 Fantastic Hotel Fantastic Service 	 girlfriend stay 3 night Soho Grand may truely wonderful stay . service impeccable decor lobby , lift room inspire . hotel excel prior trip request bouquet girlfriend favourite flower , Bose sound dock goldfish room , Hotel arrange perfectly . not imagine Holiday Inn offer level service . book Executive King room Seduction Soho package hotel website ( happen save $ 200 + normal basic room rate last light discount 50 % ish ) . greet upon arrival glass champagne check process simple quick . room not huge overall quality bed , bed , bathrobe bathroom excellent . * bathroom wallpaper entertaining . we breakfast bed also Lobby bar time service food fantastic . would also recommend try mojito hotel bar , although bar area get crowd . find flaw stay problem wireless network keep drop 's connection 's ( internet additional charge ) would recommend hotel anyone look forward stay future . 
 Jun 2 2008 	 Terriffic place stay ! ! ! 	 husband return wonderful trip New York . Soho Grand much well expect reading review . Front Desk staff helpful , efficifent engage . hotel perfect blend sophistication elegance , place right heart Soho . room bit small side , always clean comfortable . location exactly look . want stay touristy Times Square find downtown much well fit thing want . like gallery , shop fine dining place . also , since close Little Italy Chinatown , possibilite something endless . would stay . 
 May 30 2008 	 Fancy overprize 	 spend 3 night Soho Grand May . location superbe like hang Soho . good restaurant boutique close . 's sure special spot tasteful detail furniture be really design , will disappoint . try hard . staff friendly , although take 15 minute serve cappucino . room small quiet disappointing . bathroom . space storage product amenity poor . so overall 's nice hotel totally overprize . pay $ 500 room , expect perfect . would go back ! 
 May 25 2008 	 noisy wnderful experience 	 Plenty attitude style , know thing bit see lotion bottle provide amenity use another guest gunky . Ewww . terrible noise problem side face Holland Tunnel ( honk taxi siren night ) . concierge front desk staff great , switch we quieter room . complimentary glass champagne nice touch . room stylish , small comfortable . but pretty sad room service -- request breakfast door tag , call prompt early arrival next morning , tell way , never come , three phone call ( discover order never even place ) give . last morning need get go , snafu leave bad taste , press find place breakfast -- tell twice somete happen 's , not expect believe third time . , lot style expect . 
 May 20 2008 	 Great Hotel 	 one favorite hotel NYC . location great since near great place shop ( ) great place party drink ( ) . bar scene hotel one good NYC . highly recommend hotel seek fun spot hang . drawback room way small liking . everything else pretty cool . 
 May 18 2008 	 Soho grand ! 	 certainly hotel open , hype one ' the ' place see NYC . however , survive hype experience Soho Grand much par throughout . sum , product tired service weak guest focus . room bad - large plasma screen tv , bose music system great minibar selection . also good bathroom ammenitie . furniture cheap ( especially wardrobe ) curtain old stain . hotel also turn con ' saving environment ' , card place bed , mean change sheet ( would think would way round ... ) - everyone know save environment - hotel money ! experience bar / restaurant also poor . go cup tea ignore . barman come twice say person serve waiter would shortly . think wait 30 minute get order take another 20 tea arrive . eat one evening service slick ( wine pour , finesse ) . Breakfast ok , pretty average . seem management presence area hotel standard reflect this . the gym fine - tiny , consider hotel aim attract crowd probably regular gym goer - address . colleague drop package arrive - arrive room last day ( 4 night ! ) location good - especially shopping nightlife Soho good city . the hotel potential nice , owner need refurbish also invest well management training staff . 
 May 17 2008 	 Fantastix 	 great room , great hotel , great location . bar service fantastic , do not want leave quaff champagne beer legendary mac n cheese . site perfectly top restaurant , shop , course u could stay New York lifetime 10 % be there . the room cool , slightyl ' industrial chic ' , great course one - - original boutique hotel . Music - Gotan Project cd - room perfect chilling . service exemplary , espec bar . probably favourite hotel world ! 
 May 12 2008 	 Location Location 	 visit NYC 9 day back 2006 choose stay Soho Grand due location boutique style hotel . entrance foyer impressive industrial theme architecture appeal . the concierge service good willing help booking information . check room low level offer upgrade high level provide we well view surround area ( parking lot ) . room clean comfortable . not huge space expect grand living area hotel downtown New York . hotel two block many bar , shop restaurant Tribeca / Soho area go evening avoid ble Times Square . subway station behind hotel access uptown Brooklyn . big let hotel pompous staff work bar area hotel . return shopping spree , sit table although request drink , watch waitress rush suit . one drink , decide go . upon billing drink room , attitude change girl happy help . needless say tip pathetic act . we tend eat & amp ; drink , enjoy friendly service establishment happy assist . 
 May 12 2008 	 tiny room cute wallpaper 	 oh NY hotel . big chain average boutique hotel sometimes ... average . hotel great location want Soho near tribeca . room really tiny , think go sleep suitcase . general , room seem pretty clean - although end bug bite one night , friend stay second night come away bug bite .... bathroom amenity so - so - bigelow product . look chichi little spot lounge ooze hipness staff mediocre , place fit bill . 
 May 10 2008 	 Beatiful Place 	 interior designer truly good job , be one place get true sensation leave world behind . everything stair , room , bar unique , elegant something else . you leave hotel good time bar day long . New Yorkers tend go lot to . but understandably pricey side . ? f want different experience could definitly try . 
 Apr 22 2008 	 great BAD MANAGEMENT ! ! ! ! ! 	 could lovely hotel . 's great location quite classy although surprised corporate decor room ; expect little boutique style . however main thing management , hotel REALLY badly run thing go wrong management really seem care . lose luggage previous trip two package deliver ahead time . one ' lose ' reception staff claim arrive . later transpire one lose also ( thre whole three day ebfore informing ) . however fail apologise either incompetence inconvenience . , fail deliver iPod dock room not work . plumbing bathroom not work ( toliet get block , accord maintenance man happen time ) , apology . could great place stay really let . disappointing ... 
