small 	 stay club room find slightly small large enough rarely room . adequately clean club room come breakfast great , plenty fruit , yoghurt , bagel , toast , juice , cerial coffee . check quick staff always friendly . last day one group though lose passport hotel staff could not helpful , particularly Curtis . would definitely stay 
 Perfect location 	 book trip March 09 slightly worried review read say please people ! ! check service could not well show nice room 8th floor 2 double bed . massive room small mean clean sign bug ! service security good make we feel safe know people show room card use lift . all would definately go back Milford although maybe renovation price will not attractive , would shame could not got hotel well location . 
 good hotel excellent location 	 hotel close soon renovation approx two year want say superb hotel -friendly staff excellent location around corner time square 
 Old tired 	 even suppose ' upgrade ' corner room dumpy small old smelly furniture drape saggy mattress . would receive ' upgrade ' wait half hour check clerk try find reservation , file misspelling name . wait 15 - minute line check . ( always line front desk . ) bathroom clean internet room work well . the location good want near Times Square , not know would want stay . area mob tourist , line people mill around theater make difficult walk hotel point east . price , well choice . 
 value money 	 Milford Plaza fantastically base hotel around corner Times Square walk distance fifth avenue , rockafella empire state building walk . right middle Broadway look show hotel must . room bit small , bit grubby really warm , put air con November . downside room small side , smell musty way hot otherwise good base sleep leave belonging behind . safe bedroom find staff totally trustworthy , helpful really pleasant . Milford Plaza due close December 09 refurbishment though must say look bit tired could . would definately go back refurbish well worth visit . oh take notice comment bed bug cockroache definately none bedroom find linen clean , enjoy 
 friendly hotel excellent security 	 friend stop milford plaza 31 oct 5th nov 09 . 40 . read review already book 50/50 expect . pray have not make mistake needent worry arrival show room deluxe room 2 double bed 16th floor . expect room small review say . think room small need feel comfortable . even hairdryer bathroom great . also safe free u select password open . room clean daily . noise hear emergency service blaring past hotel . the security could well feel safe staying . show room key allow lift good make u feel even safe know body good would get past security man . underground station outside hotel much cheap getting taxi . use quite alot newyork . good thing though hotel location . right middle new york city . not forget theatre district . we ask security man new good restaurant go direct we one 9th ave call west side 5 10 min walkfrom milford u like pancakes place eat . local police also eat good sign good food . service top mark . orange juice lovely also . hotel though close 12 dec 18months 2yrs I ve hear renovation cousin live newyork tell goint build top milford plaza apartment . next time guess dig deeply ur purse stay , do not think budgit hotel much long hope I m wrong . also watch taxi driver airport get sting . airport milford cost we 64dollers that s man write paperwork give driver driver go wrong hotel mistook say charge we 84dollers . tell reception milford one set price matter drop we . goodluck need worry hotel be not dirty least floor . great hotel . great location . say xx Bridget coventry . 
 Sep 11 2009 	 Hidden cost 	 stay one night . room old dingy , bed linen fine . strange smell , like mould could carpet . overall hotel price location ok.what really get advertise internet room , try connect , get tell see desk , tell connection available , business center internet access . sure , Min charge $ 5 & amp ; another $ 1 print boarding pass . then check pay $ 3 per item leave luggage bell desk , two hand luggage bags= $ 6 put kid cowboy hat ( takehome present ) hook inside rail , going charge another $ 3 , say that s ridiculous let go . I also feel nice personnel hotel security staff , desk staff awful bell man right rude . 
 Sep 9 2009 	 would stay 	 stay December 2007 daughter 21st apart locality unimpressed room tiny bathroom cramp , dirty smelly overlook alleyway strew rubbish positive slept would recommend hotel anyone 
 Sep 8 2009 	 Classic meet need 	 hotel old , still nice . ' m amazed many room squeeze ! quiet , trouble sleep enjoy little room . hot water slow warm , eventually . security good location good . right time square 's loud , close . also close several Broadway show Restaurant Row . we choose hotel 's price still feel like get great deal . want another great hotel excellent location , try stay . go back next time . 
 Sep 3 2009 	 love Milford Plaza 	 3rd stay Milford Plaza definately stay . location beat . across street subway , 1 block away Times Square . take & quot ; Coach USA & quot ; bus 3 local airport , drop Port Authority bus terminal , 2 block hotel . room little small , tell update several time , room clean feel secure staying . fact , one night door completely close go bed , 11:30 security come knock door make sure door secure . say enough value Milford Plaza . 
 Aug 30 2009 	 good be location room ! 	 decent value ... book ahead secure room $ 150 / night , 5 minute walk theatre , Times Square Restaurant Row . long wait reception , room nothing special . mold bathroom . worth not plan spend much time room ! 
 Aug 30 2009 	 affordable hotel great location ! ! ! 	 stay hotel couple year ago honeymoon . superb location staff friendly helpful throughout 5 day stay . room basic New York spend little time hotel , fair room clean , comfortable maid visit daily new towel etc . hotel five minute walk Times Square Broadway , 15 minute walk Madison Sqaure Garden Empire State Building . not eat hotel restaurant really nice pizza cafe street . recently recommnede hotel friend arrive home also enjoy stay comment superb location hotel . 
 Aug 24 2009 	 great location value price 	 visit NYC part family trip New England . I book online Honolulu use price reviewsin decision making . upon arrive shortwait check room # 2058 overlooked8th Ave . double occupancy room , area wassmaller expect , place luggageon floor . a / c unit cold enough cool ourbottled water overnight ! bathroom sink wasprobably small , shower Hot water , weencountere smell , dust , mold threeday / night Milford . bed fine , andeveryone sleep well . concierge service help we ticket Museumof Nat history , doorman helpful . securitychecke room card time enter elevatorarea . love elevator system direct aspecific elevator designate floor . gotcoffee every morning nearby restaurant . we lot walk 3 day Milford doesput right center many tourist area . ourcheckout simple use hotel telephone , andthat enable we leave hotel effortlessly . the Milford old hotel seem set somerenovation soon . take away ourexperience visit New York . feel safe insideour room hotel hallway , outside noise wasnonexistent . would recommend Milford ourfriend anyone want spend bigdollar stay Big Apple . 
 Aug 23 2009 	 mildew plaza formerly know MILFORD plaza 	 recently travel good friend Big Apple , great New York City , see Broadway musical CHICAGO.Now native New Yorker , always grow know Milford Plaza couple occasion , past guest , figure , & quot ; hey , since technically good friend first broadway muscial , say & quot ; Lullaby Broadway - the Milford Plaza . & quot ; boy , ever BIG MISTAKE.I make online reservation , quote 425.00 weekend stay , upon check front desk clerk , show reservation front desk clerk clearly notate agree price stay , present debit card debit card process , without notice , charge 100.00 extra , security . grant , website state anything security deposit neither receipt clearly state much pay upon check . enter room , voice back head tell check bank debit , WALLAH ! came realize additional 100.00 debit . call front desk ask speak front desk , tell policy nothing . explain nothing website , receipt revealed & quot ; hidden fee & quot ; , explain issue fee since much , 50.00 per person , issue undisclosed fee . refuse work I . now point good friend ask go , course tell , sit well either , literally go front desk , politely request speak Manager , show paperwork make go online prove fee disclose . much dismay prove Milford wrong monie reverse right then . now wait ..... get well . we back room , room 2205 , unpack organize clothe closet one we go bathroom . saw almost make we faint . the vent literally cover dust spiderwebs . kid , must go without clean year , plus vent work . pull shower curtain , find wall literally cover black mildew . by friend bed , wall large , mean laarge bloctch dirt wall , bed pill , seem previous guest medication , concerned bring 2 year old along trip , say baby would find put mouth . there streak bedroom mirror , though good cleaning order . so , ? take picture , go back front desk , show picture , notate finding , ask we go lunch yet , mind starve , change room room 642 advise we go lounge complimentary meal finish . so transfer room , turn AC away go lunch . get well folk , hang ...... get Milford Lounge find straight food . point starve exasperate . frine speaks lounge Manager , , apologize misinformation give we correct hour operation lounge , however nice enough ask we come back tomorrow personally make sure take care . starve , search food , first , lady decide go change shoe first , enter new room find room hot hell . so go , call front desk ask someone come check AC . & quot ; engineer & quot ; come , look unit , say nothing wrong , take time cool leave . look eachother decide go & quot ; dinner & quot ; point , since lunch long hopefully room cool get back in . we go eat FAMOUS DAVES Time Square . meal worth aggravation . absolutely fantastic food . we get back hotel , find room hot , humid muggy . hall cooler room . call front desk , explain situation try blow we . good friend go back downstairs speak front desk explain totally unacceptable , manage get change room , , also want hotel render peace offering , form maybe fruit basket , munchie , something . tell hotel custom . advise clerk friend writer sure friend field day write article Hotel lunch . clerk reply , let write article . friend course back anyone , speak Manager . explain everything detail , quite apologetic shocked reply front desk clerk give . needless say ..... get Godiva Chocolates couple bottle water , plus complimentary breakfast duration stay ... hopefully time run food . so room 1205 , guess room cool , television working , bed look comfy , quilt stain , toss aside . enter bathroom , wall full mildew , bad first room ceiling full mildew too . we get tired run around give , spend night room , since work AC.In morning want check early head back home , girlfriend insist want complimentary breakfast . hesitantly , accompany Milford lounge , find continental breakfast . however , remember Manager promise take care we personally morning ? well . everyone else feast cold Continental Breakfast , hand , provide hot meal choice . , thank Mr . Manager . would mention name want get trouble , since reality suppose , shock treatment lack service professionalism receive Milford . so , today , August 23rd , 2009 , christen MILFORD plaza new name . fellow reader , let we introduce new & quot ; mildew PLAZA & quot ; , locate New York City , 8th Avenue . enter risk , FORGET bring ASTHMA PUMP , GAS MASK , scrubbing BUBBLES , pillow , quilts sterilized suit gloves.the hotel disgusting , service horrendous . make wonder , & quot ; pay much ? ? ? ? & quot ; way , yes file Attorney General , Better Bureau Department Health complaint . 
 Aug 21 2009 	 Standard hotel great location great price . 	 Milford standard large NY hotel , 1200 room believe . old build old pipe , however lobby nice , hotel generally clean , elevator work well , service people good professional . room small standard NY room , good sized bathroom , toiletry . second stay Milford , mildew problem bathroom . clean staff need throw away old rag start use heavy scented cleaner new equipment . bathroom smell mildewy clean . room in - room safe , medium tv ~40 channel , good AC , responsive professional staff . the location excellent , everything within 2 block , include Theater District / Times Square , subway & amp ; bus , 9th Ave food Hell 's Kitchen , market / pharmacy , etc . starbuck block away cheap internet wifi , hotel offer internet . change & quot ; business center & quot ; long free . instead computer usd $ 0.25 per minute internet , cheap . overall , hotel good money location , especially NYC . 
 Aug 20 2009 	 Disappointing 	 value decent room holiday , stay , get one ! travel New York parent brother , 30th birthday celebration . travel New York numerous occasion want Upper Midtown/ Times Square area . choose Milford Plaza recommendation expedia , whose picture hotel look lovely . when arrive lobby nice staff friendly . however , room disappointing . small , although 2 ( call ) double bed , definately would enough room 4 people ! room unclean smell damp . limited space suitcase idea would fit 4 room . when informed front desk concern attitude change previous friendly demeanor , unhelpful smuggly remark stay Milford Plaza , Hilton . reply although Milford may cheap , standard still acceptable level , . staff completely uninterested . it often say holiday room least important thing need sleep . agree , staying room feel like could powerful , hot shower good night sleep , room not smell mould look unclean . 
 Aug 17 2009 	 Confortable Hotel excellent location 	 stay Milford 7 night . location excellent . actual hotel undergo external renovation inside clean staff courteous helpful . our room clean every day without fail fresh towel bed make up . aside big fan outside window , room quiet , walk sightseeing , tired do not even notice noise end . I would recommend Milford budget traveller would defenitely stay . look 5 star accomodation , . enjoyable stay . 
 Aug 14 2009 	 good value money 	 2 * Hotel base centre New York City , Plaza wonderful value money . staff helpful , room clean lot space . would recommend hotel traveller stay , Location excellent ! . 
 Aug 12 2009 	 great location - glad stay ! 	 book trip Expedia - flight plus 7 night hotel . pros- ABSOLUTELY FABULOUS location . right middle theatre district block Times Square . tourist really , could ask ? - subway 2 block away , easy use . - safe . guess touristy come always people street . young female walk around 1 , feel safe . - Air condition : ) - Windows . good view city building : ) - flat screen TV- many eatery around therefore please not book breakfast hotel easily get cheap breakfast right outside door . - will say , location location location ! ! ! actually come & quot ; partly & quot ; business middle midtown would take 10 - 15 minute walk Park Avenue / Rockefeller centre .... Cons- never slow internet connection . maybe room location boy oh boy ... nearly kill follow work stuff . pay : ( - shower water pressure not great , water hot really big deal . would totally recommend stay visit : ) 
