excellent 	 wife truly enjoy recent stay Sheraton Hotel . value money outstanding - know price pay reflection current difficult economic condition really worth much money . room facility comfortable become home week constant activity . look forward come back room every evening , & quot ; island tranquility & quot ; , overlook river quiet . front desk housekeeping staff make we feel like special guest every day . really like free internet access link café ; complimentary Starbuck 's coffee Tazo tea generous welcome amenity . every hotel employee meet helpful pleasant . love central location stay Thanksgiving Week hesitate return hotel next opportunity present . much could say little thing make stay enjoyable , obvious staff training attention detail well intangible , & quot ; positive attitude , pride willingness please customer & quot ; evident throughout facility . 
 Jul 5 2009 	 within Walking Distance everything 	 hotel within walk distance Magnificent Mile , museum , Grant Park Navy Pier . stay hotel couple time convenience . get extremely good rate , ' m sure contribute cramp quarter lumpy bed seem almost broken . bathroom light good , make difficult apply makeup . shocked get parking bill find half much pay room . guess traveller determine superb location worth downfall . may received discount rate room remember quite satisfied past . 
 Jul 1 2009 	 worth high price . 	 say disappointed hotel overall . save grace able get room $ 89 priceline location good . notice normal go rate around $ 250 $ 300 night hotel way shape form good enough charge standard room . hotel old , room reflect . color floor something 70 's . sink break , shower curtain tear bed not comfy . stay away Java bar money suck place inside hotel . glass wine $ 14 .... wine buy $ 17 whole bottle store . know markup seem little extreme . parking $ 48 day absolutely ridiculous . staff ok other say , check process slow . enough people hand handle counter rush people . find else stay , unless get cheapo price like , not pay going rate disappoint . 
 Jun 30 2009 	 bed way soft ! 	 gorgeous view , central location , nice amenity , can not get good night 's sleep , point ? squishy bed soft roll middle poor back shape letter & quot ; U & quot ; . go front desk fix situation learn marshmallow one new mattress , room firm bed . facility personnel come room let we know complaint common quick scan TripAdvisor site quickly confirm . 5 night not know hack . beyond awful bed , service friendly . standard room definitely small end scale furnishing look new 32 & quot ; LCD tv nice touch . hotel conveniently situate Michigan Ave . , Navy Pier , Millennium Park , Museums , great starting point . fix bed , can not recommend place anyone . 
 Jun 28 2009 	 choose another hotel 	 choose hotel due close Navy Pier part Starwood program ( gold member ) . adjoinng room . stay Chicago 8 + time year . parking easy bell staff helpful . check nightmare . long line enough staff . meet someone would well employ DMV . wait 5:30 check one room not go available ... well could not say . finally give pack everyone one room . later find rented room . book decide cram we one room ? make call . bathroom small without counter . small wobbley glass stand store hair dryer , tissue , etc . call three time would send extra towel . carpet wear dirty . bedspread look like 10 year old . flat screen tv nice . call room service rude . however , food arrive quickly . order inexpensive water bring $ 20 stuff . oh well , kid enjoy . notice people wait service outdoor cafe . choose eat Volare wonderful itilian restaurant within walking distance . bed old sagging toward middle make restless sleep . swimming pool smell amonia . well choice would WESTIN . ae two wonderful . otherwise , try Drake , Swissotel Marriott . 
 Jun 26 2009 	 pretty nice limitation 	 staff friendly room good size ( large downtown Chicago hotel ' ve see ) . Room seem kind old though ready renovation . hotel nice selection bar / restaurant . big complaint hotel layout convoluted sign , make difficult figure go . aware particularly self - park ; self - park garage label obvious access ( note : like downtown hotel , cost $ 35 / day ) . route garage hotel lobby long , windy , mark . seem like simple thing expect clear nice hotel . 
 Jun 25 2009 	 Nice river view 	 think place great . course , expect lot price , think thing particular hotel put other price point . first , right river . part hotel overlook water , low level step onto river walk . sit hotel watch boat go . nice . also main entrance little elevated side street . easy pull be drive . be walk , not step right traffic . room , everything clean comfortable . like lot expensive hotel , look every opportunity charge . not touch phone room -- even charge 1 - 800 call . also charge use fitness center . internet cost arm leg , go way b level , free wireless . also b level drinking water dispenser hallway want fill water bottle free . 
 Jun 25 2009 	 Hotel right price sevice local 	 every year , husband visit Chicago group friend shop , dining , night life ball game . first time ' ve stay Sheraton ( typically prefer Westin W Hotel ) recommendation travel agent extremely pleased . property within walk distrance Navy Pier , Michigan Ave many key attraction . cab ride Wrigley Field approximtaely $ 10 - $ 15 . without traffic , ride Midway airport apprxoimately 30 minute . room stay spacious nice view Chicago 's Navy Pier . comfortable ! ' ve stay know hotel chain Chicago find property par key & quot ; premium & quot ; brand property service , decor amenity without pay premium rate . would also recommend property family child , see many family enjoy lobby resturant . when travel back Chicago leisure , would certainly stay Sheraton ! 
 Jun 15 2009 	 decent big hotel alternative 	 stay hotel many time last couple year pretty satisfied stay . last stay also without big issue . other mention , huge city hotel really live Chicago convention business . room decent upgrade couple year ago . find room still pretty decent shape bathroom ( especially fixture ) change . Sheraton recently upgrade bathroom amenity Bliss product much prefer old stuff use give . overall never major complaint property . well one ? sure also bad one . location can not beat ! 
 Jun 14 2009 	 would expect big Sheraton Hotel 	 Sheraton Chicago big , touristy place good location want get Michigan Avenue loop . elevator efficient , room clean , appear amenity might expect type hotel . find bed way soft , may appeal other . room might find thousand place , although great view river high rise condo near Millenium Park . room quiet dark pulled drape close . we get pretty good rate Priceline last minute balance unbelievable price parking . 's Chicago , surprise . there nothing particularly bad good stay , would expect . 
 Jun 9 2009 	 good hotel priceline price great view Chicago River 	 get hotel priceline , price pay complaint . definitely worth pay . ask 4 star , hotel lobby , view location , room really 3 star -- rather standard , somewhat well Hampton Inn . clean , service good Priceline customer , treat second class citizen . win priceline , not worry . fine hotel ! not think would choose pay $ 250- $ 300 per night particular hotel , other beter review price range , however , adequate visit . well pleased . 
 Jun 8 2009 	 disappointing overall impression unreasonable high price . place avoid option 	 stay Sheraton Chicago tower almost one week convention , early June . cache price everywhere , poor quality service unfriendly / indifferent personnel , ' tell . ask smoker room , confirm ' make reservation , place find smoker room exist . moreover , find note room beware pay $ 200 smoke " smoker ' " room reserve ( ! ? ) . furthermore , wire internet access free hotel ' site reserve , room ' pay $ 14 " free " wire internet ( stay Hyatt San Diego last year price wireless connection $ 10 ! ? ) . enter room , find two bottle water table kind advertising paper collar warn drink water ' pay $ 5.95 bottle ( ? ! ) . room far away appear clear glass bath disappoint , everything move fall touch . white - grey towel , embarrassing smell chemical ( chloramine ? ) . bed never change , well soap shampoo bathroom , unless explicitly ask housekeeper . annoying noise room , somewhat like continuous buzz combine clock rapidly put stop night sleep first two three day stay breakfast boring , maximum 3 - 4 alternative , contain egg , bread , ham potato ' chance low - calorie diet . brief overall impression disappoint , price unreasonable high advice avoid place another solution . 
