Fantastic 	 Dispite say , one , good hotel stay Chicago . travel Big City three time year pleasure James rate well . upgrade staff make stay worth special weekend visit . not believe disapointe . 
 funky decor shame lifts 	 stay James weekend work Chicago area . location fantastic shopping sightseeing . room 14th floor not notice noise reviewer mention . like decor ( modern ) find room comfortable free wireless useful . toiletry ( Kiehl 's ) particularly nice . eat restaurant ok . main problem hotel lift - end wait colleague 15 minute one occassion one two customer lift action lift tiny . would also recommend staff correct british guest use word & quot ; lift & quot ; rather & quot ; elevator & quot ; - 15 minute wait quite irritating . 
 Nov 7 2006 	 Verge Luxury 	 James Chicago new concept deserve attention . almost start W Hotels , take everything problem , make right . this hotel feel edge luxury , concentrate & quot ; cool & quot ; market oppose luxury market . four season , experience leave sense someone concentrate differentiate hotel , still keep element frequent hotel guest well business consumer would want . note : parent 's hotel . matter age , guest appreciate experience , would say room would skew MUCH 25 - 45 crowd . pro : -staff : phenomenal . efficient professional , impressed able infuse attitude condesende & quot ; cool , & quot ; still make check - in check - out process top notch.-Cool Factor : entire experience & quot ; cool . & quot ; flat screen tv & quot ; projector room & quot ; suite room ( lucky enough upgrade promotion ) , place exude cool . entire time , feel little thing room make place top . -little thing : Kiels bath amenity , comfortable bed , stereo room , focus & quot ; wow & quot ; factor make hotel unlike . imressed.-food : primehouse really amazing . order selction dessert ... amazing.-comfort : comfortable room regardless part room ... sleep , watch tv , bathe well.-Business amenity : big room , free internet , work space , comfort , restaurant terrific client entertain . winner overall . con : -Too cool : lobby leave feel underwhelme , area get elevator . feel much cool Luxury . give sense oxymoron induldge top quality product yet feel little place here.-Age Factor : honest , wonder someone 50 would feel like stay . technolgy alone enough confuse people age , place could much old crowd . wonder old crowd would feel welcome ... especially price - point.-value : say early , & quot ; W Plus & quot ; feel . like W , absolutey LOVE James . think W top , like James . get upgrade room , value terrific , though . overall , hotel highly recommend . would say feel skews much young , especially price - point . perfect yoy want say , & quot ; wow , expect . hotel much well expect , many wow factor . & quot ; , place . try , fun Chicago . 
 Nov 4 2006 	 great Stylish Hotel 	 stay James Chicago anniversary could not happy . hotel stylish modern everyone doorman front desk attendent friendly . location great room super stylish modern . would stay anytime . get room priceline arrive room reserve not available , without even ask front desk upgrade we suite seating area . room bit small side not enough complain . overall great hotel , definately consider stay next time Chicago . 
 Oct 29 2006 	 Liked try hard trendy 	 James Hotel many plus , 's location one . locate within 30 second Michigan Avenue , be aperfect hotel planning tread Magnificent Mile . the lobby small adequate . smell gas ( natural , heating kind ) smell persist despite we alert staff one occasion . the room stark . ' ve stay trendy hotel James lack warm touch , even red chair make room feel bleak . say , large room city centre hotel well furnish equipped . plasma tv entertainment centre include mp3 player connection apreciate . bed exquisitey comfortable . top mark bathroom . door slide little heavy stylish yet functional . Dr Kiehls toiletry well receive . shower powerful towel soft . all would return , hotwire / priceline , hotel 's price list little steep . 
 Oct 14 2006 	 Perfect stay James 	 comfortable experience hotel . front door greet smile , modern simplistic design inviting , room spacious bright . room service twice day . David Burke 's resturant super plus . would come back 
 Oct 10 2006 	 think modern . great hotel century ... 	 Excellent Stay ! ! traveler jade martini 's simplicity , stay somewhere else . trendy , close shopping , resturant night life . 
 Sep 24 2006 	 Loved - go back 	 stay long weekend July . love much go back Thanksgiving ( Canada ) . hotel boutique hotel huge entrance / lobby may expect . room beautiful flat screen TV 's , modern decor , duvet comfortable bed . location perfect want close Michigan ave . restaurant site excellent ... huge portion meat ... try martinis rock ! ! 
 Sep 5 2006 	 Lacks Attention Detail 	 good thing hotel go workout facility . location bad either do not expect view . room studio suite 17th floor . adequate , hype , lack attention detail . example , air conditioning noisy , safe high normal sized person reach comfortably , shelve drawer , shower nothing special standard motel 6 style tub unreliable water pressure . additionally , recieve turn service matter , much way housekeeping . conscierge line busy two hour make reservation dinner . mimimalist martini motif tad overdone unoriginal- bar room 4 glass martini none champagne . hey , least bed comfortable . 
 Aug 31 2006 	 Cool Trendy Hipster Hotel 	 stay business great ! free wireless internet can not beat . bed super comfortable . gym AWESOME ! ! ! use everyday equipment sup new w/ tv attach equipment . plasma tvs nice modern touch . not par ? much- kind tell certain thing still need renovate ... tell certain room product patch renovation job ... ' m sure change w/ time ... room service menu little lack ... desk work room ? ? ? be little strange since hold quite business meeting . other , great hotel w/ fun vibe close ton restaurant / shopping . bad choice go Chicago ... price bit steep detail get iron may worth . 
 Aug 29 2006 	 fine 	 good thing new James go publicist . simply open travel magazine without stumble accross article aspect hotel . truth James absolutley fine . make mistake , ' ve see ... self conscious design , minimalist decor , determinedly groovy ambiance . brand new room ( deluxe , many overlook inner court ) smallish , failry stark yet full amenity . gym terrific , . one owner man behind Equinox chain . would stay ? probably . high end Penninsula , Park Hyatt Four Seaons favorite . mid price rage Sofitel well bet .. especially opt amazingly reasonable Executive suite sprawl one bedroom . James , attempt little bit ordinary . 
 Aug 22 2006 	 Awesome BEWARE 	 recently book long weekend James , hardly review rely upon . truly unique - hip , trendy cool . room amenity beyond expectation ( ugh , except bad smell toiletry ever / bring . many negative comment would think would change ) . location could well staff professional accommodate every level . gym outstanding , although not opportunity try , hear restaurant excellent . ok - bad part . please beware - , even suspect allergy feather stay . think wonderful bedding linen ever experience , send ER , make miss entire last day stay . cover head toe fiery hive prescribe pretty heavy - duty medication . although staff apologize profusely housekeeping change bedding , suspect allergen permeate entire room . immediately upon return home , rash clear . hotel offer non - allergenic alternative , doubt , not take chance . reaction far serious rash . pity since James would first choice return trip Chicago . 
 Aug 17 2006 	 okay James 	 Date : August 12 , 2006reviewer : Lincoln , NebraskaOur stay James quite nice . room reasonably sized , contemporary furnishing ( think W Hotel chain ) . 40 & quot ; flat - screen tv quite nice . advertise Ipod connection in - room stereo , luck get work . the hotel well locate , want stay near Michigan Avenue . workout facility nice ' ve see hotel . great workout equipment plenty . staff seem quite good , except room not clean 2 pm 3 pm . around 4 pm , appear turndown service ! bellman nice helpful , front desk staff competent . not get chance try bar , appear lively . overall , nice stay likely return . 
