Nov 	 Favorite City 	 Great Hotel close Moscone Convention Center work downtown walking distance anything want . 
 Dec 27 2007 	 great location parking expensive painful 	 hotel location great , close shopping , easy get ever want visit . room clean , bed comfortable , bar top great view , lobby nice . parking expensive , valet parking . could issue go time , sometimes wait car busy . when get , bf run use restroom , unload luggage car . amazingly , bellman come offer service . end pull luggage lobby ! , enjoy stay much . 
 Dec 24 2007 	 Perfect Holiday Spirit boost 	 first time use Priceline . look Hotwire , 4 star price $ 139- $ 159 , look regular price Travelodge Lombard ( least expensive hotel would consider SF ) get quote $ 86 , pricelined $ 89 night , SF Marriott say ok . regular rate Marriott.com room get $ 286 night book happy rate . the lobby process move find layout hotel little confusing three elevator bank , long hallway multiple path room , exit 4th street rather Market Mission would seem logical . also little bothersome run blower dry carpet evening floor . I give corner room ten window overlook Market Grant Chinatown Gate . plenty light cloudy week . heating could well , room great condition . day pass maid service become less well do , acceptable . lobby staff great . as far location tourist site , well little normal tourist path , take F streetcar 4th Market Ferry building Fisherman 's Wharf Cable Car back Powell Market block away hotel . bus site right long use public transit difficulty stay . buy bus pass Tourist Center Powell Market ; $ 24 7 day - bargain . CityPass also great deal like art $ 54.I use BART SFO hotel $ 5.15 way . Powell stop exit corner hotel . cheap eat nearby basement food court Bloomingdale 's lot Union Square place . crowd Union Square cool temp need get Silver Bells holiday mood . great stay , great price . 
 Dec 10 2007 	 Great Trip 	 get back weekend trip San Francisco Marriott . love San Francisco Christmas Marriott great place stay weekend . we lot shopping proximity Union Square surround shop excellent . work lobby area little confusing get around always someone nearby lead we way . room not large plenty space wife feel cramp . flat screen lcd tv plus 's location corner room near window open space middle room . bed probably comfortable hotel bed ' ve ever sleep . book hotel $ 94 bid priceline happy get great price . king size bed 20th floor great view . parking pretty expensive ( $ 50 / night ) would look park nearby parking lot save money . 
 Nov 28 2007 	 Beautiful Hotel 	 stay week business trip room excellent . comfortable bed ! room service / food not anything rave hotel center city grab bite eat fabulous restaurant area . 's great place stay heart shopping , attraction , great food ! feel free ask question would like info . 
 Nov 22 2007 	 great stay 	 Stayed downtown Marriott . place great location central everything may need . stay 4th floor ( 4019 ) window overlook alley service entrance . early morning ( day ) large sewer truck park window worker make great deal noise . also lot street noise penatrate close window . also ton remodeling contruction hotel location ambience total disarray . staff attitude match ask three different elevator use . plenty great hotel nearby would avoid property get contruction do realize competition great hotel nearby . oh , almost forgot , cost $ 50 / day park hotel ( ) top car damage valet . loyal Marriott customer , avoid place . 
 Nov 17 2007 	 great location excellent stay 	 right shopping district / Union Square ! take subway SFO airport please block station hotel . plasma TV great , bed comfy . daughter enjoy indoor pool go everyday . 's short distance end cable car ride perfect . hotel busy 4th July weekend , great time . not much interaction staff , everything good . 
 Nov 15 2007 	 Super 	 spend two night SF Marriott excellent stay . attend conference hotel . location convenient , restaurant , high end shopping district , nearby BART station . staff friendly . request high floor & amp ; get room spectacular view city . currently renovate bottom floor 's hard tell ' ve modify operation work around temporary lack space . nothing bad say stay . 
 Nov 5 2007 	 Meh 	 good : LocationThe bad : free internet optionsDo disturb mean disturbno fridgepricevending machine next tv room remind constantly be & quot ; nickel - and - dim & quot ; bad room / elevator layout . complimentary hallway bicycle give distance expect walk get room . the end : will not stay . 
 Oct 27 2007 	 shameful shady bribery racket go despite wonderful room 	 despite dreamy , marshmallow bed room meet standard ( get pay , property be not ' cheap ! ) , truly disappoint shady operation blatantly go employee work , want bring attention . outside hotel taxi line airport . valet let bypass line immediately taxi slip $ 5 $ 10 . not give anything , will tell wait line ( take long time ) . not seem bad yet , wait -- - TAXI DRIVER surreptiously slip $ 10 privilege get long airport ride ! valet rake cool $ 15- $ 20 per taxi customer , give high activity level Marriott , guy rake $ $ $ per hour take advantage customer taxi driver , book . my colleague carefully watch unfold outside : Valet top hat greeting customer , see get bill , valet & quot ; pretend & quot ; tip customer & quot ; reservation . & quot ; taxi pull , valet say & quot ; 's name ? & quot ; front poor people wait line , lead customer taxi . Valet lean Taxi driver 's window & quot ; give direction & quot ; slyly get take . get taxi , driver admit pay valet . ask , say choice . & quot ; not pay , will get next taxi pay . need money long ride airport important salary . cop know bribery racket not do anything it . & quot ; also add sometimes price $ 15 get airport ride . now may shrug , stay ? much , maybe . say lot Marriott treat customer exit property , pay $ 350 + night stay . leave bad taste mouth . 
 Oct 26 2007 	 careful rate ! 	 stay late October . room pretty nice , common area bad either . room book conference rate $ 199 plus tax ( $ 48 ) . check rate charge $ 349 plus tax ! desk clerk helpful attempt resolve , ultimately contact manager duty statement & quot ; please come front desk , another one & quot ; . manager attempt convince we rate correct even though another couple travel exact date correct amount charge bill . difficulty get story straight regard timing reservation ( nothing say demonstrate reservation make 3 day early travel companion , state couple receive well rate early reservation ) . ultimately refuse honor rate became exceed rude decide leave . plenty nice hotel S.F . will stay somewhere else next time be town ! 
