Great 	 clean , great service location . close cable car turnabout shop . stay Studio suit travel family free breakfast promotion beat . negative & quot ; private & quot ; toilet room bathroom pretty standard staying suite . kid love ride glass elevator 19th floor location . 
 Mar 5 2007 	 Comfort City Bay 	 easy leave one 's heart San Francisco , especially book room JWM current rate . first , location ideal . one easily take Bay Area Rapid Transport ( & quot ; BART & quot ; ) SFO $ 5.15 arrive Powell Street station , emerge subway right smack dab thick City Powell meet Market Street . roll good times hill block past Union Square JWM check friendly desk clerk third floor lobby , bit dark serene . one four glass enclose elevator come quickly fetch lobby take one 22 floor , hall light airy , room clean , bright , comfortable well appoint . room feature king bed soft sheet fantastic assortment pillow , soft firm , short long , down - fill polyester ; count least six . impressed , particularly since hotel far often overlook skimp essential ingredient good night 's rest . the room good work thermostat , wet bar , small fridge , Bose clock - radio ( alas CD player ) , coffee maker , flat screen television ( alas small one ) , cotton robe ( ala slipper ) . carpet look good crown molding add nice touch , furniture date . window treatment effective window actually open , double - pan noise proof . bathroom well lay attractive fixture , mirror marble . separate glass shower , full length tub , myriad toiletry , plenty towel . Maid service morning turn - down evening exceptional . topic service , JWM folk meet friendly response time ice room service ( since ice make machine ) stellar . there adequate gym working 5th Floor television , complimentary towel , water bottle apple . sauna , jacuzzi pool ( get go Ritz Carlton Nikko feature ) .followe major redo property tell underway , would expect room rate rise well . , $ 190 per room ( 360 square foot version ) , night , along great sight , sound , taste City , go long way towards steal heart .... 
 Mar 5 2007 	 pink marble everywhere ! 	 overwhelming memory hotel bathroom really naff grant sort historical preservation order . pink marble , gaudy fitting - incredible . problem keep spot pink marble elsewhere hotel leave deeply traumatise . good news hotel 36 m dollar makeover - hopefully bathroom top priority . pink marble aside 's nice place bit date . big , open lobby intimate enough enjoy pre dinner drink . breakfast service friendly efficient valet parking . central location , Union Sq . make ideal place stay enjoy downtown restaurant careful wander Tenderloin nearby - feel threaten vulnerable ( jostle call white trash ) . 
 Mar 3 2007 	 great location 	 stay JW two night last week enjoy Union Square location . hotel lobby attractive nice restaurantfor breakfast good buffet . room abit date , comfortable . kingsize city view , bathroom spacious modern . not restock mini bar toiletry without we call , personal butler available . Hertz rental available within hotel . rent car drive hour Napa Valley , Sonoma Carmel week California . 
 Feb 5 2007 	 Perfect Stay 	 boyfrie stay past weekend long weekend away cold NYC . fabulous stay . room quite spacious give price room service excellent . morning Concierge ( Andrea ) wonderful plan trip amaze we . would stay away evening Concierge ( Kyle ? think ) b / c really not listen look Andrea rock ! thing find unnerving fact mirror EVERYWHERE bathroom - could watch shower , take bath , brush one 's teeth unmentionable act . lose mirror would helpful . 's minor issue . extremely picky pleasantly surprised place - especially read comment say look & quot ; date & quot ; & quot ; wear . & quot ; want something modern new go spend money St. Regis Hotel Palomar . definitely get pay : comfortable bed , great service , positive stay . 
 Jan 29 2007 	 Loved ! 	 local , want spend night city . hotel excellent service . everyone wonderful helpful . room awesome . nicely decorate clean . bathroom huge everything could possibly want . highly recommend hotel everyone . hotel within walk distance Union Square downtown shopping area . 
 Jan 28 2007 	 nice hotel bathroom although gorgeous could use improvement 	 hotel service excellent , complaint . visit business , associate book adjoining room 10th floor . view , government rate , view . room large comfortable , robe plush . bathroom , although gorgeous , problematic . fairly short ( 5 ' 2 & quot ; ) counter space backsplash - sized ledge behind large Kohler sink . difficult reach thing sink . bathroom counter space would nice , would gladly give tv space . similarly , shower tiny , even someone size . 120 pound , find show small confining . ( hope drop soap not much room bend pick ! ) water pressure also good . would prefer use tub ( hand - hold shower ) , curtain . would stay , fact bathroom ( major concern stay ) functional want . 
 Jan 21 2007 	 Great Room ! 	 stay hotel Pan Pacific . room luxurious price . comfortable bed ' ve sleep . bathroom marble tv bathtub . hotel quieter side , nightlife lobby good relaxing stay . 
 Jan 10 2007 	 Great Place Location 	 read review several major chain hotel website , finally decide JW Marriott . disappointed . location great , 1 block Union Square cable car stop . quiet location handy restaurant . walk BART station Powell St although uphill bad ! . hotel due refurbishment Spring 2007 . room spacious comfortable . front desk helpful friendly . would stay . 
 Jan 7 2007 	 great stay location 	 read review hand stay Ritz Carlton twice expectation high ! not disappoint . wife 's birthday book Romance Package include nicely appoint room , champagne , chocolate dip strawberry , buffet breakfast . $ 200 night ! sure valet $ 42.00 day parking stiff big city . location ; short block Union Square shopping , half block Currant Theater good resturant within easy walk distance . buffet breakfast simple well do plus order egg , pancakes waffel way , extra charge . service impeccable courteous . Ritz super place stay away shopping resturant twice price good ! plus steep walk Union Square mountain walk back we fifty year young people . Marriott JW would vote go City Bay 
 Jan 4 2007 	 great location 	 wife stay Marriott Dec 27 - January 2 . location beat . one block Union Square . small hotel ( 400 room ) front desk staff recognize we name , example difference small hotel versus 1,000 + room San Francisco Marriott 4th Mission St. the hotel management take great effort keep noise New Years eve , even post extra security lobby . feel comfortable safe hotel . service excellent . everyone welcome we greeting smile . 
 Jan 2 2007 	 problem 	 stay location many time Pan Pacific first visit since become JW Marriott . little leery review , great stay . complaint , whatsoever . Cleanliness , service room great . look plan renovation later year , thing get well . 
 Dec 31 2006 	 good stay Marriott 	 wife stay Pan Pacific several year ago , become JW Marriott , happy stay . part , Marriott continue tradition . bed large comfortable , view good service excellent . problem wall seem thin every morning could hear & quot ; neighbor & quot ; 2 child . father would talk phone child would scream , yell run around ; would start 7am . Marriott would well advise invest sound insulation sort keep family child near . location one block center union square , key point choose hotel San Francisco . like JW Marriott , love Pan Pacific . 
