MGM 	 beautiful room , great view , close much fun , include much need Walgreens & amp ; CVS Pharmacy . Nathans awesome & quot ; fast & quot ; food . pool gorgeous . Television City fun . casino crowd cool . negative free amenity ; mini - fridge , coffee pot , essential family . otherwise fantastic ! 
 Great Hotel ! 	 hotel great ! busy , always treat like value . bed extra comfy , show KA David Copperfield MGM see ! like MGM something every time day . great pool , huge casino , lot show , lion habitat , amazing ! would stay ! 
 good family 	 not come gambling nightlife , come chill end long road trip . although Vegas mad hard work find hotel relax pool complex fantastic . hotel 's location great low end strip monorail back bus stop front - would not bother monorail time ' ve walk back hotel could bus away strip . grand tower room ( clean v comfortable ) 29 , bit daunt first worthwhile view great get free wifi skyloft . 6yr old daughter love pool , ( sleep ) lion , Rainforest Cafe , New York fairy castle across road , good bellagio fountain 20 minute strip . 
 Grand 	 first trip Vegas book MGM high hope - take we around 30 min get check . seem enough front desk staff handle volume people come through . when get room disappointment - firstly smell damp ( possible Nevada ? ) . one kid immediately need restroom report back toilet clean . room miss coffee maker fridge old tube tv - feel 10 - 15 date . pay Internet $ 15 / night seem steep quite low speed . the Grand buffet disappointment breakfast - carbo heavy offering little fresh fruit cereal - display counter top cooking station clean several week judge thick layer dust . also poor Sudio Cafe breakfast - Denny 's quality $ 30 per head . the casino however one well play week . we stay 2 night happy move strip venetian order magnitude well . go somewhere else well money ................ 
 MGM good 	 First hotel huge ! something like 6,000 room . good part ton thing hotel without ever leave . , leave , right middle everything . highly recommend Ticketbooth block street . get ticket Cher $ 60 ! hotel , room nice bed comfy . stay regular room time try West Wing . not bother spend $ upgrade . room small bathroom room - door , shower next sink toliet . strange . regular room much well , large view ( West Wing bed window ) . third time MGM would stay . use trip advisor get great deal $ 25 day activity credit along $ 70 night rate . far good rate internet . thank trip advisor ! 
 watch wallet ! 	 MGM blatant corporate edifice . want coffee ? starbuck available , least 5 . catch movie ? nope . . eat reasonably ? ha ! really joke . free WIFI ? yes ... $ 14.95 / day . the whole experience depress . take 45 minute check . afraid take long , could check time . stay away MGM . 
 great stay 	 Awesome hotel / casino .... absolutely monumental size great value money . casino look far great rounder . superb food shopping , really friendly staff nicely present room 
 hotel meet Las Vegas requirement ! 	 glad book MGM 5 day Vegas . staff accommodate check check , room clean beautiful view . bed extremely comfortable . restaurant range plush plush special section McDonalds Nathans want something simple . starbuck add also . its also great place gamble good location . 
 Las Vegas MGM Grand 	 Top Notch Hotel ! please accomodation ! 
 Great Service - Lotsa Fun 	 thoroughly enjoy stay MGM . take lot walk around get bearing , moment arrive , impressed . massive hotel benefit Cirque , shop dining right doorstep . one thing , prepare cost dine one many restaurant within hotel . delicious , expensive dinner seablue . great bar plenty slot . would return . 
 Nov 4 2009 	 Glad pick MGM 1st trip Vegas ! 	 12 night stay MGM Grand 16 - 28 oct 09 wedding / honeymoon . hour read trip advisor review decide sound good hotel we say glad pick hotel ! apology advance long review , 1st ever review I m hope give informative review 1st timer , ( particularly without bottomless pocket , like we ! ) put bottom thing hopefully useful regard hint / tip case do not want read whole essay ! ! ! ! arrive 8.30 pm friday night ( pay approx $ 15 dollar include tip airport taxi - long taxi line move quickly ) . line check - in , pre - pay holiday non - smoking king room book smoker ask smoking room available , 1 double queen room see picture trip advisor happy accept . check - in quick staff polite . queue lift ( seperate lift different section floor level ) , small queue , entire stay . we room 108 floor 29 - fantastic view mountain - room large ( ' smell ' like smoking room ! ) , 2 big bed choose , bedside cabinet , wardrobe ( light ) , tv ( cabinet drawer / cupboard space safe ) , 2 comfy chair table lounge type chair 3 lamp ( ceiling light ) nice picture wall . nice large bathroom shower bath . room clean good condition ( mark carpet near bed furniture - remember hotel room everyone treat hotel room would home ! ) love location top strip , within reach strip attraction & quot ; quieter & quot ; end . monorail 10 minute walk within hotel & amp ; choice nearby deuce bus stop within 10 min walk also ( mainly get outside Tropicana hardly ever queue oppose large queue outside Hardrock Cafe area ) . deuce bus well value stop monorail ) hotel massive , vegas hotel appear ( do not like walk guess vegas issue ! ) lot thing see / do within hotel , plenty place eat casual fine dining . visit craftsteak - nice staff fairly expensive quality . go McDonalds , Nathan 's hotdog , pizza bar chinese - cheap good ( particularly chinese ) , also use starbuck - 2 3 hotel . breakfast buffet several time ( $ 16 ) lot choice , good value amount eat ( stuff nearly day ) , service good early ( late ) avoid long line , ( lunch & amp ; dinner ) - pay day buffet last day , good value lunch dinner & quot ; & quot ; extras dinner . would not pay lunch dinner separate do not think either would particularly good value way great day combinationWe go MGM 's Crazy Horse Paris show ( 1/2 price ticket voucher variety booklet / tick tonight ) - good show & quot ; vegas showgirl & quot ; type production . we manage get 1 afternoon pool - nice lazy river fun - problem get lounger do not see single drink server afternoon . do not try wet republic area . there plenty shopping opportunity , Starlane Mall easy miss tho well signpost ( cheap vegas - ey type shopping guess that s hide away - leave main lobby exit side car rental area ) .there several bar / club go bar main casino - mostly bar seem reasonably busy ( weekend ) .We not gambler try slot - little mainly 1 cent slot little entertainment ! weekend casino busy ! ( big casino seem ) .that hotel - will give quick rundown general vegas trip seperate review Chapel Flowers marry . we coach trip Grand Canyon - originally decide go west rim little near opportunity up - grade skywalk / helicopter / boat trip . persuade south rim would well ' more senic colourful ' - long day ( pick 6.20am return approx 9.30pm ) , view along way great couple stop , 1 10min stop back Hoover Dam ( allow stop front Hoover Dam tour ! ) - Dam look amazing would nice long quick walk proper view ) , 1 15min coffee stop way ( nothing special garage / store ) 45min lunch break Grand Canyon Railway , lunch rush least 3 coach load arrive buffet lunch I m honest low budget do not much choice . Grand Canyon AMAZING - get 1 hour stop 2 different point - food / drink opportunity souveni shopping / tourist advice place stop , - hindsight wish stuck gun do west rim upgrade helicopter and/or boat trip would topped trip ! go West Rim ! ! ! ! ! trip west rim little bit expensive think include bbq lunch indians , plus 3 hour nearer ( give time upgrade ) upgrade available want . Vegas involve lots walk ( bus riding ! ) - ton thing see , hotel fabulous design get spend money opportunity sit unless bar slot machine . huge range shopping opportunity . deuce bus $ 3 single trip , $ 7 24 hour unlimited trip & amp ; $ 15 3 day unlimited ) Bellagio fountain ( free ) ABSOLUTELY FANTASTIC ! ! ! - DEFINATE must see ! ! ! try see night ! ! ! Bellagio Conservatory ( free ) - Smaller expect nice displaysThe Mirage Volcano ( free ) - great show , well expect ! try near feel heat ! Sirens TI ( free - outside front main lobby ) - Fabulous free show - 20 - 30 min - try get middle walkway lobby get good view side - pack every time go past ! MGM Lions ( free ) - couple lion - mostly sleep tho ' ( cub occasionaly seperate section chance pic cub $ 25 ) - tunnel walk 10 foot long ! honestly , - bit over - hype ! Flamingo Wildlife Habitat ( free ) - have hear penguin ? ! ? - walk entire place see flamingo , various duck / swan , terrapin koi carp penguin ! ! ! Freemont Street - Downtown ( free ) - impressive light / music show night - cheap eat / drink , casino look little worn generally nice atmosphere round - stay light area night , general downtown area fairly rough place walk around night ! ! ! Imperial Palace Car Collections - impressive collection car make sure use 2 1 voucher worth full price ! mandalay Bay Shark Reef ( approx $ 20 adult ) - massively over - hype , sealife / blueplant type place 1 crocodile 1 komodo dragon,1 large lizard - tho ' 2 huge turtle main tank , definately not see 30 ft shark tho ' ! Stratosphere Tower ( approx $ 15 adult - ride well ) - fantastic view round - ride look terrifying ! ! ! ! Las Vegas Outlet Centre - Deuce bus go , worth visit time / like shopping , good bargain plenty food outlet . definately check voucher coupon attraction offer , tixs tonight look good value variety show / food offer ( use ticket Crazy Horse Show ) . make sure stocked water - walgreen 7 - 11 's seem cheap water / coke etc - walgreen also quite reasonable vegas souveneir ! beware timeshare tout - get know ! get good ( well ) deal show tix tonight pick free slot voucher give various booklet , without go whole timeshare thing ! & quot ; girl & quot ; ticketer fairly annoying slapping ticket try hand anyone & amp ; everyone ( seem double number weekend ! ! ! ) problem ignore they . we fantastic wedding / honeymoon / holiday hope review use ... fun ! ! ! ! ! ! ! ! ! ! ! ! ! ! 
 Nov 3 2009 	 not get much well 	 stay MGM October 25 - 27 . check registration desk airport 8:30am , book roundtrip airport shuttle way . upon arrival hotel go straight room . need stand line lobby . upgrade King Bungalow Suite . say .... wow ! room awesome . huge bathroom , wet bar , mini - fridge , safe , king size bed one side room sit area divide entertainment center swivel tv . 2 huge floor ceiling window overlook New York , New York Excalibur . good part bed . pillowtop mattress incredible . maid service great , twice day ! elevator divide different elevator range floor . elevator room , 14th floor , serve floor 13 - 20 , quite expedient . the pool area quite large . would ' ve liked see back lot river whatever , be closed winter . available pool area adequate bar snack service nearby towel provide . the food court great quite accessible . monorail awesome , even bit walk strip monorail station . no need stand line check either . fill express check - out card leave box near elevator be do ! drink service rather slow quarter slot , , be quarter slot ! yes , hotel big . yes , be smoke casino area . 's vegas , get ! , great trip great hotel . would definitely stay . 
 Nov 3 2009 	 HUGE HOTEL ! 	 would expect Vegas , hotel HUGE , room West Wing MGM 's & quot ; Boutigue & quot ; Wing , room nice , modern bathroom tv mirror etc , however small fine however would like share bathroom door , modern toilet shower door frosted glass whole bathroom open , lovely book West Wing room unless room , also disappointed lack view however hugh hotel bind room glitzy view Vegas . hotel great , lot fun , lot bar restaurant . would recommend MGM Vegas Experience , lively fun stay . 
 Nov 2 2009 	 solid value 	 good value . , lot experience . not fabulous , not suck either ! first Vegas place pay pocket poor college student poor graduate student boyfriend ( November 2007 ) , hold pretty fond memory us : ) sprawl place , pretty well - run . kind get use feeling like little cog massive machine . service impersonal , fairly brisk efficient . get regular frill room , satisfied receive . around 400 sq . foot , king bed cool shape couch . bathroom average . main draw we fact place big everything . mega sized casino , decent minimum black jack slow night . also ton restaurant . first time , poor go anything except McDonald 's food court , even food court fun sit ! open airy , good people watch . I know come back visit restaurant get hand cash though . could not walk eye - pop restaurant row without remember good . ' ve since stop try Wolfgang Puck Bar Grille Fiamma . not disappointed ! south end location Strip make MGM easy get airport , be far rest strip . 
 Nov 2 2009 	 awesome Hotel ! 	 enjoy stay MGM Grand ! big hotel ever ! room great staff always friendly ! 
 Nov 2 2009 	 pretty good niggle ... 	 stay MGM 7 day - 23rd October 30th October nothing ' wrong ' hotel , however compare other look bit faded . we ( friend ) stay Grand Tower , Floor 8 , Room 311 take 1 minute get lift . would suggest get room low ' XX ' number close lift coridoor quite long ! room exceptionally clean , double bed EXTREMELY comfy towel lovely fluffy . our room clean every day high standard 38 channel choose . want buy movie , leave credit card behind desk authorise $ 200 ( not , friend ) . room service FANTASTIC - fast , food brilliant . staff polite friendly say ' Good Morning ' pass they . as hotel - low lighting pretty nasty . lot hotel ( Bellagio , Mandalay Bay etc ) lot airy light actually spend time , wander . Buffet $ 16 breakfast eat twice . service pretty good , free top up orange juice whatever want selection food MASSIVE . get quite pricey eat time , actually grab muffin tea Starbucks morning ( note : English Breakfast Teabags call ' awake ' teabag Vegas ! ) one bad point checking , bloke reception desperate sell one friend ' Prima ' card . pay $ 500 thing spend $ 500 get £ 50 extra card + 2 1 ticket certain thing ... not bad idea , spend much hotel - however , comment ' you would stupid ' ' hard sell ' approach 10 hour flight + 24 hour not pleasant - would say , friend seem co - erce it . the MGM pretty much first hotel airport , pay $ 15 ( include tip ) get take 10 minute . would stay ? yes , happy use hotel base spend day elsewhere . see ' Ka ' MGM Cirque Du Solei really , really good . $ 14.99 internet pricey find free wifi Venetian Casino Miracle Mile buy internet 2 day - work fine though . we stay sister Husband get marry MGM Wedding chapel - aside note , wed people amazing , helpful service amazing . photo ( good ) within 24 hour thoroughly love . 
 Nov 1 2009 	 great location great hotel ! definitely stay ! ! 	 get offer stay 3 night free . took take girl trip Vegas ! never stay , definitely go back . stay deluxe room great view NYNY , Excalibur , Tropicana , Luxor ... room big clean , bed big soft . location great ! cab ride to / from airport $ 15 way include tip . , monorail station hotel . buy 3 day pass total worth ! ! ton great restaurant casino - eat sushi Grand Wok one day lunch , breakfast buff morning Grand Buffet . ' ve Emeril 's dinner 's great . casino large busy . 's great place hang play . weekend night really busy , kind dead first part week ( kind norm ) . , great hotel great room , would definitely stay . 
 Oct 31 2009 	 barely adequate - drab 	 glitter MGM drab place surface . check slow ill inform . & quot ; attraction & quot ; significantly overprice . buffet variable temperature quality - meal every day . staff buffet consistently well mannered polite . casino machine loose still real problem smoke allow albeit casino area . pool area spoil incessant unnecessary loud music particularly user MTV generation . the room poorly equip - even kettle coffee pot work fridge - internet $ 14.99 / day extortionate . range tv programme poorly select pay view film expensive consider particularly current .The MGM much away centre strip lot walk ride require go anywhere . deuce bus go $ 2 day $ 7 in one year - still fairly good value frequent . 
 Oct 30 2009 	 Loved hotel spa 	 room great price , bed comfy . loved size place , could stay one week Vegas , would not really need leave hotel . food various restaurant nothing less excellent . get to try spa ! ! bartender also make great bloody mary . 
 Oct 30 2009 	 great location great hotel price ! 	 stay 5 night Nov 2008 , good hotel , quiet room spacious . stay Grand Towers . thing wish include breakfast . otherwise top notch hotel would stay anytime . never say housekeeper staff floor . 
 Oct 29 2009 	 Good hotel 	 stay MGM Grand 6 night , 10/13 – 10/19 , Celebrity Spa Suite . fifth trip Las Vegas , first time stay MGM Grand ( although stay adjoining signature property ) . find nice hotel , mostly meet expectation , occasionally exceed . room rate $ 880.00 6 night , include tax , use " Exclusive Offer " promo code list Fatwallet.com . think good rate large room ( almost 700 square foot ) separate sitting room , wet bar , 2 - person spa tub . offer include perk , 2 - for-1 buffet daily . really liked include free gym access two daily . Working Las Vegas hotel get expensive ! check airport . check - in quick easy . clerk offer choice two room , 8th floor 28th floor , warn latter long walk hall . choose view , also hope location end hall would quieter . room 28 - 240 beautiful view southern Strip , airport , mountain . room lovely — very clean nicely decorate , good - quality toiletry , excellent bed linen include european duvet , one comfortable bed ' ever sleep . tv date ( hd even flat - screen ) , otherwise everything look modern good condition . housekeeping service timely , unlike Las Vegas hotel ' return room 6 pm find make . clothe hanger closet arrive , call Housekeeping result armload hanger deliver less 10 minute . safe large enough think would hold notebook computer , small , cold refrigerator wet bar . minibar , fine we . plenty mirror , good lighting , lot shelf space tv armoire . sit area desk two chair , sofa , comfy easy chair . the bathroom large elegant . plenty fresh , fluffy towel provide daily . spa tub relax long day walk Strip ! problem shower . first , shower head 5 ' 4 " floor . bend head get , 6 ' 3 " husband practically crouch . shower also drain slowly first day , report Maintenance . apparently problem ' fix , next night drain tub , shower back black sewer waste come onto bathroom floor . Maintenance respond quickly professionally , immediately fix problem call prompt cleanup . drag people room want relax soak , seem problem could prevent call previous day follow . bad problem shower , however , COLD WATER . usually ok afternoon , morning , run shower 10 - 15 minute water get warm enough bear . oddly , warm , usually fine long need . report issue Maintenance three time , never able fix . last time , say something we high floor . satisfactory . other cold shower , maintenance service MGM Grand excellent . gym nice : 10 treadmill , 2 regular elliptical , 6 Precor elliptical ramp , 2 Stairmasters , 2 skating - type machine ( great thigh ) , 6 bike , 12 weight station , lot free weight , bench , medicine ball , etc . ' large gym huge hotel , never wait equipment . 4 big overhead tv tune different news sport station , well individual tv mount equipment . receive mostly big news station local LV station . little disappointed get cable station like Travel Channel Animal Planet . gym access $ 15 M - Th , $ 25 Fri - Sun ( weekend rate include spa access ) . charge room instruct , sure enough charge vanish final bill promise promo . checkout quick accurate . summary , satisfied price satisfied room service . issue cold morning shower . would probably still stay MGM Grand right price , maybe choose different room type location hope get hot shower water . 
 Oct 29 2009 	 would recommend 	 say .. amazing hotel , amazing location , room clean spacious , nice view . would definately recommend everyone . 
 Oct 29 2009 	 MGM Grand - Jail 	 recently travel Las Vegas group 5 couple - 10 total . arrive Saturday checkin fairly smooth . group either 13th 9th floor West Wing . West Wing seem like be give second class ticket - room smallish decorate modern style style functional . enter room automatically bathroom frosted glass sink horrible lighting seperate stall toilet shower frosted glass door . enough storage space tv mirror nice feature not work . the rest room consist king size bed desk chair 20 inch tv closet . bed good part room . rest forgettable . view top building next we look north window behind bed obviously room mean show view . as walk toward west wing - light turn would consider normal almost dungeon carpet colors wall colors change county jail gray . elevator west wing scuff tired . look like west wing place people get put expect beat crap room facility evident . one nice thing west wing proximity exit strip . & quot ; back door & quot ; get alley access strip . eat MGM Studio Cafe food great , price strip price service average well . we gamble sport book far small . watch game either Rainforest cafe bar Centrafuge - locate close bar much comfortable . MGM hotel , casino , shop pool huge intuitive easily cause screwup - need ready walk probably back tracking get familiar layout . cell phone large group life saver Vegas . Cigar / Cigarette smoke Vegas nasty MGM immune - 's enough make want sit table bar 's Vegas . Taxi stand good service par . dealer agent casino well average . pool scene pretty good although go wet republic club MGM ( really scene ) .overall - go back ' m likely - many hotel try - would definitely stay west wing know location well would advantage . 
 Oct 28 2009 	 Overall ... worth 	 go MGM Oct 19 - 26 - 09 . Got hotel wait line roughly 20 minute check . get 9 am room ready , expect . tell leave bag bell hop come back around 12:30 . come back 1 3 room ready . call bell hop bag bring 5 minute . big nice bathroom , decent closet average tv limit channel ( spend much time room anyways ) , 3 hour night sleep shower ... seriously . bed comfortable ' ve ever lay life . read lot review people say good idea actually lie . location ... fair walk action middle strip . big hotel south MGM Luxor Mandalay Bay . hotel huge ! ! lot walk prepared . waitress service table game pretty good , well casino dealer nice . $ 25 buffet little high , go brunch would suggest head strip something little worth . never go pool hear friend go stay nice . overall pay decent price good hotel disappoint . 
 Oct 28 2009 	 mgm grand 	 love , fab hotel.u2 tom jones play around time.great restaurant bar , great value 
 Oct 27 2009 	 amazing place recommend ! ! ! ! 	 Mgm Grand think good Las vegas strip , stay celebrity spa suite amazing . Mgm grand huge , casino great , restaurant great , club great , activity great , excellent shopping . also great position . even get magical pool mgm much thing . spend week definately go back stay mgm soon . not look elsewhere , place stay ! ! ! ! 
 Oct 27 2009 	 Madeline James 	 say place . room service terrible , room get old tired , house clean bad spa full . keep go back time time . two word , Madeline James , good player 's host strip . come time life meet person make feel special , case 's Madeline . good business . back hotel review ; order water bottle bring room .. take room service 2 1/2 hour deliver ( fast service , hey right ) . hotel claim renovate room , add flat screen tv Ipod player room . big deal , carpet still look old fridge miss straight bar door hold bottle place . far room service concern , keep forget change dirty glass room 6 six day night , call every day tell . spa service , ask particular manicurist always nail , opt take well pay appointment book time slot . much special request great client experience . hair do Salon , Cristophe Beverly Hills . place highly recommend .. ask Jean Marc Levy , be good believe go 4 last 8 year ' ve go . 
 Oct 27 2009 	 horrible management even bad customer service 	 1 . take we 45 minute check in.2 . pay room advance tell we not room available we go there.3 . finally find room we make we change different room next day . spend half next day figure room go move ( instead spend time money pool / restaurant ) . one manager say one thing , manager say something different . wait hour get everything sort out.4 . compensate we financially & quot ; trouble & quot ; go use compensation sort - credit - tell not apply almost every place hotel ... even though manager assure indeed - could use credit everywhere hotel.5 . go check , try tell we credit issue due hassle / problem not valid tried charge we everything . spend another 2 3 hour figure out . all around horrible customer service management hotel experience ' ve ever travel - take vacation least 3 time year . do stay hotel ! ! ! 
