good 	 stay single hotel 2 night . choose location amenity show website . request early checkin 2 pm instead 3 pm . reach hotel 2 pm , good welcome reception . show internet booking show room . single accomodation room show website far different thn actually offer . actually look like servant 's quarter dirty linen , filth floor badly smell . refuse accept room come back reception . suddenly smile face receptionist change rude look . insist room give show describe website . finally ask talk manager . Manager bluntly tell book thru travel website , gurantee room . insist booked room thru hotel 's website . say put opinion internet , get scared change tune . finally say , offer inferior room ask early checkin . want describe room wait till 3 pm . already 2.30 agree . finally painful face , allot room 3.30 ( 30 min later check time ) another news . say room old wing , walk long distance go stairs luggage , board lift . room surround exterior window except open garbage collection area . however , tired time accept room go bath . oohh . suddenly someone enter room another key come right upto bathroom door . shout go away . call reception tell clean staff know room . accept apology . 10 min , get ready evening , ..... another girl come surprised . time really get nervous worried intention staff , secluded room probably one nearby room . Manager offer apology free breakfast ! ! ! keep think two day , free breakfast wipe away bad thing do Hotel Manager intentionally un intentionally . may exception incidence , bad . 
 Bad experience 	 1 . room shabby need upgrade 1970 decor.2 . elevator completely inadequate size building number guest . walk 7 flight stair , accompany HUNDREDS fellow guest , multiple time wait elevator exceed 30 minute good part day.3 . wait line check - in check - out , entertain stream people complain major aspect stay . counter clerk disappear & quot ; consult manager & quot ; every complaint , return & quot ; sorry , anything this . & quot ; 4 . valet parking cost $ 35 guess -- -- -- valet check - out . walk 5 Manhatten block parking garage luggage . thank introduction NYC . 
 Heart City 	 comfortable , walk everything ! clean , little old - fashioned add charm . 
 FANTASTIC location 	 great location , central , 5mins central park 5mins time square . as base excellent , warn noisy pipe night , much move room 1night . 16th floor racket , every half hr night , dressed 5.30 could not sleep . move much well room 27th floor , 1 night non sleeping , great 4 we . not put complain . apart noise though fault report 
 badi will not live wellington hotel . 	 bad experience . book hotel priceline . arrive , front desk ask we pay . believe . room clean . never live hotel like . will not go anymore . 
 perfect location excellent service Thanksgiving weekend NYC . 	 could satifie visit Wellington Thanksgiving weekend . suite spacious clean . ( might put date room -- love enjoy feeling like New York experience instead Hotel Anywhere ) . staff service pleasant , prompt helpful . enjoy Park Cafe -- many place eat nearby . the location can not beat -- couple block direction want -- Central Park , 5th Avenue , Time Square ... look 7th Avenue see Wellington sign look like welcome beacon long walk park day shopping night time square warm heart soothe ache foot . definitely place stay city -- stay several place uptown , midtown downtown . thank great timel . 
 Aug 21 2009 	 New York City Extravaganza 	 hotel centrally locate anyone could ever ask . right mist everything , everywhere everybody . room great , clean , large accommondating . price excellent . air conditioner great . problem hotel . would highly recommend anyone want sight see New York . close subway . close bus tour . wonderful location . come back surely try get room , feel like well . thank facility would definitely recommend anyone . 
 Aug 20 2009 	 Great Location Great Value Money 	 's greatly locate NY go tourist . block away Central PArk Times Square ! room really small , comfortable clean . as go back hotel sleep day walikng visit 's great place . I think 's good price - quality relation . I strongly recommend , not high expectation hotel , want good place arrive night . I book internet webpage everything work fine . 
 Aug 19 2009 	 Complaining might help 	 read hotel trip advisor choose location mainly . book room internet price guarantee 3 bed . get room ready ( past state check time ) . say not room book upgrade us suite . finally give we room dump . dry machine stand right inside bedroom turn open window ... everything fall apart include wall roof ! bathroom shower clean water make awful sound run shower . horrible . also two bed instead 3 terrible bedsofa thin matress . sheet stain dead insect ! awful matter tolerent , bit much . go complain sheet . girl reception tell : not iron sheet 's normal wrinkle ! say stain send someone change sheet . also go complain upgrade pay 3 bed 2 . say change room next day . next day person hear explain everything take stuff room . evening return , give we desent room 3 queen bed . room clean bathroom clean room fairly good shape . would say hotel really worth stay prepared complain maybe little luck finally meet someone care cause not . hear lot people front desk say room trash ! rating base fact next room get good otherwise experience come first room long flight awful ! 
 Aug 19 2009 	 Quality location service 	 return 5 day stay Wellington use discover city NYC , excellent location really - in - between central park times square sight like Rockefeller , apple store etc etc etc really door step . really can not fault hotel would advise anyone book ignore stupid bad review obviously make overly fussy people , hotel comfortable room would expect hotel , room small size New York intend spending load time room not bother go first place , plus talk newyorker advise pay hundred dollar different hotel grant ten inch extra space . one main point reference make subway right outside hotel take place city minimum fuss even need change train , also try use side street eat not eat anywhere near times square Broadway - expensive really worth money 
 Aug 18 2009 	 great location Value 	 obviously old hotel shabby aspect , return two nite stay 1 bed suite two kid . hotel great location , near times square , subway , theatre , etc . suite much big thought . kid sleep pull bedroom . room tv . comfy clean . elevator small area bit musty . , , great value . 
 Aug 18 2009 	 great location great price 	 stay 4 night May 2009.location perfect - walk distance Times Square Central Park . hotel one cheap could find time , New York Expensive . really impressed not high expectation . the room good size clean , view onto side street , do not matter sightseeing day long ! ! ! hardly room spend look window . overall - great hotel great location ! ! ! one minor fault - 4 lift big hotel , therefore sometimes wait time get lift ! ! end world , be annoying wait one ! 
 Aug 17 2009 	 Location relative comfort 	 Stayed may 09 pleased hotel . easy reach subway network airport right next door one stop . the room not small thought would give previous review . can not much sleep , shower change want city room ? bathroom clean facility fine . flat screen tv room good range channel . bed fairly comfortable enough space store clothe etc . it be shame hotel not breakfast facility lot place grab bite nearby - recomend Lindys . the staff helpful , especially porter happy lock bag away wait flight home arrange private car hire journey . the noise room good though , constant beep car road tend penetrate even close window . everything would want see Manhatten either within walking distance easily reach hop subway next hotel . I would stay great value location room outweighs negative niggle . 
 Aug 16 2009 	 -- -- form hotel ! 	 first night trip book part tour . arrive quite late fly Chicago , want get check - easy say do ! idea group joining - keep send we different people idea talk . finally get room want cry horrible ! first thing notice get lift smell , smoke fill corridor . manage find room even though sign , room smell like ash - tray , call reception ask non - smoking room inform non - smoking room ! send maid spray air freshner - nearly chock sheer amount . facility eg . microwave , fridge 2 mug would never dream drink anything ! bathroom filthy , would another shower use towel ! no - one right mind would taken shoe either unless want stick carpet ! ! thought would go bed get early morning .. easy say do .. every time move smell smoke come bedding ! supose return hotel last night tour , go reception see could pay upgrade another room , rude unhelpful , prepared thing . lucky manage get book Essex House hotel round corner , could face another night -- -- hole . totally disgusting , anyone think go please waste money hotel get something lot well much . 
 Aug 16 2009 	 Great Location ... ! ! 	 excellent location , step subway , central . read many review leave unsure negative review , pleased get see room give . hotel old hotel expect wear tear . old building , New York , want stay new building expect pay price . believe receive great value money . room clean staff polite . friend upgrade suite 15th floor overlook 7th avenue . lean window , could see central park couple block right , could see Times Square direction . convenient right beside subway . restaurant attach hotel not anything write home , friend breakfast couple morning . salad sandwich road ' Fluffy 's ' , great price great quick food . 
 Aug 13 2009 	 Perfect location good value money 	 good value money ( room kind small ) important perfect location . within short walking distance 's important vacation trip : information office , subway , Time Square , Central Park , shopping restaurant . good service . would stay without doubt . definitely recommend friend . 
 Aug 9 2009 	 clean hotel great location 	 read bad review decide give wellington try nyc trip august 4 - 7 . book suite family ( 2 adult child ) . see not book suite ( 2 separate room bathroom little fridge ) , , one room would small . , recommend suite ( 195 first 2 night , 205 third night plus tax ) . afraid review regard size bathroom , ( room 122 ) fine , shower nice size . whole suite clean , issue cleanliness , first priority look hotel room . a / c work great keep room cool . order breakfast room service , literally 10 - 15 minute -- good . walk distance everything -- great direction concierge take metro ferry statue liberty / ellis island visit . front desk overly enthusiastic -- busy hotel maybe be ( lack well word ) -- ' dudlike ' -- -- good stay -- keep mind old building -- clean -- perfect location good price ... 
 Aug 4 2009 	 Amazing Birthday Trip 	 stay Wellington amazing , New York amazing . the hotel great , really nice , comfortable service great . it massive hotel great location , close Broadway Central Park . I would defenatly stay . 
 Aug 3 2009 	 fantastic location hotel explore . 	 look reasonably price hotel heart New York ! ! ! 1st time America sure expect , 4 friend partner go last September . amazing time . prebooked couple thing New York go , highly recommend brunch boat trip , take around New york stunning good views.the hotel couple minute away Broadway , Times Square , Central Park 5th Ave ! ! ! brilliant . not luxury hotel really use pitstop sleep change ! would highly recommend hotel probably return ! 
 Aug 2 2009 	 great location - need update clean 	 * good hotel , need update . 's old fashioned * great location * good shower clean bathroom * friendly staff * good air con * Bad Internt connection * busy hotel 
 Aug 1 2009 	 great value location hospitality . facility date . 	 stay 8 night end July 2009 accommodate big suite originally book . first night arrive overbooke move 5 - star hotel around corner . sure take bloom Wellington rise give key room . end two bedroom kitchenette fourth floor . blind whole time , due proximity neighbour hotel room adjacent office building . staff incredibly accommodate . facility date , , spend time hotel close many site NYC ? subway right outside door , rainy week stay remarkable dry , due connectivity transportation system . I would return facility due location price . 
 Jul 26 2009 	 hotel hell 	 bathroom disgraceful room small . heating work keep cut . 3 lift hotel arrive follow morning 1 working . never stay horrible hotel . staff unpleasant unhelpful . room cold go sleep clothe travel . inspection room ask another room . show another room much well except wallpaper hang wall carpet dirty . request another room offer room king size bed extra charge . feel room warrant extra charge reluctantly accept second room . check hotel next morning disgust hotel staff book flight home . walk stair suitcase 1 lift working keep go full . never go back hotel 
 Jul 23 2009 	 Great Location 	 stay Wellington 3 night start 29th April . go away sister friend . sister stay Wellington , whislt friend stay hotel road . the Wellington basic hotel . Decor need update . corridor resemble prison ! plus , clean . book discover must book offer smoking suite instead delux double ( 2 x double bed ) book . accept suite glad . do not smell smokey , cigarette burn etc . still double bed add bonus seperate bedroom Tv etc . small diner attach hotel breakfast , also nice diner straight opposite . our friend hotel undoubtedly nice Wellington , pay , pleased . locate short walk central parkand Times Square . close subway station . do not problem get sight want see . happy answer question anyone may . 
 Jul 22 2009 	 classic NY hotel great location 	 Wellington great place stay NYC -- 's classic NY hotel lot character charm . yes , be small ( room bathroom small ) , not typical NYC -- space limited city ! price , good deal convenient many NY attraction . staff friendly helpful . wish accessible ice machine drink machine ( go restaurant downstairs soda , bellman bring we ice ) , lack add hotel 's & quot ; old charm . & quot ; air conditioner room bit noisy seem & quot ; strain & quot ; work , room stay cool visit middle July . time , breaker switch flip several thing plug one time ( e.g. , iron , tv , phone charger ) , cause we lose power , quickly repair staff . water pressure shower great ! lobby elegant charming . doorman entrance add classic charm . , price location , excellent place stay , would definitely stay future . room occasion since much city , add overall true New York experience . 
 Jul 22 2009 	 Great Hotel 	 Loved Wellington ! ! ! location hotel wonderful , easy access subway & amp ; Central Park & amp ; Time Square . could ask ... travel NYC hit Yankee game fun ! ! ! upon check - in upgrade King room plenty big , bed nice A / c work great one issue noise room outside . staff friendly helpful , travel 18 people need someplace ideal find true Wellington . .. hotel clean 9 room one complaint dirty ... elevator bit small & amp ; warm complaint pretty good . overall wonderful stay Wellington would stay . eat local place near hotel like Fluffy 's & amp ; Carneigie Deli , Old Castle , Rays Pizza & amp ; Cassidy 's great ... great time Rosie ' Gradys downstair bar ... never go NYC without visit John 's Pizza Time Square well ... anyone look fun experience go Hogs & amp ; Heifers bar meatpacke district sit back enjoy ... everyone want fun take trip hang Kelly girl ... wonderful ... Overall Wellington meet everyone need look forward return ... 
