great 	 book two deluxe double double room spacious . bed comfortable . room hot despite turn heat turn a / c . second room plumbing issue . staff really friendly helpful display none superior attitude often encounter upscale hotel . 
 Feb 17 2004 	 pleasantly surprised ! 	 weary go hotel read shocking review , happy report stay Marcel comfortable . fair enough , room small like prevoisly say , space hard come ny . bed extremely comfortable , bathroom spotless room clean every day . Heater / AC excellent working order though latch bit suspect , always another lock . elevator prefect condition breakfast always wait come 7 am . doorman always open door we even arrange store baggage check could finish sightseeing , even arrange car take us airport . staff greet smile pleasant . would definetly recomme Marcel anyone tight budget look place rest weary foot . well do MARCEL ! make trip complete . 
 Jan 23 2004 	 shocking - never ! ! ! ! ! 	 hotel disgrace . stay three night December 2003 . overcharge ; take unauthorised payment credit card ; rude unco - operative . people work hotel deal poor command English & quot ; can not , will not & quot ; mentality . New York fabulous , Hotel Marcel provide one bad hotel experience endure . 
 Jan 13 2004 	 Funky Hotel Great Value - would stay . 	 recently stay Marcel day must say great find ! 's 10 - 15 minute walk Grand Central Station walk small price pay . hotel clean , safe & amp ; friendly . love decor - funky / trendy . bed sooooo comfortable . room small - NYC ; space hard come ! value , would definately recommend hotel , one 's chain ( nychotels.com ) great ; planning visit NY . 
 Jan 12 2004 	 's Beef ? 	 experience hotel good . get excellent rate grab two room without much research . quite nervous read recent review . ever bad describe , Marcel since address problem other experience . past weekend , temperature drop nearly zero . excellent heat , plenty hot water , clean room , work light , friendly helpful staff , trouble reservation . lobby nice seating area bagel breakfast fresh serve 11 . room tiny , functional comfortable . send ice , come quickly . cappacino machine not work right , could get free coffee 24 hour day . hotel hall dreary , be reasonably quiet even though be 3rd Avenue . be near good restaurant shop 's easy use subway flag cab . would stay recommend anyone . ' ve horrible experience hotel time .... fine , positive experience . give another chance . 
 Jan 4 2004 	 Pleasant stay 	 pleasant accommodate staff . room extremely clean . afraid walk around room barefoot . bed pillow get A+ . bathroom newer clean . convenient location . however , room small . make reservation online state cocktail bar hotel . cocktail bar . overall , nice place stay ... price reasonable . 
 Dec 19 2003 	 Lovely stay 	 make nervous review , delighted choice stay Marcel Hotel . primarily , location ideal . close 4,5,6 train , short block away Union Square , St. Marks , Soho , etc . staff curtious friendly . check breeze . room comfortable size- big expected NYC well design . bathroom lovely shower nice fixture . bed cozy large , four pillow lovely white comforter . two large closet bookshelf make easy settle . espresso machine work fine , although amazing . breakfast simple get - oj bagel con : tv not get many channel cd player low quality . toilet run flush , work fine . heater not great , luckily , room nice powerful space heater . elevator SLOW rather crummy . but , would certainly stay . hotel gear towards pleasure traveler , rather business . rather small thus quiet- hardly ever see hear guest ( almost vacation couple ) . staff respectful discreet . another big plus : street many many good restaurant ( esp . Irish Pubs Sushi place , go figure ) .staye 7th floor . 
 Nov 26 2003 	 seriously disappointed Marcel ! 	 plumbing problem , central heat working , struggle hotel management get space heater room even though Winter NYC ! misinformation travel option get airport mention plumbing problem ? yes , kind plumbing problem . spend money . be even great deal could spend extra buck night get well hotel . 
 Nov 4 2003 	 Solid Value Hotel 	 little nervous reading review , happy report Marcel solid value money . indeed , room small , NY . decor nice , comfortable kind bed , plenty mirror great water pressure . lighting bit dim bathroon & quot ; one time , & quot ; room face street noisy . Marcel offer comfortable bed , great location , low cost . 
 Oct 2 2003 	 great find ! 	 read good bad review leave , ' m happy able report experience great ! true , elevator break arrive , employee help we carry bag stair ( one flight ) repair evening . New York hotel sooo expensive love price ( use hotel beat every advertised price find ) . course , corner cut make price good - pencil instead pen desk , 15 - inch instead 20 - inch tv , etc . not feel disappointed thing - glad choose offer economical hotel people like we ! room clean air conditioning work . bathroom fully stock mini soap shampoos - brand call & quot ; east & quot ; cool variation usual hotel stuff . the decor room lobby hip lobby full male model ( presumably Fashion Week ) arrive . hallway little dark gloomy big deal . the location great - close friend village subway stop Empire State Building . the staff pleasant helpful - arrange us cab airport ahead time could last lunch city relax . also , companion would want say mattress great ! stay another hotel night leave we sore back - marcel great night 's sleep . overall , would stay heartbeat ( could take another trip soon ! ) would recommend anyone like us budget conscious , prefer unique experience chain , want good night 's sleep ! 
 Sep 25 2003 	 tiny room decent Value 	 visit New York book 2 night Marcel . room tiny bed comfortable bathroom good size hot shower good water pressure . facility fitness center advertise website night staff bit rude - day doorman great helpful direction store luggage check - in . look spacious hotel lot perk - ... decent price light breakfast include 's 1 block subway ( private bath ) .. be bad need room sleep ! 
 Sep 18 2003 	 never - hotel bad experience 	 read many review go hotel , can not say always abide other say . well case Marcel - . experience horrible , bad ever encounter year travel ( travel EXTENSIVELY business pleasure ) . service employee ruin entire experience . LIED throughout entire experience . reservation book hotel website 3 adult standard triple - 2 double bed ( guarantee pay front ) get hotel individual desk say room we , one double bed , would give we roll - away 3rd person . well , roll - away barely open room , place luggage , etc . stay 4 night - way would work 3 people . however , say never guarantee room type , reservation state 2 bed -- roll - away 2nd bed . know would never reserve hotel . additionally make reservation 9/11 arrive 9/12 . arrive 9/12 , guy fron desk state know since 9/10 , room available 2 double bed . would allow reservation beyond . maybe use lieing . since fully pay 4 night option stay roll - away , go another one sister property . however , guy desk also say ( GUARANTEED ) stay room roll - away first night , 3 night DEFINITELY room 2 double . choose option stupid enough believe lie . thing manager duty help - SOL . manager Marcel ( & quot ; Jay & quot ; ) honest concerned customer service . next day speak Jay say room 2 double , way emplyee would guarantee would room 2 double . well - ' m sure get we back , make Jay deal we , since would next day . lie make reservation , lied tell could room want remainer stay . argue Jay alternative move sister properlty ' the Amertania ' - Jay state ( lie ) nice property . never mind location want . also promised would ont get room 2 double , would get Junior suite . well expect , Jay LIED . cart stuff Amertania ( pay cab anything ) -- course junior suite available - 2 double . property musty smelling , room clean , etc ... needless stay never stay Marcel , Amsterdam Hospitality Group 's hotel ( Marcel , Amertania , Amsterdam court , Bentley ) . tell ever want never deliver so - call promise . service basically worst ever experienced hotel 
 Sep 10 2003 	 real Deal 	 first book room Marcel 117.00 $ realize check review place . come website become little concerned read Marcel . well , write review express encounter ... pleasnt surprise . realize price fairly cheap night stay NYC , neighborhood safe , locate close attraction , mind know be not stay Waldorf . staff pleasant , especially doorman .. & quot ; Yes & quot ; NYC , doorman provide service , tip expect . room somewhat small , will say stay expensive Hotels , ie . Paramount , room even small . room clean neat . shower hot , toilet work hotel quiet . complaint one take seriously .... security . doorman great job screen people enter samll entrance way ... lock door card key entrance , normal hotel . however , deadbolted , secure actually within room . main concern door open shim lock cam hard plastic card , ie . credit card , driver license , etc . easy actually wife try make entery ease . address hotel , especially NYC . feel threat never buy attention , retrospect probally . overall , would still stay hotel , 114.00 $ mind 's pretty nice stay . 
 Aug 18 2003 	 small closet size room 	 small room . room closet size hardly enough room open large suitcase . room however clean . I would stay hotel - worth . 
 Jul 21 2003 	 trendy 	 great location ! lot Restuarants south hotel 3rd . room small , 's New York , hope would not room . ask room 2 floor trendy lounge , noise . get hotel arorund $ 100 good deal , not pay . neighborhood ideal first time visitor . 
 Jul 8 2003 	 rude awful staff ! ! ! ! 	 book hotel room on - line site charge customer actual date stay . imagine surprise actually charge room even show ! decide cancel , read many horrific review , awful experience first hand deal terribly rude staff ! make reservation wrong date , go charge no - show fee , audacity get nasty telephone ! submit substantial proof day actually due stay ! refund finally come negotiate idiot month . good advice deal people .... way much headache ! 
 Jul 3 2003 	 AUGH ! ! 	 aggravating place stay ! phone break , tv remote not work , toilet symphonic hammer pipe problem , staff rude , unhelpful , patronizing , insulting . pitch complete fit threaten report 3 day complete aggravation start treat decency . add fact room wildly divergent -- book superior two double bed room , place non - smoking room stank cigarette smoke , room even walk around bed , not tv . complain finally move , , every single time come hotel outside key reprogramme -- bit passive aggression part staff , assume . hotel nicely appoint , despite broken stuff , neighborhood wonderful , not think hassle worth . 
 may 20 2003 	 small confortable room 	 small boutique hotel perfect budget get away . perfectly locate village area midtown . Madison Square Park 2 block away . location ideal . staff accomodate . satisfied first room happy give we another much well . would suggest ask room window opening 3rd . Ave . 24st . room quaint clean . definately stay next trip ny . 
 Apr 29 2003 	 great last - Minute Choice 
 Feb 23 2003 	 nice small 
 Jan 15 2003 	 try ! 
 Dec 31 2002 	 take cold shower 
 Oct 7 2002 	 bad ; caveat 
 Sep 16 2002 	 good deal excellent restaurant 
 Sep 9 2002 	 NYC retreat 
 Aug 12 2002 	 Marcel Hotel : bad boutique hotel 
 Jul 22 2002 	 bad hotel trip 
 Jul 15 2002 	 stay ! ! ! ! ! ! ! ! ! ! ! 
 Nov 18 2009 	 hotel ok 
 Nov 5 2009 	 très bon compromis : emplacement design prix 
 Oct 26 2009 	 cool und stylish 
 Sep 5 2009 	 Marcel Gramercy nice ! 
 Aug 26 2009 	 Marcel Gramercy : très propre et service attentionné 
 Aug 24 2009 	 Carino Micro 
 Aug 19 2009 	 Heureusement il est tre bien situé ... 
 Aug 19 2009 	 Charmantes Hotel toller Umgebung 
 Aug 16 2009 	 impecable 
 Aug 14 2009 	 Alles allem recht gut 
 Aug 12 2009 	 Parfait ! 
 Jul 24 2009 	 Nettes Design - Hotel 1A - Lage ! 
 Jul 20 2009 	 Un super endroit pour un séjour à NYC 
 Jun 22 2009 	 Semplicemente perfetto 
 Jun 14 2009 	 top bill 
 Jun 10 2009 	 très bon rapport qualité - prix pour visiter Manhattan 
 May 31 2009 	 Ottimo hotel - ottima posizione 
 May 6 2009 	 ottima scelta 
 Mar 26 2009 	 Buena ubicación limpio moderno 
 Mar 17 2009 	 Bon boutique hôtel / super rapport qualité prix 
 Mar 4 2009 	 Recién reformado bien ubidado pero cama pequeñisima 
 Nov 13 2008 	 Bien Placé Chambre spacieuse et propre ... mais un peu bruyant 
 Oct 13 2008 	 Une nuit horrible 
 Aug 7 2008 	 Bien placé 
 Jul 22 2008 	 Tout à fait correct vu le prix 
 Jul 1 2008 	 Hotel Marcel : buona accoglienza al giusto prezzo 
 May 20 2008 	 Un hôtel tranquille près de Madison Square Garden 
 Apr 21 2008 	 ottimo hotel ottima posizione 
 Feb 24 2008 	 Cómodo limpio 
 Feb 2 2008 	 Recomendable 
 Jan 24 2008 	 moderno centrico chulo 
 Dec 20 2007 	 ` ` Gerne wieder '' 
 Nov 4 2007 	 Elégance et sérénité 
 Sep 4 2007 	 Un hotel que está bien 
 Jul 24 2007 	 Un super hotel New York 
 Jul 18 2007 	 es para tirar cohetes pero bueno . 
 may 16 2007 	 Un trés bon séjour dans cette hotel 
 May 15 2007 	 Bel hôtel 
