location 	 agree early post , decor look slightly tired , could possibly facelift , location superb , view central park spectacular , subway 2 minute away , 5th 6th avenue.time square 15 minute walk rockefeller centre empire state building .A great alternative afford Plaza , Ritz Trump , overall good value money . 
 Apr 15 2004 	 disappointing stay - good location 	 Loved NYC - hotel real disapointment . staff indifferant unattentive . room numerous problem . water drip continously tub . tv remote weak , refrigerator room safe break , carpet furnishing dingy , maid service replenish towel supply daily . hear want pay park view get much well room , city view side leave much desire . 
 Apr 13 2004 	 great location great view ... 	 stay 3 night 7th April . hotel brilliant location , overlook Central Park , view hotel room either city park view . city view 32nd floor dissapointe ! hotel clean , room . decor furniture however , little date , become worn . tea / coffee make facility room , although room service available $ 9 large pot fresh coffee . majority staff pleasant helpful , change key stupidly leave room trouble . find bar price high , £ 16 ( $ 30 ) 3 drink , especially bar see well day rip ! ! however , small shop hotel buy drink snack prefer . overall , hotel lack style , make location view . would definately go back . 
 Apr 7 2004 	 fantastic view ! 	 hotel superb position view Central Park access City ; particularly like walk upper east side art gallery museum ( 15 min foot Metropolitan ) . give lovely junior suite amazing view park ; room spacious ( one large city hotel room ever stay ) although furniture look well put together really . bed enormous comfortable ; bathroom adequate , nothing special , plenty towel . could not switch one light switch break fix quickly . room light controllable bed ( except immediate bedside light ) unusual refurbish hotel room . lack tea / coffee make facility room let least fridge keep wine cold ! would certainly stay . rather strange check in / out desk pathetically small ; lot room hotel ! staff cope quite well though ; bit selective palm - grease keep lobby staff look helpful . 
 Apr 5 2004 	 Dream Vacation ! 	 stay Park Lane 4 night , March 15 - 19 , 2004 . upon arrival treat much concern Mother cut leg Super Shuttle van . bell captain , Tom , give ice ( Bless ) one manager help get room rush clean ( really Bless ! ) . park view room spacious great bathroom ! view fantastic . decor fantastic . everything work clean . door man , bellman waiter could not nicer we make we feel really home . snow storm one evening rather risk weather eat & quot ; Room View & quot ; . could nicer look Central Park watch ths snow fall . Leona , trouble guest dine next we ! food expensive , tasty , lot fun special night . waiter even cut daughter steak ! refigerator room great big plus . need anything walk back door , onto 58th Street . deli right next door ( get coffee ) directly across street nice salon Wyndam Hotel . daughter get appointment french manicure within 3 hour arrival , great price sweet staff ! also go corner find everything else 6th Ave . 6th Ave . cafe good belgian waffle fresh strawberry . across street nice drug store . also deli call Rock Roll buy good black white cookie ( late night -when arrive ) , next liquor store anything need . room clean extremely well everyday bed always turn . also make friend Brian , bell captain , always watch we come . thank ! can not wait make reservation next visit , request room ! 
 Mar 28 2004 	 Location location location ! ! ! 	 adore location ; staff adequate ; room need little sprucing . chip tile bathroom , nice big towel . would certainly love coffee room many hotel today . would stay Park Lane love & quot ; park & quot ; . 
 Mar 15 2004 	 wonderful stay ! 	 stay Helmsley Park Lane March 2004 . read mixed review not sure expect . check - in problem allocate room 39th floor . room large , newly decorate amenity state include stunning view city central park . room overlook east side seem well view . gripe tea / coffee make facility room . also , not eat / drink hotel look rather pricey can not comment . hotel prime position eat get around NY . book direct hotel via internet . would definitely stay . 
 Feb 17 2004 	 Great Location ; Attentive Details 	 return 3 - night stay . book junior suite Expedia . view beautiful ( although inside window dirty look like kid hand ) ; linen , drape bedspread fabulous look new . couch side chair upholstery look new . however , room PURPLE PURPLE wallpaper everywhere , even bathroom ceiling . would tasteful except always bad idea wallpaper near bathroom sink . carpet wall somewhat dirty . three four eight lightbulb sink ask three time replace : bellman bring luggage ; housekeeping bring iron miss ; third , leave note housekeeping . never get do . ask extra pillow ( twice ) , get , take one back next day ! housekeeping service tend rather noisy hallway morning around 8:30 . not even try room service ... $ 21 hamburger even NYC seem bit stiff plenty nearby place . location great , would probably stay not seem care much . check - out , ask everything okay , request comment card keep hide behind front desk . 
 Feb 16 2004 	 expect 	 stay Helmsley Park Lane Valentines Day 2004 . dissapointment . ' ve stay Doubletree Guest Suites think step . not . room OLD ... run hotel . peal paint 1 plug bathroom . can not heat curl iron blow dry time . coffee maker pot coffee service charge 18 % tip 15.00 . staff friendly . great location good see . subway next hotel close weekend . good part trip see Leona 's dog Trouble walk hall . saw ... be plan stay , would reconsider . drink Plaza dissapointing . try Doubletree . beautiful room great location . good Luck ! ! ! ! ! ! ! ! ! ! ! ! 
 Jan 24 2004 	 good hotel great location 	 stay Helmsley Park Lane early November 2003 New York marathon . see sister - in - law run . hotel nice , clean , staff reasonably friendly , consider crush people arrive race . location great , right next Central Park , several nice restaurant corner convenience store within couple minute walk . we find pair bright green thong pantie bed , funny . guess maid not want touch , neither ! 
 Jan 13 2004 	 fabulous view appal management 	 begin ? stay Park Lane August , 2003 , arrive morning Blackout . room bit wear lovely , incredible view overlook Central Park . good part . good part . , reasonable person understand stress management must blackout , next four day series churlish response reasonable request . initial night craziness -- food , water , AC nothing resemble emergency plan management -- expect least common courtesy . blackout hit , cell phone service spotty good . ny old parent four kid , way find happen first afternoon hotel 's occasionally - work line . example : theater ticket Friday night . ask concierge afternoon show still , shrug . call husband back home go playbill.com answer . day checkout , politely request hotel waive long - distance surcharge , give extremity whole situation . keep mind prepay expensive breakfast receive two morning , AC next four day , etc . desk agent look crazy . , really , skin nose would waive absurd , almost $ 200 surcharge ? ? write letter manager several week later , surpisingly , never receive response . way would recommend place . 
 Jan 4 2004 	 wonderful stay ! ! ! ! ! 	 spend 3 night Helmsley Park Lane Central Park South Christmas , 2003 . wonderful experience ! room ( 2 ) extra large clean . staff efficient course , location excellant ! get good price , internet , try stay ! ! ! ! want drink , recommend stay away Harry 's Bar . price inflate , liquor store around corner want bottle wine room , could go neighborhood bar somewhere nearby . highly recommend hotel . 
 Dec 27 2003 	 Cold New York 	 reading review online leave skeptical stay Park Lane Hotel , Manhattan fairly pleasant . not able make long distance call phone front desk make call we charge . many movie charge check not eventually take charge . room 2 double bed large beautiful view . staff pleasant time . ticket & quot ; View & quot ; even though get line early ( 8:50 ) still not make see show . staff member take name address say would call let we know could come back January public relation . people line town will not able go back see show . extremely cold stay ( week Christmas ) . prepare walk lot since sometimes good way get be go . take figure subway bus schedule . metrocard $ 21.00 7 day allow ride bus ride subway . New York beautiful expensive city . almost go twice . figure be second time go fun ! 
 Dec 16 2003 	 b+ : Great Location Nice View large / Comfortable room 	 ' ve NYC many time stay number different hotel - great really bad . would say brief stay Helmsley Park Lane surprisingly average - especially NY one often end cluttered dingy closet like room tiny window view . the staff courteous respectful - request , place spacious corner room 42nd floor beautiful view downtown . even end arrive hotel much early expect ( 11 am ) , still able check get settle room then . while normally go boutique hotel hip unique feel ( Paramount ) , like Park Lane refreshingly sophisticate dã © cor classic furniture . element dã © cor teeter overly outlandish , different enough make interesting . the complaint room could certainly use critical maintenance fix - up ( especially kid staying room ) . example , couple bulb bathroom light fixture , another lamp next window flicker constantly , lamp next bed unplugged . go plug one , find giant knot/ wad electrical cord behind night stand , nearby electrical socket completely open hang loosely wall . 
 Dec 9 2003 	 like Helmsley Park Lane 	 read review bit concerned stay . room update room bit worn . book reservation on - line Helmsley site get great rate . rate $ 6.00 per night discount travel site check . book city view room check give partial park view . wow , view . could see park . staff friendly , helpful nice . location hotel great . be close everything . will return NYC Feb. stay Park Lane ! 
 Nov 18 2003 	 great location 	 reading review , bit nervous . fine stay . decor bit like granny 's ( crystal galore ) , room clean & amp ; large , service excellent location could not well -- money , good deal . 
 Nov 6 2003 	 nice enough ... 	 get upgrade hotel three - star one book , redecorate . read review , nervous travel , although Park Lane star , review less good 's overall rating much low . find front - desk staff polite overly helpful . arrive tell get park view room recently refurbish city view one , although not seem particularly new compare rest hotel . view ok , helpful chambermaid allow we one room could see view Central Park would well room . decor throughout chintzy room large clean . although nothing complain , would liked pay £ 400 extra 5 night would cost book Park Lane originally . nice luxurious enough charge ... good value pay ! 
 Oct 26 2003 	 Liked Park Lane 	 would return Park Lane . great location -- walk almost anything . room fine -- bathroom could little big , adequate . nice breakfast room view Park , Harry 's Bar second floor . ( several deli 's close would rather spend $ 20 continental breakfast . ) drawback summer -- Hansom cab across street , smell get strong . 
 Sep 11 2003 	 great location great hotel 
 Aug 20 2003 	 worth - inconsistent service / room 
 Jul 29 2003 	 get money die try 
 Jul 28 2003 	 good enough 
 Jul 22 2003 	 appaling ! 
 Jul 11 2003 	 Disappointing 
 Jun 8 2003 	 worth 
 May 20 2003 	 idyllic walk Central Park 
 Jan 2 2003 	 Location Good 's 
 Sep 17 2002 	 great view great location 
 Oct 6 2009 	 un peu vieillot mais reste un peu du palace qu'il devait etre 
 Sep 24 2009 	 una vista stupenda 
 Sep 11 2009 	 bellissimo ! ! ! 
 Sep 10 2009 	 eviter si vous avez d'autres choix 
 Sep 10 2009 	 Tolle Lage - super Ausblick auf den Central Park ! sehr freundlicher Umgang ! 
 Sep 8 2009 	 Posizione ottima e vista su Central Park fantastica 
 Sep 1 2009 	 Eccellente 
 Aug 19 2009 	 vale la pena 
 Jun 16 2009 	 fantastico ! ! ! 
 May 28 2009 	 Ottimo albergo ottima posizione 
 May 13 2009 	 Excelente hotel bien situado 
 May 7 2009 	 Excelente servicio situación 
 Apr 1 2009 	 per favore non chiamatelo leading hotel ! ! ! 
 Mar 8 2009 	 hipnotizado por las vista 
 Jan 19 2009 	 Buon hotel ! 
 Jan 10 2009 	 l'efficienza e l'efficacia : Bravi ! 
 Dec 17 2008 	 week end sul Central Park 
 Dec 1 2008 	 Ex bel albergo X bel albergo necessita ristrutturazione 
 Oct 4 2008 	 Buen hotel para ser Nueva York 
 Sep 14 2008 	 encantó la Habitación 
 Jul 3 2008 	 soddisfatta dell'hotel 
 May 12 2008 	 Vue sur Central Park sinon ça ne vaut pas la peine 
 Apr 30 2008 	 Une vue exceptionnelle sur Central Park ! 
 Apr 5 2008 	 situacion inmejorable exquisita atención necesita una reforma profunda 
 Feb 28 2008 	 Bellissima posizione 
 Oct 8 2007 	 Ottima posizione - ottimi servizi 
 Sep 8 2007 	 Charmantes Hotel super Lage Manhattan 
 Sep 11 2006 	 Excellent 
