grandview 	 return place two day ago . nice place stay complaint accomodation , disappointed staff . screw ever turn , arrive late evening family check early day , hotel staff harass mother several time evening show desk credit card & quot ; calm & quot ; front desk staff . ( reservation name , call get permission check early ) arrive 10:30pm give credit card settle issue , next day 11:30 night return evening lock we room ( one key work ) call front desk say not pay bill . explain situation flight delay pay 10:30pm night etc . record credit card . nightmare . go stairs resolve charge mother credit card ( yet still lock we ) note attach account state & quot ; charge credit card wait show credit card & quot ; . reverse charge embarrassed problem cause , perplexed happen . leave hand definitely not know right hand . room miss soap , miss shampoo , call get need give we run around , never deliver soap shampoo . customer service lack BIG TIME & gt ; CAREFUL . can not wait see final bill . sure screw . 
 great place 	 exception & quot ; free breakfast & quot ; really sale presentation , great property . would highly recommend 2nd 3rd timer Vegas vacationer little tired strip . great place bring family . would recommend rent car strip / show visit . find garage strip ( near & amp ; store ) could park $ 3.00 day . full kitchen time spend look place eat . property close Whole Foods Wal - mart . parking challenge come late show . close Casino road want gamble not want deal strip . recommend Red Cup cafe 3 meal . portion generous . bring leftover put full size refridgerator available . stay ! 
 cook can not swim : cold pool 	 room big , kitchen well appoint . not eat every meal . disappointed none pool heat enough swim . sofa bed mattress awful . 
 would recommend resort spacious accommodation decor . 	 begin visit frustrating lack coordination resort rci- neither would assume responsibilty us registration list even though call make agency 3 week ; 5 day ; day . hour , finally room take immediate nap- wake red , itchy , swollen eye , familiar animal smell . definite animal dander leave behind . housekeeping manager handle graciously offer move different room ( garantee , even though animal allow ) , settle carpet shampooed linen comforter replace . way , guest later enter elevator dog . allergy pet dander , beware ask safety cleaning . work well . $ 1.00 charge coffee ridiculous waive protest . nice deli site . food good . shuttle service good - timely considerate . prepare tip ! resort shuttle activity good allow freedom movement without $ 8 regular shuttle service . even though overall resort experience good , effort toward friendliness could exemplified front end staff - bit aloof involve guest service care experience resort . 
 Aug 2 2009 	 Glad book resort despite mixed review . 	 RCI exchange . grandview little south strip 8 mile Las Vegas Boulevard well worth stay . two kid tow , want something little lay back think great location . the resort large multiple building couple construction across parking lot building -- though really not hear usual construction noise since work mostly interior . building close front & quot ; old & quot ; one tell be gradually update . arrive 4 drive night Southern Idaho , lucke situate one new building ( build 4 & quot ; Daisy & quot ; ) next parking terrace . TIP : call ahead request non - smoking room need one , especially anticipate late arrival could get stick available . the unit great . 1 - bedroom feel nice large . room great pullout couch / sectional chaise . interior thoughtful designer feel nice furnishing granite countertop . 's jacuzzi tub master bedroom bed perfect we ( not like hard - as - a - rock firm bed ) . bathroom REALLY spacious makeup table two sink large 48 & quot ; corner shower . complimentary soap shampoo along usual laundry soap , dishwasher soap , paper product . midweek & quot ; Tidy Service & quot ; change towel , make bed linen , wipe counter provide additional comp sundrie need . TIP : run comp soap , charge nominal fee ask housekeeping cart never far away , sooo -- get idea . the amenity pretty good . currently , 4 6 swimming pool open multiple jacuzzi open til midnight . main one waterfall middle resort complex along large excercise room ( must ) , nice barbecue area ( 114º heat ? ? ) , convenience store ( buy flipflop , concrete hot ! ) activity center ( Free facial Wednesdays ) . business center registration building many courtesy computer guest use room rarely empty day . pay $ 50 7 - day wi - fi connection unit ( sorry , not free ) . know other complain minimal resort activity South Point Hotel Casino quick hop across street plenty entertain young old . TIP : skip icky pizza resort convenience store head across street South Point 's Del Mar Deli inside casino entrance breakfast , lunch , snack , to - die - for pastry bring back pool - side meal . favorite ? try Big Sur Oyster Bar dinner . casino also huge movie complex 16 theater , large bowling alley , arcade , spa , schedule show usual number restaurant . still awake midnight ? try bowling buck fill belly afterwards casino 's Coronado Cafe graveyard breakfast special average $ 3 dollar -- 6 buck want steak egg huge ! TIP : love penny slot . be gamer fun , penny slot might entertain . be loose ( accord local ) combine total $ 100 $ 20 start husband . pay couple dinner movie . the resort also offer courtesy shuttle trip grocery store , Las Vegas Outlet Town Center Mall , resort / casino include Mandalay Bay Fremont Street . 's schedule receive welcome packet . drive LV plan rent car , suggest look schedule upon arrival call front desk reserve number seat 's one shuttle per destination . yes , suppose could inconvenience find simply schedule plan around reservation courtesy shuttle use Ritz Transportation $ 8 / pp unlimited ride per day strip . plan make multiple day trip strip , probably big drawback resort service offer still beat cab ride . last , want say not want join timeshare sale people usual dog pony show , tell kindly , first call . yes , call respectfully decline . even slip couple note door teaser promos simply throw away . will admit step front lobby day , feel like giant pool barracuda prey tow & quot ; guest service & quot ; staff speak we quite nice . timeshare owner expect virtually every resort ' ve visit even encounter share tend predatory tactic think eventually leave alone . FINAL TIP : not try website restaurant.com yet , check . pay $ 10 $ 25 gift certificate . lot restaurant participate strip surround area ( even home area probably ) . meal casino restaurant great expensive . Google & quot ; restaurant.com discount coupon & quot ; save even . load gift certificate week website offer 80 % discount total order ( promo end replace 40 % discount couponmom.com fatwallet.com ) .hope help good luck . 
 Aug 1 2009 	 great surprise Vegas place come back 	 go Grandview RCI exchange two week . initially want stay one Hilton resort already book choose Grandview instead . wonderful surprise ! love stay . room big well equip . staff check efficient . location next Southpoint restaurant casino ideal . food buffet extremely reasonable price good quality . shop supermaket nearby . Grandview Strip , ; southern part not mind . rental car go many time hotel , restaurant , theatre shopping mall . Strip big anyway walk everywhere need accommodation Strip ? make severak day trip place outside Vegas well , like Death Valley Hoover Dam , Lake Mead Boulder City . timeshare presentation bad people think . know presentation like nice salesperson great breakfast ticket Cirque de Soleil . bad . weather lovely also enjoy pool . fact like stay much return year . could easily book Hitlon time choose Grandview . 
 Jul 29 2009 	 EXCELLENT 	 really enjoy stay Grandview Las Vegas . pleasant stay away home . room excellent , facility overall nice . staff excellent well . location great would recommend facility family friend . overall experience would 5 star ! 
 Jul 24 2009 	 Happily strip 	 5 star luxury stay . resort provide shuttlebus main strip , find South Point Casino next Grandview suit we well . apartment outstanding come fully equip jacuzzi . garden building well keep maintain . 
 Jul 19 2009 	 Free Shuttle Strip ! 	 grandview one fine timeshare . clean bug ! however free shuttle service rent car . arrive change free shuttle $ 8.00 day . cab $ 25 one way go 3 mile strip . welcome meet everyone disturb fee . one couple purchase timeshare hear complaint go right office get money back ! free shuttle trip grocery strip twice week free . next door South Point great casino inexpensive eating . well change service cause everyone piss ! pool clean real family resort . everyone well behave . 
 Jul 11 2009 	 Great Stay 	 stay three day Las Vegas Desert Classic professional dart tournament -- us location perfect , short straight drive Mandalay Bay tournament hold . clean . spacious . nice . price find right . need internet , cost extra . one problem due glitch system , manager go way resolve helpful would stay next year 's tournament . 
 Jul 9 2009 	 much well expect 	 thank reviewer suggest stay Daisy building ask room end 01 . stay 1701A gorgeous ! decor contemporary nicely do , husband say rare compliment . kitchen bath upgrade granite nice floor tile . view living room pool area South Point Casino . bed comfy flat screen tv large one living room . tip : call ahead request room type / building want , ask high floor , go 20 21 . expect get hit attend 90 minute presentation front desk agent send get parking voucher . time ask . wireless internet $ 10 / day room , take laptop medium room get wireless free . also free internet access computer medium room 30 minute . stay Daisy building , be close parking garage building , park garage enter Daisy SIDE entrance save lot walk hot sun . great place ... enjoy ! 
 Jul 8 2009 	 14 night ` ` brilliant '' single problem love every day . 	 make sure book courtesy coach early , take drink town , go grocery shop trip ( 18bucks 2lt white rum ) .take notice negative review rubbish . 
 Jul 7 2009 	 clean 	 room say condo GREAT . clean , everthing need ( dish , washer & amp ; dryer , hair dryer ) . bed comfortable & amp ; big . the bath room large , even jacuzzi tub . area inprovement racke carry suite case . wait hour one , ask man work get one , say try building . never offer help . wall thin , careful loud talk . 
 Jul 6 2009 	 nice home - base close strip 	 not mind 4 mile south , still Las Vegas Blvd . -this nice place stay ! would go back ! 7 8 high rise building look desert mountains- one building currently construction ( right next building - never noise issue ) . landscaping pretty , building new attractive . 's easy drive Vegas attraction , find nice escape noise bustle long day , especially child . parking sometimes challenge everyone come property night - big deal . the SouthPoint Hotel Casino right next door - new large full - service facility bowling alley , movie theater , casino , show , world class equestrian center . Las Vegas ' new full scale hotel / casino , call , also less 2 mile south - last building strip - incredible - sophisticated favorite property visit Vegas . the Grandview unit large , attractive , nicely equip , clean . stay Jasmine building 3 kid ( age 13,10,6 ) 2 bedroom unit - really 2 one - bedroom unit common foyer entry - get 2 full kitchen , 2 den , 2 full bath , 2 bedroom - spacious great parent able stay kid go sleep . completely sound proof - never hear another guest . flat screen , great appliance , garden tub , handsomely appoint . build small pool , also walk across parking lot another set building 2 large pool . like say , action strip quick straight drive blvd . - 4 mile - get I15 loop behind strip save time traffic . grocery , restaurant , Walmart , etc . within mile property . rent car , Grandview also offer shuttle . check - in check - out easy pleasant , pressure attend timeshare presentation simple thank . need contact staff anything , can not speak service say unit immaculate everyone encounter helpful polite . thing Vegas kid love -- -- -Valley Fire ( preferred Red Rock Canyon ) , Hoover Dam , Adventuredome ( although CircusCircus show age feel clean - amusement park nice ) , Tournament king dinner show , Bellagio fountain , Secret Garden Dolphin Habitat Seigfried Roy , roller coaster , July 4th firework dinner beautiful resort . side trip see desert west , Cirque de Soleil 's Ka probably highlight vacation - awesome ! go tix4tonite ( 6 location strip ) discount ticket many show dinner . impressed - Sahara ( smokey dirty ) , Bonnie Springs Ranch ( sweetly hokey worth time ) , Caesars Palace Atlantis Fountain show - love Forum Shops , Sirens TI show - free well do , way sexy kid . food - good buffet , far , Wynn - beautiful property see . good burger place - Burger Bar Mandalay Bay . good upscale meal - italian restaurant M.Vegas Vegas - even July 4th week ! go enjoy ! 
 Jul 6 2009 	 Nice Hotel far strip 	 nice hotel gate security walk around time . card get onto ground . pretty far stip . almost end las vegas blvd south , right next South Point . also shuttle service stay , tell we could use South Points never vehicle . overall nice hotel , would not stay though Vegas weekend , be first time . least 10 km everything happen . also hard find parking get back late night . 
 Jul 5 2009 	 upscale modern pad 	 clean , modern room nice detail finish . suite one nice ' ve stay recently . wall thin , appreciate advice another traveler request end unit . still , sound midnight shower we wake we night flight . Valet strip cheap easy , not worry non - central location . Wi Fi available conference room area . 
 Jul 2 2009 	 comfortable Clean 	 Las Vegas music festival , delighted find Grandview . able get two separate room connect live area group good rate , room spotless . whenever want go Strip , easy catch shuttle casino across street . great deal ! 
 Jun 28 2009 	 wonderful time not ready leave ! 	 family wonderful stay Grandview Las Vegas ! 7 us - 4 adult 3 child ( 7 , 9 , 12 ) . skeptical due review read ' m wonder complain . timeshare presentation ' m start think timeshare resort geek . also want discount show ticket . lunch ( sandwich , delicious cookie , lemonade ) good conversation great . presentation , learn Las Vegas previous trip put together ( many ) . not buy , enjoy presentation receive ticket . we stay Daisy , new building . pleased decoration furnishing . mattress bed extremely cozy . call towel first day bring immediately . thing feel miss cookie sheet bake cookies pizza pan frozen pizza try bake . oh yeah , toaster not work either , toast oven good . trouble parking consider right next parking garage . way , tell presentation new building , parking gargage nearby . my sister friend exercise workout facility several time . notice equipment outdate wish equipment health club home . there many child resort kid activity . not problem consider many plan kid area ( Circus Circus , Excalibur game area , Shark Reef , MGM Lions , & amp ; factory , free show , Hoover Dam , etc , etc ) . hang pool several half day , would not able handle anymore ! wonderful time Grandview Las Vegas can not wait return ! 
 Jun 21 2009 	 not Timeshare Presentation ! ! ! 	 get , check - in breeze . talk we listening & quot ; 90 minute presentation property project go on . & quot ; next morning presentation . tell person assign right away not interested buying timeshare , show ticket . say , & quot ; waste time ? & quot ; think little rude . presentation also include free & quot ; breakfast . & quot ; turn donut , muffin , coffee , lemonade . even milk juice . two half hour later & quot ; manager & quot ; give we & quot ; final & quot ; offer decline say not interested buying moment , say , & quot ; okay , what s real reason not buy ? & quot ; think rude I m quite sure imply . three hour later get discount Cirque du Soleil ticket able leave . wish would never agree really aggrivate ! ! ! anyways , room nice clean . wall little thin must pretty quiet neighbor not hear much . pool area nice , little cold , never overly crowded . thing complain run toilet paper one day call front desk get . leave , 10 hour later get back still toilet paper . husband call front desk rip apart little bit . 15 minute later finally get t.p . overall , hotel nice , good value , not timeshare presentation unless interested buying one . also ENOUGH parking ! ! ! 
