great 	 SF stay Holiday Inn around corner . opt Express price include breakfast : - ) amazing breakfast . plenty eat set we day . the bed truly amazing , comfortable choice pillow too . it great reception area could actually sit - many hotel not day . also conference facility barely noticable . hotel tend forget ' holiday ' guest do not . staff encounter friendly , polite helpful . the 2 pc 's + printer useful item . the room spacious ample space bathroom . great place stay go sightseeing - also purchase 3 day muni pass ( $ 18 ) - great saving - ( one cable car $ 5 one way ! ) good shopping / shopping centre easy get . 
 May 28 2009 	 nice well locate place stay affordable price 	 average hotel , well place . clean , wide room , although not neither frige , mini bar . it restaurant , room service . ice vending machine , order , be get fitness center , two computer lobby free high speed internet . although clean , leave 9:30 must tell clerk room , else will find leave . the breakfast , al day , overall good healthy , find high cholesterol egg bacon burger ) european like kind meal much ) , well diet yogurt , fat free milk fresh banana . if come car , suggest use parking lot one block away go wharf , cost less half pay hotelits location convenient , many restaurant open , Walgreen 's open midnight one block away , buy water , soda juice , snack , dispite cold wind evening . 
 May 22 2009 	 good hotel good location 	 family 4 ( boy age 11 & amp ; 7 ) arrive 11.30am 15 hour flight Australia . staff happy store bag room ready . give we time look around Fisherman 's Wharf area get lunch . arrive back hotel , check - in quick pleasant . our room quiet , clean comfortable . buffet breakfast good plentiful . business centre internet access add bonus . the staff always helpful give good direction good advice local public transport . the Holiday Inn Express good location , minute walk Wharf , F train , cable car , several supermarket food place . really good place start holiday would recommend anyone go San Francisco . 
 May 21 2009 	 great location decent breakfast helpful staff good size room modern theme 	 SF 2 night lot want & amp ; see area . althought debate staying area ... glad stay ... close everything , yes toursity , tourist . delay luggage airport , hotel staff always nice try helpful . free internet lobby helpful . purchase Alcatraz ticket advance , must ! well touristy bus tour save nominal $ 5pp easy . Knuckle 's restuarant across street nice quick meal afternoon drink . tolley close , well public transportation . pleanty car rental area walk , well 2 grocery store purchase cracker , bottle water etc drive North Sonoma / Napa area . ask quiet room , could quieter bad , face major road . * * Holiday Inn 's area , close ... driver airport take we one 2 short walk Inn & amp ; Suites , HI . , would stay ! def chilly , especially night ... 
 May 18 2009 	 little gem Hotel . 	 good value hotel ever stay absolute corker ! room King size bed heaven long trip , decor , lobby excellent , breakfast area food fabulous wife fill boot ! free internet free printer first anywhere world , excellent coffee , peace quiet , cable car around corner pier around corner . go San Francisco stay accept . 
 May 12 2009 	 Great Location - free Breakfast ! 	 although many hotel Fisherman 's Wharf area , choose hotel really like Holiday Inn Express chain stay many throughout US . besides great location , guess big draw would incredible free breakfast - standard cereal , scrambe egg , bacon , etc . consider find restaurant area fairly expensive , definitely money saver nice way start day . expect , though , eat area always crowd . mini - suite somewhat disappointing , rather small , compare other Express chain ' ve stay . night room quiet even though daytime traffic noisy . service friendly . , nice hotel . tip ride cable car turnaround near hotel - go later day hardly wait . also , would recommend Night Tour Alcatraz . book online well advance real convenience . 
 may 8 2009 	 Location Location Location 	 travel largish group - 7 adult 3 kid hotel well ensure floor room close together possible . staff accommodate . unfortunately San Fran couple night could fault accommodation city ...... San Fran great destination would definitely stay long next time would definitely stay back Holiday Inn Fisherman 's Wharf 
 May 5 2009 	 Good Hotel Great Location 	 average hotel near Fisherman 's Wharf . hotel ( Holiday Inn Express , opposite Hyatt Marriott ) confuse Holiday Inn . Holiday Inn Express modern , clean hotel quick check - in service . nearly stay downtown ' m glad not - Fisherman 's Wharf area stay visit San Francisco tourist . room quiet even though room face North Point Road . go back San Francisco would choose hotel . 
 May 1 2009 	 Good Location Decent Service 	 visit Holiday Inn Express 4/24 - 4/28 . overall , happy hotel . location perfect us - close wharf local transit . hotel nice look modern decor . room , single king bed , adequate . Maid service good . breakfast decent hotel complimentery breakfast . good selection get day start - juice , coffee , tea , milk , cereal , toast , bagel , yogurt , banana , egg ( either scrambled omlette seem prepacke microwave ) , bacon and/or sausage . hotel full weekend breakfast bar quite busy time . feel hotel great job refill thing never wait long anything . always also manage find table group 4.there couple minor thing note . hotel look great , basic not nice little & quot ; extras & quot ; . think would nice coffee / tea service lobby area throughout day , 9:30 - ' ve Holiday Inn Express hotel basic type hotel Quality Inns , etc . aspect service could little well well . want tea room early one evening . forgot take milk back room morning - tea powdered whitener not great . hope front desk could get milk - breakfast room step away - unable help & quot ; house man & quot ; duty . wait front desk old man approach indicate return day room not clean . gentleman front desk indicate & quot ; could not understand could happen , never happen & quot ; . ask guest sure not leave Disturb sign door . guest reply sure not . front desk clerk proceed tell gentlemant nothing could clean staff go day , house man . front desk clerk not offer anything guest inconvenience - restate could not understand could happen . , surely someone could go empty garbage least give clean towel ? also , not forget parking expensive , pretty standard wharf area hotel . not vechicle noticed valet parking $ 40 per night . return SF , would not hesitation stay hotel issue really quite minor . 
 Apr 29 2009 	 great place stay 	 great place stay serve sumptuous breakfast ! well connect tourist attraction . 
 Apr 27 2009 	 good hotel great location 	 stay 3 night wife , really like it . location great , Fisherman 's Wharf . the room pretty big , free internet access , regular tv . refrigator , ice vend machine hall . service ok , not offer help we bag ( lot luggage ) arrive . room available couple hour check time , great we . I really recommend hotel . really like . 
 Apr 27 2009 	 location everything ! ! 	 pleasant suprise . read mixed review one happy . location fantastic , close everything . walk get ferry Alcatraz , see sea lion pier 39 , cable car , crooked street bus stop near hotel city baseball park . breakfast fine , yes crowded always get seat 5 food never run . San Francisco expensive place eat great fill kid head . front desk helpful able tell we bus etc need . room big expect . 
 Apr 26 2009 	 spectacular would definitely stay 	 service friendly give good direction . breakfast complimentary many choice . view cement wall , side , could see Coit Tower . room clean neat . day night , get everything need hotel . 
 Apr 20 2009 	 nice woulnot stay 	 upon arrival queen mini suite.very diappointe view concrete courtyard . they could least add potted plant flower . dirty toothbrush lyng floor . night husband get bed smell like urine . next day ask room change . since stay 4 night . suite available get double room . much nice view acatraz . amentitie locate street holiday inn columbus Blvd .. walk laundry pool . breakfast end 9:30 . never make . good location walk distance attraction . parking 42.00 day . internet via phoneline sit desk . 
 Apr 20 2009 	 Room view Alcatraz 	 great hotel price location . surprize view Alcatraz window . park outrageous alternative . least valet always quick . quick walk wharf shop . 
 Apr 18 2009 	 beware $ 45 + PER DAY parking fee ! ! ! alternative ! ! ! ! 	 California 2 week business trip . want fill weekend fun thing since California before . this stay start wait check 15 minute person work check desk go every possible thing San Francisco couple . time do , check line 4 people deep . stay numerous Holiday Inn 's Priority Club Platinum member ask Platinum upgrade . person behind desk state something available would upgrade . get take care ask parking situation . extremely close Fisherman 's Wharf figure would free parking guest maximum $ 10- $ 20 charge . find park available valet parking cost $ 41 plus applicable taxis bring total $ 45 ! ! ! ask person behind counter option , state use tell people go block $ 20 . continue say price go , long cheap . follow do . state parking area , break platinum member anyone else matter . hear poor lady next tell family travel charge $ 50 day per car . 2 car stay 2 day . extra $ 200 ! ! ! Afterward see $ 41 Valet Parking charge website dig around little bit , would figure would option valet parking . never valet parking , figure would park local ramp . like state travel lot business , nothing catch guard pay 1/3 amount pay room parking . unfamiliar area , feel comfortable drive around try find another place park . fair numerous hotel around along one area , believe charge close much parking . whole parking shocker , go & quot ; upgrade & quot ; room . originally book normal room king bed . & quot ; upgrade & quot ; room 2 queen bed . apparently & quot ; upgrade & quot ; mean get microwave extra small sink . refrigerator anything else would constitute & quot ; upgrade & quot ; book . go back desk get room back king bed . figure pretty bad upgrade go back original room originally have . the room extremely tiny , view window another room hotel . overall decor hallway room nice , absolutely nothing top even special matter . thirsty go Walgreens road since bottled water beverage vend machine start $ 3.00.i go exchange towel since dirty . 2 bath towel give room , one person want take one shower need use wet towel . the bed make funny noise sit . know else say , want note it . they wire internet room . able find wireless signal hotel call desk get access code , person answer state wireless internet available room . continue tell ask Holiday Inn Express access code proceed tell pass code . add frustration . overall really start wrong foot realize pay almost $ 50 park , really get well . due time really want stay fiscally responsible business trip , extra charge take way acceptable cost hotel room . go explain situation supervisor try justify extra charge . currently write review night stay hotel . take time trip Friday night warn people may walk hotel . pool , allow use pool adjacent Holiday Inn hotel . like state travel lot business stay Holiday Inn brand hotel 50 + time throughout year . one absolutely low value dollar stay . location nice , plan stay one night aware may dish close $ 100 parking . BUYER BEWARE ! ! ! 
