sparkle 	 Good point Hotel : Location . the Room - excellent size comfortable bed . nice view Jubilee Gardens quiet . good bathroom tea tray always welcome . Nice Bar pleasant view London Eye . Helpful Concierge ( one . helpful ) breakfast buffet also good breakfast staff efficient pleasant . not good point : room ridiculously far away lift - talk 7 minute walk . foot injury struggle brisk trot require . one previous poster state wished golf buggy scooter ferry we down . secondly check staff brusque lack charm . London graduation ceremony would think way funeral , dour . Marriott Rewards membership , sometimes staff check upgrade . however occasion book another website staff attitude effectively reflect this . not welcome Hotel wish pleasant departure spend small fortune accomodation . the ATP tennis tournament O2 many resident either tennis player supporter . get impression part troope staff do not give toss . addition , lift cover advertising tournament find tacky bizarre . completely spoil ambience beautiful old building . we find one give we direction concierge . absent one morning ask doorman direct we Covent Garden vaguely point sky mumble . attempt get taxi via staff door useless well luck public street . acceptable 5 star hotel . my final gripe oh pay £ 15 day wi fi ( concierge try convince free ) go Starbucks coffee get free ? ? always stay Mariott ( work many year ago ) know extremely high standard training require staff always apparent Marriott stay . however next occasion return one another London . 
 good even kid 	 stay 3 night little man forst birthday say go well hotel near perfect . food brill , service perfect , clenliness perfect , describe . issue distance lift room - miles pram tough lovely view London eye jubilee gardens can not really complain . great location dead centre London . 
 Nov 16 2004 	 Great Location Great Service historic London Landmark . 	 write number report tripadvisor anger ! one however go pleasant . whether be tourist stay long time native visit keeper capital great hotel . good view night time daytime , good London 's attraction , walk . car parking ( £ 25 , £ 35 valet , per day ) inside congestion charge zone charge £ 5 per day . though staff English ( something despise resent hotel staff country value visitor come see ) polite well inform provide good standard service . always ask river view room alternative pointless may well travel inn rear county hall . hotel good indoor swimming pool , solarium , sauna gym guest use , Library bar perfect tea drink afternoon surround book case divide table individual area view Big Ben Westminster Bridge set ' Great Hall ' style room , almost imagine ' Winston ' sit thirty , splendid . room case long way lift long build room one side . sight sound river view room great , river boat throng people walk outside Big Ben chime hour clearly visible nearly river view room . room big London standard bathroom large modern amenity appear little tired ( tired recently upgrade Hilton bathroom though ! ! ) . summary great stay great hotel great view great service great room great price ( bloody great price keep riff raff ! ! ) , short staying room actually inside house parliment get well . 
 Oct 10 2004 	 Thumbs London county hall marriott 	 husband spend 6 amazing night London County Hall Marriott . use marriott point pay hotel . pleasantly surprised upgrade river view without ask yes , concierge access ! concierge suite adequate . get bottled water , soda , continental breakfast appetizer ( hotel ) daily . london prices exchange rate , save we nice amount money . our view hotel room obstruct ugly London eye , kind make we laugh , however River Thames , Big Ben Parliament right ! can not tell convenient hotel historical attraction . suggestion use tube . two convenient stop block hotel ( Waterloo station Westminster station ) . Waterloo station also station use choose travel eurostar Paris , . easy use , fun , quick , clean much cheap taxi' . the pancake stand side river big hit husband . thank recommend . also , addicted Starbucks , love city . starbuck every 2 3 block city . if planning use Marriott point , definitely recommend hotel . treat well , room nice London standard location well ! oh yeah , bed comfortable ! Marriott 's little scary look outside . favorite historical site : St. Paul 's Cathedral . do not miss make sure walk top . also Tower London fascinating . see 3 play . personal favorite & quot ; Jerry Springer Opera . & quot ; unbelievably funny clever . David Soul ( starsky hutch fame ) play Jerry Springer . Hilarious ! wonderful time London ! can not wait go back , would stay County Hall . 
 Sep 13 2004 	 price ... ok 	 stay Sept 6 - Sept 11 2004 . second stay . hotel nice clean , expect Marriott . room average sized clean -- location $ $ property - right across Westminster Bridge Parliment Square next London Eye . high speed internet STSN every room . room service good . lap pool work - out room available . good great staff service . I guess rating * * * due average room price ( everything $ 300 + ) -- view Big Ben , other nothing . lobby restaurant wood -- classic well maintain . you will enjoy stay , will pay lot . nothing unexpected . 
 Sep 11 2004 	 view die ! 	 two friend stay 4th/5th September celebrate two BIG birthday ! book room online Marriott Hotels April originally secure credit card . ask high room River Thames view prove awesome ! view night absolutely spectacular ! give sixth floor room balcony . actually spend quite time sit balcony wave people PODS London Eye ! location brilliant ! room large two double bed sit area . breakfast excellent - would expect 5 * hotel . the problem encounter book non - smoking room . check , tell room actually smoke one housekeeper spend long time remove trace smoke we . enter room , could unfortunately smell smoke thing complain ! staff helpful always pleasant . feel help we whatever ask , do quickly ! thoroughly recommendable pure goregous . a LITTLE TIP : book direct Marriott website [ guarantee will not find cheap web ] , keep eye price . originally book room £ 220 July , reduce £ 183 . able cancel original booking high price re - book low price . 
 Sep 9 2004 	 Lovely Marriott County Hall 	 stay four night Marriott County Hall 09/02/04 Labor Day . location can not beat - across Thames central London 's attraction . never use Tube taxi - walk far Kensington Gardens . staff supremely professional time , courteous , always offer cheerful hello . room lovely side view Thames & amp ; London Wheel well Jubilee Gardens though book Priceline . room tastefully decorate quite comfortable , & amp ; bath nice , . complimentary coffee , hot chocolate , tea & amp ; cookie . nightly turn - down service nice extra . yes , room good hike elevator care . small quible hotel guest entitle use spa facility - whirlpool , sauna , etc . - without pay extra . outside call expensive - careful ask ! otherwise , happy County Hall & amp ; would stay . 
 Jul 19 2004 	 middle everything ! 	 first stop 2 week trip Europe location can not beat first timer . could see Big Ben window ( spend 25 GBP upgrade river view ) London Eye right ! right Thames great ( although can not get nonsmoke room balcony ) . tour bus stop right front hotel river cruise leave right near hotel ! pancake stand river great ! nice , classy hotel great location ! 
 Jul 13 2004 	 Great Location - Big room 	 really like hotel - room huge . Stayed Marriott point , cost extra 40 pound / night upgrade river view access exec lounge ( free evening cocktail breakfast ) . decided not really worth extra money , downgrade regular room . elevator ( FYI - 's one set elevator , be room 401 , be far end ) , nice nicer , still good view . staff nice around . great location well . find easy take tube Westminster Waterloo station . seem fast walk hotel Westminster . FYI - Starbucks locate street behind hotel , internet cafe ( 1 pound / 30 minute ) . 
 Jun 30 2004 	 Marriott County Hall -lovely Hotel 	 stay Marriott County Hall , London last month . welcome Reception personal terrific . choose riverview room upper floor - luxurious view block London Eye complaining immediately move fabulous room great view Big Ben Westminster Bridge . service enthusiasm staff hotel exemplary whole week - end . swimming pool great breakfast serve stylish curved room overlook Thames . cheap stay worth every penny . TW 
 Jun 28 2004 	 Big Ben window 	 wonderful time London . Stayed Marriott County Hall . nice room , good view , Lovely Continental breakfast . bit problem room AC , manage , spite heat come occasionally . also take day trip Paris - via Chunnel day trip bath . pack lot fun sight - see ten day . eat street stall recommend , really enjoy pancake across bridge hotel . thank info . Vera Dale 
 May 31 2004 	 Convenience Thames 	 trip begin London , book ' visit England ' 3 - nite special London County Hall Marriott . right next London Eye , near several Tube station , near Waterloo Rail station , continuation vacation . convenience location , County Hall , overstate . also Travel Inn County Hall complex . Travel Inns couple , small child . three adult , Travel Inn allow three per one room . would try go Marriott , spacious room . 
 may 29 2004 	 REALLY nice HOTEL ! ! ! 	 love hotel . first arrive Westminster tube station first thing see Big Ben , Westminster bridge , London Eye , course County Hall . make awesome also easy find hotel . room super nice extremely comfortable bed , wonderful tea set , nice comfy robe , huge bathtub . full english breakfast include room rate beyond compare . look forward day . service incredible friendly . able catch & quot ; Big Bus & quot ; ( hop hop tour bus ) right front hotel . staff top notch ready help concern . would love able return enjoy hotel . 
 may 3 2004 	 Great experience 	 four southern lady venture London , England stay County Hall Marriott . wonderful ! staff extremely helpful , location could well , food delicious , especially breakfast . Thames River next London Eye . bus stop right around corner walk across bridge Tube stop . view Big Ben Parliament . return London , stay . 
